iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-5.60207,93.75,0.0,0.0,1.803944,-0.008338,0.388467,0.004974,0.881262,0.046021,-0.12577,-0.307194,0.228646,-1.08358,0.926073,4.0,0.0003,4,1202,0.32738,0.41815,0.0,nan,0,1.0,1.0,0.21394,4.64163,-0.01,0.01672,-0.00709,-0.03096,-0.01222,-0.00952
2,2048,-5.72703,80.75,0.0,0.0,1.341693,-0.005984,0.240611,0.002622,1.240045,0.036316,0.475771,-0.924566,0.530534,-1.594182,1.30986,4.0,0.0002999,4,1234,0.33967,0.41024,0.0,nan,0,1.0,1.0,0.23077,5.43528,-0.01,-0.00089,-0.00565,-0.03152,-0.01132,-0.01241
3,3072,-7.29752,135.0,0.0,0.0,1.033482,-0.005534,0.116657,0.003675,0.71822,0.053101,0.732757,-1.558963,0.917943,-2.006319,1.430021,4.0,0.0002998,3,1315,0.30537,0.37122,0.0,nan,0,1.0,0.875,0.16879,5.92095,-0.01,-0.0078,-0.00739,-0.02233,-0.01217,-0.01171
4,4096,-9.29547,261.0,0.0,0.0,1.658576,-0.005128,0.139426,0.002494,0.428084,0.010193,0.802144,-2.43348,1.663625,-2.823025,2.160253,4.0,0.00029969,9,1254,0.37927,0.46188,0.2,nan,0,1.0,0.89831,0.25645,4.99302,-0.01,0.01251,-0.00505,-0.02957,-0.01083,-0.01276
5,5120,-5.25537,80.0,0.0,0.0,1.021093,-0.006779,0.084256,0.002767,0.393955,0.0354,0.83275,-2.117228,1.558378,-2.356112,1.902776,4.0,0.00029959,3,1470,0.30698,0.37238,0.17391,nan,0,1.0,1.0,0.26241,6.22566,-0.01,-0.00133,-0.00429,-0.02428,-0.00488,-0.01171
6,6144,-10.16568,420.0,0.0,0.0,0.571733,-0.004947,0.044039,0.002412,0.423985,0.045715,0.835694,-1.92037,1.199018,-2.10683,1.421553,4.0,0.00029949,1,1677,0.23922,0.26431,0.20833,nan,0,1.0,0.71429,0.35838,6.56564,-0.01,-0.02801,-0.00575,-0.00736,-0.0071,0.0
7,7168,-7.58497,420.0,0.0,0.0,1.019336,-0.006863,0.061142,0.0031,0.368821,0.045837,0.886226,-2.670256,1.804348,-2.968655,2.317205,4.0,0.00029939,4,1472,0.29075,0.34128,0.32143,nan,0,1.0,1.0,0.30286,5.64469,-0.01,-0.00718,-0.00384,-0.02481,0.00076,0.0
8,8192,-7.41395,305.66667,0.0,0.0,1.172588,-0.00532,0.071904,0.001789,0.383575,0.018188,0.876433,-3.189046,2.118675,-3.513743,2.741421,4.0,0.00029928,3,1432,0.30866,0.36669,0.35484,nan,0,1.0,1.0,0.23002,5.28255,-0.01,-0.01146,-0.00421,-0.02585,0.00105,-0.00336
9,9216,-8.39633,420.0,0.0,0.0,1.281396,-0.003851,0.070101,0.001844,0.431072,0.013977,0.890315,-3.693264,2.638746,-4.35215,3.433019,4.0,0.00029918,1,1436,0.33963,0.39441,0.375,nan,0,1.0,1.0,0.21591,7.27846,-0.01,-0.01839,-0.00462,-0.03708,0.00055,0.0
10,10240,-16.04002,420.0,0.0,0.0,1.339159,-0.006104,0.051819,0.003634,0.407849,0.056824,0.923315,-4.469102,3.314732,-5.016408,4.08851,4.0,0.00029908,4,1358,0.34313,0.40552,0.44444,nan,0,0.5,1.0,0.29167,5.03992,-0.01,-0.01103,-0.00501,-0.03808,0.00041,0.0
11,11264,-14.82565,292.25,0.0,0.0,1.252438,-0.005754,0.056042,0.003456,0.440597,0.056152,0.933067,-4.414129,3.9163,-4.618484,4.285993,4.0,0.00029898,4,1391,0.37563,0.43342,0.45,nan,0,0.5,1.0,0.30124,4.791,-0.01,-0.00612,-0.00231,-0.03137,-0.00236,-0.00625
12,12288,-8.90516,211.66667,0.0,0.0,1.474881,-0.007264,0.073837,0.004694,0.445509,0.073303,0.923777,-4.628229,4.282275,-4.716033,4.717463,4.0,0.00029887,6,1288,0.366,0.429,0.43478,nan,0,1.0,1.0,0.2019,4.30187,-0.01,0.00915,-0.00199,-0.03463,0.00235,-0.01067
13,13312,-7.69918,420.0,0.0,0.0,1.34355,-0.005922,0.068951,0.004369,0.364835,0.054199,0.918726,-5.05743,4.425801,-5.530494,5.259322,4.0,0.00029877,1,1415,0.34327,0.39785,0.44681,nan,0,0.0,1.0,0.36019,4.75568,-0.01,0.00501,-0.00219,-0.03517,0.00501,0.0
14,14336,-13.00786,420.0,0.0,0.0,1.386733,-0.007694,0.019787,0.003136,0.369284,0.0448,0.969154,-6.565283,5.549606,-7.091648,6.370595,4.0,0.00029867,2,1412,0.32378,0.38349,0.46939,nan,0,0.5,1.0,0.02353,9.06098,-0.01,0.00226,-0.00518,-0.03752,0.0028,0.0
15,15360,-0.53317,358.8,0.2,0.01852,1.549916,-0.002626,0.641683,0.004743,1.048662,0.084351,0.63277,-7.045238,6.39885,-6.388739,9.444036,4.0,0.00029857,5,1332,0.33803,0.38431,0.5,0.0,1,0.6,0.92857,0.17593,4.36779,-0.01,0.00953,-0.00234,-0.04022,0.0046,0.06406
16,16384,11.46058,209.66667,0.33333,0.03509,1.724982,-0.004386,0.607869,0.005064,0.955841,0.069397,0.675803,-6.909386,7.573596,-5.908963,10.20013,4.0,0.00029846,3,1161,0.38644,0.43616,0.49123,0.5,2,1.0,0.83333,0.26998,5.3657,-0.01,0.01276,-0.00427,-0.03864,0.00357,0.05722
17,17408,-5.53217,154.4,0.0,0.03226,1.546191,-0.004389,0.113265,0.00201,0.376548,0.032593,0.908624,-4.268182,9.380465,-4.830434,9.5969,4.0,0.00029836,5,1227,0.33437,0.39563,0.46774,0.5,2,0.8,0.0,0.20478,4.48299,-0.01,0.01108,-0.00227,-0.0388,-0.00409,-0.01
18,18432,-1.17784,235.71429,0.14286,0.04348,1.605653,-0.003655,0.467815,0.004325,0.415907,0.074158,0.693468,-4.067035,8.387012,-3.329958,11.038364,4.0,0.00029826,7,1274,0.37361,0.42784,0.46377,0.66667,3,0.57143,1.0,0.27848,3.18886,-0.01,0.01954,-0.00153,-0.03716,-0.00209,0.06366
19,19456,30.9937,203.5,0.5,0.08,1.446238,-0.00617,1.455413,0.005436,1.696314,0.075623,0.226505,-0.01435,6.811587,3.954026,13.181851,4.0,0.00029816,6,1270,0.43592,0.489,0.45333,0.66667,6,0.5,1.0,0.44236,3.50913,-0.01,0.0158,-0.00282,-0.03061,0.00592,0.26749
20,20480,-5.77459,83.0,0.0,0.07895,0.84152,-0.005907,0.067846,0.003327,0.609216,0.050049,0.837606,5.857213,6.918637,5.193476,6.440364,4.0,0.00029805,1,1531,0.34471,0.38436,0.44737,0.66667,6,1.0,0.0,0.30592,5.08012,-0.01,0.00366,-0.00413,-0.0193,0.00531,-0.00441
21,21504,-6.3097,374.66667,0.0,0.07595,0.890075,-0.005749,0.045142,0.002281,0.577718,0.029724,0.788336,3.473015,4.85472,2.707714,4.887527,4.0,0.00029795,3,1537,0.32806,0.36122,0.4557,0.66667,6,0.66667,1.0,0.18033,8.03651,-0.01,0.00909,-0.00451,-0.02769,0.00084,-0.00408
22,22528,-4.52392,278.14286,0.0,0.06977,1.40803,-0.005246,0.052527,0.004481,0.557064,0.058716,0.835901,2.270599,5.934274,1.597408,6.056536,4.0,0.00029785,7,1326,0.43866,0.48471,0.46512,0.66667,6,1.0,1.0,0.2103,4.66165,-0.01,0.01436,-0.00379,-0.03499,-0.00417,-0.00807
23,23552,30.0306,174.75,0.5,0.08889,1.433241,-0.001736,0.798234,0.002145,0.793252,0.011414,0.222387,3.010916,5.090888,5.183507,10.869575,4.0,0.00029775,4,1290,0.40551,0.46588,0.45556,0.625,8,0.25,0.0,0.37631,3.8895,-0.01,0.00964,-0.00297,-0.03163,0.00669,0.18635
24,24576,9.80667,197.0,0.25,0.09574,1.279355,-0.004054,0.29055,0.002873,0.524954,0.035034,0.479847,4.646769,5.584138,4.889883,8.319695,4.0,0.00029764,4,1340,0.39993,0.46105,0.44681,0.55556,9,1.0,1.0,0.49348,5.43455,-0.01,0.01016,-0.00367,-0.02887,0.00492,0.09066
25,25600,-7.08393,420.0,0.0,0.09375,0.89647,-0.008033,0.024079,0.004363,0.428558,0.072815,0.921265,2.078799,6.064941,1.528129,6.077278,4.0,0.00029754,2,1498,0.3258,0.35509,0.45833,0.55556,9,1.0,1.0,0.57724,6.8631,-0.01,-0.005,-0.00366,-0.02348,0.00218,0.0
26,26624,-4.81406,420.0,0.0,0.09278,0.987033,-0.005361,0.028292,0.002605,0.418532,0.031982,0.878231,1.883116,5.221086,1.24178,5.466288,4.0,0.00029744,1,1478,0.33889,0.38241,0.46392,0.55556,9,1.0,0.0,0.02823,6.19817,-0.01,-0.00157,-0.00317,-0.0309,0.00255,0.0
27,27648,3.83403,308.33333,0.16667,0.1,1.192087,-0.005357,0.334915,0.004625,0.355097,0.050293,0.461311,2.824214,6.220943,3.308501,8.811701,4.0,0.00029734,6,1367,0.38376,0.43355,0.49,0.6,10,1.0,1.0,0.54348,4.58757,-0.01,0.01177,-0.00331,-0.02729,0.00259,0.09622
28,28672,8.85478,163.4,0.2,0.11,1.202803,-0.005543,0.237255,0.003106,0.362423,0.02887,0.654986,3.90118,6.950918,4.168351,9.836755,4.0,0.00029724,5,1380,0.44567,0.49126,0.5,0.63636,11,1.0,1.0,0.57295,4.62838,-0.01,0.01598,-0.00532,-0.03179,0.00152,0.08932
29,29696,29.28586,251.75,0.5,0.13,1.344076,-0.006303,0.508693,0.004625,0.609919,0.068787,0.487865,4.511584,7.666026,6.028362,11.797817,4.0,0.00029713,4,1330,0.46076,0.51184,0.52,0.61538,13,0.75,1.0,0.42953,3.95351,-0.01,0.01912,-0.00317,-0.03108,0.0122,0.17771
30,30720,29.45302,201.16667,0.5,0.16,1.346531,-0.003651,0.505387,0.002546,0.626187,0.027588,0.535172,5.632714,8.31965,7.643132,13.139887,4.0,0.00029703,6,1159,0.46717,0.51813,0.5,0.5625,16,0.66667,1.0,0.39645,4.50479,-0.01,0.02138,-0.00487,-0.03241,0.00576,0.26504
31,31744,41.28259,171.25,0.625,0.21,1.475361,-0.00657,0.623043,0.005942,0.917742,0.098145,0.610587,10.408496,11.124663,14.596485,17.611761,4.0,0.00029693,8,1249,0.44569,0.48366,0.49,0.57143,21,0.625,0.83333,0.44,2.83309,-0.01,0.02292,-0.00324,-0.03393,0.01669,0.40526
32,32768,36.86939,155.2,0.6,0.27,1.628755,-0.003698,0.478412,0.003241,0.687346,0.02771,0.38713,20.08231,9.636652,23.839699,13.302243,4.0,0.00029683,10,1198,0.4769,0.52697,0.42,0.59259,27,0.7,1.0,0.29386,2.6512,-0.01,0.02959,-0.00326,-0.03604,0.00909,0.43086
33,33792,35.11456,106.44444,0.55556,0.32,1.599374,-0.004469,0.397273,0.005137,0.793551,0.055725,0.250444,26.19495,7.019435,27.229485,12.335935,4.0,0.00029672,9,1186,0.4344,0.47129,0.38,0.625,32,0.55556,1.0,0.56773,3.0776,-0.01,0.01987,-0.00326,-0.03584,0.0052,0.36517
34,34816,66.96858,114.75,1.0,0.36,1.438326,-0.006047,0.222218,0.004193,0.639585,0.049255,0.530395,25.751556,8.524727,27.736671,12.333408,4.0,0.00029662,4,1252,0.41406,0.44377,0.35,0.63889,36,0.25,1.0,0.40582,3.6566,-0.01,0.01598,-0.00291,-0.03566,0.01011,0.32938
35,35840,43.97784,92.33333,0.66667,0.39,1.273218,-0.004455,0.202502,0.004066,0.578362,0.05365,0.752363,21.732355,13.733816,22.376198,17.311275,4.0,0.00029652,6,1297,0.35505,0.39791,0.3,0.65,40,0.5,0.0,0.52554,4.17755,-0.01,0.01283,-0.00295,-0.03416,0.0085,0.35925
36,36864,29.69848,214.875,0.5,0.42,1.425158,-0.003667,0.157248,0.003181,0.561488,0.025146,0.804441,26.819761,14.926421,28.469067,18.334946,4.0,0.00029642,8,1249,0.40433,0.42901,0.31,0.65909,44,0.5,1.0,0.511,3.17491,-0.01,0.02258,-0.00291,-0.03241,0.01447,0.34107
37,37888,57.24311,124.75,0.875,0.47,1.527946,-0.003628,0.142521,0.002474,0.425409,0.031372,0.699197,33.220406,12.572686,35.479446,14.964782,4.0,0.00029631,8,1191,0.417,0.45151,0.29,0.70588,51,0.625,1.0,0.39709,2.64946,-0.01,0.02783,-0.00265,-0.03665,0.01331,0.5248
38,38912,44.96395,89.0,0.66667,0.48,1.193879,-0.005672,0.098716,0.003281,0.720509,0.04126,0.820428,30.268723,15.246494,29.024019,16.123419,4.0,0.00029621,3,1293,0.41358,0.44484,0.28,0.71698,53,0.66667,0.0,0.33988,3.36292,-0.01,0.01929,-0.00332,-0.03151,0.00559,0.19449
39,39936,35.06196,214.85714,0.57143,0.51,1.160034,-0.003361,0.071767,0.002883,0.430322,0.027466,0.867909,29.139969,15.19024,29.36841,17.336391,4.0,0.00029611,7,1310,0.43181,0.46728,0.27,0.73684,57,0.42857,0.5,0.68896,2.78054,-0.01,0.02259,-0.0044,-0.03203,0.01005,0.39392
40,40960,39.62569,176.57143,0.57143,0.54,1.265556,-0.004861,0.087359,0.002762,0.373553,0.034668,0.835615,30.577988,15.503055,31.199352,17.745771,4.0,0.00029601,7,1278,0.4268,0.44473,0.26,0.7541,61,0.42857,0.0,0.4034,2.90159,-0.01,0.02516,-0.00441,-0.03369,0.01586,0.36791
41,41984,47.32018,188.5,0.75,0.56,1.296258,-0.006354,0.065253,0.005511,0.416147,0.083252,0.876164,31.410135,17.36412,31.476336,18.238224,4.0,0.0002959,4,1270,0.42382,0.43737,0.26,0.76562,64,0.5,0.0,0.39255,2.35887,-0.01,0.02513,-0.00448,-0.03703,0.00806,0.24089
42,43008,58.12564,142.375,0.875,0.62,1.490989,-0.004615,0.066152,0.005562,0.418712,0.076111,0.885974,32.991516,17.798853,35.448635,20.332613,4.0,0.0002958,8,1093,0.47287,0.50112,0.21,0.78873,71,0.375,0.0,0.42408,2.50885,-0.01,0.02577,-0.00466,-0.03828,0.01339,0.5321
