iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,-6.24894,93.75,0.0,0.0,1.804568,-0.007859,0.390329,0.004331,0.871883,0.038208,-0.13034,-0.307194,0.228646,-1.122352,0.928337,4.0,0.0003,4,1083,0.32738,0.41815,0.0,nan,0,1.0,1.0,0.21394,4.64163,-0.01,0.01672,-0.00709,-0.03096,-0.01222,-0.00612,-0.00952
2,2048,-6.08248,91.4,0.0,0.0,1.387825,-0.005347,0.243253,0.001722,1.145822,0.010498,0.482367,-0.946209,0.553788,-1.615613,1.317922,4.0,0.0002999,5,1277,0.34526,0.41717,0.0,nan,0,1.0,1.0,0.25926,5.64171,-0.01,0.00221,-0.0053,-0.02975,-0.01226,-0.00198,-0.01506
3,3072,-6.89074,126.25,0.0,0.0,1.272376,-0.004418,0.116626,0.002932,0.46542,0.0401,0.750299,-1.684738,1.061821,-2.179173,1.554182,4.0,0.0002998,4,1297,0.33142,0.40657,0.0,nan,0,1.0,0.84615,0.29616,5.6356,-0.01,-0.00099,-0.00592,-0.02449,-0.01236,-0.00277,-0.01314
4,4096,-0.60818,239.88889,0.11111,0.04545,1.750143,-0.004855,1.927498,0.004259,1.982376,0.074585,0.052376,-2.61146,1.615225,-1.58438,7.519755,4.0,0.00029969,9,1188,0.34608,0.42775,0.18182,0.0,1,0.88889,0.89286,0.17348,4.24134,-0.01,0.01195,-0.00314,-0.03087,-0.00431,-0.00478,0.07659
5,5120,-6.51442,111.33333,0.0,0.04,1.302692,-0.004411,0.052101,0.003283,0.488831,0.045044,0.816817,-1.586156,2.203258,-1.891202,2.617296,4.0,0.00029959,3,1285,0.2946,0.36854,0.16,0.0,1,1.0,1.0,0.17,4.76986,-0.01,0.00493,-0.0032,-0.02859,-0.00585,-0.0018,-0.00939
6,6144,-5.73862,143.0,0.0,0.03704,1.075894,-0.004446,0.02783,0.001621,0.399825,0.024841,0.849383,-1.308351,1.949329,-1.649765,2.313125,4.0,0.00029949,2,1376,0.29301,0.34775,0.14815,0.0,1,1.0,1.0,0.23385,5.65543,-0.01,-0.00434,-0.00325,-0.02394,-0.00156,-0.00136,-0.00736
7,7168,-9.34108,357.4,0.0,0.03125,1.367243,-0.004773,0.035639,0.003052,0.429511,0.029175,0.895615,-2.168474,2.746088,-2.610867,3.488928,4.0,0.00029939,5,1297,0.31347,0.37161,0.25,0.0,1,0.8,0.90909,0.16724,9.64088,-0.01,-0.00175,-0.00365,-0.03573,0.0007,-0.00381,-0.00289
8,8192,-14.71859,420.0,0.0,0.02941,1.46424,-0.005758,0.050047,0.004735,0.519383,0.065063,0.899462,-2.998611,3.371832,-3.69889,4.180634,4.0,0.00029928,2,1314,0.3632,0.42304,0.29412,0.0,1,0.5,1.0,0.1194,6.3987,-0.01,-0.01368,-0.00414,-0.03239,0.00346,-0.0004,0.0
9,9216,-19.23202,420.0,0.0,0.02857,1.480906,-0.004985,0.051268,0.003959,0.389332,0.057434,0.914549,-4.009408,4.251817,-4.705457,5.159934,4.0,0.00029918,1,1238,0.30286,0.36134,0.31429,0.0,1,1.0,1.0,0.10132,6.09166,-0.01,-0.01781,-0.00436,-0.03841,0.00039,-0.00119,0.0
10,10240,-19.33554,362.16667,0.0,0.02439,1.460539,-0.003542,0.039746,0.001684,0.276447,0.008362,0.942239,-4.556362,5.333061,-5.13818,6.146987,4.0,0.00029908,6,1326,0.32012,0.37629,0.39024,0.0,1,0.66667,1.0,0.10294,4.14188,-0.01,-0.00841,-0.00291,-0.0402,-0.00336,-0.00295,-0.00276
11,11264,-5.52688,103.0,0.0,0.02326,1.220263,-0.005753,0.074185,0.002333,0.318441,0.033386,0.859587,-3.924685,5.111207,-4.044522,5.012054,4.0,0.00029898,2,1363,0.30012,0.35741,0.37209,0.0,1,1.0,1.0,0.219,4.85432,-0.01,0.00504,-0.00333,-0.02982,-0.00488,-0.00208,-0.00664
12,12288,-10.36025,335.75,0.0,0.02128,1.1147,-0.003787,0.038857,0.002534,0.279576,0.024048,0.901543,-4.060457,4.029293,-4.240627,4.263095,4.0,0.00029887,4,1424,0.33094,0.38289,0.40426,0.0,1,0.75,0.85714,0.0393,5.21121,-0.01,-0.00099,-0.004,-0.02565,-0.00307,-0.00193,-0.00358
13,13312,-6.4448,253.0,0.0,0.02041,0.851411,-0.004721,0.025702,0.002627,0.315478,0.038452,0.928093,-3.790326,3.70401,-4.049695,4.058706,4.0,0.00029877,2,1528,0.28555,0.32748,0.40816,0.0,1,1.0,1.0,0.28177,3.96932,-0.01,-0.01988,-0.00353,-0.02031,-0.00592,-0.00136,-0.00453
14,14336,-9.24464,420.0,0.0,0.01923,0.946278,-0.00682,0.034021,0.002299,0.302782,0.024841,0.910848,-3.748454,4.083263,-3.879027,4.214677,4.0,0.00029867,3,1441,0.27639,0.32942,0.44231,0.0,1,1.0,1.0,0.22936,5.35881,-0.01,-0.00729,-0.002,-0.02378,-0.00046,-0.00171,0.0
15,15360,-11.95672,420.0,0.0,0.01818,0.948332,-0.005151,0.032096,0.002454,0.39017,0.038208,0.922671,-3.872139,4.038546,-4.143945,4.340889,4.0,0.00029857,3,1408,0.28332,0.33046,0.47273,0.0,1,0.66667,1.0,0.19565,5.14071,-0.01,-0.00679,-0.00441,-0.02405,-0.00527,-0.00182,0.0
16,16384,-5.90188,185.2,0.0,0.01667,0.983458,-0.006386,0.031817,0.003258,0.356122,0.039673,0.940785,-4.373174,4.615678,-4.543152,5.004273,4.0,0.00029846,5,1301,0.29363,0.3437,0.45,0.0,1,0.8,0.66667,0.21318,4.4991,-0.01,-0.00303,-0.00291,-0.02569,-0.00661,-0.00586,-0.01556
17,17408,-9.82483,333.0,0.0,0.01562,1.184687,-0.005574,0.032991,0.00432,0.363015,0.049988,0.920099,-4.507505,4.206729,-4.542854,4.312223,4.0,0.00029836,4,1284,0.31833,0.38141,0.46875,0.0,1,1.0,1.0,0.24651,3.5799,-0.01,0.00762,-0.00335,-0.02867,-0.00858,-0.00292,-0.00336
18,18432,-7.21909,249.0,0.0,0.01515,0.837351,-0.006526,0.022247,0.003358,0.335031,0.059692,0.925928,-4.216361,3.279928,-4.402603,3.564566,4.0,0.00029826,2,1467,0.30198,0.34844,0.4697,0.0,1,1.0,0.0,0.22324,5.22186,-0.01,-0.00642,-0.00776,-0.01569,0.00238,-0.00105,-0.00453
19,19456,-7.10455,358.0,0.0,0.01449,0.89335,-0.004091,0.017422,0.001316,0.323029,0.014954,0.928094,-4.517895,3.090359,-4.665454,3.395262,4.0,0.00029816,3,1475,0.29034,0.33068,0.47826,0.0,1,1.0,1.0,0.14237,5.18083,-0.01,0.00421,-0.00375,-0.02467,0.00295,-0.00085,-0.00425
20,20480,4.87012,330.83333,0.16667,0.02667,1.372328,-0.004077,1.163131,0.003377,0.926015,0.049561,0.173237,-5.12643,4.105157,-3.852605,7.965164,4.0,0.00029805,6,1281,0.31845,0.37582,0.49333,0.0,2,0.66667,1.0,0.34595,5.71602,-0.01,0.01244,-0.00206,-0.03137,-0.00329,-0.00481,0.09513
21,21504,-6.27671,103.5,0.0,0.02597,1.195439,-0.006522,0.041802,0.003345,0.310932,0.05481,0.82996,-4.130166,2.952183,-4.223415,3.190773,4.0,0.00029795,2,1354,0.29617,0.3515,0.48052,0.0,2,1.0,1.0,0.23211,5.58893,-0.01,-0.00545,-0.00403,-0.02218,-0.00046,-0.00297,-0.00666
22,22528,-9.60301,308.33333,0.0,0.025,0.992254,-0.005944,0.034738,0.00178,0.321383,0.022583,0.876592,-3.693389,3.503987,-4.018246,3.776643,4.0,0.00029785,3,1412,0.25833,0.30565,0.475,0.0,2,1.0,1.0,0.28293,6.63357,-0.01,-0.0066,-0.00168,-0.02685,-0.00263,-0.00167,-0.00773
23,23552,5.17907,323.6,0.2,0.03529,1.408118,-0.00545,0.990488,0.004905,0.677539,0.072205,0.293166,-4.736173,4.218191,-3.885993,8.29233,4.0,0.00029775,5,1215,0.28359,0.33691,0.48235,0.0,3,0.6,0.66667,0.31902,5.7451,-0.01,0.00077,-0.00219,-0.03177,0.0039,-0.00324,0.08888
24,24576,-7.28415,267.0,0.0,0.03448,1.423934,-0.007895,0.057789,0.005124,0.476454,0.073547,0.904835,-2.832582,5.093946,-3.456192,5.573076,4.0,0.00029764,2,1345,0.28342,0.33936,0.48276,0.0,3,1.0,1.0,0.2395,7.61799,-0.01,-0.01221,-0.00382,-0.03535,0.00107,-0.00075,-0.00273
25,25600,-18.03052,420.0,0.0,0.03409,1.435983,-0.005678,0.045267,0.003446,0.49496,0.050354,0.935023,-3.948933,5.815737,-4.799292,6.497338,4.0,0.00029754,1,1354,0.27138,0.33092,0.48864,0.0,3,1.0,1.0,0.23846,6.38966,-0.01,-0.02042,-0.00424,-0.0403,0.0016,-0.00196,0.0
26,26624,-16.43167,420.0,0.0,0.03297,1.480495,-0.006118,0.079668,0.005202,0.51861,0.094482,0.898869,-5.176693,6.055772,-6.011827,6.561342,4.0,0.00029744,3,1324,0.28928,0.34864,0.50549,0.0,3,0.33333,1.0,0.2069,6.43772,-0.01,-0.01776,-0.00332,-0.03646,0.00054,-0.00134,0.0
27,27648,-22.62195,346.75,0.0,0.03158,1.324887,-0.005654,0.059974,0.002198,0.394544,0.018799,0.895273,-5.490985,5.744269,-5.810084,5.802671,4.0,0.00029734,4,1333,0.29384,0.35401,0.51579,0.0,3,1.0,1.0,0.07812,6.28287,-0.01,-0.00968,-0.00278,-0.03087,-4e-05,-0.0015,-0.00295
28,28672,-13.61027,316.25,0.0,0.0303,1.34956,-0.006687,0.048134,0.003301,0.342894,0.038696,0.907511,-4.524281,4.987365,-4.813176,5.503797,4.0,0.00029724,4,1299,0.27778,0.34277,0.51515,0.0,3,1.0,1.0,0.21197,4.83525,-0.01,-0.00106,-0.004,-0.02738,0.00147,-0.00167,-0.00581
29,29696,-6.80606,166.0,0.0,0.03,1.617458,-0.005911,0.053421,0.004061,0.29815,0.060303,0.918691,-4.610016,5.939539,-4.932718,6.300776,4.0,0.00029713,7,1193,0.28868,0.35822,0.52,0.0,3,1.0,1.0,0.10479,4.82418,-0.01,0.00731,-0.00256,-0.03961,-0.0042,-0.00331,-0.01445
30,30720,9.19491,315.0,0.33333,0.04,1.617637,-0.004206,0.945319,0.004327,0.722949,0.051331,0.427764,-5.110287,6.150637,-4.15104,10.186841,4.0,0.00029703,3,1182,0.30673,0.37192,0.54,0.25,4,0.0,1.0,0.34422,4.17273,-0.01,0.00906,-0.00322,-0.04039,0.00594,-0.00343,0.08712
31,31744,16.6383,230.66667,0.33333,0.05,1.449344,-0.004521,0.773934,0.004186,0.963118,0.059021,0.480883,-4.39505,6.705832,-3.608905,9.725677,4.0,0.00029693,3,1225,0.2811,0.34864,0.55,0.4,5,0.66667,0.5,0.33203,4.5153,-0.01,0.00924,-0.0018,-0.03529,0.00506,-0.00213,0.08323
32,32768,-9.99007,274.75,0.0,0.05,1.206645,-0.006564,0.077088,0.003495,0.324902,0.052917,0.895969,-5.005608,7.017406,-5.45708,7.222475,4.0,0.00029683,4,1318,0.25749,0.31664,0.56,0.4,5,0.75,1.0,0.33103,5.21455,-0.01,0.01038,-0.00291,-0.03356,-0.00426,-0.00347,-0.00631
33,33792,8.17269,338.25,0.25,0.06,1.215402,-0.004214,0.614622,0.002534,0.483996,0.030579,0.546071,-5.221704,6.719681,-4.573937,10.105438,4.0,0.00029672,4,1333,0.23346,0.28858,0.56,0.5,6,1.0,1.0,0.18836,5.54902,-0.01,-0.00113,-0.00232,-0.03295,0.00923,-0.00211,0.10165
34,34816,-14.29773,420.0,0.0,0.05,1.258373,-0.004595,0.083203,0.002305,0.673086,0.016602,0.915548,-3.772508,7.441385,-4.409806,7.85682,4.0,0.00029662,1,1326,0.2277,0.28235,0.57,0.5,6,0.0,1.0,0.17105,5.06129,-0.01,-0.00384,-0.00255,-0.03668,-0.00201,-0.00176,0.0
35,35840,-6.46656,251.25,0.0,0.05,1.388194,-0.007813,0.072263,0.00415,0.582275,0.062622,0.912979,-4.174947,8.39992,-5.039784,8.746151,4.0,0.00029652,4,1233,0.26264,0.32374,0.59,0.5,6,1.0,0.0,0.22321,6.60613,-0.01,-0.00247,-0.00187,-0.03728,-0.00228,-0.00149,-0.00562
36,36864,4.12427,338.75,0.25,0.06,1.466211,-0.003827,0.600813,0.002292,0.497855,0.02179,0.616173,-4.626296,7.962651,-3.965465,11.267129,4.0,0.00029642,4,1117,0.29199,0.35099,0.61,0.57143,7,0.25,0.88889,0.43169,5.90811,-0.01,-0.00332,-0.00275,-0.0358,0.0031,-0.00357,0.08884
