iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-7.48916,95.75,0.0,0.0,2.038062,-0.008839,0.24563,0.005164,0.844618,0.065369,0.077865,-0.02481,0.215825,-1.169946,1.420023,4.0,0.0003,8,1381,0.34507,0.45729,0.0,1.0,0.97753,0.28349,5.07214,-0.01,0.0236,-0.0157,-0.03885,-0.01338,-0.01682
2,2048,-7.09303,104.75,0.0,0.0,1.988786,-0.004155,0.155733,0.002646,0.93209,0.036133,0.680606,-1.183462,1.277457,-2.089916,2.11966,4.0,0.00029991,8,1417,0.32731,0.42896,0.0,1.0,0.94937,0.38699,4.93459,-0.01,0.0233,-0.01321,-0.03877,-0.01456,-0.01726
3,3072,-7.15806,99.75,0.0,0.0,1.847721,-0.005496,0.107847,0.002734,0.529246,0.03894,0.778858,-2.227298,1.947806,-3.095657,2.612829,4.0,0.00029982,8,1435,0.32779,0.43228,0.0,1.0,1.0,0.19155,4.68842,-0.01,0.01957,-0.01262,-0.03708,-0.02036,-0.01868
4,4096,-7.17446,113.14286,0.0,0.0,1.503617,-0.004957,0.091172,0.000771,0.299627,0.007874,0.804688,-3.120091,2.166131,-3.64352,2.751782,4.0,0.00029974,7,1512,0.31228,0.40454,0.0,1.0,0.96154,0.30719,4.62437,-0.01,0.01165,-0.01229,-0.03031,-0.01934,-0.01987
5,5120,-7.29558,119.0,0.0,0.0,1.689603,-0.003674,0.080399,0.001971,0.308897,0.014832,0.856622,-3.694251,2.770644,-4.120094,3.22885,4.0,0.00029965,10,1400,0.30857,0.39836,0.0,1.0,0.98667,0.35404,5.16051,-0.01,0.01653,-0.01013,-0.0324,-0.01873,-0.02529
6,6144,-7.97905,144.375,0.0,0.0,1.809908,-0.007014,0.075336,0.002526,0.332438,0.019897,0.88578,-4.294653,3.242721,-4.634862,3.829003,4.0,0.00029956,8,1416,0.32448,0.41319,0.02041,1.0,0.98684,0.23574,6.4327,-0.01,0.01788,-0.00946,-0.03982,-0.01447,-0.01634
7,7168,-7.189,102.0,0.0,0.0,1.732382,-0.005981,0.068249,0.004538,0.400641,0.051025,0.897816,-4.620214,3.523355,-4.85986,4.051206,4.0,0.00029947,9,1464,0.31108,0.4,0.01724,1.0,0.9697,0.08042,7.8274,-0.01,0.01645,-0.00664,-0.03934,-0.01883,-0.02156
8,8192,-8.72694,170.33333,0.0,0.0,1.626435,-0.005897,0.054509,0.003391,0.386233,0.017578,0.909007,-4.637159,3.697108,-4.91129,4.099779,4.0,0.00029939,6,1504,0.34121,0.41693,0.01562,1.0,1.0,0.27007,9.45713,-0.01,0.00966,-0.01085,-0.03597,-0.01366,-0.01534
9,9216,-6.4515,102.0,0.0,0.0,1.487807,-0.004258,0.053074,0.001743,0.346446,0.006958,0.902979,-4.880467,3.780751,-4.951402,4.010037,4.0,0.0002993,6,1541,0.3242,0.40153,0.01429,1.0,1.0,0.30435,5.36386,-0.01,0.01374,-0.00576,-0.03577,-0.01713,-0.01664
10,10240,-8.68926,151.57143,0.0,0.0,1.360511,-0.005862,0.03397,0.003603,0.323585,0.051208,0.935334,-4.708176,3.740577,-4.794698,4.00002,4.0,0.00029921,7,1565,0.30542,0.37346,0.02597,0.85714,1.0,0.27778,5.76599,-0.01,0.009,-0.00457,-0.03133,-0.01512,-0.01794
11,11264,-8.05902,203.85714,0.0,0.0,1.536336,-0.005603,0.038898,0.003703,0.367244,0.04248,0.935583,-4.812811,3.940606,-4.841087,4.229455,4.0,0.00029912,7,1511,0.35094,0.4238,0.04762,1.0,1.0,0.38068,5.79782,-0.01,0.01854,-0.0066,-0.03579,-0.01342,-0.01337
12,12288,-6.4537,103.5,0.0,0.0,1.74883,-0.004168,0.047651,0.003768,0.357342,0.053467,0.921834,-4.910943,4.159564,-4.880358,4.316569,4.0,0.00029903,8,1387,0.36958,0.45444,0.04348,1.0,1.0,0.17073,4.6484,-0.01,0.02147,-0.00505,-0.03812,-0.01855,-0.01912
13,13312,-6.60065,133.7,0.0,0.0,1.775757,-0.006622,0.037959,0.004172,0.398906,0.051453,0.935784,-4.937345,4.179346,-4.889765,4.365915,4.0,0.00029895,10,1394,0.36259,0.43711,0.05,1.0,1.0,0.29856,4.6951,-0.01,0.02527,-0.00416,-0.03861,-0.01657,-0.02121
14,14336,-5.63299,100.875,0.0,0.0,1.82648,-0.006115,0.035531,0.004318,0.357369,0.052856,0.938365,-4.590789,4.256217,-4.561779,4.333249,4.0,0.00029886,8,1428,0.37152,0.44432,0.05,1.0,1.0,0.36054,3.80119,-0.01,0.02614,-0.0028,-0.03634,-0.01666,-0.01856
15,15360,-6.78434,135.6,0.0,0.0,1.879604,-0.005729,0.037092,0.003305,0.369629,0.041443,0.932704,-4.761614,4.292964,-4.743658,4.295704,4.0,0.00029877,10,1410,0.39274,0.46732,0.06,1.0,1.0,0.29296,6.91783,-0.01,0.02104,-0.00432,-0.03677,-0.0177,-0.02011
