iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-6.50931,95.875,0.0,0.0,2.015322,-0.008881,0.304304,0.005872,0.793238,0.07196,-0.090374,-0.269402,0.220473,-1.247561,1.147938,4.0,0.0003,8,850,0.33166,0.43053,0.0,nan,0,1.0,0.92308,0.22433,5.3758,-0.01,0.02591,-0.00671,-0.03917,-0.0147,-0.01687
2,2048,-6.47919,98.25,0.0,0.0,1.987651,-0.005449,0.166032,0.003145,0.858597,0.031555,0.619571,-1.32317,1.01008,-2.194301,1.891915,4.0,0.00029991,8,1068,0.3145,0.40059,0.0,nan,0,1.0,0.96429,0.27074,5.83522,-0.01,0.02286,-0.00617,-0.04266,-0.01455,-0.01706
3,3072,-6.74022,100.7,0.0,0.0,1.970924,-0.004969,0.133811,0.003236,0.728372,0.049011,0.767843,-2.142508,1.811783,-3.001175,2.473008,4.0,0.00029982,10,1055,0.35475,0.44465,0.0,nan,0,1.0,0.95,0.29747,5.1138,-0.01,0.01817,-0.0039,-0.03726,-0.02173,-0.0216
4,4096,-6.61946,98.14286,0.0,0.0,1.934656,-0.004464,0.086379,0.003045,0.383306,0.032715,0.838312,-2.891301,2.2121,-3.415387,2.853878,4.0,0.00029974,14,1053,0.3762,0.4632,0.0,nan,0,1.0,0.96296,0.20787,4.70226,-0.01,0.02453,-0.00567,-0.03626,-0.02241,-0.03064
5,5120,-6.19374,101.5,0.0,0.0,1.994301,-0.006418,0.071188,0.004918,0.415293,0.06311,0.883238,-3.387946,2.708202,-3.81675,3.226005,4.0,0.00029965,8,1085,0.35183,0.43149,0.0,nan,0,1.0,1.0,0.22222,5.01949,-0.01,0.0246,-0.00509,-0.03811,-0.01445,-0.01699
6,6144,-6.01301,99.25,0.0,0.0,1.988068,-0.006355,0.080314,0.003057,0.480254,0.043884,0.881959,-3.780742,3.039533,-4.017221,3.481756,4.0,0.00029956,8,1032,0.32398,0.4015,0.0,nan,0,1.0,1.0,0.21131,5.64522,-0.01,0.02497,-0.00217,-0.0385,-0.01636,-0.01711
7,7168,-6.09161,100.83333,0.0,0.0,1.951031,-0.005198,0.070623,0.003782,0.366232,0.055542,0.889275,-3.868529,3.259918,-4.1041,3.641888,4.0,0.00029947,12,1043,0.33188,0.42321,0.0,nan,0,1.0,0.94444,0.29008,4.93866,-0.01,0.02162,-0.00214,-0.03639,-0.02355,-0.02609
8,8192,-6.15922,106.45455,0.0,0.0,1.953341,-0.004271,0.0501,0.002392,0.279247,0.018433,0.925461,-4.017457,3.586827,-4.229856,3.915886,4.0,0.00029939,11,1100,0.33792,0.41781,0.0,nan,0,1.0,0.88889,0.32412,5.12905,-0.01,0.02276,-0.0041,-0.03505,-0.01509,-0.02375
9,9216,-6.2127,96.5,0.0,0.0,1.739683,-0.003144,0.045934,0.001299,0.325857,0.006592,0.922818,-4.000445,3.462124,-4.166414,3.67497,4.0,0.0002993,6,1154,0.30347,0.37081,0.0,nan,0,1.0,1.0,0.46545,5.12591,-0.01,0.02018,-0.00263,-0.03647,-0.01474,-0.01424
10,10240,-5.31302,97.66667,0.0,0.0,1.489862,-0.005571,0.046342,0.004076,0.411396,0.05249,0.903196,-3.740363,3.209608,-3.856415,3.419013,4.0,0.00029921,6,1075,0.32652,0.39237,0.0,nan,0,1.0,1.0,0.49842,4.54198,-0.01,0.01345,-0.00255,-0.03052,-0.01705,-0.01664
11,11264,-6.87501,165.55556,0.0,0.0,1.48284,-0.005325,0.043424,0.003324,0.431412,0.035889,0.92475,-3.808144,3.469943,-3.946235,3.686824,4.0,0.00029912,9,1182,0.29577,0.36379,0.01,nan,0,1.0,1.0,0.41912,4.99985,-0.01,0.01645,-0.00209,-0.03153,-0.01901,-0.02199
12,12288,-5.51065,107.11111,0.0,0.0,1.622666,-0.00434,0.031598,0.002955,0.396019,0.031982,0.945482,-3.937611,3.773614,-3.957859,3.835084,4.0,0.00029903,9,944,0.32512,0.38627,0.01,nan,0,1.0,1.0,0.34158,5.39257,-0.01,0.02249,-0.00241,-0.03154,-0.01359,-0.02246
13,13312,-6.02518,137.88889,0.0,0.0,1.815687,-0.006541,0.041809,0.006019,0.471316,0.087952,0.930376,-4.113839,3.759682,-4.205478,3.835274,4.0,0.00029895,9,1104,0.31618,0.38237,0.02,nan,0,1.0,1.0,0.14555,7.01693,-0.01,0.01968,-0.00138,-0.03456,-0.01801,-0.0178
14,14336,-5.8855,95.5,0.0,0.0,1.599744,-0.005594,0.027664,0.003381,0.367682,0.053955,0.941788,-3.707015,3.643401,-3.773035,3.598945,4.0,0.00029886,10,1149,0.3081,0.37785,0.02,nan,0,1.0,1.0,0.31975,4.83194,-0.01,0.01553,-0.00164,-0.03254,-0.01899,-0.02502
15,15360,-5.00358,103.8,0.0,0.0,1.462013,-0.005336,0.030775,0.003208,0.400713,0.047241,0.923521,-3.40025,3.389719,-3.594341,3.489298,4.0,0.00029877,5,1206,0.29911,0.35538,0.02,nan,0,1.0,0.0,0.35321,3.91328,-0.01,0.0155,-0.00153,-0.03157,-0.01239,-0.01316
16,16384,-7.30939,195.83333,0.0,0.0,1.479743,-0.00652,0.027572,0.004929,0.405341,0.068359,0.933058,-3.446801,3.231636,-3.564784,3.347815,4.0,0.00029868,6,1190,0.32296,0.37591,0.03,nan,0,1.0,0.0,0.30909,4.98899,-0.01,0.01602,-0.00157,-0.03163,-0.01057,-0.01324
17,17408,-6.6281,148.42857,0.0,0.0,1.475424,-0.007396,0.031343,0.004561,0.406118,0.069092,0.921599,-3.40137,3.125904,-3.498593,3.186451,4.0,0.0002986,7,1183,0.35526,0.40902,0.04,nan,0,0.85714,0.0,0.31845,3.09029,-0.01,0.02106,-0.00323,-0.02563,-0.01513,-0.01603
18,18432,-4.65549,99.5,0.0,0.0,1.421588,-0.006116,0.025127,0.004188,0.379393,0.067261,0.932172,-3.427063,3.071103,-3.464908,3.129069,4.0,0.00029851,6,1176,0.36266,0.41481,0.04,nan,0,1.0,1.0,0.42926,3.34417,-0.01,0.02116,-0.00281,-0.02357,-0.01253,-0.01669
