iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-16.66541,35.28,0.0,0.0,2.017704,-0.006213,40.958544,0.005632,1789,-0.01,0.0265,0.01003,-0.00094,-0.51279,-0.01445
2,2048,-16.52234,35.16667,0.0,0.0,2.016569,-0.002289,34.959683,0.002693,1723,-0.01,0.02493,0.00964,-0.00055,-0.62619,-0.01907
3,3072,-18.55816,35.14286,0.0,0.0,1.991079,-0.143859,29.63993,0.006055,1821,-0.01,0.02476,0.00903,-0.0011,-0.58973,-0.01809
4,4096,-16.28676,33.3871,0.0,0.0,1.976245,-0.00326,28.782301,0.007165,1787,-0.01,0.02387,0.01059,-0.00039,-0.59117,-0.01968
5,5120,-16.80937,35.24138,0.0,0.0,1.939281,0.10137,31.639093,0.006335,1721,-0.01,0.01873,0.00993,-0.00104,-0.59724,-0.01793
6,6144,-15.16884,35.16667,0.0,0.0,1.931126,-0.002614,26.660525,0.00386,1814,-0.01,0.02084,0.00993,-0.00118,-0.51517,-0.01789
7,7168,-16.68283,32.96667,0.0,0.0,1.847178,0.089485,29.601414,0.005758,1808,-0.01,0.02306,0.00946,-0.00153,-0.61228,-0.01842
8,8192,-15.13962,34.44828,0.0,0.0,1.852139,-0.004172,27.747931,0.00573,1847,-0.01,0.0154,0.01093,-0.00269,-0.52859,-0.01786
9,9216,-17.38694,33.69231,0.0,0.0,1.787035,0.043847,30.374334,0.002579,1811,-0.01,0.00713,0.0095,-0.00129,-0.64056,-0.01921
10,10240,-17.4511,40.35,0.0,0.0,1.752741,-0.112304,26.171103,0.005452,2323,-0.01,0.0022,0.00783,-0.00198,-0.53253,-0.01759
11,11264,-16.03788,54.14286,0.0,0.0,1.801717,0.03171,20.6642,0.004685,2060,-0.01,-0.00061,0.00833,-0.00206,-0.4365,-0.01495
12,12288,-17.87712,53.42105,0.0,0.0,1.740695,-0.000923,25.426441,0.002401,2176,-0.01,-0.00101,0.00806,-0.00237,-0.53319,-0.01431
13,13312,-14.08903,32.625,0.0,0.0,1.728245,-0.000268,15.500741,0.001678,2176,-0.01,-0.00606,0.00656,-0.00139,-0.39353,-0.01655
14,14336,-17.23237,75.0,0.0,0.0,1.667145,-0.001652,13.553658,0.001603,1925,-0.01,-0.02003,0.0036,-0.00081,-0.34109,-0.00862
15,15360,-21.03141,122.0,0.0,0.0,1.691333,-0.000356,18.930555,0.002395,2599,-0.01,-0.01616,0.00427,-0.00109,-0.50249,-0.00977
16,16384,-16.46185,71.55556,0.0,0.0,1.732983,-0.055146,19.352445,0.002499,1901,-0.01,-0.00419,0.00689,-0.00089,-0.34637,-0.01289
17,17408,-15.35327,49.63636,0.0,0.0,1.734426,-0.000863,18.191097,0.001774,2176,-0.01,-0.00222,0.00611,-0.00149,-0.43469,-0.01638
18,18432,-21.59831,54.66667,0.0,0.0,1.626224,-0.000403,24.643285,0.006194,2276,-0.01,-0.0058,0.00786,-0.00055,-0.62238,-0.0145
19,19456,-18.81856,35.27273,0.0,0.0,1.623203,-0.003834,14.210109,0.007153,2617,-0.01,-0.01737,0.00468,-0.00074,-0.35419,-0.01148
20,20480,-19.0968,106.55556,0.0,0.0,1.572552,-0.001526,9.48221,0.001952,2674,-0.01,-0.02796,0.00269,-0.00028,-0.287,-0.00588
21,21504,-20.0406,115.14286,0.0,0.0,1.630822,0.007987,11.252422,0.003364,2263,-0.01,-0.01616,0.00335,-0.00143,-0.29169,-0.00769
22,22528,-18.1804,76.61111,0.0,0.0,1.672458,0.042607,14.243912,0.007248,1875,-0.01,-0.00657,0.00526,-0.00031,-0.33568,-0.01009
23,23552,-17.15865,34.84211,0.0,0.0,1.752183,-0.001659,17.850533,0.001198,2252,-0.01,-0.00324,0.008,-7e-05,-0.5036,-0.01432
24,24576,-14.20718,58.33333,0.0,0.0,1.751872,0.105623,18.922232,0.003103,2342,-0.01,-0.00976,0.00712,-0.00056,-0.40689,-0.01162
