iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-16.19408,36.58333,0.0,0.0,2.270066,-0.004805,39.109605,0.002,1548,0.20088,1.0,0.97959,-0.01,0.02938,0.0017,-0.01917,-0.49654,-0.01404
2,2048,-18.82995,35.65517,0.0,0.0,2.285428,-0.004053,32.129766,0.00511,1613,0.21698,1.0,1.0,-0.01,0.02735,-0.00139,-0.01523,-0.58802,-0.01828
3,3072,-18.3913,36.22222,0.0,0.0,2.243557,-0.074939,28.431632,0.005591,1613,0.22143,1.0,1.0,-0.01,0.02816,-0.00199,-0.01668,-0.60485,-0.01717
4,4096,-17.17162,36.06667,0.0,0.0,2.258738,-0.001886,30.586918,0.004628,1540,0.20545,1.0,0.97101,-0.01,0.02746,0.00209,-0.01706,-0.59156,-0.01934
5,5120,-18.38376,36.15385,0.0,0.0,2.217111,-0.064817,28.447698,0.007106,1548,0.21719,1.0,1.0,-0.01,0.02864,-0.0029,-0.01961,-0.53646,-0.01615
6,6144,-17.3738,35.63333,0.0,0.0,2.21547,-0.051453,29.977691,0.004962,1522,0.20668,1.0,1.0,-0.01,0.02301,0.00131,-0.01796,-0.58152,-0.01957
7,7168,-21.68014,36.14815,0.0,0.0,2.129528,0.056135,30.571619,0.005491,1770,0.19987,1.0,1.0,-0.01,0.017,0.00433,-0.01869,-0.70505,-0.01916
8,8192,-19.02069,39.2381,0.0,0.0,2.170923,-0.023147,30.367775,0.005561,1809,0.18626,1.0,1.0,-0.01,0.01373,0.00146,-0.01766,-0.49683,-0.01498
9,9216,-18.64657,50.26087,0.0,0.0,2.133653,-0.004443,25.266828,0.004727,1768,0.19783,1.0,1.0,-0.01,0.01787,-0.00091,-0.02046,-0.56079,-0.01626
10,10240,-18.14399,36.31818,0.0,0.0,2.147112,-0.095938,26.750825,0.002827,1783,0.20859,1.0,0.97436,-0.01,0.01374,0.00149,-0.01763,-0.61677,-0.01594
11,11264,-23.14741,56.1,0.0,0.0,2.086366,-0.001963,23.331863,0.002165,1896,0.19349,1.0,1.0,-0.01,0.01313,0.00052,-0.0189,-0.67977,-0.01497
12,12288,-16.10403,35.64,0.0,0.0,2.126397,-0.001087,22.519486,0.002281,1690,0.19058,1.0,1.0,-0.01,0.01747,0.0025,-0.0209,-0.41739,-0.01688
13,13312,-19.61674,52.45833,0.0,0.0,2.110181,-0.00303,20.334641,0.002135,1605,0.19467,1.0,1.0,-0.01,0.0159,-0.00138,-0.02312,-0.5113,-0.01361
14,14336,-18.45435,35.65217,0.0,0.0,2.091998,-0.002284,21.342366,0.003305,1557,0.19053,1.0,1.0,-0.01,0.01542,-0.001,-0.02299,-0.52033,-0.01411
15,15360,-17.95525,49.91304,0.0,0.0,2.018847,-0.002212,18.088801,0.001962,1839,0.18499,0.95652,1.0,-0.01,0.00955,0.00346,-0.02193,-0.48262,-0.01521
16,16384,-18.33014,37.05556,0.0,0.0,2.03169,-0.047716,19.403622,0.00472,2346,0.18105,1.0,1.0,-0.01,0.00437,0.00374,-0.01809,-0.54785,-0.01534
17,17408,-20.0054,73.26316,0.0,0.0,1.973672,-0.004809,17.373747,0.003937,2232,0.16915,1.0,0.96552,-0.01,0.00346,0.00023,-0.01778,-0.45358,-0.01341
18,18432,-18.88428,37.65,0.0,0.0,2.103452,-0.056895,21.014263,0.0055,2178,0.17437,1.0,0.92857,-0.01,0.00315,0.00442,-0.01875,-0.58649,-0.01564
19,19456,-22.56501,54.0,0.0,0.0,2.030128,-0.021211,17.099253,0.002165,2084,0.1787,1.0,0.95455,-0.01,0.00555,0.00222,-0.02067,-0.55873,-0.01596
20,20480,-17.01041,44.13043,0.0,0.0,2.091555,-0.078012,15.960203,0.001567,1863,0.1874,1.0,1.0,-0.01,0.00957,0.00643,-0.02036,-0.46881,-0.01632
21,21504,-17.71961,56.35,0.0,0.0,2.057167,-0.001542,15.20151,0.003555,2065,0.17597,1.0,0.89474,-0.01,0.01184,0.00093,-0.02276,-0.3784,-0.01248
22,22528,-15.97034,35.9,0.0,0.0,2.04507,0.00762,18.086889,0.00135,2025,0.18467,1.0,0.95,-0.01,0.01238,0.00377,-0.02269,-0.45567,-0.01347
23,23552,-18.67601,49.5,0.0,0.0,2.002908,-0.002758,15.701304,0.001662,2117,0.17671,0.95455,0.95238,-0.01,0.01134,0.00211,-0.02432,-0.47374,-0.01473
24,24576,-18.15971,49.34615,0.0,0.0,2.015572,-0.001468,20.226228,0.001282,2011,0.17356,0.96154,0.91176,-0.01,0.00894,0.00716,-0.01735,-0.56527,-0.01706
25,25600,-17.94299,50.12,0.0,0.0,2.015629,-0.018796,16.281823,0.00189,1884,0.18038,1.0,0.875,-0.01,0.00774,0.008,-0.01756,-0.54319,-0.01514
26,26624,-18.18921,35.32,0.0,0.0,2.011736,-0.003318,17.688259,0.002097,1928,0.19103,1.0,0.78261,-0.01,0.00567,0.00603,-0.02035,-0.56426,-0.01504
27,27648,-16.85498,35.73684,0.0,0.0,1.994498,-0.014212,12.42615,0.002271,2104,0.178,1.0,0.9,-0.01,-0.00706,0.00167,-0.02187,-0.38857,-0.01388
28,28672,-16.45526,34.5,0.0,0.0,1.90576,0.033961,11.959394,0.002233,2133,0.19357,1.0,0.53846,-0.01,-0.00637,0.00447,-0.02185,-0.4257,-0.01342
29,29696,-19.84887,87.38095,0.0,0.0,1.895291,-0.002107,13.673322,0.001472,2146,0.20229,0.95238,0.91071,-0.01,-0.00435,0.00086,-0.02298,-0.38239,-0.01242
30,30720,-18.47507,33.37037,0.0,0.0,1.970844,-0.019809,23.288168,0.001302,1852,0.18389,1.0,0.85185,-0.01,-0.00131,0.00295,-0.02625,-0.58299,-0.01581
31,31744,-19.93632,50.91304,0.0,0.0,1.937081,0.025385,14.233003,0.001535,1779,0.18791,0.95652,0.73077,-0.01,0.00289,0.00601,-0.02458,-0.45372,-0.01306
32,32768,-15.44561,33.10714,0.0,0.0,1.987756,-0.174282,19.594837,0.001241,1941,0.19633,1.0,0.69565,-0.01,0.00351,0.0035,-0.01983,-0.50011,-0.01774
33,33792,-15.6863,35.0,0.0,0.0,1.853057,-0.023516,15.541654,0.002327,1884,0.19135,1.0,0.8125,-0.01,0.00026,0.00374,-0.02385,-0.50847,-0.01463
34,34816,-19.56986,52.61111,0.0,0.0,1.9109,0.061309,15.847293,0.00112,2152,0.18478,1.0,0.81818,-0.01,-0.00846,0.0029,-0.02486,-0.42684,-0.0114
35,35840,-16.32221,39.66667,0.0,0.0,2.017801,0.064115,10.006841,0.0018,2322,0.19009,1.0,0.91667,-0.01,-0.01198,0.00047,-0.02347,-0.32777,-0.01165
36,36864,-20.74719,74.35294,0.0,0.0,1.914362,-0.000797,12.625881,0.000519,2331,0.18045,1.0,0.83333,-0.01,-0.00895,0.0042,-0.02054,-0.40477,-0.01203
37,37888,-18.88142,71.22222,0.0,0.0,1.962522,-0.002154,14.24295,0.002386,2300,0.18052,1.0,0.84615,-0.01,-0.00576,0.00495,-0.02081,-0.43603,-0.01146
38,38912,-15.5905,38.9,0.0,0.0,2.01233,0.000143,13.109776,0.000781,2075,0.18834,1.0,0.75,-0.01,0.00556,0.00511,-0.02255,-0.39677,-0.01408
39,39936,-18.61749,58.73077,0.0,0.0,2.009443,0.073527,17.120683,0.001017,1976,0.1921,1.0,0.89474,-0.01,0.01207,0.00506,-0.01984,-0.50707,-0.01529
40,40960,-18.45293,34.41667,0.0,0.0,2.036221,0.05842,17.908595,0.008241,1930,0.19722,1.0,0.875,-0.01,0.01582,0.00573,-0.01819,-0.64463,-0.01614
41,41984,-17.72796,49.07407,0.0,0.0,2.053867,-0.001963,15.797465,0.004606,2042,0.19791,1.0,0.76923,-0.01,0.01421,0.00947,-0.01576,-0.50426,-0.01891
42,43008,-16.52288,33.86207,0.0,0.0,2.084811,-0.053496,16.0431,0.002456,1828,0.19097,1.0,0.70833,-0.01,0.01452,0.00782,-0.01847,-0.55575,-0.01723
43,44032,-17.91511,37.25,0.0,0.0,2.036192,-0.00291,18.152334,0.001635,1957,0.17571,1.0,0.9,-0.01,0.01033,0.00541,-0.01492,-0.59739,-0.01754
44,45056,-14.61267,36.55556,0.0,0.0,1.982584,-0.002985,13.641164,0.002188,2408,0.17694,1.0,0.83333,-0.01,0.00313,0.00575,-0.0165,-0.40893,-0.01501
45,46080,-16.24453,37.5,0.0,0.0,1.992413,0.002073,12.640829,0.002908,2400,0.16783,1.0,0.64286,-0.01,0.00563,0.00534,-0.01488,-0.46074,-0.01563
46,47104,-19.06269,73.80769,0.0,0.0,2.068902,-0.009486,14.577963,0.00173,2105,0.1624,1.0,0.875,-0.01,0.01428,0.00693,-0.01446,-0.58002,-0.01684
47,48128,-16.76223,34.11538,0.0,0.0,2.032813,0.058773,19.68699,0.003014,1921,0.16187,1.0,0.92308,-0.01,0.01501,0.00601,-0.01685,-0.53726,-0.01766
