iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.138806,-0.007593,0.183668,0.003674,0.769436,0.043701,0.080106,-0.26729,0.198891,-1.548696,1.689681,4.0,0.0003,0,1409,0.32849,0.44152,0.0,nan,0,0.0,0.0,,,-0.01,0.00485,-0.0224,-0.04609,-0.00047,0.0
2,2048,nan,nan,0.0,0.0,2.027104,-0.005379,0.048066,0.003922,0.741846,0.059509,0.782517,-1.40789,1.850179,-2.516075,3.243793,4.0,0.00029991,0,1442,0.32641,0.43256,0.0,nan,0,0.0,0.0,,,-0.01,0.00676,-0.02116,-0.04823,-0.00097,0.0
3,3072,-21.12262,300.0,0.0,0.0,2.06802,-0.00479,0.028571,0.003662,0.508011,0.032959,0.89865,-2.343562,3.237373,-3.289315,4.475727,4.0,0.00029982,8,1362,0.31357,0.41019,1.0,nan,0,0.0,1.0,,,-0.01,0.00705,-0.01824,-0.04573,0.0,0.0
4,4096,-13.01273,178.0,0.0,0.0,1.837868,-0.003756,0.04293,0.00272,0.420882,0.024658,0.924388,-3.33718,4.322198,-4.12347,5.200159,4.0,0.00029974,1,1452,0.25682,0.34847,0.88889,nan,0,1.0,1.0,,,-0.01,0.00588,-0.01187,-0.04335,-0.00639,-0.00223
5,5120,-16.23965,274.625,0.0,0.0,1.570759,-0.006361,0.045028,0.005919,0.382884,0.114868,0.915484,-4.286325,4.641123,-4.666104,5.235855,4.0,0.00029965,8,1436,0.26739,0.35163,0.70588,nan,0,0.625,0.98901,,,-0.01,0.00785,-0.0113,-0.0393,-0.00807,-0.01021
6,6144,-9.37724,136.33333,0.0,0.0,1.672341,-0.009534,0.052203,0.006027,0.471699,0.101135,0.916662,-4.48606,5.414669,-4.607153,5.501703,4.0,0.00029956,6,1385,0.26753,0.35822,0.52174,nan,0,1.0,1.0,,,-0.01,0.01263,-0.01302,-0.0331,-0.01557,-0.01451
7,7168,-7.20945,117.8,0.0,0.0,1.665239,-0.005756,0.045889,0.005889,0.360184,0.082214,0.92245,-5.003786,5.4438,-5.028072,5.658138,4.0,0.00029947,10,1356,0.23504,0.32119,0.36364,nan,0,1.0,0.97436,,,-0.01,0.01424,-0.00487,-0.03567,-0.01638,-0.02313
8,8192,-7.02127,114.33333,0.0,0.0,1.540465,-0.006558,0.037183,0.006393,0.404416,0.094971,0.912248,-4.822011,4.905204,-4.768615,4.849796,4.0,0.00029939,9,1403,0.23072,0.3198,0.28571,nan,0,1.0,0.92857,,,-0.01,0.01278,-0.00727,-0.03395,-0.02082,-0.02266
9,9216,-5.88239,83.08333,0.0,0.0,1.590845,-0.007182,0.041087,0.006313,0.576391,0.103088,0.895482,-5.377691,5.00722,-5.000044,4.719562,4.0,0.0002993,12,1383,0.25215,0.33837,0.22222,nan,0,1.0,1.0,,,-0.01,0.01558,-0.00396,-0.03303,-0.02326,-0.02844
10,10240,-5.62829,86.41667,0.0,0.0,1.46543,-0.005544,0.033274,0.004472,0.513836,0.065552,0.894819,-4.82633,4.415187,-4.47427,4.112337,4.0,0.00029921,12,1404,0.23428,0.32343,0.18182,nan,0,1.0,0.93333,,,-0.01,0.01415,-0.00096,-0.03116,-0.02376,-0.03003
