iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.162379,-0.010225,0.163597,0.005042,0.904994,0.063293,0.174824,0.550788,0.228724,-0.750203,1.804034,4.0,0.0003,0,1466,0.32251,0.42627,0.0,nan,0,0.0,0.0,,,-0.01,0.00494,-0.02124,-0.0477,0.0,0.0
2,2048,-17.77744,215.0,0.0,0.0,2.003506,-0.008253,0.078723,0.005079,0.712709,0.065796,0.773784,-0.761665,1.941837,-1.939188,3.184497,4.0,0.00029991,2,1519,0.29308,0.39146,0.0,nan,0,1.0,1.0,,,-0.01,0.00555,-0.01757,-0.04639,-0.00514,-0.00416
3,3072,-20.9627,300.0,0.0,0.0,2.022713,-0.006795,0.036691,0.004904,0.573206,0.042297,0.877692,-1.640048,3.018396,-2.689651,4.309411,4.0,0.00029982,6,1497,0.2907,0.38904,0.75,nan,0,0.16667,0.99567,,,-0.01,0.00462,-0.01723,-0.04749,-0.00048,0.0
4,4096,-19.9146,300.0,0.0,0.0,2.107027,-0.005335,0.016632,0.00348,0.393521,0.047791,0.929157,-2.454004,4.487125,-3.488622,5.906319,4.0,0.00029974,1,1502,0.27222,0.35815,0.77778,nan,0,0.0,1.0,,,-0.01,0.00512,-0.01167,-0.04943,0.0,0.0
5,5120,-20.62237,300.0,0.0,0.0,2.111514,-0.006816,0.015369,0.003984,0.356482,0.045593,0.95534,-3.409311,5.902192,-4.291499,7.166703,4.0,0.00029965,7,1437,0.30054,0.38599,0.875,nan,0,0.0,1.0,,,-0.01,0.00464,-0.01145,-0.04804,2e-05,0.0
6,6144,nan,nan,0.0,0.0,2.064266,-0.006998,0.007547,0.00455,0.350531,0.036194,0.967076,-4.326819,7.258851,-5.208947,8.683275,4.0,0.00029956,0,1503,0.29761,0.37988,0.875,nan,0,0.0,0.0,,,-0.01,0.00678,-0.00852,-0.05138,0.0,0.0
7,7168,-19.02044,300.0,0.0,0.0,1.979947,-0.004788,0.006922,0.004612,0.333524,0.058777,0.978254,-4.663979,8.603066,-5.465601,9.833478,4.0,0.00029947,2,1501,0.26642,0.3424,0.88889,nan,0,0.0,1.0,,,-0.01,0.00475,-0.00785,-0.04789,-0.00047,0.0
8,8192,-18.29915,300.0,0.0,0.0,1.982463,-0.007593,0.005262,0.005797,0.333229,0.077454,0.980866,-5.962035,9.868911,-6.793129,11.230819,4.0,0.00029939,6,1506,0.28152,0.35802,0.91667,nan,0,0.0,0.98958,,,-0.01,0.00562,-0.00726,-0.04873,0.0,0.0
9,9216,-18.24036,300.0,0.0,0.0,1.95101,-0.005361,0.00462,0.00387,0.324815,0.051392,0.986122,-5.938371,11.324814,-6.730447,12.57629,4.0,0.0002993,2,1543,0.30029,0.37183,0.92308,nan,0,0.0,1.0,,,-0.01,0.00505,-0.00629,-0.04962,0.0,0.0
10,10240,-18.36275,300.0,0.0,0.0,1.980649,-0.006621,0.003762,0.005114,0.338235,0.045959,0.99067,-6.910315,12.443518,-7.538995,13.493521,4.0,0.00029921,6,1524,0.33691,0.40503,0.9375,nan,0,0.0,0.98864,,,-0.01,0.00553,-0.00622,-0.04612,0.0,0.0
11,11264,-16.69957,300.0,0.0,0.0,1.93411,-0.005833,0.002376,0.004518,0.349796,0.055237,0.99093,-7.117842,13.552839,-7.878368,14.802027,4.0,0.00029912,1,1569,0.36621,0.43872,0.93939,nan,0,0.0,1.0,,,-0.01,0.00468,-0.00696,-0.04898,0.0,0.0
12,12288,-17.6653,300.0,0.0,0.0,1.961501,-0.004694,0.002717,0.003726,0.333364,0.047302,0.993189,-7.940909,14.823361,-8.615356,15.889635,4.0,0.00029903,7,1541,0.36646,0.43506,0.95,nan,0,0.0,1.0,,,-0.01,0.00506,-0.0057,-0.04782,0.0,0.0
