iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.175153,-0.008661,0.188412,0.005555,0.693601,0.065002,-0.033369,-0.0825,0.151463,-1.330186,1.642113,4.0,0.0003,0,445,0.33228,0.43652,0.0,nan,0,0.0,0.0,,,-0.01,0.0068,-0.02008,-0.04775,0.0,-0.00345,0.0
2,2048,nan,nan,0.0,0.0,2.111715,-0.005257,0.050619,0.002461,0.755823,0.018738,0.777083,-1.110909,1.901053,-2.31718,3.377033,4.0,0.00029991,0,435,0.30884,0.40747,0.0,nan,0,0.0,0.0,,,-0.01,0.00465,-0.01868,-0.05024,0.0,-0.00013,0.0
3,3072,-22.26746,300.0,0.0,0.0,2.143302,-0.006261,0.026779,0.00372,0.407874,0.031738,0.902753,-2.194162,3.375082,-3.134696,4.630532,4.0,0.00029982,8,439,0.33813,0.4353,1.0,nan,0,0.0,1.0,,,-0.01,0.0062,-0.01815,-0.0466,0.0,-0.00197,0.0
4,4096,-13.85156,178.33333,0.0,0.0,1.798827,-0.006149,0.038269,0.003443,0.373329,0.03241,0.929698,-2.918334,4.160724,-3.653668,4.875641,4.0,0.00029974,3,359,0.32739,0.42348,0.72727,nan,0,1.0,1.0,,,-0.01,0.00668,-0.01684,-0.03827,-0.00945,-0.00265,-0.0069
5,5120,-15.56046,252.57143,0.0,0.0,1.587458,-0.004102,0.039321,0.003273,0.329748,0.042358,0.929162,-3.738191,4.51792,-4.263703,5.126021,4.0,0.00029965,7,479,0.3141,0.40539,0.55556,nan,0,0.71429,1.0,,,-0.01,0.00833,-0.01477,-0.03792,-0.00849,-0.00336,-0.01268
6,6144,-10.3353,139.0,0.0,0.0,1.780974,-0.00661,0.045916,0.003681,0.322219,0.048218,0.925012,-4.930807,5.301959,-5.379988,5.76148,4.0,0.00029956,6,538,0.32025,0.41879,0.41667,nan,0,1.0,1.0,,,-0.01,0.00889,-0.01441,-0.03925,-0.0106,-0.00521,-0.01375
7,7168,-9.96398,154.25,0.0,0.0,1.81414,-0.007024,0.047155,0.003066,0.347975,0.025635,0.934367,-5.272052,5.912944,-5.499635,6.431253,4.0,0.00029947,4,488,0.28587,0.37252,0.39286,nan,0,1.0,1.0,,,-0.01,0.00886,-0.00904,-0.04103,-0.00926,-0.00239,-0.00662
8,8192,-13.05015,211.0,0.0,0.0,1.39068,-0.00402,0.022334,0.001227,0.390338,0.006958,0.956913,-4.405037,5.25967,-4.798374,5.923043,4.0,0.00029939,3,494,0.26758,0.33825,0.3871,nan,0,0.66667,0.97674,,,-0.01,0.00472,-0.00857,-0.0372,-0.00237,-0.00081,-0.00549
9,9216,-12.13937,262.33333,0.0,0.0,1.564835,-0.004683,0.013092,0.003295,0.341287,0.033813,0.973508,-4.881329,6.127204,-5.40076,6.924425,4.0,0.0002993,6,412,0.29307,0.35955,0.43243,nan,0,0.33333,0.98529,,,-0.01,0.00756,-0.0064,-0.04102,-0.00259,-0.00265,-0.00499
10,10240,-11.80776,300.0,0.0,0.0,1.770198,-0.005346,0.032537,0.004628,0.328463,0.056519,0.961475,-6.244923,7.669891,-6.671436,8.423243,4.0,0.00029921,2,376,0.28544,0.36323,0.46154,nan,0,0.0,0.94737,,,-0.01,0.00743,-0.00589,-0.04348,-0.00345,-0.00158,0.0
