iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.971664,-0.056919,0.179485,0.007496,2740,-0.01,0.00423,-0.04058,-0.00117,-0.00047,0.0
2,2048,-29.08247,237.0,0.0,0.0,1.98954,-0.059521,5.967712,0.001083,2998,-0.01,0.00426,-0.02898,-0.00084,-0.07575,-0.00056
3,3072,-21.19006,298.71429,0.0,0.0,2.008467,-0.024998,1.464185,0.001116,3014,-0.01,0.00456,-0.02793,-0.00052,-0.02276,-0.00055
4,4096,-13.34173,185.5,0.0,0.0,1.969768,-0.000984,7.776273,0.001009,3217,-0.01,0.00313,-0.02344,-0.00177,-0.08483,-0.00113
5,5120,-17.39221,262.71429,0.0,0.0,1.963769,-0.033841,0.737451,0.004875,3025,-0.01,0.00362,-0.01731,-0.00053,-0.01249,-0.00165
6,6144,-14.2729,170.5,0.0,0.0,1.95799,-0.001655,5.039134,0.000998,3207,-0.01,0.00578,-0.01661,-0.00202,-0.0632,-0.0011
7,7168,-19.82815,244.0,0.0,0.0,1.946009,-0.001748,5.16316,0.000692,3218,-0.01,0.00614,-0.01422,-0.00132,-0.07465,-0.00294
8,8192,-19.86777,210.0,0.0,0.0,1.943406,-0.057485,10.664413,0.001311,3800,-0.01,0.00513,-0.01498,-0.00207,-0.16389,-0.00222
9,9216,-20.17511,218.16667,0.0,0.0,1.928646,-0.055416,2.296868,0.001774,3361,-0.01,0.00494,-0.01585,-0.0014,-0.03247,-0.00385
10,10240,-14.83127,189.28571,0.0,0.0,1.926399,-0.001932,7.016667,0.001214,3501,-0.01,0.00742,-0.01235,-0.00144,-0.10662,-0.00401
11,11264,-16.66296,146.28571,0.0,0.0,1.90395,-0.001488,9.827286,0.001902,3529,-0.01,0.00609,-0.01642,-0.00088,-0.1504,-0.00472
12,12288,-14.7335,158.33333,0.0,0.0,1.897363,-0.004309,6.223613,0.002974,3378,-0.01,0.00762,-0.01397,-0.00062,-0.09328,-0.00382
13,13312,-12.04089,156.85714,0.0,0.0,1.876458,-0.0021,4.080527,0.002553,3294,-0.01,0.00898,-0.00596,-0.00104,-0.06986,-0.00442
14,14336,-16.23609,115.33333,0.0,0.0,1.889829,0.067813,13.315881,0.002121,3049,-0.01,0.00854,-0.00905,-0.00054,-0.17135,-0.00527
15,15360,-12.5648,110.44444,0.0,0.0,1.79295,-0.002225,8.095502,0.000928,3197,-0.01,0.01008,-0.00759,-0.00082,-0.13745,-0.00601
16,16384,-11.55201,129.0,0.0,0.0,1.72314,-0.001185,2.598979,0.000922,3486,-0.01,0.00934,-0.00802,-0.00126,-0.07438,-0.00468
17,17408,-8.7544,117.0,0.0,0.0,1.688877,-0.002936,2.040411,0.002192,3484,-0.01,0.00893,-0.00896,-0.00064,-0.07329,-0.00457
