iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,39.66528,107.16667,1.0,1.0,1.161759,-0.005252,13.532678,0.000686,2794,0.14757,-0.01,0.01096,-0.0016,-0.00172,0.00223,0.25999
2,2048,29.3911,119.85714,1.0,1.0,1.224981,-0.101603,17.462067,0.001046,3140,0.1607,-0.01,0.00955,-0.00341,-0.00048,0.00116,0.24724
3,3072,41.3331,130.28571,1.0,1.0,1.202233,-0.000952,15.429277,0.000211,3033,0.16236,-0.01,0.0081,-0.00237,-0.00104,0.00343,0.31809
4,4096,29.55264,119.0,0.875,0.96429,1.160352,-0.00064,17.370812,0.000302,3086,0.16203,-0.01,0.00899,-0.00412,-0.0007,-0.00541,0.27471
5,5120,30.44306,141.25,0.875,0.94444,1.173824,0.029787,20.000344,0.000113,3127,0.16662,-0.01,0.00814,-0.00207,-0.00116,-0.02406,0.29962
6,6144,19.66842,116.75,0.875,0.93182,1.195701,-0.000701,23.267731,0.000292,3639,0.15211,-0.01,0.00713,-0.00282,-0.00079,-0.02935,0.25389
7,7168,13.88175,153.5,0.5,0.86538,1.164265,-0.00068,27.374178,0.000194,3129,0.14695,-0.01,0.00894,-0.00114,-0.00158,-0.03143,0.17264
8,8192,27.68525,109.77778,0.88889,0.86885,1.158372,0.069689,16.938671,0.000844,3190,0.16869,-0.01,0.00847,-0.00111,-0.0017,-0.00141,0.32087
9,9216,22.89426,146.85714,0.71429,0.85294,1.160632,0.124511,27.116311,0.000191,3296,0.16985,-0.01,0.00755,-0.00312,-0.00151,-0.00689,0.21293
10,10240,36.32252,122.4,0.9,0.85897,1.172132,0.000106,20.757636,0.000384,2983,0.139,-0.01,0.00912,0.00075,-0.00144,-0.00457,0.41162
11,11264,43.54319,108.5,1.0,0.87209,1.203219,0.000257,14.3152,0.000604,2919,0.14537,-0.01,0.00893,-0.00142,-0.00192,0.006,0.3701
