iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.139493,-0.009708,0.246183,0.007212,1.018176,0.084412,-0.049807,0.379304,0.201807,-0.881831,1.539165,4.0,0.0003,0,1516,0.32354,0.42825,0.0,0.0,0.0,,,-0.01,0.00549,-0.02177,-0.04699,-0.00047,0.0
2,2048,-14.99158,192.0,0.0,0.0,1.797254,-0.005384,0.083056,0.001379,0.724031,0.010376,0.739001,-0.79765,1.469866,-1.779912,2.626585,4.0,0.00029988,1,1584,0.30378,0.40803,0.0,1.0,0.96552,,,-0.01,0.00676,-0.02079,-0.04276,-0.0055,-0.00231
3,3072,-19.28097,297.57143,0.0,0.0,1.901249,-0.007658,0.045038,0.004557,0.415151,0.074524,0.871764,-1.745167,2.668721,-2.590273,3.784587,4.0,0.00029975,7,1511,0.31863,0.41345,0.75,0.42857,1.0,,,-0.01,0.00686,-0.0164,-0.04319,-0.0034,-0.00221
4,4096,-15.96365,203.0,0.0,0.0,1.604149,-0.005706,0.04231,0.003186,0.460436,0.037476,0.919276,-2.24396,3.470552,-2.911431,4.267365,4.0,0.00029963,1,1615,0.26637,0.3719,0.66667,1.0,0.96,,,-0.01,0.00653,-0.01692,-0.03908,-0.00607,-0.00254
5,5120,-13.35272,281.57143,0.0,0.0,1.409069,-0.008687,0.03126,0.005303,0.375524,0.082825,0.938143,-2.864655,4.136317,-3.310132,4.927941,4.0,0.00029951,7,1605,0.25478,0.34585,0.6875,0.42857,0.97175,,,-0.01,0.00822,-0.0137,-0.03583,-0.00594,-0.00567
6,6144,-11.3186,161.25,0.0,0.0,1.762265,-0.006572,0.063415,0.004688,0.348021,0.066162,0.922585,-4.025416,5.398895,-4.374717,5.616149,4.0,0.00029939,8,1453,0.24964,0.34508,0.45833,1.0,0.97753,,,-0.01,0.00968,-0.00816,-0.03982,-0.01344,-0.01834
7,7168,-8.47633,133.625,0.0,0.0,1.696324,-0.004626,0.049121,0.004763,0.379886,0.066406,0.91981,-4.220908,4.97225,-4.41282,5.080859,4.0,0.00029926,8,1370,0.23903,0.336,0.34375,1.0,0.98305,,,-0.01,0.01194,-0.00751,-0.03582,-0.01545,-0.01898
8,8192,-6.80271,105.375,0.0,0.0,1.672989,-0.005319,0.043961,0.004911,0.395612,0.037903,0.917157,-4.547644,4.881563,-4.519197,4.90834,4.0,0.00029914,8,1504,0.22394,0.31423,0.275,1.0,0.95652,,,-0.01,0.01135,-0.00463,-0.03642,-0.0166,-0.01901
9,9216,-6.7428,106.3,0.0,0.0,1.634185,-0.005044,0.034517,0.002817,0.375411,0.024597,0.937094,-4.440881,4.702081,-4.551603,5.036964,4.0,0.00029902,10,1497,0.22868,0.31395,0.22,1.0,0.97297,,,-0.01,0.0108,-0.00438,-0.0359,-0.01514,-0.0241
10,10240,-7.19078,126.5,0.0,0.0,1.375013,-0.004134,0.037503,0.004745,0.380171,0.064819,0.892434,-3.709567,4.312478,-3.609746,4.135451,4.0,0.00029889,8,1566,0.20525,0.2939,0.18966,1.0,1.0,,,-0.01,0.01098,-0.00301,-0.03146,-0.0211,-0.02182
11,11264,9.59936,115.55556,0.22222,0.02985,1.501326,-0.000957,0.990433,0.000602,0.932852,0.001831,0.278097,-3.983845,4.388075,-2.431568,8.78587,4.0,0.00029877,9,1526,0.20428,0.28563,0.16418,0.88889,0.91667,,,-0.01,0.01193,-0.00307,-0.03277,-0.0102,0.15486
12,12288,14.1025,125.71429,0.28571,0.05405,1.29181,-0.002532,1.200384,0.003508,1.01002,0.064392,0.235925,-1.984505,4.777054,0.44223,10.638531,4.0,0.00029865,7,1594,0.19914,0.28489,0.14865,0.71429,1.0,,,-0.01,0.01078,-0.00596,-0.03266,-0.01428,0.18759
13,13312,18.39608,147.16667,0.33333,0.075,1.137341,-0.001285,0.802603,0.002666,0.965211,0.036133,0.312275,2.754648,6.452153,5.741415,10.729783,4.0,0.00029853,6,1663,0.21029,0.28307,0.15,0.66667,0.9375,,,-0.01,0.01196,-0.00326,-0.02617,-0.0047,0.21295
14,14336,-6.19967,146.66667,0.0,0.06742,1.487708,-0.003568,0.111406,0.004049,0.46714,0.035095,0.565355,2.394839,7.199778,2.440204,5.75706,4.0,0.0002984,9,1440,0.2307,0.31935,0.1573,0.88889,0.96,,,-0.01,0.01315,-0.00384,-0.03459,-0.013,-0.01779
