iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.382132,-0.007378,0.296261,0.005924,1.3126,0.050572,0.126193,0.597513,0.205475,0.023258,1.397802,4.0,0.0003,0,555,0.26576,0.36203,0.0,nan,0.0,0.0,,,-0.01,0.00543,-0.00453,-0.025,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.174456,-0.005123,0.128004,0.002791,0.679591,0.028599,0.658806,0.245036,1.010192,-0.304248,1.98121,4.0,0.0002999,0,760,0.24768,0.348,0.0,nan,0.0,0.0,,,-0.01,0.00451,-0.00433,-0.02169,-0.00432,0.0
3,3072,nan,nan,0.0,0.0,1.392747,-0.005166,0.075355,0.002892,0.391866,0.031878,0.856332,-0.272946,1.96084,-0.729261,2.541988,4.0,0.0002998,0,856,0.24786,0.37359,0.0,nan,0.0,0.0,,,-0.01,0.00349,-0.00492,-0.01996,-0.00822,0.0
4,4096,-13.07887,450.0,0.0,0.0,1.635878,-0.006093,0.05098,0.004124,0.288728,0.055455,0.895131,-0.908562,2.381749,-1.289965,3.075784,4.0,0.00029969,8,830,0.25595,0.35042,1.0,nan,0.5,0.76647,,,-0.01,0.00559,-0.00555,-0.02875,-0.00164,0.0
5,5120,nan,nan,0.0,0.0,1.546611,-0.004729,0.042803,0.003826,0.36823,0.049526,0.942366,-0.818426,3.239213,-1.147171,3.637613,4.0,0.00029959,0,816,0.24328,0.3418,1.0,nan,0.0,0.0,,,-0.01,0.00658,-0.00222,-0.01413,-0.01554,0.0
6,6144,-8.47355,283.0,0.0,0.0,0.556626,-0.005123,0.030475,0.002286,0.267099,0.037912,0.939319,-1.296307,2.840509,-1.519005,2.94755,4.0,0.00029949,2,986,0.21898,0.31587,0.8,nan,1.0,0.83784,,,-0.01,0.00933,-0.0097,-0.0204,-0.01401,-0.01384
7,7168,-8.83733,352.25,0.0,0.0,1.137388,-0.004203,0.040313,0.002893,0.250588,0.04248,0.934194,-1.573132,3.13044,-1.786685,3.361707,4.0,0.00029939,4,875,0.237,0.32574,0.57143,nan,1.0,0.77358,,,-0.01,0.0094,-0.0023,-0.01777,-0.01185,-0.01501
8,8192,-6.76311,258.33333,0.0,0.0,1.480121,-0.003345,0.057777,0.001805,0.246381,0.016811,0.919065,-1.820248,3.541765,-2.193294,3.806057,4.0,0.00029928,6,807,0.23067,0.33167,0.5,nan,1.0,0.8,,,-0.01,0.00823,-0.00045,-0.01959,-0.01709,-0.01164
9,9216,8.48729,181.2,0.2,0.04,0.96318,-0.000719,1.690591,0.000883,1.248071,0.003244,0.128546,-2.263655,3.146137,-1.110805,7.78164,4.0,0.00029918,5,890,0.24216,0.33407,0.4,1.0,1.0,0.75,,,-0.01,0.00757,-0.00407,-0.02004,-0.0186,0.13755
10,10240,-6.63614,267.5,0.0,0.03226,1.229098,-0.00395,0.063185,0.002532,0.719564,0.034598,0.872752,-1.094404,3.477524,-1.348123,3.435583,4.0,0.00029908,6,849,0.25963,0.35425,0.3871,1.0,1.0,0.74227,,,-0.01,0.00773,-0.00189,-0.0183,-0.01505,-0.01428
11,11264,-6.18153,158.8,0.0,0.02778,1.29601,-0.003913,0.058409,0.003559,0.49337,0.052699,0.816782,-0.684442,3.474553,-0.82893,3.31009,4.0,0.00029898,5,825,0.24894,0.34238,0.33333,1.0,1.0,0.7,,,-0.01,0.01069,-0.00159,-0.01684,-0.02074,-0.01652
