iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.357648,-0.007905,0.360899,0.008391,1.350898,0.123884,0.031722,0.663982,0.31723,0.021966,1.223169,4.0,0.0003,0,716,0.27526,0.37374,0.0,nan,0.0,0.0,,,-0.01,0.00495,-0.00658,-0.02423,-0.00145,0.0
2,2048,nan,nan,0.0,0.0,2.119432,-0.003804,0.142083,0.001803,0.832295,0.005511,0.596141,0.188015,0.80688,-0.314751,1.822734,4.0,0.0002999,0,777,0.28072,0.3758,0.0,nan,0.0,0.0,,,-0.01,0.00559,-0.00533,-0.0238,-0.00017,0.0
3,3072,nan,nan,0.0,0.0,2.003266,-0.004677,0.082169,0.003918,0.549147,0.052281,0.81654,-0.265128,1.863283,-0.778862,2.827968,4.0,0.0002998,0,771,0.26299,0.35222,0.0,nan,0.0,0.0,,,-0.01,0.0051,-0.00486,-0.02292,-0.00293,0.0
4,4096,-14.0888,450.0,0.0,0.0,1.976411,-0.003374,0.048182,0.001715,0.389683,0.010428,0.905035,-0.721319,2.676021,-1.06509,3.440298,4.0,0.00029969,8,726,0.28792,0.39002,1.0,nan,0.25,0.7921,,,-0.01,0.00616,-0.00177,-0.0239,-0.00309,0.0
5,5120,nan,nan,0.0,0.0,1.599347,-0.005383,0.043713,0.003749,0.349359,0.057547,0.938543,-0.745792,3.482876,-1.123753,4.025649,4.0,0.00029959,0,761,0.2849,0.39595,1.0,nan,0.0,0.0,,,-0.01,0.00634,-0.00302,-0.01884,-0.01095,0.0
6,6144,-9.3969,286.0,0.0,0.0,0.905196,-0.003574,0.046166,0.001547,0.227271,0.022531,0.936711,-1.104467,3.70101,-1.453137,4.043598,4.0,0.00029949,2,869,0.29183,0.40359,0.8,nan,1.0,0.83607,,,-0.01,0.00701,-0.00775,-0.0293,-0.00673,-0.00915
7,7168,-9.99075,363.0,0.0,0.0,0.916842,-0.004007,0.037785,0.001787,0.221938,0.020229,0.937628,-1.577601,3.595654,-1.814663,3.758566,4.0,0.00029939,1,892,0.2487,0.3369,0.72727,nan,1.0,0.83333,,,-0.01,0.00565,-0.00351,-0.01765,-0.00929,-0.00454
8,8192,-7.7016,346.125,0.0,0.0,1.562586,-0.004405,0.058232,0.001916,0.265016,0.021136,0.925128,-1.763903,4.205723,-2.083955,4.546798,4.0,0.00029928,8,757,0.28349,0.39058,0.68421,nan,0.75,0.70896,,,-0.01,0.00878,-0.00058,-0.01874,-0.01246,-0.00849
9,9216,-8.36673,270.5,0.0,0.0,1.069976,-0.005192,0.053918,0.002715,0.240709,0.034668,0.907305,-2.310118,3.886845,-2.636238,4.013459,4.0,0.00029918,2,837,0.25878,0.3501,0.61905,nan,1.0,0.71111,,,-0.01,0.00868,-0.00229,-0.01932,-0.0129,-0.00787
10,10240,-7.45329,288.0,0.0,0.0,0.963243,-0.006694,0.02264,0.002792,0.267201,0.037563,0.953714,-2.819066,3.602771,-3.000765,3.862116,4.0,0.00029908,1,874,0.25745,0.34681,0.59091,nan,1.0,0.76923,,,-0.01,0.00696,-0.00527,-0.02003,-0.00532,-0.00426
11,11264,-6.75067,450.0,0.0,0.0,0.829242,-0.003997,0.020591,0.00265,0.253321,0.035261,0.952791,-2.880575,3.503487,-3.084796,3.889486,4.0,0.00029898,3,906,0.26342,0.34475,0.64,nan,1.0,0.7732,,,-0.01,0.0051,-0.00809,-0.02357,-0.00362,0.0
12,12288,-8.08864,450.0,0.0,0.0,1.208749,-0.004828,0.027266,0.002744,0.260953,0.030134,0.957967,-3.283948,4.35236,-3.378298,4.677146,4.0,0.00029887,2,835,0.29548,0.3746,0.66667,nan,0.5,0.81818,,,-0.01,0.00826,2e-05,-0.01848,-0.00526,0.0
13,13312,-6.44849,382.75,0.0,0.0,1.01551,-0.005354,0.038693,0.003357,0.332152,0.056501,0.940871,-3.207237,4.436038,-3.331628,4.66206,4.0,0.00029877,4,837,0.28059,0.37214,0.67742,nan,0.75,0.74684,,,-0.01,0.00834,0.00016,-0.021,-0.00612,-0.00396
14,14336,-6.07227,153.0,0.0,0.0,0.901765,-0.00352,0.020398,0.001546,0.254188,0.016009,0.966174,-3.060218,4.490031,-3.128221,4.771374,4.0,0.00029867,1,859,0.30612,0.38584,0.65625,nan,1.0,0.57143,,,-0.01,0.00869,-0.00186,-0.02073,-0.00914,-0.00446
15,15360,7.04138,427.2,0.2,0.02703,1.053661,-0.001458,0.975676,0.001153,0.839569,0.00715,0.397624,-3.146855,5.141999,-1.945459,8.450436,4.0,0.00029857,5,856,0.31906,0.41312,0.67568,0.0,0.8,0.6,,,-0.01,0.00988,0.00053,-0.02132,-0.00698,0.12182
16,16384,4.44002,204.71429,0.14286,0.04545,1.252404,-0.00205,0.671613,0.004461,0.506402,0.084891,0.504296,-3.626756,5.648654,-2.987537,8.018716,4.0,0.00029846,7,829,0.33248,0.4258,0.56818,0.0,0.85714,0.49091,,,-0.01,0.01089,0.00202,-0.01449,-0.01345,0.08754
17,17408,-5.33832,238.33333,0.0,0.04255,1.044155,-0.003968,0.063765,0.002533,0.455459,0.025286,0.889364,-2.679771,5.580908,-2.237495,5.3579,4.0,0.00029836,3,859,0.27948,0.36944,0.55319,0.0,0.66667,0.81818,,,-0.01,0.01124,-0.00093,-0.01711,-0.0095,-0.00745
18,18432,62.75445,288.0,1.0,0.0625,1.0365,-0.000975,0.696227,0.001118,0.867821,0.009487,0.443999,-1.224848,5.363746,0.26847,8.490675,4.0,0.00029826,1,885,0.29352,0.37315,0.54167,0.0,1.0,0.57143,,,-0.01,0.00898,0.00257,-0.02006,-0.00566,0.11985
19,19456,-6.06621,387.66667,0.0,0.05882,0.671661,-0.004395,0.040464,0.002481,0.325753,0.034807,0.946243,2.707681,6.544097,2.837754,6.351363,4.0,0.00029816,3,982,0.24964,0.32112,0.54902,0.0,1.0,0.675,,,-0.01,0.00531,-0.00072,-0.02005,-0.00284,-0.00498
20,20480,-4.63557,333.0,0.0,0.05556,0.79537,-0.004354,0.031556,0.002238,0.310101,0.0354,0.951019,1.594551,7.085874,1.946951,6.648932,4.0,0.00029805,3,925,0.27121,0.34847,0.55556,0.0,1.0,0.52941,,,-0.01,0.00962,-0.00103,-0.0161,-0.01178,-0.00442
