iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.37386,-0.001908,0.718879,0.002998,1812,0.04562,0.0,0.0,-0.01,0.00919,0.00033,-0.00169,0.0,0.0
2,2048,69.19119,190.5,1.0,1.0,1.41395,0.002162,19.620944,0.002919,1786,0.06794,0.0,0.41892,-0.01,0.01041,0.00358,-0.00133,0.0,0.54002
3,3072,71.61865,159.25,1.0,1.0,1.387622,0.002231,16.075896,0.005194,1768,0.06376,0.0,0.14286,-0.01,0.01384,0.00628,-0.00039,0.0,0.54848
4,4096,67.64207,152.33333,1.0,1.0,1.390581,0.000439,16.077218,0.00435,1816,0.06657,0.0,0.38462,-0.01,0.01228,0.00297,-0.0016,-0.00029,0.19666
5,5120,65.23651,172.83333,1.0,1.0,1.331289,0.003198,38.266643,0.005385,1856,0.06752,0.0,0.33871,-0.01,0.01175,0.00605,-0.00159,-0.02288,0.39814
6,6144,60.99612,161.57143,1.0,1.0,1.321665,0.033755,13.711891,0.003167,1837,0.07041,0.14286,0.25758,-0.01,0.00959,0.00338,-0.00233,4e-05,0.44906
7,7168,43.6924,119.5,1.0,1.0,1.288637,0.038709,50.722938,0.001802,1867,0.07315,0.5,0.275,-0.01,0.00895,0.00228,-0.00345,-0.09932,0.35159
8,8192,50.59216,153.25,0.91667,0.98,1.223875,0.093764,54.735787,0.004217,1843,0.0601,0.25,0.58491,-0.01,0.00852,0.00229,-0.00323,-0.06462,0.69973
9,9216,45.16972,107.5,1.0,0.98276,1.190415,-0.001862,39.47469,0.002701,1895,0.04733,0.375,0.2,-0.01,0.01124,0.00389,-0.0028,-0.06796,0.45198
10,10240,54.19947,115.44444,1.0,0.98507,1.259061,0.000279,37.37376,0.004461,1870,0.05852,0.33333,0.45,-0.01,0.00746,0.0014,-0.00355,-0.10475,0.58166
11,11264,61.77566,126.0,1.0,0.98649,1.288797,0.062837,21.268829,0.001718,1907,0.06774,0.14286,0.43243,-0.01,0.00838,0.00197,-0.00328,0.00253,0.49015
12,12288,64.65361,109.28571,1.0,0.98765,1.225964,-0.021936,32.998726,0.000488,1908,0.06377,0.14286,0.22857,-0.01,0.00996,0.00391,-0.0029,-0.10494,0.50406
13,13312,45.78478,152.625,0.875,0.97753,1.23392,0.001376,27.673108,0.00155,2065,0.07122,0.375,0.14706,-0.01,0.00933,-0.00166,-0.00268,-0.00041,0.52294
14,14336,56.85847,124.14286,0.85714,0.96875,1.231526,0.202523,46.894085,0.000561,1825,0.05798,0.14286,0.80583,-0.01,0.00956,0.00301,-0.00361,-0.04997,0.43104
15,15360,61.11217,118.45455,1.0,0.97,1.249162,0.008833,16.468004,0.002249,1767,0.05606,0.27273,0.37179,-0.01,0.00874,0.00387,-0.00397,-0.04978,0.74583
16,16384,52.68393,116.11111,1.0,0.97,1.167725,8e-05,29.699517,0.001448,1893,0.05432,0.33333,0.5493,-0.01,0.00759,0.00173,-0.00337,-0.03312,0.55378
17,17408,71.77177,103.77778,1.0,0.97,1.160139,-0.000604,12.093078,0.001332,1835,0.05101,0.0,0.29268,-0.01,0.00686,0.0032,-0.00394,0.00038,0.63822
18,18432,64.24996,100.9,1.0,0.97,1.196188,-0.117035,27.679105,0.000874,1781,0.05889,0.2,0.40816,-0.01,0.00734,0.00254,-0.00371,-0.04488,0.67997
19,19456,67.00505,111.88889,1.0,0.97,1.170309,-0.002172,35.947014,0.002061,2007,0.05995,0.0,0.48529,-0.01,0.00764,0.00205,-0.00344,-0.04938,0.64332
20,20480,51.5011,105.90909,1.0,0.98,1.086945,0.015375,35.745619,0.001748,2055,0.05354,0.36364,0.58462,-0.01,0.00715,0.00094,-0.00324,-0.0818,0.70816
21,21504,58.61467,125.625,0.875,0.97,1.01342,0.03327,16.336236,0.001861,2205,0.05681,0.125,0.81928,-0.01,0.00482,-0.00152,-0.00293,-0.0008,0.54089
22,22528,70.0193,97.375,1.0,0.97,1.120188,-0.039504,11.170643,0.000513,2018,0.05205,0.0,0.75385,-0.01,0.00501,-0.00073,-0.00389,-0.00032,0.55524
23,23552,70.62967,123.8,1.0,0.97,1.046558,-0.015359,15.457556,0.000684,1980,0.05321,0.0,0.45455,-0.01,0.00794,0.0023,-0.00329,-0.02386,0.69954
24,24576,71.82566,95.8,1.0,0.99,1.095039,0.000441,19.175695,0.000621,2067,0.06467,0.0,0.54237,-0.01,0.00504,-0.00287,-0.00338,-0.00027,0.73244
25,25600,54.51662,123.5,0.875,0.98,1.083989,-0.045946,21.553354,0.002761,2102,0.07381,0.125,0.81871,-0.01,0.00675,-0.00235,-0.00358,-0.00031,0.49662
26,26624,66.27724,104.75,1.0,0.98,1.035736,0.000776,18.826795,0.000889,2009,0.05256,0.0,0.71333,-0.01,0.00717,-0.00182,-0.00309,-0.00037,0.81301
27,27648,71.49825,95.55556,1.0,0.98,1.075583,0.00055,12.966521,0.001422,2020,0.06994,0.0,0.63462,-0.01,0.00565,0.00011,-0.0038,0.00176,0.65139
28,28672,67.54554,104.0,1.0,0.98,1.130082,-0.00025,27.83407,0.000665,2215,0.07901,0.0,0.78889,-0.01,0.00605,-0.00622,-0.00353,-0.07297,0.61132
