iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.39311,-0.007364,0.211009,0.006292,0.531986,0.0994,0.135155,-0.025561,0.250798,-0.596216,1.386379,4.0,0.0003,0,843,0.27274,0.37402,0.0,nan,0.0,0.0,,,-0.01,0.00555,-0.00371,-0.02589,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.319962,-0.004066,0.084568,0.002123,0.404399,0.008929,0.72359,-0.593404,1.279376,-1.071839,2.298275,4.0,0.0002999,0,849,0.25827,0.35277,0.0,nan,0.0,0.0,,,-0.01,0.00494,-0.00076,-0.02186,-0.00132,0.0
3,3072,nan,nan,0.0,0.0,1.797869,-0.003719,0.065815,0.002708,0.344465,0.025216,0.865434,-1.068822,2.251299,-1.488335,3.030372,4.0,0.0002998,0,889,0.23445,0.34167,0.0,nan,0.0,0.0,,,-0.01,0.00456,-0.00166,-0.01738,-0.00766,0.0
4,4096,-12.92188,450.0,0.0,0.0,1.805251,-0.005892,0.036852,0.003868,0.29409,0.046561,0.917813,-1.432149,2.960174,-1.83504,3.77929,4.0,0.00029969,8,877,0.29097,0.39526,1.0,nan,0.25,0.7081,,,-0.01,0.00659,-0.00302,-0.02773,-0.00203,0.0
5,5120,nan,nan,0.0,0.0,1.572822,-0.004613,0.034272,0.003134,0.275627,0.036203,0.953172,-1.645533,3.82544,-1.991925,4.200807,4.0,0.00029959,0,915,0.29326,0.39987,1.0,nan,0.0,0.0,,,-0.01,0.00674,-0.00459,-0.01277,-0.01372,0.0
6,6144,-8.39625,272.5,0.0,0.0,0.972669,-0.00278,0.048426,0.001186,0.247529,0.010638,0.927912,-2.015365,3.895685,-2.338039,4.097475,4.0,0.00029949,4,1018,0.23863,0.34571,0.66667,nan,1.0,0.68142,,,-0.01,0.00777,-0.00468,-0.02691,-0.00998,-0.01733
7,7168,-6.99362,224.33333,0.0,0.0,1.209136,-0.003601,0.03505,0.001653,0.25007,0.019985,0.935442,-2.699584,3.714945,-2.925663,3.793998,4.0,0.00029939,3,963,0.25364,0.34807,0.53333,nan,1.0,0.73134,,,-0.01,0.00836,-0.00671,-0.01441,-0.01554,-0.01093
8,8192,-7.33465,290.5,0.0,0.0,1.567334,-0.004538,0.041064,0.002577,0.274471,0.031215,0.926232,-2.942551,3.731162,-3.266089,3.95842,4.0,0.00029928,6,880,0.25937,0.36023,0.52381,nan,1.0,0.80882,,,-0.01,0.00932,-0.00329,-0.01608,-0.01751,-0.00865
9,9216,-6.50438,209.4,0.0,0.0,1.019884,-0.003079,0.037261,0.001547,0.237376,0.019566,0.896456,-3.418664,3.298217,-3.500019,3.283001,4.0,0.00029918,5,973,0.25015,0.35292,0.42308,nan,1.0,0.81818,,,-0.01,0.00923,-0.00238,-0.01416,-0.01844,-0.0211
10,10240,-6.73238,266.5,0.0,0.0,1.423953,-0.005727,0.02944,0.004408,0.250881,0.070278,0.933641,-3.49395,3.383466,-3.613385,3.521126,4.0,0.00029908,4,914,0.23404,0.32824,0.4,nan,1.0,0.81967,,,-0.01,0.00981,-0.00069,-0.01178,-0.01645,-0.00931
