iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.364319,-0.007318,0.292971,0.004601,0.930971,0.038539,0.039171,0.498007,0.178758,-0.136931,1.341248,4.0,0.0003,0,652,0.2743,0.3718,0.0,nan,0,0.0,0.0,,,-0.01,0.00476,-0.00183,-0.02876,-0.00083,0.0
2,2048,-10.59046,243.0,0.0,0.0,2.053944,-0.003711,0.115852,0.002232,0.508877,0.010428,0.68352,-0.161938,1.096234,-0.722709,2.044943,4.0,0.0002999,1,674,0.27617,0.38006,0.0,nan,0,1.0,0.70968,,,-0.01,0.00525,-0.00356,-0.02453,-0.00435,-0.00225
3,3072,nan,nan,0.0,0.0,1.816797,-0.00435,0.084868,0.00276,0.43898,0.042097,0.825872,-0.681288,1.980352,-1.141478,2.889397,4.0,0.0002998,0,729,0.25431,0.36218,0.0,nan,0,0.0,0.0,,,-0.01,0.00525,-0.00062,-0.02624,-0.00506,0.0
4,4096,-14.35304,450.0,0.0,0.0,1.756927,-0.004712,0.043332,0.00236,0.34448,0.036935,0.910189,-1.011415,2.804796,-1.431774,3.606534,4.0,0.00029969,7,611,0.25059,0.35444,0.875,nan,0,0.57143,0.70757,,,-0.01,0.00485,-0.00469,-0.02895,-0.0023,0.0
5,5120,-6.506,163.0,0.0,0.0,1.618374,-0.005836,0.039178,0.003339,0.341293,0.048514,0.939621,-1.141845,3.668366,-1.503256,4.299544,4.0,0.00029959,1,737,0.25518,0.36443,0.77778,nan,0,1.0,0.59091,,,-0.01,0.00559,-0.00527,-0.02358,-0.01114,-0.00279
6,6144,-10.68994,335.33333,0.0,0.0,1.270445,-0.004338,0.042667,0.004098,0.392621,0.054757,0.942212,-1.052632,4.071064,-1.515297,4.599434,4.0,0.00029949,3,791,0.24135,0.34969,0.66667,nan,0,0.66667,0.72727,,,-0.01,0.00567,-0.00746,-0.02765,-0.00388,-0.00664
7,7168,-9.9932,318.66667,0.0,0.0,1.088565,-0.002953,0.065727,0.001898,0.310772,0.021729,0.876497,-2.19205,3.837065,-2.55675,3.8469,4.0,0.00029939,3,802,0.27077,0.38418,0.53333,nan,0,1.0,0.84158,,,-0.01,0.00841,-0.00437,-0.01918,-0.01725,-0.01191
8,8192,-8.99219,279.4,0.0,0.0,1.40592,-0.004013,0.038748,0.002278,0.203045,0.035784,0.931884,-2.6782,3.825566,-2.947881,4.037193,4.0,0.00029928,5,758,0.28687,0.3974,0.5,nan,0,1.0,0.79581,,,-0.01,0.0093,-0.00613,-0.01738,-0.01479,-0.0094
9,9216,-7.07672,268.2,0.0,0.0,1.183129,-0.004829,0.041059,0.002454,0.252863,0.032959,0.910814,-2.91958,3.565079,-3.139385,3.665871,4.0,0.00029918,5,776,0.26999,0.37747,0.44,nan,0,1.0,0.79528,,,-0.01,0.00889,-0.00425,-0.02063,-0.01537,-0.01454
10,10240,8.39367,144.6,0.2,0.03333,1.087305,-0.001545,1.322648,0.001236,1.269194,0.005441,0.207521,-3.176062,3.622774,-2.029949,7.895177,4.0,0.00029908,5,804,0.26736,0.37936,0.36667,0.0,1,1.0,0.75309,,,-0.01,0.00968,-0.00416,-0.0186,-0.01775,0.11747
11,11264,-6.79511,254.4,0.0,0.02857,0.918076,-0.003766,0.033353,0.002658,0.288405,0.028495,0.881269,-1.320598,3.230796,-1.529021,3.175677,4.0,0.00029898,5,778,0.25587,0.36032,0.37143,0.0,1,1.0,0.88189,,,-0.01,0.01052,-0.00735,-0.01645,-0.02163,-0.01298
12,12288,-5.09747,119.0,0.0,0.02632,0.816537,-0.003233,0.025541,0.002234,0.208232,0.023751,0.906706,-1.41253,3.108311,-1.537016,3.26028,4.0,0.00029887,3,727,0.26231,0.37688,0.34211,0.0,1,1.0,0.74194,,,-0.01,0.00998,-0.01315,-0.01838,-0.02008,-0.01467
13,13312,-6.63983,359.0,0.0,0.02381,0.586515,-0.003803,0.015493,0.001619,0.212481,0.021519,0.951107,-0.885355,3.259028,-0.999753,3.509686,4.0,0.00029877,4,926,0.289,0.38932,0.38095,0.0,1,1.0,0.88,,,-0.01,0.00761,-0.01441,-0.01641,-0.01523,-0.00644
