iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.395026,-0.003223,0.323939,0.000925,0.769627,0.0,0.165563,0.304215,0.291866,-0.25281,1.364226,4.0,0.0001,0,775,0.27999,0.37932,0.0,0.0,0.0,,,-0.01,0.00525,-0.00289,-0.02409,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.347321,-0.001145,0.221165,0.000298,0.582137,0.0,0.466291,-0.338344,0.67689,-0.900864,1.839335,4.0,9.997e-05,0,802,0.2514,0.34752,0.0,0.0,0.0,,,-0.01,0.00425,-0.00308,-0.02603,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.292521,-0.001631,0.137111,0.000199,0.412518,0.0,0.691231,-0.979061,1.256149,-1.504892,2.21442,4.0,9.993e-05,0,846,0.242,0.33989,0.0,0.0,0.0,,,-0.01,0.00453,-0.00522,-0.02101,-0.00155,0.0
4,4096,-14.69494,450.0,0.0,0.0,2.257115,-0.001886,0.087451,0.00042,0.289515,0.0,0.815494,-1.532253,1.850291,-1.922424,2.735523,4.0,9.99e-05,8,826,0.25701,0.35203,1.0,0.125,0.7432,,,-0.01,0.005,-0.00319,-0.02362,-0.00037,0.0
5,5120,nan,nan,0.0,0.0,2.366623,-0.001431,0.062549,0.000746,0.319471,0.0,0.872133,-1.879951,2.5675,-2.424756,3.581403,4.0,9.986e-05,0,828,0.24135,0.33136,1.0,0.0,0.0,,,-0.01,0.00401,-0.00416,-0.02368,-1e-05,0.0
6,6144,nan,nan,0.0,0.0,2.267246,-0.002308,0.049535,0.001299,0.287042,0.000279,0.911159,-2.429794,3.41026,-2.95977,4.396307,4.0,9.983e-05,0,848,0.23912,0.3286,1.0,0.0,0.0,,,-0.01,0.005,-0.00429,-0.0254,-0.00103,0.0
7,7168,nan,nan,0.0,0.0,2.11065,-0.003577,0.035526,0.003246,0.29019,0.025984,0.934485,-2.994045,4.271791,-3.481605,5.321162,4.0,9.98e-05,0,862,0.22905,0.32395,1.0,0.0,0.0,,,-0.01,0.0033,-0.00212,-0.02655,-0.00108,0.0
8,8192,-15.0382,450.0,0.0,0.0,2.286927,-0.002525,0.035596,0.001523,0.296272,0.006243,0.947817,-3.284906,5.053766,-3.741159,5.981332,4.0,9.976e-05,8,819,0.24301,0.32776,1.0,0.0,0.73592,,,-0.01,0.00445,-0.00137,-0.02488,-0.00038,0.0
9,9216,nan,nan,0.0,0.0,1.94535,-0.002369,0.043872,0.001227,0.247516,0.001081,0.952522,-3.785687,5.897151,-4.251497,6.545032,4.0,9.973e-05,0,819,0.2446,0.3369,1.0,0.0,0.0,,,-0.01,0.00459,-0.00206,-0.01855,-0.00642,0.0
10,10240,-8.39055,296.0,0.0,0.0,1.412794,-0.001203,0.039708,0.000263,0.238494,0.0,0.956755,-4.62695,6.278019,-4.899921,6.668877,4.0,9.969e-05,1,920,0.25275,0.34254,0.94118,1.0,0.6,,,-0.01,0.00542,-0.00099,-0.02047,-0.00608,-0.00302
