iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.391974,-0.006701,0.308322,0.005798,0.754807,0.060477,-0.047239,-0.287825,0.196715,-1.058642,1.348363,4.0,0.0003,0,681,0.27916,0.375,0.0,nan,0,0.0,0.0,,,-0.01,0.00429,-0.00181,-0.0286,0.0,-0.01459,0.0
2,2048,nan,nan,0.0,0.0,2.323755,-0.003627,0.110099,0.001602,0.556932,0.00286,0.691772,-0.885736,1.08693,-1.339772,1.995686,4.0,0.0002999,0,701,0.28174,0.38229,0.0,nan,0,0.0,0.0,,,-0.01,0.0058,-0.00198,-0.01992,-0.00396,-0.00186,0.0
3,3072,nan,nan,0.0,0.0,1.721928,-0.004353,0.052146,0.001656,0.487103,0.012451,0.868737,-1.235901,2.016466,-1.707411,2.862359,4.0,0.0002998,0,753,0.27053,0.3759,0.0,nan,0,0.0,0.0,,,-0.01,0.00497,-0.00709,-0.02143,-0.00413,-0.00047,0.0
4,4096,-15.77837,450.0,0.0,0.0,1.772219,-0.004951,0.050003,0.004737,0.277081,0.053083,0.905751,-2.273129,2.779961,-2.75716,3.526372,4.0,0.00029969,8,743,0.29909,0.40619,1.0,nan,0,0.25,0.74206,,,-0.01,0.00629,-0.00728,-0.02563,-0.00297,-0.0133,0.0
5,5120,-8.25345,182.5,0.0,0.0,1.698816,-0.005527,0.067327,0.004072,0.265798,0.065186,0.913287,-2.404619,3.554472,-2.674412,3.974383,4.0,0.00029959,2,741,0.2903,0.39529,0.8,nan,0,1.0,0.64865,,,-0.01,0.00683,0.00051,-0.01683,-0.01332,-0.00146,-0.00532
6,6144,-9.72871,206.33333,0.0,0.0,1.275252,-0.003717,0.055311,0.001581,0.202926,0.01266,0.917684,-2.965147,3.64848,-3.179865,4.058962,4.0,0.00029949,3,822,0.26997,0.37776,0.61538,nan,0,1.0,0.78378,,,-0.01,0.0077,-0.00524,-0.0251,-0.00801,-0.00403,-0.0102
7,7168,-10.02906,380.0,0.0,0.0,1.135827,-0.003974,0.05409,0.00171,0.228568,0.02131,0.900866,-3.205125,3.582739,-3.579201,3.856475,4.0,0.00029939,1,856,0.26867,0.38313,0.57143,nan,0,1.0,0.66667,,,-0.01,0.00827,-0.00563,-0.02388,-0.01303,-0.00235,-0.00376
8,8192,-9.84868,325.14286,0.0,0.0,1.427962,-0.003405,0.056653,0.001659,0.259378,0.013672,0.895737,-3.635056,3.578967,-3.837203,3.812001,4.0,0.00029928,7,759,0.27267,0.37242,0.52381,nan,0,1.0,0.78855,,,-0.01,0.00778,-0.00325,-0.01979,-0.01361,-0.00889,-0.01241
9,9216,-7.21042,173.5,0.0,0.0,1.154223,-0.002323,0.034947,0.001486,0.23977,0.011091,0.92135,-4.002443,3.363807,-4.193872,3.61362,4.0,0.00029918,2,843,0.27045,0.37998,0.47826,nan,0,1.0,0.62963,,,-0.01,0.00803,-0.00434,-0.01667,-0.01222,-0.00684,-0.00753
10,10240,-8.30556,327.2,0.0,0.0,1.06284,-0.005034,0.027837,0.002237,0.295219,0.031634,0.940767,-4.111463,3.389004,-4.207561,3.658564,4.0,0.00029908,5,858,0.25159,0.35512,0.46429,nan,0,1.0,0.79412,,,-0.01,0.00794,-0.00932,-0.01678,-0.0092,-0.00827,-0.01215
11,11264,-7.89669,257.6,0.0,0.0,1.358206,-0.003644,0.045352,0.002667,0.240227,0.022287,0.920297,-4.139694,3.970638,-4.236304,4.159975,4.0,0.00029898,5,810,0.24416,0.35084,0.42424,nan,0,1.0,0.78378,,,-0.01,0.0077,0.00022,-0.02201,-0.01258,-0.00732,-0.01307
12,12288,14.08922,253.0,0.33333,0.02778,1.68268,-0.001895,0.837133,0.001443,0.471079,0.012835,0.3975,-4.178777,4.268494,-3.856513,6.820544,4.0,0.00029887,3,745,0.26202,0.37202,0.38889,0.0,1,1.0,0.67073,,,-0.01,0.00777,-0.00263,-0.01938,-0.00955,-0.00625,0.08093
