iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.051273,-0.013344,0.471255,0.008449,1.076379,0.156189,0.012824,0.333074,0.150194,-0.154605,0.324824,2.0,0.0003,0,419,0.22418,0.26904,0.0,nan,0,0.0,0.0,,,-0.01,0.00579,-0.02429,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.85905,-0.009277,0.422486,0.007149,1.560013,0.127421,0.07482,-0.182178,0.099061,-0.656117,0.408743,3.0,0.0002999,0,413,0.18018,0.22236,0.0,nan,0,0.0,0.0,,,-0.01,0.01151,-0.02145,0.0,-0.00951,0.0
3,3072,nan,nan,0.0,0.0,1.177392,-0.006945,0.33072,0.005577,0.870354,0.106949,0.193885,-0.501521,0.149729,-0.744242,0.448765,4.0,0.0002998,0,440,0.15784,0.19723,0.0,nan,0,0.0,0.0,,,-0.01,0.01688,-0.01913,0.0,-0.01208,0.0
4,4096,-12.46677,464.0,0.0,0.0,0.823959,-0.002088,0.387766,0.002116,0.905338,0.023773,0.235331,-0.699051,0.228742,-0.974961,0.58268,4.0,0.00029969,5,432,0.19614,0.23667,0.0,nan,0,1.0,1.0,,,-0.01,0.02058,-0.01646,0.0,-0.01898,-0.02221
5,5120,-11.45709,592.33333,0.0,0.0,1.13881,-0.005707,0.257188,0.005814,0.478164,0.085327,0.475439,-1.064211,0.362608,-1.272495,0.676012,4.0,0.00029959,3,426,0.16067,0.19009,0.25,nan,0,0.66667,1.0,,,-0.01,0.02815,-0.01121,0.0,-0.01946,-0.003
6,6144,-4.45241,211.4,0.0,0.0,1.202972,-0.004598,0.207545,0.005004,0.464266,0.084167,0.588035,-1.342391,0.489291,-1.522721,0.766405,4.0,0.00029949,5,410,0.16757,0.19134,0.15385,nan,0,1.0,1.0,,,-0.01,0.02979,-0.00826,0.0,-0.01959,-0.01378
7,7168,-3.26893,162.33333,0.0,0.0,0.907878,-0.003584,0.116646,0.004007,0.699488,0.073898,0.776906,-1.722376,0.679188,-1.870357,0.890113,4.0,0.00029939,3,441,0.18856,0.21507,0.125,nan,0,1.0,1.0,,,-0.01,0.02694,-0.00919,0.0,-0.02025,-0.0106
8,8192,15.3571,167.25,0.25,0.05,0.740896,-0.000669,3.942099,0.003976,2.896333,0.070831,0.005662,-1.80393,0.837593,-0.838201,6.972952,4.0,0.00029928,4,454,0.16897,0.18918,0.1,0.0,1,0.75,1.0,,,-0.01,0.02696,-0.00638,0.0,-0.01574,0.14125
9,9216,-3.43063,275.33333,0.0,0.04348,0.768897,-0.00082,0.034622,0.000828,0.298072,0.005035,0.874996,-1.345011,1.641496,-1.495502,1.670832,4.0,0.00029918,3,463,0.18994,0.20908,0.08696,0.0,1,1.0,1.0,,,-0.01,0.02672,-0.00656,0.0,-0.0193,-0.01267
10,10240,18.80288,352.0,0.28571,0.1,1.092477,-0.002137,3.288591,0.003834,1.849105,0.038895,-0.033538,-1.681887,1.622376,0.552452,9.819095,4.0,0.00029908,7,421,0.16953,0.18421,0.16667,0.0,3,0.85714,1.0,,,-0.01,0.03213,-0.00436,0.0,-0.0129,0.1966
11,11264,35.56724,150.0,0.5,0.14706,0.905397,-0.000638,1.802261,0.001129,1.19346,0.010986,0.046863,0.833097,2.088878,3.397256,9.839267,4.0,0.00029898,4,436,0.15982,0.17848,0.14706,0.0,5,1.0,1.0,,,-0.01,0.03303,-0.0042,0.0,-0.01955,0.23381
12,12288,16.22617,190.75,0.25,0.15789,0.872931,-0.000318,0.632777,0.000893,0.30597,0.009033,0.245651,4.659291,3.170535,5.839293,7.411879,4.0,0.00029887,4,435,0.1645,0.18156,0.13158,0.0,6,0.75,1.0,,,-0.01,0.02912,-0.00451,0.0,-0.01703,0.11207
13,13312,59.91815,168.5,0.83333,0.25,0.991344,-0.000653,1.297437,0.002455,1.249491,0.009613,0.23889,5.72543,4.088034,11.971651,14.178021,4.0,0.00029877,6,431,0.15341,0.16524,0.11364,0.1,10,0.83333,0.98077,,,-0.01,0.03173,-0.00411,0.0,-0.00771,0.54037
14,14336,48.98465,287.33333,0.66667,0.2766,0.949009,-0.001546,0.313316,0.004028,0.423287,0.035461,0.656487,13.897184,9.271536,16.667181,12.157541,4.0,0.00029867,3,438,0.20694,0.2226,0.12766,0.08333,12,0.33333,0.98333,,,-0.01,0.02474,-0.00529,0.0,-0.01116,0.22414
15,15360,-2.68581,384.5,0.0,0.26531,0.701108,-0.001124,0.078514,0.001687,0.739435,0.019028,0.849596,16.75106,9.802803,16.479675,9.282628,4.0,0.00029857,2,483,0.25347,0.26958,0.14286,0.08333,12,1.0,1.0,,,-0.01,0.01741,-0.00712,0.0,-0.00966,-0.00423
16,16384,-2.27355,170.0,0.0,0.26,0.706177,-0.000739,0.070967,0.00132,0.826112,0.019348,0.796237,19.199694,8.105642,18.06164,7.871179,4.0,0.00029846,1,496,0.25682,0.27665,0.14,0.08333,12,1.0,1.0,,,-0.01,0.01181,-0.01061,0.0,-0.00541,-0.00435
17,17408,-4.67832,596.0,0.0,0.2549,0.739017,-0.002766,0.02585,0.003018,0.458422,0.044037,0.902606,15.293915,7.184409,14.615811,7.17929,4.0,0.00029836,1,510,0.28014,0.2998,0.13725,0.08333,12,1.0,1.0,,,-0.01,0.00786,-0.01249,0.0,-0.00158,-0.00437
18,18432,-2.66997,600.0,0.0,0.24074,0.977334,-0.001282,0.027852,0.002056,0.267398,0.023117,0.857663,15.604872,7.274626,15.754341,6.986711,4.0,0.00029826,3,453,0.20469,0.21577,0.18519,0.08333,12,0.66667,1.0,,,-0.01,0.01733,-0.00666,0.0,-0.00237,0.0
19,19456,-3.27283,600.0,0.0,0.23214,1.128287,-0.002992,0.022996,0.004119,0.369758,0.058746,0.797179,18.497486,5.846554,18.527847,5.375935,4.0,0.00029816,2,464,0.18198,0.19161,0.21429,0.08333,12,1.0,1.0,,,-0.01,0.01552,-0.00529,0.0,-0.00174,0.0
