iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.048932,-0.017006,0.525416,0.007023,2.440688,0.100377,0.01508,0.674122,0.273405,0.139043,0.36843,2.0,0.0003,0,390,0.2254,0.27216,0.0,nan,0,0.0,0.0,,,-0.01,0.00559,-0.02529,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.892559,-0.013144,0.595251,0.008029,3.519321,0.162354,0.073239,0.254513,0.106762,-0.156505,0.372808,2.0,0.0002999,0,378,0.17405,0.21626,0.0,nan,0,0.0,0.0,,,-0.01,0.0125,-0.02145,0.0,-0.00601,0.0
3,3072,nan,nan,0.0,0.0,1.194464,-0.00767,0.417594,0.007768,1.1762,0.138931,0.113147,-0.207419,0.114078,-0.554878,0.508765,4.0,0.0002998,0,410,0.15795,0.203,0.0,nan,0,0.0,0.0,,,-0.01,0.01878,-0.01928,0.0,-0.02207,0.0
4,4096,-12.26473,430.8,0.0,0.0,0.900236,-0.004527,0.331201,0.003903,0.448378,0.072906,0.126498,-0.555816,0.220298,-0.716355,0.512692,4.0,0.00029969,5,424,0.16164,0.19868,0.0,nan,0,1.0,1.0,,,-0.01,0.02326,-0.01622,0.0,-0.01075,-0.01996
5,5120,-9.76223,396.6,0.0,0.0,1.348463,-0.003637,0.378168,0.005163,0.531109,0.069611,0.307413,-0.742231,0.281524,-1.08856,0.789303,4.0,0.00029959,5,381,0.13541,0.16468,0.0,nan,0,1.0,1.0,,,-0.01,0.02843,-0.01039,0.0,-0.02256,-0.01263
6,6144,-3.89834,173.28571,0.0,0.0,1.057362,-0.002085,0.197116,0.00186,0.277434,0.028503,0.620571,-1.119815,0.547737,-1.379405,0.905465,4.0,0.00029949,7,358,0.12355,0.15296,0.0,nan,0,1.0,1.0,,,-0.01,0.03193,-0.00801,0.0,-0.02634,-0.02203
7,7168,-3.52812,148.4,0.0,0.0,1.045736,-0.003533,0.137651,0.003558,0.35554,0.043121,0.739244,-1.605632,0.813396,-1.916087,1.106938,4.0,0.00029939,5,388,0.13184,0.16059,0.0,nan,0,1.0,1.0,,,-0.01,0.02932,-0.00715,0.0,-0.03108,-0.01539
8,8192,-3.89747,246.4,0.0,0.0,0.991194,-0.002312,0.093744,0.003075,0.314593,0.047623,0.806246,-1.745822,0.928084,-1.992423,1.120482,4.0,0.00029928,5,379,0.1245,0.14493,0.0,nan,0,1.0,1.0,,,-0.01,0.031,-0.00448,0.0,-0.02321,-0.01556
9,9216,6.07035,176.875,0.125,0.02857,1.058816,2.2e-05,3.869973,0.000445,2.920383,0.0,0.012387,-1.903353,0.997954,-0.965783,7.036951,4.0,0.00029918,8,369,0.10313,0.12286,0.0,nan,0,1.0,1.0,,,-0.01,0.03452,-0.00316,0.0,-0.0223,0.08154
10,10240,-2.58709,151.14286,0.0,0.02381,0.961577,-0.002116,0.113914,0.003137,0.719279,0.048004,0.557834,-0.887609,2.328294,-1.117196,1.916173,4.0,0.00029908,7,361,0.10257,0.12617,0.0,nan,0,1.0,1.0,,,-0.01,0.03395,-0.00237,0.0,-0.03241,-0.02157
11,11264,-2.65601,135.375,0.0,0.02,0.994426,-0.002011,0.047705,0.003522,0.436872,0.047943,0.371015,-0.957013,1.399203,-1.348323,1.121587,4.0,0.00029898,8,380,0.07828,0.09832,0.0,nan,0,1.0,1.0,,,-0.01,0.03569,-0.00154,0.0,-0.02888,-0.02164
12,12288,-2.78979,105.6,0.0,0.01818,0.818975,-0.002196,0.031414,0.002757,0.353982,0.032898,0.759653,-1.552282,0.992065,-1.782661,1.182736,4.0,0.00029887,5,385,0.07292,0.09695,0.0,nan,0,1.0,1.0,,,-0.01,0.03423,-0.00128,0.0,-0.03175,-0.01507
13,13312,-2.10695,151.66667,0.0,0.01724,0.560851,-0.000924,0.017411,0.001545,0.250142,0.017838,0.843545,-1.941416,0.992007,-2.036037,1.09197,4.0,0.00029877,3,456,0.1283,0.15073,0.0,nan,0,1.0,1.0,,,-0.01,0.02324,-0.00407,0.0,-0.02696,-0.01329
