iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.4041,-0.00696,0.327905,0.005793,0.762396,0.072708,0.000871,-0.43435,0.20072,-1.345849,1.854491,4.0,0.0003,0,318,0.20007,0.24768,0.0,nan,0,0.0,0.0,,,-0.01,0.00181,-0.00669,-0.03805,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.417015,-0.005071,0.134562,0.002706,0.510776,0.021255,0.581254,-1.453823,1.229319,-2.277566,2.886727,4.0,0.0002999,0,337,0.14973,0.19662,0.0,nan,0,0.0,0.0,,,-0.01,0.00217,-0.0062,-0.03565,-0.00074,0.0
3,3072,nan,nan,0.0,0.0,2.246512,-0.003677,0.069981,0.002536,0.340575,0.012436,0.842218,-2.104435,2.726511,-2.745422,3.872124,4.0,0.0002998,0,340,0.13248,0.17902,0.0,nan,0,0.0,0.0,,,-0.01,0.0025,-0.0056,-0.02972,-0.00475,0.0
4,4096,nan,nan,0.0,0.0,1.72733,-0.003231,0.057592,0.001659,0.305856,0.017319,0.89929,-2.445086,3.670549,-2.971347,4.592314,4.0,0.00029969,0,336,0.13476,0.19458,0.0,nan,0,0.0,0.0,,,-0.01,0.00236,-0.00607,-0.02969,-0.009,0.0
5,5120,-25.66891,600.0,0.0,0.0,1.397603,-0.003917,0.042968,0.002545,0.280265,0.025452,0.923846,-3.170261,4.162212,-3.676027,4.968366,4.0,0.00029959,8,378,0.18196,0.25021,1.0,nan,0,0.375,0.98146,,,-0.01,0.00232,-0.00558,-0.03369,-0.00852,0.0
6,6144,nan,nan,0.0,0.0,2.277627,-0.003755,0.033621,0.002505,0.180382,0.018082,0.939903,-4.062275,5.573924,-4.693147,6.778066,4.0,0.00029949,0,339,0.1401,0.18228,1.0,nan,0,0.0,0.0,,,-0.01,0.00247,-0.0031,-0.03311,-0.00337,0.0
7,7168,nan,nan,0.0,0.0,1.879868,-0.004224,0.024862,0.002799,0.203071,0.027481,0.953926,-4.076535,6.444803,-4.646888,7.665808,4.0,0.00029939,0,361,0.12242,0.17468,1.0,nan,0,0.0,0.0,,,-0.01,0.00154,-0.00229,-0.03661,-0.00534,0.0
8,8192,nan,nan,0.0,0.0,1.404388,-0.003977,0.022746,0.003136,0.22248,0.039276,0.963543,-4.322422,7.172277,-4.666172,8.198696,4.0,0.00029928,0,367,0.14181,0.20645,1.0,nan,0,0.0,0.0,,,-0.01,0.00205,-0.00409,-0.03349,-0.00363,0.0
9,9216,nan,nan,0.0,0.0,1.259665,-0.003522,0.014969,0.002599,0.187296,0.029495,0.97371,-4.272584,7.875265,-4.585786,8.813963,4.0,0.00029918,0,403,0.14763,0.21071,1.0,nan,0,0.0,0.0,,,-0.01,0.00182,-0.00294,-0.03487,-0.0022,0.0
10,10240,-21.4105,594.125,0.0,0.0,2.008876,-0.003782,0.016501,0.002848,0.261165,0.026184,0.971848,-5.551844,9.464598,-6.140491,10.843126,4.0,0.00029908,8,343,0.18865,0.23433,0.9375,nan,0,0.125,0.91777,,,-0.01,0.00167,-0.00307,-0.04128,-0.00034,-0.00229
11,11264,nan,nan,0.0,0.0,2.200044,-0.003504,0.018342,0.004163,0.354091,0.038712,0.980864,-6.438581,11.173992,-6.882655,12.097514,4.0,0.00029898,0,343,0.14523,0.18662,0.9375,nan,0,0.0,0.0,,,-0.01,0.00179,-0.00278,-0.03467,-0.0032,0.0
12,12288,nan,nan,0.0,0.0,1.89672,-0.00377,0.009835,0.003775,0.213788,0.027176,0.981967,-5.161329,11.120438,-5.681124,12.379581,4.0,0.00029887,0,351,0.13535,0.18109,0.9375,nan,0,0.0,0.0,,,-0.01,0.00175,-0.00273,-0.03931,1e-05,0.0
13,13312,nan,nan,0.0,0.0,1.828864,-0.004468,0.015398,0.003691,0.31098,0.047897,0.980043,-5.194026,12.280154,-5.80904,13.551978,4.0,0.00029877,0,374,0.12773,0.1765,0.9375,nan,0,0.0,0.0,,,-0.01,0.0013,-0.00264,-0.04049,-0.00166,0.0
14,14336,-27.02322,600.0,0.0,0.0,1.802926,-0.003458,0.007491,0.002255,0.254575,0.024261,0.987537,-5.91303,13.054047,-6.358096,14.192626,4.0,0.00029867,1,379,0.13102,0.17592,0.94118,nan,0,0.0,0.86842,,,-0.01,0.00189,-0.00266,-0.03829,0.0,0.0
15,15360,-25.64757,600.0,0.0,0.0,2.214202,-0.003993,0.012541,0.003382,0.241671,0.032898,0.984817,-9.413352,15.343537,-9.868865,16.696531,4.0,0.00029857,7,318,0.13842,0.17816,0.95833,nan,0,0.14286,0.9507,,,-0.01,0.00146,-0.00197,-0.03919,-0.001,0.0
16,16384,nan,nan,0.0,0.0,1.929873,-0.004136,0.01239,0.002874,0.168721,0.026184,0.987529,-7.819266,15.321643,-8.108861,16.029129,4.0,0.00029846,0,362,0.13505,0.17777,0.95833,nan,0,0.0,0.0,,,-0.01,0.00127,-0.00292,-0.03068,-0.00545,0.0
17,17408,nan,nan,0.0,0.0,1.722298,-0.00448,0.007716,0.003133,0.179581,0.033371,0.988748,-7.124107,15.324471,-7.53385,16.421001,4.0,0.00029836,0,382,0.1475,0.19831,0.95833,nan,0,0.0,0.0,,,-0.01,0.00167,-0.00324,-0.03804,-0.00057,0.0
18,18432,nan,nan,0.0,0.0,1.718003,-0.004422,0.005951,0.003624,0.202728,0.039261,0.990154,-7.007533,16.028074,-7.450788,17.222174,4.0,0.00029826,0,374,0.15362,0.2023,0.95833,nan,0,0.0,0.0,,,-0.01,0.00177,-0.00325,-0.03906,0.0,0.0
