iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.944328,-0.008774,0.331698,0.005671,0.7501,0.06398,0.001249,-0.400578,0.184586,-1.297987,1.905428,4.0,0.0003,0,193,0.17456,0.224,0.0,nan,0,0.0,0.0,,,-0.01,0.00203,-0.00598,-0.03832,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.899386,-0.006117,0.141624,0.004482,0.592641,0.069275,0.575965,-1.385605,1.22349,-2.209821,2.884214,4.0,0.0002999,0,195,0.15201,0.19917,0.0,nan,0,0.0,0.0,,,-0.01,0.00292,-0.00672,-0.03613,-0.00127,0.0
3,3072,nan,nan,0.0,0.0,2.428838,-0.004593,0.076978,0.003028,0.352972,0.031403,0.851785,-2.168906,2.643286,-2.795797,3.449407,4.0,0.0002998,0,202,0.14216,0.19926,0.0,nan,0,0.0,0.0,,,-0.01,0.00338,-0.00682,-0.02531,-0.01131,0.0
4,4096,-18.87879,436.0,0.0,0.0,1.789165,-0.003029,0.06768,0.001629,0.196333,0.012543,0.872114,-2.610061,3.244036,-3.105062,4.293099,4.0,0.00029969,1,215,0.15728,0.22318,0.0,nan,0,1.0,0.97959,,,-0.01,0.00344,-0.00605,-0.03662,-0.00561,-0.00309
5,5120,-25.49751,600.0,0.0,0.0,1.988847,-0.0047,0.036158,0.002459,0.170455,0.028748,0.925848,-3.208573,3.934357,-3.635109,4.852938,4.0,0.00029959,7,207,0.16451,0.22781,0.875,nan,0,0.14286,0.9868,,,-0.01,0.0034,-0.00487,-0.03267,-0.00306,0.0
6,6144,nan,nan,0.0,0.0,2.652397,-0.003895,0.034473,0.002408,0.167971,0.016388,0.936149,-3.989597,5.30659,-4.551987,6.514903,4.0,0.00029949,0,195,0.13787,0.18837,0.875,nan,0,0.0,0.0,,,-0.01,0.00355,-0.00361,-0.03209,-0.00398,0.0
7,7168,nan,nan,0.0,0.0,1.937015,-0.004553,0.035268,0.003709,0.240881,0.055466,0.949495,-3.600747,6.031861,-4.120403,6.989008,4.0,0.00029939,0,205,0.1414,0.20988,0.875,nan,0,0.0,0.0,,,-0.01,0.00314,-0.00393,-0.03161,-0.00933,0.0
8,8192,nan,nan,0.0,0.0,1.389273,-0.004042,0.017221,0.002299,0.151867,0.020065,0.970021,-3.950173,6.459918,-4.243769,7.212631,4.0,0.00029928,0,232,0.15644,0.23708,0.875,nan,0,0.0,0.0,,,-0.01,0.00342,-0.00331,-0.03222,-0.0063,0.0
9,9216,-18.38392,600.0,0.0,0.0,1.216379,-0.00411,0.021384,0.001081,0.198155,0.007156,0.965729,-3.868917,6.897681,-4.196518,7.822794,4.0,0.00029918,1,238,0.17728,0.26656,0.88889,nan,0,1.0,0.95918,,,-0.01,0.0042,-0.00283,-0.0343,-0.00459,0.0
10,10240,-19.06137,600.0,0.0,0.0,2.087555,-0.00464,0.022729,0.001816,0.160294,0.023651,0.970659,-5.447712,8.505874,-5.826882,9.464501,4.0,0.00029908,7,200,0.15975,0.21436,0.9375,nan,0,0.28571,0.94276,,,-0.01,0.00364,-0.00238,-0.03331,-0.00361,0.0
11,11264,nan,nan,0.0,0.0,2.04022,-0.004764,0.01461,0.002783,0.150004,0.031723,0.983698,-5.090904,8.947028,-5.363077,9.374116,4.0,0.00029898,0,212,0.14567,0.20499,0.9375,nan,0,0.0,0.0,,,-0.01,0.00312,-0.00323,-0.0271,-0.01372,0.0
12,12288,nan,nan,0.0,0.0,1.173736,-0.003676,0.011755,0.001391,0.241794,0.015503,0.981378,-4.464842,8.692904,-4.790954,9.44687,4.0,0.00029887,0,239,0.18471,0.26937,0.9375,nan,0,0.0,0.0,,,-0.01,0.00459,-0.00255,-0.03447,-0.00776,0.0
