iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.383531,-0.006079,0.359335,0.00581,0.752331,0.036469,-0.034876,0.322673,0.206259,-0.921961,1.85484,4.0,0.0003,0,282,0.19818,0.24762,0.0,nan,0,0.0,0.0,,,-0.03,0.00291,-0.00642,-0.03961,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.335575,-0.004045,0.157821,0.003959,0.720832,0.047897,0.551078,-0.859751,1.157762,-1.977362,2.791684,4.0,0.0002999,0,275,0.15264,0.19813,0.0,nan,0,0.0,0.0,,,-0.03,0.0039,-0.00564,-0.03621,-0.00209,0.0
3,3072,nan,nan,0.0,0.0,1.980647,-0.004845,0.092193,0.002966,0.612384,0.035034,0.80842,-1.539665,2.413608,-2.46466,3.561866,4.0,0.0002998,0,294,0.15255,0.20549,0.0,nan,0,0.0,0.0,,,-0.03,0.00352,-0.00653,-0.02974,-0.01029,0.0
4,4096,nan,nan,0.0,0.0,1.452487,-0.003214,0.057233,0.001354,0.534499,0.007507,0.870878,-2.281827,3.218797,-2.984507,4.53264,4.0,0.00029969,0,292,0.18929,0.25229,0.0,nan,0,0.0,0.0,,,-0.03,0.00382,-0.00847,-0.03872,-0.00227,0.0
5,5120,-35.01539,600.0,0.0,0.0,1.57439,-0.003407,0.034955,0.001733,0.171266,0.021515,0.92876,-3.337716,4.446842,-3.936278,5.532114,4.0,0.00029959,8,286,0.21755,0.27189,1.0,nan,0,0.0,0.99542,,,-0.03,0.00373,-0.0055,-0.03915,-0.00292,0.0
6,6144,nan,nan,0.0,0.0,2.393667,-0.004604,0.027474,0.005154,0.183575,0.060623,0.93134,-4.996012,5.974507,-6.148466,7.604584,4.0,0.00029949,0,247,0.2218,0.26331,1.0,nan,0,0.0,0.0,,,-0.03,0.0035,-0.00511,-0.04217,0.0,0.0
7,7168,nan,nan,0.0,0.0,2.38151,-0.003953,0.018783,0.004455,0.174867,0.057114,0.953783,-5.872302,7.386343,-6.848516,8.946231,4.0,0.00029939,0,259,0.18226,0.2248,1.0,nan,0,0.0,0.0,,,-0.03,0.00416,-0.00507,-0.03596,-0.00087,0.0
8,8192,nan,nan,0.0,0.0,2.159072,-0.003319,0.01717,0.003257,0.178651,0.036911,0.969352,-5.760074,8.579701,-6.511308,9.794358,4.0,0.00029928,0,281,0.15789,0.20616,1.0,nan,0,0.0,0.0,,,-0.03,0.00433,-0.00322,-0.03212,-0.00188,0.0
9,9216,nan,nan,0.0,0.0,1.903034,-0.004603,0.014266,0.003652,0.211053,0.047272,0.974391,-5.386095,9.051286,-6.031036,10.209113,4.0,0.00029918,0,314,0.14605,0.1941,1.0,nan,0,0.0,0.0,,,-0.03,0.00337,-0.00396,-0.0315,-0.00275,0.0
10,10240,-37.37427,600.0,0.0,0.0,2.085303,-0.004024,0.011744,0.002339,0.166118,0.023438,0.978237,-7.602284,10.772369,-8.287835,12.100372,4.0,0.00029908,8,323,0.1482,0.19406,1.0,nan,0,0.0,0.98715,,,-0.03,0.00346,-0.00298,-0.0377,0.00015,0.0
11,11264,nan,nan,0.0,0.0,2.182922,-0.004239,0.010521,0.003658,0.172365,0.047501,0.982719,-8.555672,12.580269,-9.21049,13.896498,4.0,0.00029898,0,326,0.14401,0.18441,1.0,nan,0,0.0,0.0,,,-0.03,0.00369,-0.00255,-0.03488,-0.00148,0.0
12,12288,nan,nan,0.0,0.0,1.834044,-0.004164,0.009264,0.004282,0.22383,0.057037,0.985148,-6.78504,13.335512,-7.410223,14.601295,4.0,0.00029887,0,369,0.14912,0.19475,1.0,nan,0,0.0,0.0,,,-0.03,0.00324,-0.00326,-0.0364,-0.00123,0.0
13,13312,nan,nan,0.0,0.0,1.799766,-0.003529,0.005834,0.003975,0.215784,0.040283,0.987566,-5.910338,14.400762,-6.580032,15.829854,4.0,0.00029877,0,336,0.15238,0.2006,1.0,nan,0,0.0,0.0,,,-0.03,0.00419,-0.0032,-0.03691,0.0,0.0
