iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.429015,-0.007254,0.287584,0.004446,0.739013,0.051712,0.068945,0.440085,0.182033,-0.786938,1.963355,4.0,0.0003,0,312,0.20032,0.2467,0.0,nan,0,0.0,0.0,,,-0.03,0.00327,-0.00638,-0.03938,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.438381,-0.004447,0.114846,0.003648,0.762123,0.029449,0.639628,-0.774693,1.3932,-1.903752,2.92801,4.0,0.0002999,0,302,0.16472,0.21103,0.0,nan,0,0.0,0.0,,,-0.03,0.00319,-0.00741,-0.03322,-0.00096,0.0
3,3072,nan,nan,0.0,0.0,2.084096,-0.003675,0.070333,0.002712,0.604741,0.023895,0.846714,-1.354621,2.882251,-2.273467,4.109583,4.0,0.0002998,0,308,0.1337,0.18952,0.0,nan,0,0.0,0.0,,,-0.03,0.00503,-0.00651,-0.03066,-0.00817,0.0
4,4096,-29.85742,494.0,0.0,0.0,1.383502,-0.003519,0.069836,0.00261,0.463242,0.039886,0.890417,-2.034869,3.933992,-2.655133,4.780053,4.0,0.00029969,1,322,0.13098,0.19834,0.0,nan,0,1.0,0.97674,,,-0.03,0.00421,-0.00682,-0.03269,-0.01136,-0.00341
5,5120,-34.40316,600.0,0.0,0.0,1.514193,-0.00444,0.036794,0.002994,0.235467,0.023483,0.93105,-2.493908,4.21185,-3.010074,5.032457,4.0,0.00029959,7,316,0.19255,0.25524,0.75,nan,0,0.14286,0.96687,,,-0.03,0.00484,-0.00474,-0.03317,-0.00826,-0.00306
6,6144,nan,nan,0.0,0.0,1.948559,-0.004651,0.027627,0.004375,0.200707,0.04155,0.95298,-3.47773,5.196024,-4.124871,5.988682,4.0,0.00029949,0,302,0.14678,0.19586,0.75,nan,0,0.0,0.0,,,-0.03,0.00439,-0.00323,-0.02899,-0.00952,0.0
7,7168,nan,nan,0.0,0.0,0.948363,-0.003994,0.029101,0.001342,0.32855,0.016479,0.955898,-2.527218,5.365292,-2.9179,6.004352,4.0,0.00029939,0,369,0.1892,0.26967,0.75,nan,0,0.0,0.0,,,-0.03,0.00519,-0.00491,-0.03053,-0.02341,0.0
8,8192,-16.94317,399.5,0.0,0.0,0.440421,-0.002675,0.025091,0.001194,0.226925,0.018005,0.957774,-2.849389,5.357455,-3.0705,5.57164,4.0,0.00029928,2,423,0.22964,0.32488,0.6,nan,0,1.0,0.92727,,,-0.03,0.00524,-0.0076,-0.0442,-0.01158,-0.01803
9,9216,-20.71742,511.75,0.0,0.0,1.155037,-0.003629,0.035574,0.002102,0.170681,0.022797,0.948652,-4.599697,6.168827,-4.968262,6.765411,4.0,0.00029918,4,360,0.16435,0.20868,0.42857,nan,0,1.0,0.95349,,,-0.03,0.00449,-0.00446,-0.03815,-0.01133,-0.01497
10,10240,-20.89848,581.5,0.0,0.0,1.308717,-0.003714,0.023054,0.002744,0.174936,0.027328,0.966772,-4.888413,6.694067,-5.208639,7.35844,4.0,0.00029908,2,341,0.1629,0.22164,0.4375,nan,0,1.0,0.95082,,,-0.03,0.00387,-0.00459,-0.03107,-0.01885,-0.00338
