iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.394521,-0.007847,0.330073,0.006931,0.725561,0.079712,-0.007955,-0.318571,0.186691,-1.920001,2.03728,4.0,0.0003,0,301,0.19934,0.24432,0.0,nan,0,0.0,0.0,,,-0.03,0.00255,-0.00643,-0.04058,0.0,-0.02763,0.0
2,2048,nan,nan,0.0,0.0,2.39697,-0.004116,0.118867,0.001628,0.730474,0.008942,0.613756,-1.890959,1.375721,-3.060677,3.089123,4.0,0.0002999,0,307,0.16224,0.20919,0.0,nan,0,0.0,0.0,,,-0.03,0.00396,-0.0062,-0.03716,-0.00027,-0.00383,0.0
3,3072,nan,nan,0.0,0.0,2.081201,-0.004412,0.079038,0.004023,0.684357,0.037277,0.852439,-2.451655,2.929529,-3.418734,4.011389,4.0,0.0002998,0,314,0.12902,0.18309,0.0,nan,0,0.0,0.0,,,-0.03,0.00409,-0.00464,-0.02873,-0.01233,-0.00113,0.0
4,4096,-34.98975,418.0,0.0,0.0,1.198705,-0.003667,0.071349,0.002864,0.435953,0.048172,0.878572,-3.547729,3.673786,-4.200699,4.13843,4.0,0.00029969,1,379,0.15473,0.22317,0.0,nan,0,1.0,0.94231,,,-0.03,0.00606,-0.00723,-0.027,-0.02226,-0.00555,-0.00389
5,5120,-36.62679,585.71429,0.0,0.0,1.294263,-0.003019,0.04842,0.002023,0.239553,0.020767,0.902882,-4.411656,3.672663,-4.890439,4.392115,4.0,0.00029959,7,367,0.15525,0.21127,0.625,nan,0,0.71429,0.98305,,,-0.03,0.00506,-0.00378,-0.03334,-0.00738,-0.02696,-0.00702
6,6144,nan,nan,0.0,0.0,1.82777,-0.004793,0.034918,0.004514,0.299616,0.064194,0.939899,-4.359989,4.704655,-4.969298,5.563839,4.0,0.00029949,0,317,0.1287,0.18704,0.625,nan,0,0.0,0.0,,,-0.03,0.00512,-0.00335,-0.02963,-0.01164,-0.00428,0.0
7,7168,-18.91352,280.0,0.0,0.0,0.831364,-0.002628,0.051405,0.001714,0.28548,0.015778,0.923757,-3.84725,4.830377,-4.264064,5.35085,4.0,0.00029939,1,401,0.16286,0.25113,0.55556,nan,0,1.0,1.0,,,-0.03,0.00505,-0.00496,-0.03302,-0.02378,-0.00756,-0.00514
8,8192,-20.97746,386.66667,0.0,0.0,0.961059,-0.003312,0.042561,0.002763,0.224651,0.029617,0.93163,-5.002665,5.056849,-5.359881,5.733835,4.0,0.00029928,3,392,0.146,0.20535,0.41667,nan,0,1.0,0.93684,,,-0.03,0.00663,-0.00387,-0.03747,-0.00878,-0.02299,-0.01337
9,9216,-21.38409,463.5,0.0,0.0,1.269294,-0.003729,0.040495,0.003825,0.211258,0.055435,0.947826,-5.621566,6.244678,-5.874115,6.926702,4.0,0.00029918,4,360,0.14067,0.19913,0.3125,nan,0,1.0,0.92481,,,-0.03,0.00567,-0.00282,-0.03218,-0.01391,-0.01832,-0.01322
10,10240,-19.46373,312.75,0.0,0.0,1.12422,-0.004633,0.032769,0.004129,0.231267,0.063995,0.957486,-5.467024,6.461335,-5.619122,6.906479,4.0,0.00029908,4,362,0.12581,0.18838,0.25,nan,0,1.0,0.95385,,,-0.03,0.00529,-0.00104,-0.0343,-0.02205,-0.01057,-0.01435
11,11264,-15.16596,215.6,0.0,0.0,1.231878,-0.003187,0.035747,0.003712,0.207345,0.054718,0.955602,-5.918238,6.98766,-5.956068,7.215089,4.0,0.00029898,5,350,0.12013,0.18302,0.2,nan,0,1.0,0.92,,,-0.03,0.00451,-0.00229,-0.02802,-0.02344,-0.01355,-0.0161
12,12288,-14.33962,230.5,0.0,0.0,0.863132,-0.003448,0.023729,0.002717,0.21945,0.039078,0.957009,-4.528182,5.975736,-4.721952,6.388233,4.0,0.00029887,2,387,0.15821,0.2286,0.18519,nan,0,1.0,0.95238,,,-0.03,0.00645,-0.00336,-0.03119,-0.02239,-0.01773,-0.00892
