iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.384494,-0.006802,0.270623,0.00517,0.680329,0.045715,0.067319,-0.057003,0.252819,-0.931182,2.01951,4.0,0.0003,0,327,0.19928,0.24567,0.0,nan,0,0.0,0.0,,,-0.01,0.00292,-0.00628,-0.03773,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.343646,-0.004401,0.100085,0.002667,0.414509,0.018555,0.650501,-1.10184,1.49002,-1.892683,3.093548,4.0,0.0002999,0,335,0.17362,0.22131,0.0,nan,0,0.0,0.0,,,-0.01,0.00307,-0.00595,-0.03503,-0.00102,0.0
3,3072,nan,nan,0.0,0.0,2.291576,-0.004819,0.051628,0.004188,0.257803,0.055344,0.823612,-1.970889,2.996534,-2.756392,4.698444,4.0,0.0002998,0,332,0.16211,0.21012,0.0,nan,0,0.0,0.0,,,-0.01,0.00251,-0.00666,-0.03671,0.0,0.0
4,4096,nan,nan,0.0,0.0,2.276744,-0.005187,0.03115,0.004992,0.206856,0.062531,0.904731,-2.580667,4.684761,-3.347826,6.348202,4.0,0.00029969,0,338,0.17471,0.22146,0.0,nan,0,0.0,0.0,,,-0.01,0.00267,-0.00544,-0.03702,0.0,0.0
5,5120,-29.44084,600.0,0.0,0.0,2.276973,-0.004431,0.023769,0.004183,0.197098,0.054535,0.944092,-3.177184,6.194874,-3.80775,7.60372,4.0,0.00029959,8,326,0.20952,0.25499,1.0,nan,0,0.0,0.99859,,,-0.01,0.00267,-0.00472,-0.03774,0.0,0.0
6,6144,nan,nan,0.0,0.0,2.244586,-0.004507,0.018621,0.004736,0.251091,0.038406,0.952455,-3.621863,7.331648,-4.38172,8.929814,4.0,0.00029949,0,330,0.23853,0.28259,1.0,nan,0,0.0,0.0,,,-0.01,0.00292,-0.00509,-0.03547,0.0,0.0
7,7168,nan,nan,0.0,0.0,2.243758,-0.004428,0.013681,0.003037,0.197464,0.031036,0.964575,-4.183925,8.817098,-4.842288,10.441677,4.0,0.00029939,0,322,0.22327,0.26721,1.0,nan,0,0.0,0.0,,,-0.01,0.0043,-0.00403,-0.03585,0.0,0.0
8,8192,nan,nan,0.0,0.0,2.28449,-0.00335,0.010465,0.003883,0.238537,0.025299,0.974002,-4.580756,10.426146,-5.249096,12.036592,4.0,0.00029928,0,311,0.20319,0.24512,1.0,nan,0,0.0,0.0,,,-0.01,0.00385,-0.00396,-0.03539,0.0,0.0
9,9216,nan,nan,0.0,0.0,2.296398,-0.003217,0.008463,0.002575,0.221814,0.021088,0.97928,-5.351124,12.03847,-5.998693,13.681673,4.0,0.00029918,0,315,0.21033,0.25,1.0,nan,0,0.0,0.0,,,-0.01,0.00472,-0.00366,-0.03681,0.0,0.0
10,10240,-27.77628,600.0,0.0,0.0,2.317056,-0.003373,0.009623,0.002606,0.171685,0.022537,0.983896,-6.576252,13.616158,-7.183192,14.974583,4.0,0.00029908,8,314,0.22375,0.263,1.0,nan,0,0.0,1.0,,,-0.01,0.00324,-0.00251,-0.04014,0.0,0.0
11,11264,nan,nan,0.0,0.0,2.375303,-0.00313,0.007336,0.00221,0.163571,0.015137,0.985311,-7.218712,15.007833,-7.940292,16.577133,4.0,0.00029898,0,317,0.23633,0.27441,1.0,nan,0,0.0,0.0,,,-0.01,0.00338,-0.00385,-0.04108,0.0,0.0
12,12288,nan,nan,0.0,0.0,2.408975,-0.003541,0.005624,0.003447,0.188977,0.014053,0.988832,-7.864036,16.642221,-8.522595,18.154047,4.0,0.00029887,0,312,0.22748,0.26611,1.0,nan,0,0.0,0.0,,,-0.01,0.00378,-0.00364,-0.039,0.0,0.0
13,13312,nan,nan,0.0,0.0,2.410853,-0.004108,0.004867,0.004201,0.176827,0.028946,0.990412,-7.971292,17.855749,-8.618606,19.312302,4.0,0.00029877,0,323,0.19226,0.23004,1.0,nan,0,0.0,0.0,,,-0.01,0.00333,-0.00385,-0.03789,0.0,0.0
14,14336,nan,nan,0.0,0.0,2.396246,-0.003213,0.004618,0.002594,0.183553,0.025986,0.991783,-8.06493,19.256447,-8.626562,20.669977,4.0,0.00029867,0,324,0.16997,0.20506,1.0,nan,0,0.0,0.0,,,-0.01,0.00388,-0.00339,-0.03742,-0.00026,0.0
15,15360,-29.64448,600.0,0.0,0.0,2.324843,-0.003852,0.006291,0.002406,0.160106,0.018539,0.99023,-9.758789,20.277916,-10.321267,21.739197,4.0,0.00029857,8,328,0.18087,0.22106,1.0,nan,0,0.0,1.0,,,-0.01,0.00239,-0.00314,-0.04058,0.0,0.0
16,16384,nan,nan,0.0,0.0,2.305472,-0.005828,0.005555,0.004598,0.20778,0.057419,0.992592,-9.593242,22.018215,-10.014454,23.290693,4.0,0.00029846,0,338,0.16539,0.2025,1.0,nan,0,0.0,0.0,,,-0.01,0.0023,-0.00246,-0.03743,-0.00123,0.0
17,17408,nan,nan,0.0,0.0,1.922665,-0.003895,0.011191,0.004223,0.174119,0.04863,0.988825,-7.342617,22.192652,-7.612304,22.480047,4.0,0.00029836,0,353,0.15465,0.19908,1.0,nan,0,0.0,0.0,,,-0.01,0.00291,-0.00313,-0.03156,-0.01175,0.0
18,18432,-18.56727,386.0,0.0,0.0,1.420036,-0.001885,0.014714,0.001431,0.181383,0.004562,0.982921,-6.220765,21.113392,-6.549746,21.918978,4.0,0.00029826,1,386,0.19303,0.23545,0.96,nan,0,1.0,1.0,,,-0.01,0.00307,-0.00315,-0.03449,-0.00536,-0.0031
19,19456,-24.65088,600.0,0.0,0.0,1.431854,-0.003001,0.009102,0.003115,0.199597,0.023941,0.98973,-8.719395,22.308315,-9.168257,22.819298,4.0,0.00029816,7,387,0.20665,0.25444,0.96875,nan,0,0.0,0.99537,,,-0.01,0.0029,-0.00416,-0.0366,-0.00415,0.0
20,20480,nan,nan,0.0,0.0,1.994294,-0.002752,0.009644,0.002223,0.150627,0.019028,0.989732,-9.783414,24.007498,-9.986087,24.141838,4.0,0.00029805,0,349,0.18336,0.21898,0.96875,nan,0,0.0,0.0,,,-0.01,0.00168,-0.00335,-0.0341,-0.01255,0.0
21,21504,-12.35876,209.66667,0.0,0.0,1.248675,-0.002158,0.033661,0.002209,0.180709,0.021423,0.953416,-8.516176,21.94561,-8.480621,21.58128,4.0,0.00029795,3,410,0.20686,0.26313,0.88571,nan,0,1.0,1.0,,,-0.01,0.0025,-0.00396,-0.03276,-0.0184,-0.01055
22,22528,-18.6802,504.0,0.0,0.0,0.983307,-0.00299,0.013163,0.002252,0.147748,0.027969,0.979109,-8.658525,19.942244,-8.85456,19.893141,4.0,0.00029785,2,430,0.22693,0.28437,0.86486,nan,0,0.5,1.0,,,-0.01,0.00417,-0.00379,-0.03744,-0.01674,-0.00436
23,23552,-14.33269,341.5,0.0,0.0,1.358846,-0.004109,0.013263,0.003652,0.16694,0.054398,0.981301,-9.998943,21.382366,-9.972335,21.562593,4.0,0.00029775,2,390,0.21554,0.26937,0.82051,nan,0,1.0,0.96296,,,-0.01,0.00207,-0.00336,-0.0344,-0.00821,-0.00642
24,24576,-14.17059,413.0,0.0,0.0,1.313552,-0.002298,0.013418,0.001112,0.183241,0.009399,0.978737,-9.691171,20.636562,-9.566858,20.645687,4.0,0.00029764,4,394,0.21696,0.26821,0.7907,nan,0,0.5,0.98462,,,-0.01,0.00308,-0.00407,-0.03261,-0.00998,-0.00671
25,25600,-14.79471,420.66667,0.0,0.0,1.624177,-0.003554,0.016445,0.003072,0.199187,0.036484,0.976432,-9.861937,21.641853,-9.694586,21.614376,4.0,0.00029754,3,381,0.20189,0.25535,0.76087,nan,0,0.66667,0.97619,,,-0.01,0.00282,-0.00308,-0.03361,-0.00835,-0.00556
