iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.929533,-0.008825,0.373431,0.006528,1.336767,0.059036,0.038938,0.840474,0.257471,-0.109109,2.00331,4.0,0.0003,0,323,0.17047,0.224,0.0,nan,0,0.0,0.0,,,-0.01,0.00238,-0.00718,-0.039,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.903594,-0.005806,0.135682,0.004589,0.612398,0.060913,0.578657,0.020858,1.228634,-0.832327,2.923633,4.0,0.0002999,0,327,0.13509,0.18236,0.0,nan,0,0.0,0.0,,,-0.01,0.00296,-0.00627,-0.03719,-0.0008,0.0
3,3072,nan,nan,0.0,0.0,2.456541,-0.004667,0.07957,0.003118,0.469899,0.030441,0.841156,-0.787883,2.660543,-1.538561,3.622269,4.0,0.0002998,0,342,0.11913,0.17677,0.0,nan,0,0.0,0.0,,,-0.01,0.00335,-0.00557,-0.03121,-0.01104,0.0
4,4096,nan,nan,0.0,0.0,1.556465,-0.005337,0.049782,0.002813,0.248533,0.043106,0.902108,-1.456308,3.469866,-1.936617,4.34678,4.0,0.00029969,0,389,0.14918,0.22557,0.0,nan,0,0.0,0.0,,,-0.01,0.00327,-0.00566,-0.03461,-0.00979,0.0
5,5120,-25.42893,600.0,0.0,0.0,1.580476,-0.004665,0.033629,0.002841,0.196111,0.030579,0.933512,-1.958159,4.024146,-2.394795,4.828846,4.0,0.00029959,8,369,0.1635,0.23283,1.0,nan,0,0.25,0.96801,,,-0.01,0.00424,-0.00495,-0.03881,-0.00658,0.0
6,6144,nan,nan,0.0,0.0,2.576338,-0.004338,0.03656,0.003502,0.248646,0.040085,0.941315,-2.480289,5.149114,-3.074207,6.084361,4.0,0.00029949,0,328,0.12926,0.18522,1.0,nan,0,0.0,0.0,,,-0.01,0.00345,-0.00453,-0.03073,-0.00915,0.0
7,7168,nan,nan,0.0,0.0,1.410869,-0.003734,0.029574,0.00108,0.230818,0.007812,0.957289,-2.085642,5.529816,-2.518625,6.15627,4.0,0.00029939,0,392,0.16344,0.24982,1.0,nan,0,0.0,0.0,,,-0.01,0.00534,-0.00569,-0.02937,-0.01567,0.0
8,8192,-13.9241,308.0,0.0,0.0,1.049697,-0.003351,0.023236,0.002042,0.199299,0.020065,0.962879,-2.50939,5.84792,-2.842741,6.536644,4.0,0.00029928,1,416,0.181,0.26892,0.88889,nan,0,1.0,0.96296,,,-0.01,0.00452,-0.00518,-0.03786,-0.00869,-0.00472
9,9216,-15.92415,472.66667,0.0,0.0,1.097842,-0.003084,0.048394,0.001234,0.281841,0.015182,0.929686,-3.562073,6.057682,-3.849967,6.469862,4.0,0.00029918,3,416,0.15111,0.2179,0.66667,nan,0,1.0,0.98182,,,-0.01,0.00584,-0.00398,-0.03777,-0.01217,-0.01415
10,10240,-16.90901,598.25,0.0,0.0,1.832569,-0.004424,0.025625,0.002245,0.171218,0.025269,0.963014,-4.221945,7.098971,-4.576525,7.985891,4.0,0.00029908,4,365,0.14156,0.19535,0.6875,nan,0,1.0,0.97688,,,-0.01,0.0038,-0.00256,-0.03635,-0.00799,-0.00293
11,11264,-16.45925,397.0,0.0,0.0,1.74117,-0.004029,0.023617,0.002522,0.180001,0.023499,0.96993,-3.89403,7.414092,-4.252147,7.904882,4.0,0.00029898,1,368,0.13582,0.20044,0.64706,nan,0,1.0,0.92857,,,-0.01,0.00364,-0.00152,-0.03238,-0.01552,-0.00305
12,12288,-17.10787,391.0,0.0,0.0,1.2329,-0.003676,0.024545,0.001442,0.1639,0.017151,0.964587,-3.975142,7.189501,-4.303877,7.809303,4.0,0.00029887,2,402,0.16089,0.23646,0.57895,nan,0,1.0,0.97826,,,-0.01,0.0053,-0.0034,-0.03544,-0.01205,-0.00821
13,13312,-15.23672,455.4,0.0,0.0,1.139887,-0.002751,0.030183,0.002343,0.300858,0.023285,0.955201,-4.826416,7.459868,-4.808694,7.742363,4.0,0.00029877,5,396,0.12832,0.19166,0.45833,nan,0,1.0,0.90196,,,-0.01,0.00681,-0.00243,-0.03255,-0.01391,-0.02189
14,14336,-14.04924,454.0,0.0,0.0,1.705238,-0.004567,0.020489,0.003459,0.168969,0.041016,0.975473,-5.439548,8.417657,-5.657951,8.799326,4.0,0.00029867,1,369,0.12449,0.1821,0.44,nan,0,1.0,0.95238,,,-0.01,0.00409,-0.00167,-0.03153,-0.01287,-0.00299
15,15360,-13.85361,402.5,0.0,0.0,1.285102,-0.003043,0.020499,0.001718,0.198626,0.016479,0.968119,-5.039726,7.502697,-5.154316,7.855311,4.0,0.00029857,2,395,0.15429,0.23023,0.40741,nan,0,1.0,1.0,,,-0.01,0.00508,-0.0023,-0.03036,-0.01128,-0.00769
16,16384,-11.04475,307.0,0.0,0.0,1.098286,-0.003831,0.017949,0.001855,0.149749,0.016113,0.967456,-5.192659,7.119277,-5.342708,7.384151,4.0,0.00029846,1,418,0.14659,0.2163,0.39286,nan,0,1.0,1.0,,,-0.01,0.00475,-0.00255,-0.03333,-0.01548,-0.0045
17,17408,-14.90523,506.33333,0.0,0.0,0.885203,-0.003741,0.015167,0.001455,0.148383,0.014114,0.970592,-5.083097,6.861477,-5.144398,7.094834,4.0,0.00029836,3,423,0.16112,0.24351,0.3871,nan,0,1.0,0.91667,,,-0.01,0.00544,-0.00366,-0.03641,-0.01358,-0.01059
18,18432,-12.09625,412.6,0.0,0.0,1.641632,-0.004706,0.019293,0.002299,0.246593,0.029984,0.976757,-6.325891,9.090309,-6.26333,9.365026,4.0,0.00029826,5,372,0.12493,0.18586,0.36111,nan,0,1.0,0.95506,,,-0.01,0.00584,-0.00203,-0.02924,-0.01288,-0.01223
19,19456,-12.49914,288.0,0.0,0.0,1.324058,-0.003653,0.025475,0.002222,0.198732,0.027679,0.956379,-5.608072,8.055179,-5.691815,8.025335,4.0,0.00029816,1,391,0.1327,0.2084,0.35135,nan,0,1.0,1.0,,,-0.01,0.00565,-0.00068,-0.0286,-0.02364,-0.00369
20,20480,-10.25138,288.0,0.0,0.0,1.077345,-0.002789,0.016388,0.001861,0.267937,0.014679,0.968287,-5.616265,7.553432,-5.411063,7.473025,4.0,0.00029805,5,408,0.13119,0.19569,0.30952,nan,0,1.0,0.96552,,,-0.01,0.00696,-0.00099,-0.02734,-0.01762,-0.02196
21,21504,-10.04865,331.66667,0.0,0.0,1.556176,-0.004495,0.013596,0.002596,0.19355,0.028854,0.980221,-6.313005,8.515349,-6.258422,8.721052,4.0,0.00029795,3,366,0.12767,0.18783,0.28889,nan,0,1.0,0.92308,,,-0.01,0.00588,-0.00133,-0.02642,-0.01649,-0.00939
22,22528,-9.45481,264.66667,0.0,0.0,1.074374,-0.00403,0.012806,0.002318,0.1895,0.031876,0.975939,-5.137527,7.549762,-5.062863,7.750976,4.0,0.00029785,3,403,0.13984,0.21062,0.27083,nan,0,1.0,1.0,,,-0.01,0.00488,-0.00088,-0.03181,-0.02026,-0.01268
23,23552,-9.65916,279.0,0.0,0.0,1.288739,-0.004004,0.012758,0.002517,0.180273,0.018402,0.980812,-5.674603,8.620916,-5.595085,8.710413,4.0,0.00029775,4,387,0.11433,0.17308,0.25,nan,0,1.0,1.0,,,-0.01,0.00547,-5e-05,-0.0303,-0.01567,-0.01449
24,24576,-9.72399,239.2,0.0,0.0,1.14657,-0.00391,0.014785,0.003085,0.225382,0.033508,0.963354,-5.087717,7.468389,-4.979102,7.145915,4.0,0.00029764,5,396,0.12759,0.19384,0.22807,nan,0,1.0,0.75,,,-0.01,0.00622,-0.00016,-0.0313,-0.02122,-0.0197
25,25600,-10.59217,436.0,0.0,0.0,1.296666,-0.004521,0.009786,0.002446,0.178352,0.036346,0.976994,-5.134084,6.834638,-5.051589,6.859943,4.0,0.00029754,2,381,0.12046,0.18004,0.22034,nan,0,1.0,1.0,,,-0.01,0.00606,0.00032,-0.03161,-0.01383,-0.00696
26,26624,16.51767,205.0,0.33333,0.01613,1.185457,-0.002846,0.340798,0.002096,0.401961,0.019867,0.487795,-4.530775,6.311872,-3.917232,8.479516,4.0,0.00029744,3,397,0.12265,0.19207,0.20968,0.0,1,0.66667,1.0,,,-0.01,0.00509,-0.0006,-0.02653,-0.01778,0.1291
27,27648,-10.18214,310.0,0.0,0.01515,1.152348,-0.003423,0.011369,0.001912,0.183167,0.014694,0.968558,-3.70642,6.155905,-3.718151,6.337095,4.0,0.00029734,4,405,0.13486,0.1992,0.19697,0.0,1,1.0,0.94444,,,-0.01,0.00576,-0.00106,-0.02898,-0.0059,-0.01548
28,28672,nan,nan,0.0,0.01515,1.187186,-0.004271,0.013145,0.002642,0.187469,0.032791,0.946741,-3.139353,5.20469,-3.285531,5.605714,4.0,0.00029724,0,412,0.16749,0.23765,0.19697,0.0,1,0.0,0.0,,,-0.01,0.00397,-0.00227,-0.03032,-0.00863,0.0
29,29696,-13.19948,570.5,0.0,0.01471,1.110814,-0.005367,0.01283,0.002417,0.197095,0.032211,0.96404,-3.427528,6.201836,-3.535491,6.617754,4.0,0.00029713,2,438,0.16535,0.23348,0.20588,0.0,1,0.5,0.91176,,,-0.01,0.00402,-0.00191,-0.03501,-0.00226,-0.00415
30,30720,-12.15542,483.0,0.0,0.01389,1.258442,-0.004421,0.015501,0.001587,0.18691,0.017975,0.964235,-3.855639,6.709554,-4.03616,6.964639,4.0,0.00029703,4,415,0.14647,0.21824,0.22222,0.0,1,1.0,0.85714,,,-0.01,0.00399,-0.00136,-0.03271,-0.00813,-0.00727
31,31744,22.37004,466.0,0.5,0.02703,1.528308,-0.002405,0.440599,0.002298,0.615367,0.0224,0.563665,-4.676677,7.383708,-3.553477,10.615466,4.0,0.00029693,2,391,0.15718,0.22554,0.22973,0.0,2,0.5,0.79167,,,-0.01,0.00332,-0.00089,-0.03399,-0.00425,0.10395
32,32768,43.56282,303.5,0.75,0.0641,1.54843,-0.002239,1.150715,0.002383,1.57419,0.016251,0.385008,-3.446207,8.349596,0.395166,15.009873,4.0,0.00029683,4,381,0.15237,0.21708,0.23077,0.0,5,0.25,0.96667,,,-0.01,0.00481,-0.0016,-0.03217,-0.00197,0.31549
33,33792,64.86607,191.5,1.0,0.0875,1.465744,-0.002322,0.632532,0.00196,1.042613,0.016235,0.587251,-0.269132,10.098022,2.293345,14.342911,4.0,0.00029672,2,389,0.15964,0.22831,0.225,0.0,7,0.0,1.0,,,-0.01,0.00455,-0.00124,-0.03264,-0.0057,0.22584
34,34816,25.7042,332.66667,0.5,0.11628,1.615941,-0.001877,0.649458,0.00133,1.261376,0.008652,0.622649,0.329833,11.456462,3.169036,16.159706,4.0,0.00029662,6,363,0.13276,0.19411,0.23256,0.0,10,0.33333,0.95349,,,-0.01,0.00563,-0.00072,-0.03194,-0.00578,0.29863
