iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.401419,-0.007852,0.374316,0.006259,1.357093,0.056793,0.042058,0.792872,0.281495,-0.116428,1.934953,4.0,0.0003,0,341,0.19464,0.24463,0.0,nan,0,0.0,0.0,,,-0.01,0.00351,-0.00686,-0.03843,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.426987,-0.003717,0.143551,0.002854,0.545444,0.020157,0.547654,-0.053044,1.131859,-0.883499,2.857245,4.0,0.0002999,0,345,0.16687,0.21136,0.0,nan,0,0.0,0.0,,,-0.01,0.00342,-0.00624,-0.03673,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.394298,-0.004629,0.064722,0.005053,0.466663,0.065613,0.80869,-0.928319,2.680555,-1.720888,4.251233,4.0,0.0002998,0,344,0.16117,0.20572,0.0,nan,0,0.0,0.0,,,-0.01,0.00413,-0.00661,-0.03552,-0.0009,0.0
4,4096,nan,nan,0.0,0.0,2.221263,-0.004922,0.048311,0.003682,0.317843,0.040405,0.909751,-1.55801,4.217447,-2.264148,5.32592,4.0,0.00029969,0,345,0.13365,0.18319,0.0,nan,0,0.0,0.0,,,-0.01,0.00412,-0.00691,-0.03228,-0.00689,0.0
5,5120,-28.0187,600.0,0.0,0.0,1.787307,-0.003386,0.047172,0.00372,0.27135,0.041,0.929816,-1.817966,4.897024,-2.374851,5.626165,4.0,0.00029959,8,356,0.17168,0.22913,1.0,nan,0,0.25,0.97886,,,-0.01,0.0042,-0.00605,-0.03095,-0.01043,0.0
6,6144,nan,nan,0.0,0.0,2.13542,-0.003359,0.0322,0.002479,0.321481,0.018936,0.952683,-2.052435,5.744319,-2.692213,6.521162,4.0,0.00029949,0,341,0.15573,0.20251,1.0,nan,0,0.0,0.0,,,-0.01,0.00544,-0.00457,-0.03206,-0.00949,0.0
7,7168,nan,nan,0.0,0.0,1.314432,-0.003958,0.024284,0.002231,0.383723,0.020172,0.960234,-1.939729,5.850183,-2.358812,6.629507,4.0,0.00029939,0,382,0.15782,0.23276,1.0,nan,0,0.0,0.0,,,-0.01,0.005,-0.00601,-0.03092,-0.0119,0.0
8,8192,nan,nan,0.0,0.0,0.696528,-0.002235,0.026866,0.001247,0.295684,0.016647,0.957423,-3.015506,6.043617,-3.484406,6.531486,4.0,0.00029928,0,424,0.21652,0.31921,1.0,nan,0,0.0,0.0,,,-0.01,0.00582,-0.00647,-0.03345,-0.01582,0.0
9,9216,-15.71553,483.0,0.0,0.0,0.665023,-0.001887,0.037115,0.00052,0.218799,0.003937,0.935758,-4.863014,6.094256,-5.010709,6.412033,4.0,0.00029918,3,431,0.19657,0.25217,0.72727,nan,0,1.0,0.91892,,,-0.01,0.00552,-0.0061,-0.04243,-0.00876,-0.01893
10,10240,-17.1638,588.6,0.0,0.0,1.655087,-0.003748,0.028778,0.003543,0.27817,0.026138,0.959297,-4.86092,7.167313,-5.15823,7.907356,4.0,0.00029908,5,360,0.1947,0.23894,0.6875,nan,0,1.0,0.9668,,,-0.01,0.00605,-0.00244,-0.03179,-0.00744,-0.00531
11,11264,nan,nan,0.0,0.0,1.216864,-0.003906,0.017835,0.003231,0.180366,0.051331,0.975269,-3.490092,7.389732,-3.687912,7.750616,4.0,0.00029898,0,390,0.19106,0.26282,0.6875,nan,0,0.0,0.0,,,-0.01,0.00516,-0.00295,-0.02388,-0.01841,0.0
12,12288,-10.31299,255.0,0.0,0.0,0.68063,-0.002416,0.017567,0.001485,0.201213,0.020447,0.971712,-3.460943,7.103665,-3.679534,7.470541,4.0,0.00029887,1,446,0.20878,0.28154,0.64706,nan,0,1.0,0.88889,,,-0.01,0.0045,-0.002,-0.03671,-0.01015,-0.00595
13,13312,-14.15949,449.2,0.0,0.0,1.002358,-0.003146,0.028285,0.002264,0.199038,0.029236,0.95949,-4.63871,7.774976,-4.654983,8.03261,4.0,0.00029877,5,408,0.20121,0.26403,0.5,nan,0,1.0,0.86735,,,-0.01,0.0049,-0.0033,-0.03587,-0.01008,-0.0206
14,14336,-13.34706,573.5,0.0,0.0,1.218248,-0.003169,0.016458,0.002436,0.157863,0.022095,0.975475,-4.127932,7.844699,-4.220987,8.00058,4.0,0.00029867,2,397,0.19155,0.25191,0.5,nan,0,0.5,0.80392,,,-0.01,0.00562,-0.00304,-0.02522,-0.0168,-0.00349
15,15360,-10.87646,301.66667,0.0,0.0,1.165596,-0.002611,0.017981,0.001534,0.154137,0.020477,0.976303,-4.277632,8.457461,-4.468796,8.895871,4.0,0.00029857,3,397,0.17757,0.23885,0.44444,nan,0,1.0,0.88,,,-0.01,0.00357,-0.00206,-0.03508,-0.01005,-0.01052
16,16384,-11.14962,347.0,0.0,0.0,1.060134,-0.00393,0.011707,0.002419,0.197543,0.034103,0.981492,-4.09264,7.891008,-4.30021,8.336125,4.0,0.00029846,1,408,0.18409,0.24657,0.42857,nan,0,1.0,1.0,,,-0.01,0.00428,-0.00326,-0.0342,-0.0088,-0.00382
17,17408,-12.82351,389.0,0.0,0.0,0.825138,-0.001764,0.025899,0.00108,0.152429,0.007721,0.953398,-4.332197,7.482813,-4.444229,7.603951,4.0,0.00029836,3,448,0.19677,0.26667,0.3871,nan,0,1.0,0.90385,,,-0.01,0.00394,-0.0037,-0.02994,-0.01325,-0.01475
18,18432,-13.67313,459.66667,0.0,0.0,1.284795,-0.004365,0.018895,0.002572,0.136399,0.034073,0.974477,-5.336403,8.65029,-5.421429,8.98299,4.0,0.00029826,3,392,0.1825,0.24503,0.38235,nan,0,1.0,0.93846,,,-0.01,0.00465,-0.00275,-0.0309,-0.00965,-0.00627
19,19456,-12.7371,475.33333,0.0,0.0,1.372313,-0.003941,0.012652,0.00239,0.156158,0.027328,0.982662,-5.388729,9.126075,-5.5789,9.581925,4.0,0.00029816,3,384,0.14998,0.21397,0.40541,nan,0,0.66667,0.85897,,,-0.01,0.00431,-0.00303,-0.03128,-0.00577,-0.00297
20,20480,nan,nan,0.0,0.0,1.281103,-0.004157,0.010132,0.002655,0.178168,0.024811,0.98287,-5.056182,8.638147,-5.329783,9.300683,4.0,0.00029805,0,404,0.16931,0.23407,0.40541,nan,0,0.0,0.0,,,-0.01,0.00401,-0.003,-0.0315,-0.00362,0.0
21,21504,-12.66056,331.66667,0.0,0.0,0.909993,-0.003566,0.026504,0.002126,0.163279,0.025818,0.959643,-5.155344,8.705945,-5.233285,8.879279,4.0,0.00029795,3,445,0.17925,0.25557,0.375,nan,0,1.0,0.90909,,,-0.01,0.00526,-0.00296,-0.03397,-0.0162,-0.01344
22,22528,-14.22821,567.33333,0.0,0.0,1.235754,-0.004242,0.011804,0.002939,0.196485,0.027252,0.984953,-5.816206,9.980569,-5.849672,10.35877,4.0,0.00029785,3,389,0.14142,0.20205,0.39535,nan,0,0.33333,0.93684,,,-0.01,0.00476,-0.00171,-0.02882,-0.00866,-0.00315
23,23552,-13.70365,407.75,0.0,0.0,0.965786,-0.003679,0.029686,0.003195,0.227801,0.040207,0.956575,-5.626163,9.422595,-5.681913,9.400591,4.0,0.00029775,4,411,0.16359,0.23413,0.38298,nan,0,0.75,0.88235,,,-0.01,0.00454,-0.00038,-0.03106,-0.01583,-0.01214
