iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.432751,-0.007317,0.307194,0.00655,1.337868,0.074875,0.109371,-0.61154,0.239503,-1.815433,2.180233,4.0,0.0003,0,289,0.19763,0.24426,0.0,nan,0,0.0,0.0,,,-0.01,0.0033,-0.00639,-0.04058,0.0,-0.02666,0.0
2,2048,nan,nan,0.0,0.0,2.427352,-0.003521,0.111001,0.001924,0.500843,0.010727,0.637341,-1.903175,1.49796,-2.75595,3.127397,4.0,0.0002999,0,312,0.16655,0.21419,0.0,nan,0,0.0,0.0,,,-0.01,0.00357,-0.00667,-0.03718,-0.00038,-0.00409,0.0
3,3072,nan,nan,0.0,0.0,2.318871,-0.003325,0.061308,0.001307,0.381984,0.006409,0.839773,-2.625596,2.925711,-3.325317,4.290238,4.0,0.0002998,0,319,0.15501,0.20301,0.0,nan,0,0.0,0.0,,,-0.01,0.0037,-0.00441,-0.03377,-0.00289,-0.00185,0.0
4,4096,nan,nan,0.0,0.0,2.061675,-0.00287,0.036867,0.002957,0.266805,0.036713,0.907058,-2.969736,4.180842,-3.551126,5.550259,4.0,0.00029969,0,312,0.13552,0.18817,0.0,nan,0,0.0,0.0,,,-0.01,0.00411,-0.0033,-0.0366,-0.00305,-0.00145,0.0
5,5120,-31.61567,600.0,0.0,0.0,1.968661,-0.004129,0.031742,0.003234,0.283538,0.046783,0.939187,-3.449334,5.393818,-4.118633,6.577659,4.0,0.00029959,8,330,0.1444,0.20189,1.0,nan,0,0.0,0.95126,,,-0.01,0.00383,-0.00374,-0.03443,-0.00334,-0.02469,0.0
6,6144,nan,nan,0.0,0.0,2.258409,-0.003763,0.019761,0.003059,0.19291,0.017792,0.956602,-4.844459,6.635083,-5.396478,7.907175,4.0,0.00029949,0,310,0.12708,0.17262,1.0,nan,0,0.0,0.0,,,-0.01,0.00392,-0.00351,-0.03373,-0.00346,-0.00291,0.0
7,7168,nan,nan,0.0,0.0,1.757001,-0.002682,0.021238,0.002631,0.15321,0.019653,0.966351,-4.397655,7.379661,-4.866667,8.317285,4.0,0.00029939,0,327,0.13045,0.18881,1.0,nan,0,0.0,0.0,,,-0.01,0.00362,-0.00346,-0.03267,-0.00904,-0.00019,0.0
8,8192,-19.79545,394.0,0.0,0.0,1.032163,-0.001554,0.045352,0.000772,0.217608,0.002502,0.943709,-4.665286,7.960276,-5.10268,8.307381,4.0,0.00029928,1,397,0.17274,0.26187,0.88889,nan,0,1.0,0.9697,,,-0.01,0.00484,-0.00469,-0.02886,-0.02043,-0.0041,-0.00442
9,9216,nan,nan,0.0,0.0,0.576696,-0.001816,0.015153,0.001353,0.187626,0.021225,0.972409,-5.859071,7.217426,-6.18807,7.497333,4.0,0.00029918,0,454,0.1803,0.26303,0.88889,nan,0,0.0,0.0,,,-0.01,0.00556,-0.00686,-0.04649,-0.0091,-0.00186,0.0
10,10240,-21.78752,595.42857,0.0,0.0,1.547244,-0.003765,0.026747,0.003908,0.212459,0.039444,0.959667,-7.182301,8.512606,-7.521678,9.415802,4.0,0.00029908,7,353,0.15325,0.19879,0.8125,nan,0,0.57143,0.93003,,,-0.01,0.00468,-0.00319,-0.03722,-0.00421,-0.02638,-0.00579
