iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.403884,-0.007073,0.329039,0.005701,0.759649,0.074112,-1.5e-05,-0.434466,0.20065,-1.323463,1.854789,4.0,0.0003,0,331,0.20007,0.24768,0.0,0.0,0.0,,,-0.01,0.00292,-0.00651,-0.03795,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.406837,-0.005231,0.133811,0.002856,0.523999,0.029373,0.580528,-1.421331,1.223895,-2.233978,2.881199,4.0,0.0002999,0,340,0.14977,0.19647,0.0,0.0,0.0,,,-0.01,0.00361,-0.00603,-0.03627,-0.00174,0.0
3,3072,nan,nan,0.0,0.0,2.056033,-0.003817,0.071293,0.003708,0.338609,0.04863,0.854551,-2.04657,2.654574,-2.645543,3.587491,4.0,0.0002998,0,343,0.13574,0.1913,0.0,0.0,0.0,,,-0.01,0.00455,-0.00615,-0.02708,-0.01041,0.0
4,4096,nan,nan,0.0,0.0,1.220961,-0.003341,0.055164,0.001904,0.214553,0.015045,0.901944,-2.51443,3.258504,-2.966874,3.86941,4.0,0.00029969,0,399,0.1704,0.23747,0.0,0.0,0.0,,,-0.01,0.00459,-0.00743,-0.02514,-0.01349,0.0
5,5120,-22.99087,600.0,0.0,0.0,1.201685,-0.003328,0.040463,0.002225,0.181963,0.016083,0.925063,-3.258353,3.714509,-3.607205,4.380149,4.0,0.00029959,8,385,0.15476,0.21261,1.0,0.375,0.96948,,,-0.01,0.00356,-0.00503,-0.03203,-0.00496,0.0
6,6144,nan,nan,0.0,0.0,2.16231,-0.003539,0.045073,0.003576,0.202202,0.031326,0.933772,-3.777365,4.899673,-4.407468,5.802813,4.0,0.00029949,0,337,0.12511,0.16856,1.0,0.0,0.0,,,-0.01,0.00421,-0.00318,-0.03204,-0.0106,0.0
7,7168,nan,nan,0.0,0.0,1.321244,-0.002728,0.02466,0.001616,0.181494,0.020065,0.952365,-3.544986,5.09642,-3.893408,6.037585,4.0,0.00029939,0,388,0.152,0.21603,1.0,0.0,0.0,,,-0.01,0.00423,-0.00361,-0.0345,-0.00721,0.0
8,8192,nan,nan,0.0,0.0,1.076765,-0.00306,0.032282,0.001117,0.249022,0.010468,0.951621,-3.753619,5.785728,-4.168885,6.633036,4.0,0.00029928,0,399,0.14056,0.21012,1.0,0.0,0.0,,,-0.01,0.00312,-0.00334,-0.04009,-0.00529,0.0
9,9216,nan,nan,0.0,0.0,0.873304,-0.003537,0.014075,0.001399,0.186392,0.014572,0.975276,-4.365216,6.159509,-4.579746,6.740275,4.0,0.00029918,0,432,0.14165,0.20957,1.0,0.0,0.0,,,-0.01,0.00376,-0.00413,-0.03527,-0.00373,0.0
10,10240,-18.3189,599.125,0.0,0.0,1.73992,-0.002644,0.026715,0.001288,0.179256,0.008011,0.961165,-5.71376,7.671628,-6.159791,8.839208,4.0,0.00029908,8,349,0.14051,0.18605,0.9375,0.375,0.92767,,,-0.01,0.00366,-0.00195,-0.03738,-0.00075,-0.00258
11,11264,nan,nan,0.0,0.0,2.247284,-0.004097,0.021284,0.004833,0.603465,0.061234,0.973775,-6.826683,9.556377,-7.312661,10.826079,4.0,0.00029898,0,339,0.11508,0.15602,0.9375,0.0,0.0,,,-0.01,0.00312,-0.00208,-0.03549,-0.00238,0.0
12,12288,nan,nan,0.0,0.0,1.834762,-0.003507,0.022483,0.003079,0.175065,0.027618,0.973505,-6.178303,10.140966,-6.592523,11.236795,4.0,0.00029887,0,351,0.11727,0.16777,0.9375,0.0,0.0,,,-0.01,0.00244,-0.00216,-0.03294,-0.00554,0.0
13,13312,nan,nan,0.0,0.0,1.671862,-0.004061,0.010703,0.002608,0.171382,0.022202,0.98196,-6.085198,11.139181,-6.487861,12.388848,4.0,0.00029877,0,377,0.11303,0.16623,0.9375,0.0,0.0,,,-0.01,0.00345,-0.00188,-0.03636,-0.00054,0.0
14,14336,nan,nan,0.0,0.0,1.644507,-0.004206,0.017447,0.00392,0.173403,0.042557,0.979953,-5.974492,12.091105,-6.390848,13.224178,4.0,0.00029867,0,348,0.10486,0.15686,0.9375,0.0,0.0,,,-0.01,0.00319,-0.00177,-0.03663,-0.00231,0.0
15,15360,-23.20294,600.0,0.0,0.0,2.210903,-0.004343,0.011735,0.003036,0.499181,0.034958,0.985099,-9.748517,14.314697,-10.345458,15.789642,4.0,0.00029857,8,328,0.10752,0.14407,0.95833,0.25,0.92713,,,-0.01,0.00283,-0.00174,-0.04077,-1e-05,0.0
16,16384,nan,nan,0.0,0.0,2.241945,-0.004567,0.01244,0.005212,0.449611,0.053467,0.987646,-9.657917,15.343762,-10.064902,16.494961,4.0,0.00029846,0,338,0.0988,0.1394,0.95833,0.0,0.0,,,-0.01,0.00335,-0.0019,-0.03648,-0.00333,0.0
17,17408,nan,nan,0.0,0.0,1.831006,-0.004666,0.015809,0.002879,0.265698,0.03093,0.985538,-8.179708,15.206425,-8.302402,15.865417,4.0,0.00029836,0,347,0.10701,0.15199,0.95833,0.0,0.0,,,-0.01,0.00328,-0.00171,-0.03003,-0.00901,0.0
18,18432,-19.26156,465.0,0.0,0.0,1.405399,-0.003214,0.015346,0.002634,0.168375,0.027313,0.98196,-7.018415,15.126378,-7.244836,16.094082,4.0,0.00029826,1,391,0.12222,0.17309,0.92,1.0,1.0,,,-0.01,0.00279,-0.00209,-0.04044,-0.00388,-0.00318
19,19456,-24.46731,600.0,0.0,0.0,1.727148,-0.004259,0.006561,0.002624,0.180356,0.025055,0.991586,-7.993342,17.030121,-8.247856,18.03887,4.0,0.00029816,7,347,0.13349,0.18227,0.9375,0.28571,0.95745,,,-0.01,0.00357,-0.00184,-0.04183,0.0,0.0
20,20480,nan,nan,0.0,0.0,2.186937,-0.00393,0.013987,0.00354,0.276586,0.033142,0.988955,-10.545309,18.832644,-10.58213,19.437424,4.0,0.00029805,0,330,0.11662,0.16039,0.9375,0.0,0.0,,,-0.01,0.0038,-0.00149,-0.03344,-0.00829,0.0
21,21504,nan,nan,0.0,0.0,1.297431,-0.002979,0.02451,0.001365,0.189496,0.01445,0.971718,-7.531483,16.210741,-8.01074,16.520191,4.0,0.00029795,0,381,0.13789,0.20205,0.9375,0.0,0.0,,,-0.01,0.00388,-0.00218,-0.0303,-0.01307,0.0
22,22528,nan,nan,0.0,0.0,1.027377,-0.004082,0.004684,0.00165,0.170647,0.023239,0.992504,-7.951713,15.325703,-8.076501,15.969629,4.0,0.00029785,0,415,0.14386,0.18781,0.9375,0.0,0.0,,,-0.01,0.00418,-0.00323,-0.03806,-0.00115,0.0
23,23552,-16.82722,499.5,0.0,0.0,1.419142,-0.002781,0.019367,0.002805,0.239241,0.038483,0.978244,-8.405861,17.320347,-8.308195,17.946835,4.0,0.00029775,4,377,0.13876,0.18796,0.86111,0.75,0.97403,,,-0.01,0.00383,-0.00317,-0.03571,-0.00312,-0.00952
24,24576,-19.01804,600.0,0.0,0.0,1.861493,-0.004603,0.018322,0.0038,0.26657,0.041901,0.985463,-10.274151,20.545647,-10.288738,20.863041,4.0,0.00029764,4,348,0.13101,0.1813,0.875,0.25,0.92381,,,-0.01,0.00327,-0.00179,-0.03262,-0.00897,0.0
25,25600,nan,nan,0.0,0.0,1.472793,-0.003271,0.015825,0.002127,0.192453,0.014435,0.984593,-8.358806,19.517551,-8.34409,19.802128,4.0,0.00029754,0,379,0.14966,0.21206,0.875,0.0,0.0,,,-0.01,0.00443,-0.00198,-0.03105,-0.01267,0.0
26,26624,nan,nan,0.0,0.0,1.013958,-0.00434,0.00682,0.002284,0.150095,0.032944,0.991085,-6.28112,17.925642,-6.422457,18.689053,4.0,0.00029744,0,407,0.17853,0.24862,0.875,0.0,0.0,,,-0.01,0.00361,-0.00255,-0.04199,-0.00139,0.0
27,27648,-16.59193,600.0,0.0,0.0,0.959742,-0.003691,0.008568,0.002696,0.156075,0.033875,0.988476,-5.567893,17.445267,-5.728246,18.128702,4.0,0.00029734,1,428,0.18804,0.26167,0.87805,0.0,1.0,,,-0.01,0.00401,-0.00297,-0.04077,-0.0008,0.0
28,28672,-17.03122,600.0,0.0,0.0,1.561727,-0.00435,0.009228,0.002365,0.163638,0.018982,0.991389,-8.60637,21.395098,-8.51263,21.823652,4.0,0.00029724,3,365,0.15504,0.21107,0.88636,1.0,0.95522,,,-0.01,0.00379,-0.00149,-0.0332,-0.00789,0.0
29,29696,-19.67414,600.0,0.0,0.0,1.685556,-0.004382,0.007545,0.002401,0.167806,0.02919,0.992324,-9.577994,21.752056,-9.563494,22.479614,4.0,0.00029713,4,365,0.17014,0.21639,0.89583,0.25,0.91509,,,-0.01,0.00375,-0.00177,-0.03269,-0.00743,0.0
30,30720,-11.17481,296.0,0.0,0.0,1.274654,-0.003244,0.018585,0.002537,0.190977,0.024475,0.9819,-7.364756,21.44729,-7.350795,21.68848,4.0,0.00029703,1,362,0.18311,0.24513,0.87755,1.0,0.9,,,-0.01,0.0038,-0.00205,-0.03243,-0.01225,-0.00335
31,31744,nan,nan,0.0,0.0,0.888528,-0.003609,0.00882,0.001796,0.170685,0.017868,0.988502,-5.119019,19.023008,-5.181163,19.12587,4.0,0.00029693,0,434,0.19745,0.28159,0.87755,0.0,0.0,,,-0.01,0.00382,-0.00109,-0.03223,-0.01311,0.0
32,32768,-16.28973,541.2,0.0,0.0,0.795652,-0.002278,0.014031,0.001804,0.127607,0.017715,0.982415,-6.153987,19.995523,-6.181417,20.32655,4.0,0.00029683,5,404,0.19994,0.27345,0.85185,0.4,0.94667,,,-0.01,0.00466,-0.00258,-0.04219,-0.00683,-0.00984
