iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.915887,-0.015909,0.156999,0.009141,1974,0.12974,0.0,0.0,-0.01,0.00075,-0.04871,0.0,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.91907,-0.049086,3.648304,0.001443,2038,0.1303,0.0,0.0,-0.01,0.00349,-0.0419,0.0,-0.04272,0.0
3,3072,-30.28641,368.0,0.0,0.0,1.923413,0.044535,10.443114,0.002033,2517,0.15434,1.0,1.0,-0.01,0.0026,-0.04319,0.0,-0.09925,-0.00039
4,4096,-35.19275,450.0,0.0,0.0,1.879744,-0.003617,0.989016,0.00427,2450,0.15814,0.85714,1.0,-0.01,0.00232,-0.04203,0.0,-0.01269,0.0
5,5120,nan,nan,0.0,0.0,1.822709,-0.005192,0.130227,0.012756,1926,0.13939,0.0,0.0,-0.01,0.00237,-0.02985,0.0,-0.00264,0.0
6,6144,-20.79044,235.0,0.0,0.0,1.827248,0.000143,7.536988,0.001142,2775,0.16766,1.0,1.0,-0.01,0.00266,-0.01929,0.0,-0.10302,-0.00042
7,7168,-28.54684,411.0,0.0,0.0,1.798921,0.153385,8.103096,0.004898,3349,0.19499,1.0,1.0,-0.01,0.00096,-0.02179,0.0,-0.04163,-0.00113
8,8192,-18.78243,450.0,0.0,0.0,1.75005,-0.00719,0.114693,0.004806,2101,0.14279,0.5,1.0,-0.01,0.00253,-0.01929,0.0,-0.00106,0.0
9,9216,-9.644,450.0,0.0,0.0,1.736189,-0.000431,7.925087,0.001759,2679,0.1558,0.0,1.0,-0.01,0.0017,-0.01299,0.0,-0.08498,0.0
10,10240,-22.33592,347.66667,0.0,0.0,1.726772,-0.004592,0.995377,0.003796,2752,0.15718,1.0,1.0,-0.01,0.0005,-0.01841,0.0,-0.01367,-0.00042
11,11264,-13.95801,450.0,0.0,0.0,1.752646,-0.007091,0.223347,0.004776,2169,0.13583,0.2,1.0,-0.01,0.00287,-0.01017,0.0,-0.00201,0.0
12,12288,-19.19567,245.0,0.0,0.0,1.779686,-0.001163,6.633456,0.003929,2623,0.15445,1.0,1.0,-0.01,0.00604,-0.00742,0.0,-0.08172,-0.0004
13,13312,-12.83901,262.66667,0.0,0.0,1.783058,-0.070752,5.83792,0.00263,3407,0.15631,1.0,1.0,-0.01,0.00697,-0.0071,0.0,-0.08641,-0.00178
14,14336,-17.32642,326.8,0.0,0.0,1.767584,-0.021539,2.663102,0.003416,2618,0.13063,0.8,1.0,-0.01,0.00576,-0.00622,0.0,-0.04352,-0.00126
15,15360,-12.00856,276.33333,0.0,0.0,1.750859,-0.028476,3.124776,0.002395,2889,0.13121,1.0,1.0,-0.01,0.00727,-0.00655,0.0,-0.05352,-0.00093
16,16384,-9.70549,330.33333,0.0,0.0,1.738786,0.052363,8.301604,0.001786,3272,0.14408,1.0,1.0,-0.01,0.00845,-0.0073,0.0,-0.0974,-0.00165
17,17408,-12.29531,249.5,0.0,0.0,1.725759,-0.002556,5.028573,0.002846,2258,0.11295,1.0,1.0,-0.01,0.01099,-0.00469,0.0,-0.0727,-0.00228
18,18432,-7.00539,145.75,0.125,0.01852,1.678275,0.009737,8.858816,0.003,2104,0.10502,0.875,1.0,-0.01,0.01027,-0.00491,0.0,-0.07204,0.01637
19,19456,-9.77238,170.8,0.0,0.01695,1.641748,-4.6e-05,6.43159,0.000464,2350,0.11769,1.0,1.0,-0.01,0.0082,-0.00456,0.0,-0.08617,-0.00197
20,20480,-12.39428,162.33333,0.0,0.01613,1.644799,-0.000722,9.714061,0.001137,3021,0.14613,1.0,1.0,-0.01,0.00565,-0.00786,0.0,-0.15951,-0.00164
21,21504,-26.0641,377.5,0.0,0.01562,1.706821,-0.001211,6.535214,0.001114,3172,0.14139,1.0,1.0,-0.01,0.00745,-0.00574,0.0,-0.08776,-0.00057
22,22528,-16.83999,296.33333,0.0,0.01429,1.746429,-0.015973,1.586877,0.001212,2810,0.12468,1.0,1.0,-0.01,0.0078,-0.00581,0.0,-0.02758,-0.00203
23,23552,-7.71622,271.75,0.0,0.01351,1.715155,-0.001491,1.769447,0.003645,2796,0.12076,1.0,1.0,-0.01,0.00748,-0.00504,0.0,-0.02952,-0.00204
24,24576,-11.4405,163.33333,0.0,0.01299,1.626258,-0.046877,5.883033,0.001839,2784,0.10544,1.0,1.0,-0.01,0.00997,-0.00402,0.0,-0.12623,-0.00145
25,25600,-11.2734,240.14286,0.0,0.0119,1.644203,-0.00238,4.185795,0.001271,2595,0.09538,1.0,1.0,-0.01,0.01244,-0.00197,0.0,-0.08211,-0.00331
26,26624,-8.11199,133.33333,0.0,0.01075,1.602448,-0.00225,3.61318,0.002752,2235,0.1011,1.0,1.0,-0.01,0.01363,-0.00245,0.0,-0.08356,-0.00361
27,27648,-9.97789,98.4,0.0,0.0102,1.536247,0.066316,7.024609,0.003723,2921,0.10156,1.0,1.0,-0.01,0.01442,-0.0018,0.0,-0.1366,-0.00352
28,28672,-9.13717,186.66667,0.0,0.01,1.488956,0.001577,6.168572,0.000807,2967,0.10653,1.0,1.0,-0.01,0.01488,-0.00462,0.0,-0.12928,-0.00382
29,29696,-12.3538,140.0,0.0,0.01,1.497591,-0.000609,8.392176,0.000416,2769,0.10965,1.0,1.0,-0.01,0.01552,-0.00233,0.0,-0.17792,-0.00472
30,30720,-6.18961,177.8,0.2,0.02,1.468856,-0.031678,19.825912,0.001348,2599,0.10462,1.0,1.0,-0.01,0.01438,-0.00354,0.0,-0.10525,0.03788
31,31744,-3.26989,128.16667,0.16667,0.03,1.478278,-0.001813,5.298512,0.002205,2605,0.10735,1.0,1.0,-0.01,0.01487,-0.00391,0.0,-0.07293,0.04968
32,32768,-9.33401,152.7,0.0,0.03,1.385024,0.095566,11.505111,0.003531,2253,0.10788,1.0,1.0,-0.01,0.01383,-0.00364,0.0,-0.12516,-0.00366
33,33792,-9.79095,101.8,0.0,0.03,1.334,-0.007616,10.131408,0.000522,2348,0.09919,1.0,1.0,-0.01,0.01656,-0.00276,0.0,-0.17019,-0.00426
34,34816,-17.62809,117.66667,0.0,0.03,1.339744,0.073094,12.125914,0.002071,2504,0.09533,1.0,1.0,-0.01,0.0149,-0.00229,0.0,-0.17716,-0.00314
35,35840,-14.63454,111.85714,0.0,0.02,1.409947,-0.000692,6.551828,0.00073,2638,0.10835,1.0,1.0,-0.01,0.01357,-0.00512,0.0,-0.15443,-0.00328
36,36864,-9.48909,150.14286,0.0,0.02,1.427037,-0.00138,5.669201,0.000855,2585,0.10804,0.85714,1.0,-0.01,0.01409,-0.00464,0.0,-0.11488,-0.00286
37,37888,-13.1635,188.75,0.0,0.02,1.34944,-0.002416,6.776648,0.001644,2573,0.09546,1.0,1.0,-0.01,0.01571,-0.00544,0.0,-0.16496,-0.00278
38,38912,-10.46076,91.18182,0.0,0.02,1.294643,-0.008165,5.149766,0.001022,2328,0.07671,1.0,1.0,-0.01,0.01883,-0.00038,0.0,-0.14569,-0.00467
39,39936,-12.8547,86.09091,0.0,0.02,1.30196,0.023541,11.220951,0.001354,2300,0.08606,1.0,1.0,-0.01,0.0183,-0.0015,0.0,-0.21693,-0.00471
40,40960,-9.37967,121.90909,0.0,0.02,1.247414,-0.05217,6.977439,0.000796,2152,0.06138,1.0,1.0,-0.01,0.02127,-0.00024,0.0,-0.16901,-0.0038
41,41984,-10.17415,99.375,0.0,0.02,1.310079,-0.098267,7.539723,0.001769,2613,0.10498,1.0,1.0,-0.01,0.01428,-0.00447,0.0,-0.16878,-0.00396
42,43008,-15.51136,72.83333,0.0,0.0,1.331603,0.014501,9.061217,0.001034,2801,0.10804,1.0,1.0,-0.01,0.01783,-0.00279,0.0,-0.19532,-0.00322
43,44032,-10.42802,128.0,0.0,0.0,1.208121,0.022718,2.519135,0.005903,2953,0.1036,1.0,1.0,-0.01,0.01729,-0.006,0.0,-0.07005,-0.00348
44,45056,-9.48862,184.5,0.0,0.0,1.251034,-0.001493,4.933842,0.001249,2751,0.0907,0.875,1.0,-0.01,0.01675,-0.00064,0.0,-0.10736,-0.00313
