iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.118288,-0.013085,0.11393,0.007047,1666,0.13853,0.0,0.0,-0.01,0.00338,-0.02756,0.00558,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.081352,-0.001309,2.368781,0.000442,1710,0.13898,0.0,0.0,-0.01,0.00333,-0.02001,0.00629,-0.02171,0.0
3,3072,nan,nan,0.0,0.0,2.057702,-0.008077,0.082244,0.00353,2024,0.15709,0.0,0.0,-0.01,0.00267,-0.01737,0.00539,-0.00764,0.0
4,4096,-14.81415,450.0,0.0,0.0,2.000629,-0.002572,2.052438,0.003477,1923,0.15436,0.25,0.9938,-0.01,0.00531,-0.01371,0.00514,-0.02273,0.0
5,5120,-21.99947,184.0,0.0,0.0,2.023689,-0.000966,6.719956,0.001267,1831,0.15022,1.0,0.95122,-0.01,0.00395,-0.01087,0.00548,-0.07471,-0.00062
6,6144,-11.75575,240.0,0.0,0.0,2.023317,-0.000366,8.171523,0.000478,2102,0.16027,1.0,0.96,-0.01,0.00304,-0.01215,0.00582,-0.08961,-0.00075
7,7168,-30.14532,365.0,0.0,0.0,2.030769,-0.044147,0.193639,0.004169,2148,0.15667,1.0,0.97059,-0.01,0.0031,-0.01221,0.00551,-0.00085,-0.00038
8,8192,-19.28361,398.2,0.0,0.0,2.003772,-0.057208,3.933979,0.001802,1881,0.15404,0.8,0.9614,-0.01,0.00492,-0.00694,0.0054,-0.05612,-0.00069
9,9216,-14.80838,450.0,0.0,0.0,1.992769,0.022369,2.933407,0.003445,2066,0.16346,0.5,1.0,-0.01,0.00338,-0.00905,0.00516,-0.02496,0.0
10,10240,-9.46157,293.75,0.0,0.0,2.002371,-0.013109,1.577913,0.002114,1982,0.15581,0.75,0.97297,-0.01,0.00526,-0.00675,0.00588,-0.03174,-0.00108
11,11264,-16.57334,323.75,0.0,0.0,1.958249,0.059136,6.953376,0.001108,1981,0.15729,0.75,0.92632,-0.01,0.00503,-0.00574,0.00492,-0.06044,-0.00072
12,12288,-6.98596,225.0,0.0,0.0,1.997973,-0.004956,1.384927,0.001951,2189,0.1619,1.0,0.93878,-0.01,0.00487,-0.00436,0.00401,-0.02471,-0.00118
13,13312,-2.61589,450.0,0.0,0.0,1.890008,0.227164,5.442057,0.001777,2694,0.19115,0.0,0.93182,-0.01,0.00475,-0.00625,0.00281,-0.02232,0.0
14,14336,-3.89432,450.0,0.0,0.0,1.835577,0.083189,3.005607,0.003244,2912,0.1915,0.0,0.95455,-0.01,0.00319,-0.00802,0.00171,-0.02768,0.0
15,15360,-4.8766,450.0,0.0,0.0,1.893189,-0.002758,0.236993,0.001884,2287,0.16047,0.2,0.90833,-0.01,0.00531,-0.00554,0.00391,-0.00081,0.0
16,16384,-2.80904,450.0,0.0,0.0,1.868123,-0.003738,0.433752,0.00531,2112,0.16166,0.0,0.88636,-0.01,0.00533,-0.00379,0.00378,-0.00357,0.0
17,17408,-13.67219,450.0,0.0,0.0,1.853269,-0.007756,2.57073,0.002516,2646,0.1763,1.0,0.71429,-0.01,0.00785,-0.002,0.00316,-0.04864,0.0
18,18432,-7.1591,398.5,0.0,0.0,1.8767,-0.000657,6.402831,0.001302,2526,0.15685,0.75,0.85246,-0.01,0.00717,-0.00274,0.00288,-0.07591,-0.00152
19,19456,-14.4813,415.0,0.0,0.0,1.836825,-0.011824,1.203619,0.002653,2161,0.14304,1.0,0.98077,-0.01,0.00687,-0.00215,0.00418,-0.01637,-0.00042
20,20480,-9.43006,252.75,0.0,0.0,1.864595,0.105498,9.956517,0.003561,2727,0.16456,1.0,0.86957,-0.01,0.00531,-0.002,0.00187,-0.07006,-0.0023
21,21504,-9.0986,338.75,0.0,0.0,1.802845,0.039387,1.348223,0.004298,2128,0.14961,0.75,0.91667,-0.01,0.00602,-0.00208,0.00398,-0.02854,-0.00125
22,22528,-9.93716,425.0,0.0,0.0,1.872755,-0.017558,2.493158,0.001488,2374,0.16247,1.0,0.9,-0.01,0.00559,-0.00142,0.00254,-0.04178,-0.00049
23,23552,-8.18343,321.25,0.0,0.0,1.909029,-0.024315,2.618954,0.003878,3105,0.1566,1.0,0.9,-0.01,0.00613,-0.00127,0.00288,-0.05037,-0.00298
24,24576,-8.89913,261.5,0.0,0.0,1.869573,-0.071668,6.385593,0.002858,2445,0.13915,0.66667,0.92683,-0.01,0.00659,-0.00132,0.00461,-0.09454,-0.00202
25,25600,-9.97841,450.0,0.0,0.0,1.882045,-0.003065,1.733628,0.003756,2198,0.13526,1.0,0.75,-0.01,0.0058,-9e-05,0.00482,-0.02455,0.0
26,26624,-9.21731,175.0,0.0,0.0,1.830125,-0.036186,1.795937,0.004311,3600,0.12836,1.0,1.0,-0.01,0.00482,-0.00211,0.00211,-0.03126,-0.00083
27,27648,-6.48758,383.33333,0.0,0.0,1.816423,-0.003614,4.420637,0.003914,3338,0.1296,0.66667,0.92857,-0.01,0.00582,-0.00241,0.00345,-0.05132,-0.00149
28,28672,1.83094,398.4,0.2,0.01299,1.810884,-0.002989,11.727892,0.002845,2218,0.1311,0.2,1.0,-0.01,0.00558,0.00023,0.00449,-0.04334,0.0602
29,29696,-10.78093,335.5,0.0,0.01266,1.764395,-0.035789,0.892244,0.003786,3485,0.13353,1.0,0.85714,-0.01,0.00688,-0.00179,0.00243,-0.02521,-0.00082
30,30720,-4.71699,309.0,0.0,0.0119,1.76609,-0.024563,1.920035,0.005621,2958,0.11975,0.8,1.0,-0.01,0.00795,-6e-05,0.0033,-0.04655,-0.00273
31,31744,-4.2747,317.33333,0.0,0.01149,1.76234,-0.003196,1.2271,0.004655,2861,0.1206,0.66667,1.0,-0.01,0.00628,0.00051,0.00353,-0.02636,-0.0012
32,32768,-6.60341,194.6,0.2,0.02174,1.74052,-0.049218,10.768521,0.003412,2866,0.12334,1.0,1.0,-0.01,0.00675,-2e-05,0.0035,-0.1191,0.01384
33,33792,-8.02548,278.75,0.0,0.02083,1.730619,-0.003632,1.514258,0.007837,2491,0.12023,0.75,1.0,-0.01,0.00668,0.00049,0.0048,-0.03367,-0.00154
34,34816,-9.59075,199.0,0.0,0.02062,1.718044,-0.045171,1.468337,0.005077,3645,0.12587,1.0,1.0,-0.01,0.00368,0.00056,0.00305,-0.03915,-0.00082
