iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.289427,0.078362,0.12547,0.004263,1592,0.14096,0.0,0.0,-0.01,0.00199,-0.02845,0.00333,-0.00039,0.0
2,2048,nan,nan,0.0,0.0,2.250802,-0.012863,0.098045,0.006061,1649,0.14249,0.0,0.0,-0.01,0.00241,-0.02367,0.00305,-0.00147,0.0
3,3072,nan,nan,0.0,0.0,2.132815,-0.043591,4.82639,0.001197,1924,0.15493,0.0,0.0,-0.01,0.00253,-0.01708,0.00303,-0.06349,0.0
4,4096,-22.03347,450.0,0.0,0.0,2.162947,-0.001647,4.96586,0.000443,1831,0.15551,0.625,0.99168,-0.01,0.00276,-0.01368,0.0024,-0.05925,0.0
5,5120,nan,nan,0.0,0.0,2.216253,-0.000836,6.829175,0.001022,1703,0.15154,0.0,0.0,-0.01,0.00324,-0.01316,0.0026,-0.07535,0.0
6,6144,-14.95245,212.0,0.0,0.0,2.051392,-0.081026,0.68849,0.005078,2378,0.17738,1.0,0.98718,-0.01,0.00186,-0.01895,0.00172,-0.01417,-0.00097
7,7168,-17.28076,292.0,0.0,0.0,2.101259,-0.003566,8.877698,0.003603,2550,0.17558,1.0,0.97794,-0.01,0.00248,-0.01185,0.00115,-0.12115,-0.00163
8,8192,-20.32853,396.4,0.0,0.0,2.118433,-0.012431,1.215191,0.001709,1795,0.15083,0.8,0.97318,-0.01,0.00349,-0.0081,0.0029,-0.01903,-0.00035
9,9216,-15.67256,291.5,0.0,0.0,2.081642,-0.002918,10.36042,0.002685,2201,0.17093,1.0,0.99065,-0.01,0.00414,-0.00846,0.00251,-0.12471,-0.00138
10,10240,-20.49331,314.66667,0.0,0.0,2.102998,-0.005148,6.529696,0.004303,1961,0.15736,1.0,0.9878,-0.01,0.00498,-0.00563,0.00226,-0.08742,-0.00119
11,11264,-16.29335,223.42857,0.0,0.0,2.068327,-0.002062,6.464428,0.000996,1800,0.15712,1.0,0.98113,-0.01,0.00566,-0.00569,0.00229,-0.08407,-0.00249
12,12288,-13.02268,166.0,0.0,0.0,2.081482,-0.003315,5.518954,0.00673,2272,0.18213,1.0,0.97059,-0.01,0.00447,-0.00666,0.00131,-0.10404,-0.00135
13,13312,-7.97148,199.75,0.0,0.0,2.061887,-0.004556,4.316817,0.002578,2178,0.16805,1.0,1.0,-0.01,0.00491,-0.00722,0.00178,-0.06606,-0.00195
14,14336,-18.93925,349.5,0.0,0.0,2.059401,-0.004808,2.410049,0.003011,1957,0.16009,1.0,0.975,-0.01,0.00466,-0.00762,0.00219,-0.03088,-0.00127
15,15360,-12.27924,209.4,0.0,0.0,2.063158,-0.003012,4.02165,0.003916,1712,0.1564,1.0,0.97297,-0.01,0.00466,-0.00597,0.00251,-0.0596,-0.00219
16,16384,-12.35788,211.125,0.0,0.0,2.023236,-0.022273,5.220139,0.001797,1790,0.15584,1.0,1.0,-0.01,0.00499,-0.00506,0.00225,-0.099,-0.00314
17,17408,-14.77663,174.2,0.0,0.0,2.077923,-0.034805,12.737537,0.000877,1723,0.14689,1.0,0.98039,-0.01,0.00435,-0.00322,0.00243,-0.15107,-0.00182
18,18432,-21.25508,155.0,0.0,0.0,2.070346,-0.001033,7.546376,0.00053,1592,0.14272,1.0,0.97561,-0.01,0.00521,-0.00415,0.00216,-0.10284,-0.00227
19,19456,-12.14971,183.42857,0.0,0.0,2.072253,-0.000787,4.556828,0.000735,2065,0.16474,1.0,1.0,-0.01,0.00439,-0.00421,0.00152,-0.0596,-0.00323
20,20480,-15.83498,163.25,0.0,0.0,2.120729,-0.033004,8.949716,0.002447,1776,0.15544,1.0,1.0,-0.01,0.00518,-0.00484,0.00141,-0.13893,-0.00154
21,21504,-14.6911,164.8,0.0,0.0,1.984808,-0.011573,4.365007,0.001738,1934,0.16154,1.0,0.94872,-0.01,0.00536,-0.0033,0.00156,-0.08366,-0.00208
22,22528,-12.53611,140.66667,0.0,0.0,1.968095,-0.001308,9.871771,0.000652,2136,0.15943,1.0,0.96667,-0.01,0.00588,-0.00445,0.00171,-0.1613,-0.00278
23,23552,-16.34028,204.875,0.0,0.0,2.006033,0.061506,6.031632,0.001868,1680,0.15207,0.875,0.98667,-0.01,0.0058,-0.00364,0.00219,-0.07684,-0.00251
24,24576,-10.76352,146.66667,0.0,0.0,1.969068,-0.002723,5.242993,0.002029,2008,0.16017,1.0,0.97297,-0.01,0.00579,-0.00396,0.00143,-0.08705,-0.0026
25,25600,-10.52687,191.4,0.0,0.0,1.90131,-0.002358,5.455923,0.00468,2149,0.1678,1.0,0.97778,-0.01,0.00462,-0.00537,0.00144,-0.10155,-0.00242
26,26624,-11.13561,158.9,0.0,0.0,2.004375,-0.00691,6.237117,0.005804,1906,0.15126,0.9,0.98039,-0.01,0.00598,-0.00299,0.00149,-0.12876,-0.00383
27,27648,-9.89858,97.0,0.0,0.0,1.87124,-0.002356,1.77259,0.002143,2127,0.1621,1.0,0.8,-0.01,0.00434,-0.00427,0.0013,-0.02824,-0.00046
28,28672,-7.59229,165.42857,0.0,0.0,1.846632,-0.002526,2.663346,0.001583,2126,0.16061,1.0,0.975,-0.01,0.00657,-0.00448,0.00118,-0.06991,-0.00326
