iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.378959,-0.008399,0.309139,0.005418,0.639962,0.073486,-0.171929,0.133823,0.266647,-0.576204,1.206798,4.0,0.0003,0,520,0.27079,0.37207,0.0,nan,0,0.0,0.0,,,-0.01,0.00501,-0.01395,-0.02358,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.334647,-0.005469,0.091924,0.002896,0.640705,0.028251,0.657081,-0.500472,1.002492,-1.100261,2.101351,4.0,0.0002999,0,582,0.2392,0.32783,0.0,nan,0,0.0,0.0,,,-0.01,0.00551,-0.0113,-0.02112,-0.00038,0.0
3,3072,nan,nan,0.0,0.0,2.141835,-0.005015,0.044685,0.004438,0.468404,0.043143,0.847758,-1.051666,2.130457,-1.639356,3.235357,4.0,0.0002998,0,607,0.24511,0.34025,0.0,nan,0,0.0,0.0,,,-0.01,0.00463,-0.0118,-0.02245,-0.00183,0.0
4,4096,-17.56777,450.0,0.0,0.0,2.098153,-0.00449,0.042262,0.00266,0.312996,0.030308,0.917849,-1.586235,3.092843,-2.055998,3.857491,4.0,0.00029969,8,602,0.26141,0.35672,1.0,nan,0,0.125,0.99051,,,-0.01,0.00459,-0.00835,-0.02331,-0.00392,0.0
5,5120,nan,nan,0.0,0.0,2.245519,-0.005431,0.026623,0.004259,0.274891,0.047538,0.930784,-2.034637,3.826164,-2.502827,4.864399,4.0,0.00029959,0,593,0.2577,0.34119,1.0,nan,0,0.0,0.0,,,-0.01,0.0058,-0.00604,-0.01989,-0.00141,0.0
6,6144,-12.94555,306.0,0.0,0.0,1.620402,-0.003017,0.048046,0.001949,0.273678,0.014788,0.940397,-2.440967,4.842796,-2.897898,5.388489,4.0,0.00029949,2,701,0.29113,0.37743,0.8,nan,0,1.0,1.0,,,-0.01,0.00479,-0.00695,-0.02335,-0.00987,-0.0055
7,7168,-13.66627,371.0,0.0,0.0,1.470334,-0.005721,0.030316,0.005735,0.331199,0.087681,0.951192,-2.927513,5.207454,-3.337502,5.988729,4.0,0.00029939,1,650,0.29217,0.38317,0.72727,nan,0,1.0,1.0,,,-0.01,0.00542,-0.00706,-0.02807,-0.00357,-0.00292
8,8192,-12.43291,407.33333,0.0,0.0,2.207573,-0.004724,0.027916,0.003607,0.26335,0.030378,0.95675,-3.729422,5.846413,-4.033685,6.640069,4.0,0.00029928,6,591,0.27579,0.35414,0.76471,nan,0,0.33333,0.97315,,,-0.01,0.00706,-0.00432,-0.02037,-0.00274,-0.00207
9,9216,nan,nan,0.0,0.0,1.622661,-0.005943,0.022987,0.004846,0.282941,0.07666,0.967612,-3.585608,6.500317,-3.976116,7.202486,4.0,0.00029918,0,695,0.28352,0.35299,0.76471,nan,0,0.0,0.0,,,-0.01,0.0055,-0.00268,-0.02637,-0.00557,0.0
10,10240,-13.33271,450.0,0.0,0.0,1.321873,-0.00517,0.009365,0.002939,0.256362,0.0354,0.981206,-3.804486,7.149815,-4.052934,7.91716,4.0,0.00029908,2,748,0.29085,0.37098,0.78947,nan,0,0.0,0.86667,,,-0.01,0.00472,-0.00432,-0.03179,0.0,0.0
11,11264,-11.33961,410.66667,0.0,0.0,1.535209,-0.00493,0.017684,0.004091,0.278058,0.044503,0.977978,-4.103077,7.952691,-4.317222,8.522236,4.0,0.00029898,6,692,0.29381,0.37112,0.8,nan,0,0.33333,0.95714,,,-0.01,0.00635,-0.00548,-0.02502,-0.0041,-0.0027
12,12288,-12.86572,450.0,0.0,0.0,1.824833,-0.007237,0.012067,0.005664,0.284619,0.075439,0.983244,-4.096396,8.591592,-4.34889,9.293489,4.0,0.00029887,1,641,0.24337,0.31148,0.80769,nan,0,0.0,0.85714,,,-0.01,0.00549,-0.0029,-0.0238,-0.00347,0.0
13,13312,-8.48291,204.0,0.0,0.0,1.447901,-0.004341,0.014712,0.002759,0.284308,0.042411,0.980473,-3.736343,9.184495,-4.085456,10.035819,4.0,0.00029877,1,723,0.27657,0.3418,0.77778,nan,0,1.0,1.0,,,-0.01,0.00523,-0.00363,-0.03324,-0.00462,-0.00284
14,14336,-10.33011,288.0,0.0,0.0,1.635692,-0.004306,0.023145,0.004285,0.241169,0.05828,0.972833,-4.337956,9.957502,-4.711651,10.643432,4.0,0.00029867,3,623,0.30227,0.3565,0.73333,nan,0,0.66667,1.0,,,-0.01,0.00565,-0.00347,-0.03032,-0.00565,-0.00522
15,15360,-12.66286,400.0,0.0,0.0,1.989871,-0.003547,0.011211,0.002742,0.265302,0.034459,0.984435,-6.004035,10.787724,-6.355035,11.64331,4.0,0.00029857,6,609,0.27447,0.33132,0.75,nan,0,0.16667,0.94545,,,-0.01,0.00604,-0.00342,-0.02603,-0.00183,-0.00217
16,16384,-7.67841,184.0,0.0,0.0,1.813878,-0.004046,0.024343,0.002672,0.245748,0.023751,0.971456,-5.832215,10.617654,-5.993161,10.851405,4.0,0.00029846,2,653,0.27206,0.33711,0.71053,nan,0,1.0,1.0,,,-0.01,0.00568,-0.00424,-0.0194,-0.01006,-0.00488
17,17408,-11.81647,350.0,0.0,0.0,1.546278,-0.004197,0.00728,0.002541,0.243883,0.025391,0.988569,-6.037984,11.015642,-6.294961,11.806037,4.0,0.00029836,2,685,0.29765,0.35749,0.7,nan,0,0.5,1.0,,,-0.01,0.005,-0.00384,-0.02334,-0.00186,-0.00272
18,18432,-10.43499,450.0,0.0,0.0,1.765909,-0.006765,0.005459,0.0047,0.279411,0.075126,0.991324,-6.333768,11.882928,-6.590206,12.626936,4.0,0.00029826,3,635,0.28237,0.3428,0.72093,nan,0,0.0,1.0,,,-0.01,0.00475,-0.00404,-0.02383,-0.0014,0.0
19,19456,-14.21484,450.0,0.0,0.0,2.140837,-0.005982,0.004889,0.006225,0.296984,0.091134,0.991566,-6.672366,13.467009,-7.024222,14.460913,4.0,0.00029816,3,586,0.24706,0.31813,0.73913,nan,0,0.0,1.0,,,-0.01,0.00471,-0.0028,-0.02274,0.0,0.0
20,20480,-12.99149,450.0,0.0,0.0,2.126237,-0.004126,0.003916,0.005067,0.244895,0.042759,0.993255,-6.936975,14.677679,-7.247062,15.632572,4.0,0.00029805,1,499,0.24958,0.32101,0.74468,nan,0,0.0,1.0,,,-0.01,0.00495,-0.00176,-0.02259,0.0,0.0
21,21504,-13.81109,450.0,0.0,0.0,2.150994,-0.006028,0.003041,0.00325,0.253467,0.031982,0.994472,-7.067165,15.523772,-7.363035,16.469213,4.0,0.00029795,1,592,0.23312,0.29827,0.75,nan,0,0.0,0.9,,,-0.01,0.00592,-0.00172,-0.02266,0.0,0.0
22,22528,-13.31855,450.0,0.0,0.0,2.083577,-0.005216,0.003034,0.004,0.295663,0.039132,0.995296,-7.509249,16.440607,-7.758002,17.307589,4.0,0.00029785,4,584,0.22321,0.3005,0.76923,nan,0,0.0,1.0,,,-0.01,0.00456,-0.00123,-0.02193,0.0,0.0
23,23552,-12.92636,450.0,0.0,0.0,2.082742,-0.004596,0.00226,0.004282,0.259892,0.040213,0.996276,-7.923048,17.368639,-8.179934,18.203619,4.0,0.00029775,2,577,0.20926,0.28404,0.77778,nan,0,0.0,1.0,,,-0.01,0.00603,-0.00081,-0.02199,0.0,0.0
24,24576,-12.46775,450.0,0.0,0.0,2.110416,-0.003982,0.002231,0.003854,0.262082,0.026542,0.996206,-8.157323,18.185476,-8.420309,19.083609,4.0,0.00029764,2,566,0.20912,0.26897,0.78571,nan,0,0.0,1.0,,,-0.01,0.0055,-0.00121,-0.023,0.0,0.0
25,25600,-12.63555,450.0,0.0,0.0,2.110227,-0.004375,0.002427,0.003106,0.25904,0.037388,0.996655,-8.284304,18.965477,-8.538891,19.746729,4.0,0.00029754,3,562,0.22698,0.2945,0.79661,nan,0,0.0,1.0,,,-0.01,0.0058,-0.00134,-0.02276,0.0,0.0
26,26624,-12.41278,450.0,0.0,0.0,2.109381,-0.003655,0.002043,0.003161,0.237679,0.029018,0.996839,-8.614418,19.886677,-8.876384,20.744467,4.0,0.00029744,2,522,0.23131,0.29171,0.80328,nan,0,0.0,0.83333,,,-0.01,0.00629,-0.00133,-0.02468,0.0,0.0
27,27648,-12.76798,450.0,0.0,0.0,2.133636,-0.004045,0.001623,0.003849,0.258108,0.035191,0.997381,-8.832863,20.643763,-9.055236,21.464527,4.0,0.00029734,2,563,0.23186,0.29855,0.80952,nan,0,0.0,1.0,,,-0.01,0.00583,-0.00134,-0.02233,0.0,0.0
28,28672,-12.8224,450.0,0.0,0.0,2.124797,-0.004954,0.001874,0.002988,0.244756,0.023054,0.997327,-8.855445,21.212971,-9.077624,22.001415,4.0,0.00029724,1,593,0.23075,0.3019,0.8125,nan,0,0.0,1.0,,,-0.01,0.00621,-0.00114,-0.02252,0.0,0.0
29,29696,-13.07246,450.0,0.0,0.0,2.168065,-0.00488,0.002191,0.00501,0.313551,0.047398,0.99753,-9.041086,21.943056,-9.24552,22.626822,4.0,0.00029713,4,579,0.21847,0.28697,0.82353,nan,0,0.0,1.0,,,-0.01,0.0047,-0.00103,-0.02136,0.0,0.0
30,30720,-12.24669,450.0,0.0,0.0,2.14597,-0.005944,0.001971,0.004286,0.258462,0.043248,0.99759,-8.821543,22.410891,-9.045915,23.129862,4.0,0.00029703,2,589,0.22489,0.29116,0.82857,nan,0,0.0,1.0,,,-0.01,0.00563,-0.00157,-0.02148,0.0,0.0
31,31744,-12.19471,450.0,0.0,0.0,2.118761,-0.006077,0.002285,0.004767,0.284996,0.054025,0.997277,-8.747499,23.080032,-9.012306,23.857193,4.0,0.00029693,2,575,0.2115,0.27525,0.83333,nan,0,0.0,1.0,,,-0.01,0.00633,-0.00138,-0.02385,0.0,0.0
32,32768,-12.51062,450.0,0.0,0.0,2.131119,-0.004891,0.012898,0.005506,0.245371,0.068813,0.989392,-8.728539,23.742496,-9.011434,24.297474,4.0,0.00029683,3,529,0.20659,0.26708,0.84,nan,0,0.33333,1.0,,,-0.01,0.0055,-0.00113,-0.02205,-0.0005,0.0
33,33792,-13.32232,450.0,0.0,0.0,2.136495,-0.007443,0.01072,0.005702,0.23058,0.08102,0.990231,-8.78417,23.661922,-9.092966,24.231695,4.0,0.00029672,2,581,0.20927,0.27343,0.84416,nan,0,0.0,1.0,,,-0.01,0.00737,-0.00132,-0.02394,-0.0005,0.0
34,34816,-13.12235,450.0,0.0,0.0,2.069866,-0.005855,0.022014,0.004307,0.247371,0.056396,0.979099,-10.559768,23.484169,-10.933335,23.706451,4.0,0.00029662,2,577,0.20745,0.2811,0.8481,nan,0,0.0,1.0,,,-0.01,0.00595,-0.00139,-0.02331,-0.00104,0.0
35,35840,-13.63685,450.0,0.0,0.0,1.947456,-0.005415,0.031236,0.00384,0.290078,0.054164,0.96,-11.796854,20.999342,-12.287948,21.014774,4.0,0.00029652,1,596,0.22265,0.28909,0.85,nan,0,0.0,1.0,,,-0.01,0.00568,-0.00172,-0.0242,-0.00238,0.0
36,36864,-12.56358,450.0,0.0,0.0,1.925056,-0.005159,0.027606,0.004507,0.275626,0.060512,0.962231,-12.272716,20.774685,-12.778859,20.62248,4.0,0.00029642,4,593,0.21311,0.28337,0.85714,nan,0,0.75,1.0,,,-0.01,0.00686,-0.00247,-0.02291,-0.00293,0.0
37,37888,-13.46878,450.0,0.0,0.0,1.82867,-0.007179,0.026928,0.005239,0.295707,0.072859,0.957911,-12.85806,19.53688,-13.264297,19.386831,4.0,0.00029631,2,614,0.19928,0.28491,0.86047,nan,0,1.0,1.0,,,-0.01,0.00524,-0.00324,-0.02622,-0.00426,0.0
38,38912,-12.77967,381.66667,0.0,0.0,1.494244,-0.006147,0.037677,0.004281,0.266671,0.056362,0.927675,-13.541678,18.415834,-14.323096,17.844694,4.0,0.00029621,3,625,0.21002,0.28098,0.85393,nan,0,1.0,0.96296,,,-0.01,0.00651,-0.00346,-0.02236,-0.01182,-0.00286
39,39936,-10.96541,381.25,0.0,0.0,1.427315,-0.004559,0.028113,0.004164,0.319584,0.061872,0.944287,-13.880336,18.122183,-13.552991,17.787237,4.0,0.00029611,4,692,0.20033,0.2656,0.83871,nan,0,1.0,0.97619,,,-0.01,0.00516,-0.00362,-0.0279,-0.00466,-0.00575
40,40960,-9.22791,199.0,0.0,0.0,1.657204,-0.005454,0.027512,0.004957,0.353866,0.063093,0.937535,-12.564979,17.072859,-12.772944,16.649424,4.0,0.00029601,1,652,0.20377,0.28023,0.82979,nan,0,1.0,1.0,,,-0.01,0.00461,-0.00291,-0.02375,-0.00653,-0.00249
41,41984,-10.88435,331.83333,0.0,0.0,1.591032,-0.004885,0.017937,0.004141,0.388485,0.051897,0.960056,-11.592431,16.827999,-11.369858,16.550407,4.0,0.0002959,6,657,0.21401,0.29141,0.81,nan,0,1.0,0.93617,,,-0.01,0.00597,-0.00222,-0.02355,-0.00774,-0.00772
