iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.438233,-0.008579,0.330732,0.005077,0.75331,0.068359,-0.049659,0.21112,0.214691,-0.375512,0.979184,4.0,0.0003,0,579,0.26339,0.33775,0.0,nan,0,0.0,0.0,,,-0.01,0.00446,-0.01273,-0.01781,-3e-05,0.0
2,2048,nan,nan,0.0,0.0,2.379233,-0.004996,0.138549,0.001349,0.666984,0.011579,0.596289,-0.324533,0.729822,-0.868862,1.603413,4.0,0.0002999,0,578,0.24722,0.31473,0.0,nan,0,0.0,0.0,,,-0.01,0.00419,-0.01282,-0.01437,-0.00068,0.0
3,3072,nan,nan,0.0,0.0,2.314453,-0.00621,0.067899,0.004245,0.594796,0.037458,0.830533,-0.645587,1.562737,-1.120675,2.383106,4.0,0.0002998,0,598,0.24369,0.30458,0.0,nan,0,0.0,0.0,,,-0.01,0.00464,-0.00998,-0.01472,-0.00036,0.0
4,4096,-14.34064,450.0,0.0,0.0,2.291511,-0.005934,0.047051,0.007343,0.445727,0.108677,0.914995,-1.132058,2.326485,-1.53518,2.932655,4.0,0.00029969,8,642,0.25309,0.31815,1.0,nan,0,0.0,1.0,,,-0.01,0.00447,-0.00758,-0.01692,-0.00107,0.0
5,5120,nan,nan,0.0,0.0,2.347929,-0.003821,0.033336,0.002386,0.257075,0.026855,0.91928,-1.626008,2.846079,-1.998105,3.710182,4.0,0.00029959,0,504,0.2214,0.28278,1.0,nan,0,0.0,0.0,,,-0.01,0.00593,-0.00539,-0.01607,0.0,0.0
6,6144,nan,nan,0.0,0.0,2.14948,-0.004566,0.028199,0.003341,0.278743,0.037319,0.945212,-1.846788,3.631934,-2.256631,4.386818,4.0,0.00029949,0,640,0.22662,0.28328,1.0,nan,0,0.0,0.0,,,-0.01,0.00565,-0.00451,-0.01788,-0.00329,0.0
7,7168,-11.76149,398.0,0.0,0.0,1.471494,-0.002941,0.070552,0.00279,0.329483,0.031424,0.922582,-2.367846,4.337224,-2.777105,4.679523,4.0,0.00029939,2,693,0.24979,0.32345,0.8,nan,0,1.0,0.93878,,,-0.01,0.00618,-0.00345,-0.0159,-0.01297,-0.00601
8,8192,-12.23885,450.0,0.0,0.0,2.239002,-0.006252,0.017275,0.005033,0.271254,0.081508,0.964485,-2.8337,4.533584,-3.21071,5.300912,4.0,0.00029928,6,472,0.23075,0.28539,0.875,nan,0,0.16667,0.9781,,,-0.01,0.0052,-0.00354,-0.01823,0.0,0.0
9,9216,-7.75152,224.0,0.0,0.0,1.91472,-0.003042,0.024797,0.002698,0.215556,0.021973,0.969098,-2.992105,5.213832,-3.227465,5.637729,4.0,0.00029918,1,438,0.24729,0.30473,0.82353,nan,0,1.0,1.0,,,-0.01,0.00536,-0.00284,-0.0126,-0.00645,-0.00234
10,10240,-11.47956,425.0,0.0,0.0,1.340626,-0.003178,0.032909,0.003589,0.269782,0.059152,0.962094,-3.230143,5.532854,-3.577547,5.810244,4.0,0.00029908,1,631,0.24267,0.31433,0.77778,nan,0,1.0,1.0,,,-0.01,0.00537,-0.00273,-0.01641,-0.00972,-0.00321
