iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.383489,-0.010009,0.2755,0.005128,0.533475,0.043283,-0.041892,0.021939,0.268218,-1.455877,2.316409,4.0,0.0003,0,526,0.27748,0.37137,0.0,nan,0,0.0,0.0,,,-0.03,0.00542,-0.01335,-0.04831,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.404786,-0.004887,0.080868,0.001727,0.562506,0.013497,0.683228,-1.481301,2.009124,-2.863338,4.041917,4.0,0.0002999,0,537,0.24972,0.33761,0.0,nan,0,0.0,0.0,,,-0.03,0.0052,-0.01446,-0.04545,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.373626,-0.006379,0.044672,0.004967,0.300293,0.063232,0.875473,-2.864639,4.079902,-3.973796,5.644193,4.0,0.0002998,0,551,0.21555,0.28296,0.0,nan,0,0.0,0.0,,,-0.03,0.00587,-0.01003,-0.03725,-0.00296,0.0
4,4096,-35.36254,450.0,0.0,0.0,2.038173,-0.003999,0.044355,0.003345,0.347019,0.03847,0.913147,-3.631485,5.596753,-4.639171,7.039871,4.0,0.00029969,8,551,0.25052,0.3299,1.0,nan,0,0.25,0.99638,,,-0.03,0.00687,-0.00947,-0.04602,-0.00449,0.0
5,5120,nan,nan,0.0,0.0,2.107973,-0.006211,0.048636,0.004154,0.398606,0.049316,0.928146,-4.514412,6.760636,-5.69283,7.918612,4.0,0.00029959,0,568,0.22774,0.29545,1.0,nan,0,0.0,0.0,,,-0.03,0.0069,-0.00628,-0.04044,-0.0092,0.0
6,6144,-18.44078,251.0,0.0,0.0,1.42026,-0.004393,0.07121,0.003966,0.253932,0.061733,0.887752,-5.597315,7.424231,-6.196378,7.85697,4.0,0.00029949,6,664,0.24989,0.32595,0.57143,nan,0,1.0,0.99091,,,-0.03,0.00668,-0.00713,-0.04275,-0.0144,-0.01919
7,7168,-20.73371,358.5,0.0,0.0,1.868231,-0.004157,0.033686,0.005209,0.249152,0.076067,0.942166,-5.947412,7.775002,-6.457763,8.847367,4.0,0.00029939,2,593,0.2672,0.33651,0.5,nan,0,1.0,1.0,,,-0.03,0.00766,-0.00702,-0.03975,-0.00559,-0.00485
8,8192,-14.79899,197.0,0.0,0.0,1.649261,-0.003527,0.044355,0.002377,0.237595,0.022566,0.928723,-6.054096,8.300093,-6.248657,8.754568,4.0,0.00029928,5,623,0.24761,0.31782,0.38095,nan,0,1.0,1.0,,,-0.03,0.00875,-0.00535,-0.03129,-0.01463,-0.01392
9,9216,-14.97022,234.625,0.0,0.0,1.68287,-0.005276,0.048775,0.00377,0.296611,0.048479,0.92362,-7.073581,8.649508,-7.255002,9.270038,4.0,0.00029918,8,605,0.24135,0.32129,0.31034,nan,0,0.875,0.98276,,,-0.03,0.00974,-0.00687,-0.03942,-0.01694,-0.01874
10,10240,-11.958,160.75,0.0,0.0,1.513607,-0.005099,0.029507,0.002311,0.292011,0.02703,0.946172,-6.32291,8.219492,-6.333075,8.411252,4.0,0.00029908,4,639,0.226,0.29556,0.27273,nan,0,1.0,1.0,,,-0.03,0.00929,-0.00516,-0.03912,-0.01881,-0.01184
