iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.396899,-0.008285,0.337827,0.006075,0.833429,0.062744,-0.04297,0.522542,0.253371,-0.498249,1.207129,4.0,0.0003,0,527,0.26702,0.36551,0.0,nan,0,0.0,0.0,,,-0.03,0.00563,-0.01449,-0.02242,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.37535,-0.005081,0.1749,0.001977,1.188171,0.009277,0.573765,-0.222818,0.826818,-1.117282,1.849323,4.0,0.0002999,0,539,0.2361,0.30895,0.0,nan,0,0.0,0.0,,,-0.03,0.00519,-0.01123,-0.02036,-0.00071,0.0
3,3072,nan,nan,0.0,0.0,2.301995,-0.005454,0.068155,0.003601,0.534895,0.038225,0.820135,-1.157225,1.674688,-1.932906,2.514805,4.0,0.0002998,0,567,0.2225,0.2752,0.0,nan,0,0.0,0.0,,,-0.03,0.00551,-0.00935,-0.01716,-0.00043,0.0
4,4096,-24.03291,450.0,0.0,0.0,2.239255,-0.006298,0.047986,0.005524,0.438494,0.086112,0.902994,-2.372835,2.524626,-2.941494,3.222365,4.0,0.00029969,8,562,0.24626,0.31037,1.0,nan,0,0.0,0.99601,,,-0.03,0.00675,-0.00738,-0.01856,-0.00279,0.0
5,5120,nan,nan,0.0,0.0,2.200493,-0.0064,0.034214,0.006235,0.368687,0.087472,0.919482,-2.637303,3.292197,-3.385849,4.243207,4.0,0.00029959,0,557,0.24963,0.3229,1.0,nan,0,0.0,0.0,,,-0.03,0.00516,-0.00622,-0.02128,-0.00252,0.0
6,6144,-14.47487,235.0,0.0,0.0,1.572753,-0.004241,0.048564,0.003155,0.264179,0.042515,0.936502,-2.857168,4.158466,-3.345779,4.60936,4.0,0.00029949,2,638,0.2609,0.3336,0.8,nan,0,1.0,0.97368,,,-0.03,0.00632,-0.005,-0.01642,-0.01038,-0.00565
7,7168,-14.71537,337.0,0.0,0.0,1.196838,-0.004391,0.040496,0.004136,0.249155,0.04963,0.942744,-3.107285,4.406327,-3.432506,4.614095,4.0,0.00029939,3,697,0.26021,0.31754,0.61538,nan,0,1.0,1.0,,,-0.03,0.00812,-0.0053,-0.02126,-0.01259,-0.01099
8,8192,-19.15999,450.0,0.0,0.0,1.890524,-0.006594,0.023435,0.005558,0.390636,0.083496,0.956608,-4.208704,4.46564,-4.570451,5.140046,4.0,0.00029928,4,588,0.23111,0.29601,0.70588,nan,0,0.25,0.95726,,,-0.03,0.009,-0.00389,-0.01883,-0.00573,0.0
9,9216,-11.0738,234.0,0.0,0.0,1.404692,-0.002797,0.054084,0.001864,0.255406,0.016462,0.91195,-4.203239,4.864886,-4.445962,5.005536,4.0,0.00029918,7,610,0.23743,0.31107,0.5,nan,0,1.0,0.98438,,,-0.03,0.00891,-0.00204,-0.02017,-0.01382,-0.0216
10,10240,-9.70095,194.0,0.0,0.0,1.646882,-0.004123,0.029049,0.002833,0.265827,0.038888,0.954641,-4.410019,4.851891,-4.610515,5.021879,4.0,0.00029908,3,614,0.21677,0.27439,0.44444,nan,0,1.0,1.0,,,-0.03,0.00799,-0.00151,-0.01623,-0.01377,-0.00799
11,11264,-10.1772,206.4,0.0,0.0,1.29209,-0.003637,0.029871,0.00255,0.268905,0.031669,0.943964,-4.405693,4.54468,-4.533045,4.731866,4.0,0.00029898,5,645,0.22173,0.29836,0.375,nan,0,1.0,0.95833,,,-0.03,0.00875,-0.0022,-0.02064,-0.01325,-0.01636
12,12288,-10.26135,266.5,0.0,0.0,1.454902,-0.004784,0.021285,0.003674,0.249169,0.038016,0.961564,-4.930671,4.799303,-5.068751,5.091663,4.0,0.00029887,4,609,0.22549,0.2931,0.33333,nan,0,1.0,1.0,,,-0.03,0.00883,-0.00089,-0.0179,-0.01453,-0.01144
13,13312,-8.36405,178.0,0.0,0.0,1.037575,-0.003892,0.027816,0.002345,0.261711,0.030239,0.935871,-4.344271,4.420786,-4.29593,4.450501,4.0,0.00029877,5,679,0.2186,0.2807,0.29268,nan,0,1.0,1.0,,,-0.03,0.01006,-0.00193,-0.01688,-0.01346,-0.01949
14,14336,-9.23977,229.28571,0.0,0.0,1.377005,-0.004289,0.025506,0.002556,0.304983,0.041818,0.945301,-4.727447,4.463423,-4.610574,4.522103,4.0,0.00029867,7,612,0.19589,0.27114,0.25,nan,0,1.0,1.0,,,-0.03,0.01163,-0.00066,-0.01764,-0.0155,-0.02119
15,15360,-7.37244,135.16667,0.0,0.0,1.317426,-0.00493,0.024784,0.002274,0.275902,0.029088,0.939127,-4.594093,4.343259,-4.552784,4.292421,4.0,0.00029857,6,650,0.20824,0.28107,0.22222,nan,0,1.0,1.0,,,-0.03,0.00876,0.00129,-0.0178,-0.01814,-0.01871
