iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.395014,-0.008447,0.324325,0.005757,0.874664,0.054164,-0.081659,0.537999,0.287566,-0.169593,1.159309,4.0,0.0003,0,470,0.26626,0.3592,0.0,nan,0,0.0,0.0,,,-0.01,0.00469,-0.01358,-0.02185,-0.00035,0.0
2,2048,nan,nan,0.0,0.0,2.334967,-0.004526,0.115098,0.002599,0.59824,0.018555,0.607492,-0.140178,0.870147,-0.811545,1.938908,4.0,0.0002999,0,470,0.22941,0.31092,0.0,nan,0,0.0,0.0,,,-0.01,0.00394,-0.01456,-0.02074,-0.00033,0.0
3,3072,nan,nan,0.0,0.0,2.299557,-0.005541,0.050097,0.003294,0.414995,0.041469,0.838995,-0.739733,1.930718,-1.3039,2.945517,4.0,0.0002998,0,499,0.2322,0.30671,0.0,nan,0,0.0,0.0,,,-0.01,0.00419,-0.01003,-0.02056,0.0,0.0
4,4096,-17.13761,450.0,0.0,0.0,2.301017,-0.005369,0.032504,0.003939,0.256316,0.064558,0.916189,-1.354493,2.912271,-1.799802,3.791087,4.0,0.00029969,8,491,0.24531,0.32376,1.0,nan,0,0.0,1.0,,,-0.01,0.00447,-0.00849,-0.02206,0.0,0.0
5,5120,nan,nan,0.0,0.0,2.25062,-0.005217,0.020022,0.006518,0.315515,0.087926,0.933338,-1.664759,3.800289,-2.202479,4.917638,4.0,0.00029959,0,483,0.23341,0.31898,1.0,nan,0,0.0,0.0,,,-0.01,0.00503,-0.00659,-0.02223,-0.00035,0.0
6,6144,nan,nan,0.0,0.0,2.078974,-0.004966,0.019038,0.003714,0.320258,0.040318,0.963575,-2.157299,4.95431,-2.64891,5.781554,4.0,0.00029949,0,524,0.2267,0.29715,1.0,nan,0,0.0,0.0,,,-0.01,0.00455,-0.0068,-0.01929,-0.00263,0.0
7,7168,-15.07752,426.0,0.0,0.0,1.708579,-0.003597,0.037245,0.003379,0.253192,0.032087,0.955681,-2.739272,5.800122,-3.142165,6.396887,4.0,0.00029939,1,527,0.24708,0.31738,0.88889,nan,0,1.0,1.0,,,-0.01,0.00402,-0.00407,-0.02324,-0.00303,-0.0026
8,8192,-14.34392,450.0,0.0,0.0,2.242901,-0.005536,0.01294,0.005744,0.295761,0.067383,0.97061,-3.492124,6.149136,-3.832523,7.110288,4.0,0.00029928,7,466,0.22869,0.30092,0.9375,nan,0,0.0,0.98655,,,-0.01,0.00628,-0.00251,-0.02097,-0.00068,0.0
9,9216,-7.69665,203.0,0.0,0.0,1.784542,-0.003382,0.028776,0.003913,0.266057,0.052769,0.966666,-3.626051,6.932418,-3.899282,7.326782,4.0,0.00029918,1,527,0.25199,0.312,0.88235,nan,0,1.0,1.0,,,-0.01,0.00727,-0.00267,-0.01707,-0.00793,-0.00254
10,10240,nan,nan,0.0,0.0,1.354055,-0.005528,0.009395,0.003341,0.278831,0.042829,0.986846,-3.714654,7.149213,-3.828184,7.461097,4.0,0.00029908,0,598,0.26863,0.30437,0.88235,nan,0,0.0,0.0,,,-0.01,0.00537,-0.00235,-0.01834,-0.00149,0.0
11,11264,-9.14664,450.0,0.0,0.0,1.664036,-0.004538,0.008549,0.002867,0.231247,0.020124,0.98639,-3.721695,7.466113,-3.900421,7.902778,4.0,0.00029898,7,554,0.27042,0.33101,0.91667,nan,0,0.14286,0.96552,,,-0.01,0.00453,-0.00248,-0.01747,0.0,0.0
12,12288,nan,nan,0.0,0.0,2.047756,-0.003487,0.007808,0.002267,0.224783,0.020403,0.9876,-3.883746,7.829657,-4.117828,8.287462,4.0,0.00029887,0,513,0.24299,0.30187,0.91667,nan,0,0.0,0.0,,,-0.01,0.00539,-0.00227,-0.01504,-0.00181,0.0
13,13312,-6.648,450.0,0.0,0.0,1.856085,-0.007052,0.005877,0.004517,0.29248,0.081473,0.991374,-3.785655,7.932742,-3.912576,8.074824,4.0,0.00029877,1,499,0.23805,0.2684,0.92,nan,0,0.0,1.0,,,-0.01,0.00348,-0.00191,-0.0101,-0.00061,0.0
14,14336,-7.40469,450.0,0.0,0.0,1.876856,-0.006032,0.004801,0.003112,0.235212,0.040562,0.992384,-3.67515,7.820282,-3.834691,7.973615,4.0,0.00029867,1,533,0.2607,0.28419,0.92308,nan,0,0.0,1.0,,,-0.01,0.00418,-0.00253,-0.0104,0.0,0.0
15,15360,-8.46477,450.0,0.0,0.0,2.202089,-0.006241,0.008886,0.005524,0.26842,0.085589,0.985101,-4.737129,9.59824,-5.118325,10.495211,4.0,0.00029857,6,475,0.23926,0.31576,0.9375,nan,0,0.0,0.91176,,,-0.01,0.00545,-0.0025,-0.02389,-0.0002,0.0
16,16384,-13.15436,450.0,0.0,0.0,2.227394,-0.007577,0.007198,0.005178,0.307379,0.074916,0.98823,-4.971662,10.065302,-5.325755,10.901569,4.0,0.00029846,1,466,0.22357,0.28596,0.93939,nan,0,0.0,0.5,,,-0.01,0.00503,-0.00296,-0.02128,0.0,0.0
17,17408,nan,nan,0.0,0.0,2.257714,-0.00664,0.007003,0.005986,0.324979,0.090785,0.990437,-5.234922,11.105981,-5.523986,11.860152,4.0,0.00029836,0,489,0.23131,0.28791,0.93939,nan,0,0.0,0.0,,,-0.01,0.00494,-0.00286,-0.01802,-0.00032,0.0
18,18432,-12.30626,450.0,0.0,0.0,2.221776,-0.00772,0.006422,0.005723,0.351881,0.087751,0.992664,-5.771705,12.080319,-5.936646,12.674595,4.0,0.00029826,7,437,0.25585,0.31491,0.95,nan,0,0.0,1.0,,,-0.01,0.00616,-0.00244,-0.01991,0.00014,0.0
19,19456,nan,nan,0.0,0.0,2.165009,-0.007711,0.014716,0.006639,0.353564,0.105852,0.985494,-6.082723,12.645066,-6.348914,13.31959,4.0,0.00029816,0,474,0.25887,0.32146,0.95,nan,0,0.0,0.0,,,-0.01,0.00642,-0.00278,-0.0184,-0.00157,0.0
20,20480,-13.34346,450.0,0.0,0.0,1.772698,-0.006657,0.00687,0.004217,0.336808,0.060338,0.992555,-5.114544,13.415247,-5.175195,14.028329,4.0,0.00029805,1,503,0.28997,0.3608,0.95122,nan,0,0.0,1.0,,,-0.01,0.00654,-0.00272,-0.02157,-0.00232,0.0
21,21504,-12.41572,395.5,0.0,0.0,1.619979,-0.004205,0.044715,0.003317,0.321305,0.046108,0.95633,-4.772767,13.424858,-5.055306,13.625957,4.0,0.00029795,2,530,0.30577,0.36277,0.93023,nan,0,0.5,0.9375,,,-0.01,0.00615,-0.00281,-0.02171,-0.00427,-0.00262
22,22528,-10.9932,450.0,0.0,0.0,1.826018,-0.007472,0.021586,0.005522,0.397366,0.071812,0.978819,-8.254983,13.453771,-8.218183,13.779058,4.0,0.00029785,5,520,0.276,0.34122,0.9375,nan,0,0.2,1.0,,,-0.01,0.00699,-0.00255,-0.01947,-0.00149,0.0
23,23552,-7.90121,450.0,0.0,0.0,1.594708,-0.005558,0.009395,0.003688,0.278961,0.034912,0.988201,-7.621796,13.645446,-7.853702,14.365384,4.0,0.00029775,1,376,0.30507,0.37825,0.93878,nan,0,1.0,1.0,,,-0.01,0.00617,-0.00387,-0.02709,-0.00027,0.0
24,24576,-12.43572,450.0,0.0,0.0,1.632098,-0.007102,0.0152,0.003794,0.242609,0.048096,0.984044,-7.121743,14.7038,-7.428586,15.394378,4.0,0.00029764,1,525,0.37435,0.45471,0.94,nan,0,1.0,0.88889,,,-0.01,0.00668,-0.00476,-0.0275,-0.00134,0.0
25,25600,-12.27512,450.0,0.0,0.0,1.814079,-0.006337,0.019931,0.004723,0.244173,0.05392,0.979289,-8.178202,14.693773,-8.377047,15.140788,4.0,0.00029754,6,487,0.35653,0.43419,0.94643,nan,0,0.33333,0.98387,,,-0.01,0.00808,-0.00385,-0.02379,-0.00076,0.0
26,26624,nan,nan,0.0,0.0,1.48005,-0.006265,0.035615,0.003275,0.250975,0.035958,0.951075,-8.934102,13.301115,-9.281198,13.546801,4.0,0.00029744,0,548,0.34213,0.40252,0.94643,nan,0,0.0,0.0,,,-0.01,0.00659,-0.0027,-0.02071,-0.00608,0.0
27,27648,-8.95703,450.0,0.0,0.0,1.383428,-0.004704,0.01047,0.002824,0.235739,0.030936,0.986756,-9.65186,14.571746,-9.868703,15.078618,4.0,0.00029734,1,606,0.35396,0.42492,0.94737,nan,0,1.0,1.0,,,-0.01,0.00622,-0.00449,-0.02599,-0.00054,0.0
28,28672,-13.40125,450.0,0.0,0.0,1.410477,-0.00634,0.006559,0.002683,0.254317,0.025879,0.991222,-9.280959,14.616412,-9.364435,15.134642,4.0,0.00029724,2,524,0.30468,0.356,0.94915,nan,0,1.0,1.0,,,-0.01,0.00859,-0.00421,-0.02486,-0.00011,0.0
29,29696,-8.90634,450.0,0.0,0.0,1.795817,-0.005933,0.028285,0.002547,0.25022,0.027937,0.963526,-8.695586,14.578239,-8.789804,14.884044,4.0,0.00029713,5,480,0.26854,0.3246,0.95312,nan,0,0.6,1.0,,,-0.01,0.01001,-0.00158,-0.02008,-0.00435,0.0
30,30720,-8.80071,308.0,0.0,0.0,1.459729,-0.00381,0.03058,0.002079,0.261059,0.011719,0.963202,-8.2553,15.461988,-8.320626,15.438866,4.0,0.00029703,2,523,0.2861,0.34582,0.93939,nan,0,1.0,0.9375,,,-0.01,0.00693,-0.00216,-0.02208,-0.00708,-0.00291
31,31744,-7.75255,246.33333,0.0,0.0,1.273059,-0.004119,0.037035,0.002117,0.248496,0.026751,0.939074,-8.06327,13.725241,-8.105935,13.470785,4.0,0.00029693,3,561,0.28917,0.35061,0.89855,nan,0,1.0,1.0,,,-0.01,0.00799,-0.00163,-0.02106,-0.00926,-0.00985
32,32768,-7.50585,450.0,0.0,0.0,1.26707,-0.005142,0.017691,0.00279,0.253792,0.02553,0.975374,-8.993893,14.159028,-9.118602,14.613508,4.0,0.00029683,4,587,0.28946,0.3463,0.90411,nan,0,0.5,0.94737,,,-0.01,0.00665,-0.00107,-0.02402,-0.00278,0.0
33,33792,nan,nan,0.0,0.0,1.596414,-0.004567,0.011184,0.002314,0.240043,0.024902,0.986154,-8.807977,15.542995,-8.990875,16.047302,4.0,0.00029672,0,485,0.27795,0.31877,0.90411,nan,0,0.0,0.0,,,-0.01,0.00694,-0.00205,-0.0227,-0.00095,0.0
34,34816,-11.37954,450.0,0.0,0.0,1.589162,-0.004619,0.019886,0.002571,0.233321,0.031878,0.975813,-8.625525,15.827956,-8.792544,16.142677,4.0,0.00029662,4,490,0.29255,0.33893,0.90909,nan,0,0.75,0.88235,,,-0.01,0.00894,-0.00316,-0.01959,-0.00264,0.0
35,35840,-5.81229,270.0,0.0,0.0,1.56901,-0.005874,0.022911,0.002753,0.223635,0.028878,0.968479,-8.540161,15.526928,-8.61086,15.941292,4.0,0.00029652,2,541,0.30799,0.35855,0.89873,nan,0,0.5,1.0,,,-0.01,0.00809,-0.00375,-0.02243,-0.00597,-0.00272
36,36864,-8.86835,450.0,0.0,0.0,1.399125,-0.004892,0.02278,0.002467,0.239199,0.02553,0.969741,-9.265421,14.995606,-9.433472,15.546202,4.0,0.00029642,3,577,0.27493,0.3417,0.90244,nan,0,0.33333,0.95,,,-0.01,0.00841,-0.00248,-0.0252,-0.00418,0.0
37,37888,-9.84588,450.0,0.0,0.0,1.283423,-0.007909,0.007011,0.003172,0.247897,0.031529,0.990378,-9.293794,15.794293,-9.460932,16.234562,4.0,0.00029631,1,605,0.29193,0.36896,0.90361,nan,0,1.0,1.0,,,-0.01,0.00645,-0.0036,-0.02912,5e-05,0.0
38,38912,-8.86019,450.0,0.0,0.0,1.379746,-0.005781,0.011558,0.004197,0.239665,0.048723,0.983597,-9.618926,15.279322,-9.845244,15.609061,4.0,0.00029621,3,605,0.2622,0.31555,0.90698,nan,0,0.66667,1.0,,,-0.01,0.00587,-0.00241,-0.0234,-0.00213,0.0
39,39936,-10.56386,450.0,0.0,0.0,1.82591,-0.00622,0.006177,0.003944,0.242359,0.047328,0.991465,-10.517387,16.395315,-10.632189,16.824722,4.0,0.00029611,4,512,0.24996,0.28433,0.91111,nan,0,0.5,0.92857,,,-0.01,0.00692,-0.00168,-0.01863,-0.00072,0.0
40,40960,nan,nan,0.0,0.0,1.850232,-0.00578,0.015749,0.003694,0.255304,0.041818,0.980218,-10.345849,16.492468,-10.505392,16.92874,4.0,0.00029601,0,529,0.23686,0.28057,0.91111,nan,0,0.0,0.0,,,-0.01,0.00592,-0.00182,-0.01656,-0.00173,0.0
41,41984,-9.92098,450.0,0.0,0.0,1.821056,-0.006429,0.004788,0.00363,0.236191,0.031738,0.993062,-10.457009,16.5987,-10.418997,17.112316,4.0,0.0002959,3,537,0.2374,0.27579,0.91398,nan,0,0.0,1.0,,,-0.01,0.00745,-0.00171,-0.01699,-0.00073,0.0
42,43008,-7.93606,450.0,0.0,0.0,1.530209,-0.00587,0.01875,0.003154,0.233263,0.040179,0.971522,-9.718476,15.833543,-9.721596,15.718576,4.0,0.0002958,2,571,0.2325,0.26661,0.91579,nan,0,0.0,1.0,,,-0.01,0.00989,-0.00078,-0.01592,-0.00472,0.0
43,44032,-6.96417,401.5,0.0,0.0,1.720999,-0.004589,0.029102,0.003306,0.229371,0.03697,0.959162,-10.385927,16.560232,-10.284595,16.650267,4.0,0.0002957,4,541,0.23349,0.26549,0.90909,nan,0,1.0,0.88235,,,-0.01,0.00764,-0.00081,-0.02144,-0.00379,-0.00238
44,45056,nan,nan,0.0,0.0,1.706854,-0.006288,0.012462,0.003267,0.247679,0.036935,0.978817,-9.609468,15.601949,-9.705299,15.363423,4.0,0.0002956,0,588,0.24329,0.26343,0.90909,nan,0,0.0,0.0,,,-0.01,0.00573,-0.00121,-0.01578,-0.00142,0.0
45,46080,8.94106,417.0,0.25,0.01,1.446433,-0.002433,0.130519,0.00217,0.494297,0.023996,0.797187,-10.075226,14.634383,-8.702394,16.330814,4.0,0.00029549,4,535,0.25569,0.28406,0.9,nan,0,0.75,1.0,,,-0.01,0.0078,-0.00207,-0.01459,-0.00591,0.09028
46,47104,-8.86882,450.0,0.0,0.01,1.475218,-0.007493,0.025741,0.005592,0.358694,0.082345,0.96159,-8.29762,15.69875,-8.238241,15.594728,4.0,0.00029539,4,557,0.275,0.30394,0.9,nan,0,0.5,1.0,,,-0.01,0.00839,-0.00161,-0.01576,-0.00502,0.0
47,48128,-6.14151,224.66667,0.0,0.01,1.515531,-0.006737,0.047869,0.005441,0.404482,0.083426,0.90085,-6.961315,15.321428,-6.303867,14.409831,4.0,0.00029529,3,562,0.26975,0.31299,0.88,nan,0,1.0,0.75,,,-0.01,0.0088,3e-05,-0.01607,-0.01338,-0.00804
48,49152,-6.97735,214.28571,0.0,0.01,1.532007,-0.005967,0.026225,0.003946,0.314519,0.044294,0.930369,-6.910754,14.379904,-6.545419,13.35794,4.0,0.00029519,7,538,0.25056,0.28976,0.83,nan,0,1.0,1.0,,,-0.01,0.00984,-0.00086,-0.01863,-0.01245,-0.01575
49,50176,-6.39384,223.33333,0.0,0.01,1.573866,-0.006589,0.020274,0.003731,0.318141,0.047852,0.927504,-5.788583,11.743271,-5.292942,10.853467,4.0,0.00029508,3,556,0.23593,0.2679,0.8,nan,0,1.0,1.0,,,-0.01,0.01017,0.00085,-0.01352,-0.00557,-0.00785
50,51200,11.05078,253.0,0.25,0.02,1.192655,-0.002272,0.140734,0.00265,0.511485,0.025809,0.564686,-4.400543,9.287579,-3.049835,11.073501,4.0,0.00029498,4,590,0.26126,0.29689,0.76,0.0,1,1.0,1.0,,,-0.01,0.00907,-0.00069,-0.01872,-0.0047,0.10136
51,52224,8.12122,239.0,0.2,0.03,1.37751,-0.004991,0.043318,0.004412,0.300276,0.061733,0.81193,-4.836737,9.92944,-4.327853,9.341423,4.0,0.00029488,5,556,0.2368,0.27661,0.72,0.0,2,1.0,1.0,,,-0.01,0.01032,-0.00022,-0.0122,-0.01418,0.08899
52,53248,-4.37406,263.0,0.0,0.03,1.32774,-0.006033,0.009872,0.003356,0.303847,0.045933,0.943814,-4.456812,9.022679,-4.072386,8.480126,4.0,0.00029478,3,565,0.24106,0.27005,0.7,0.0,2,1.0,1.0,,,-0.01,0.00881,-0.00116,-0.01407,-0.00984,-0.00593
