iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.335028,-0.006622,0.314306,0.005663,0.746169,0.072231,-0.157206,-0.079748,0.22764,-0.750077,1.133327,4.0,0.0003,0,675,0.26214,0.36035,0.0,nan,0,0.0,0.0,,,-0.01,0.00453,-0.01203,-0.0235,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.252429,-0.00538,0.106823,0.002663,0.820005,0.019287,0.620712,-0.667415,0.854627,-1.288862,1.940636,4.0,0.0002999,0,705,0.23421,0.31597,0.0,nan,0,0.0,0.0,,,-0.01,0.00382,-0.01132,-0.02031,-0.00106,0.0
3,3072,-14.31253,375.0,0.0,0.0,1.955064,-0.005005,0.069317,0.004754,0.466342,0.057094,0.847647,-1.093434,1.970668,-1.637045,2.816765,4.0,0.0002998,8,729,0.22391,0.31293,1.0,nan,0,0.125,1.0,,,-0.01,0.00432,-0.00985,-0.01982,-0.00447,0.0
4,4096,nan,nan,0.0,0.0,2.249897,-0.00558,0.027788,0.007085,0.368988,0.107806,0.901247,-1.684138,2.742984,-2.185863,3.806862,4.0,0.00029969,0,699,0.27769,0.3615,1.0,nan,0,0.0,0.0,,,-0.01,0.00756,-0.00712,-0.02159,-0.00108,0.0
5,5120,-8.66309,220.66667,0.0,0.0,1.609958,-0.002039,0.084409,0.002459,0.328408,0.02839,0.90557,-2.236553,3.876699,-2.724381,4.246618,4.0,0.00029959,3,768,0.27174,0.3622,0.72727,nan,0,1.0,1.0,,,-0.01,0.00658,-0.0075,-0.01875,-0.0137,-0.00812
6,6144,1.41691,353.6,0.2,0.0625,1.516656,-0.001468,1.123274,0.002113,0.983926,0.011405,0.245676,-2.870837,3.806582,-2.070835,7.535015,4.0,0.00029949,5,758,0.30504,0.39113,0.625,nan,0,1.0,1.0,,,-0.01,0.00759,-0.0065,-0.02013,-0.00936,0.08174
7,7168,15.12516,217.0,0.33333,0.10526,1.60824,-0.002067,0.954907,0.004221,1.024569,0.065255,0.298216,-2.286558,4.359633,-1.141104,8.315961,4.0,0.00029939,3,773,0.28345,0.36752,0.52632,nan,0,1.0,1.0,,,-0.01,0.00937,-0.00425,-0.01904,-0.01267,0.08615
8,8192,-7.70725,207.0,0.0,0.07692,1.466818,-0.003856,0.087511,0.005559,0.515762,0.088065,0.769898,-0.301546,5.144972,-0.746267,4.815546,4.0,0.00029928,7,802,0.27794,0.36881,0.38462,nan,0,1.0,1.0,,,-0.01,0.00943,-0.0045,-0.01639,-0.01678,-0.02006
9,9216,-6.72073,136.0,0.0,0.06667,1.1434,-0.00441,0.041482,0.003238,0.433746,0.053223,0.866825,-0.477251,4.149053,-0.725047,4.108964,4.0,0.00029918,4,848,0.33214,0.42111,0.33333,nan,0,1.0,1.0,,,-0.01,0.0099,-0.00607,-0.02056,-0.01889,-0.01427
10,10240,3.86083,220.33333,0.16667,0.08333,1.682561,-0.000402,0.632752,0.002553,0.498972,0.021415,0.319588,-1.557819,3.888146,-0.757969,7.553255,4.0,0.00029908,6,765,0.29376,0.37489,0.27778,1.0,1,1.0,0.97368,,,-0.01,0.01085,-0.00278,-0.01826,-0.01388,0.0649
11,11264,-6.29339,144.83333,0.0,0.07143,1.509467,-0.004558,0.058508,0.005063,0.327834,0.075091,0.841336,-1.012212,4.886171,-1.289734,4.797634,4.0,0.00029898,6,767,0.2948,0.38135,0.2381,1.0,1,1.0,0.94737,,,-0.01,0.00883,-0.00263,-0.01778,-0.01843,-0.0166
