iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.335794,-0.006501,0.314312,0.004809,0.733691,0.055873,-0.150169,-0.079748,0.22764,-0.819152,1.156087,4.0,0.0003,0,690,0.26214,0.36035,0.0,nan,0,0.0,0.0,,,-0.01,0.00453,-0.01203,-0.0235,0.0,-0.00795,0.0
2,2048,nan,nan,0.0,0.0,2.260965,-0.004804,0.107179,0.002049,0.774569,0.017683,0.629226,-0.70208,0.878667,-1.343425,1.95651,4.0,0.0002999,0,723,0.23048,0.31634,0.0,nan,0,0.0,0.0,,,-0.01,0.00362,-0.01197,-0.02037,-0.00106,-0.00026,0.0
3,3072,-15.74642,375.0,0.0,0.0,2.124925,-0.004565,0.04976,0.003018,0.545767,0.03125,0.845558,-1.073292,1.976198,-1.611816,3.002655,4.0,0.0002998,8,722,0.22214,0.30908,1.0,nan,0,0.0,1.0,,,-0.01,0.00299,-0.00944,-0.02166,-0.00075,-0.00575,0.0
4,4096,nan,nan,0.0,0.0,2.2865,-0.005682,0.028343,0.005284,0.365382,0.075823,0.90457,-1.946284,2.98491,-2.601316,4.095441,4.0,0.00029969,0,697,0.26842,0.35463,1.0,nan,0,0.0,0.0,,,-0.01,0.00501,-0.00901,-0.02345,0.0,-0.00574,0.0
5,5120,nan,nan,0.0,0.0,2.203102,-0.003246,0.028307,0.003326,0.246486,0.045027,0.946038,-2.33413,4.160367,-2.858356,5.038908,4.0,0.00029959,0,721,0.23035,0.31571,1.0,nan,0,0.0,0.0,,,-0.01,0.00388,-0.00703,-0.01865,-0.0024,-0.00038,0.0
6,6144,-14.32487,375.0,0.0,0.0,1.751283,-0.006885,0.020748,0.005019,0.273921,0.077706,0.963379,-2.822939,4.943899,-3.216896,5.624642,4.0,0.00029949,8,741,0.24811,0.33744,1.0,nan,0,0.125,1.0,,,-0.01,0.0048,-0.00611,-0.02315,-0.00592,-0.00707,0.0
7,7168,-7.00221,114.0,0.0,0.0,1.965954,-0.004249,0.046338,0.005298,0.347758,0.084787,0.944443,-3.11905,5.487584,-3.6235,6.068573,4.0,0.00029939,1,719,0.27042,0.34938,0.94118,nan,0,1.0,1.0,,,-0.01,0.00713,-0.00402,-0.01638,-0.01046,-0.00338,-0.00222
8,8192,-9.55269,223.0,0.0,0.0,1.267603,-0.001728,0.066157,0.001287,0.242926,0.009801,0.913744,-3.977301,5.955956,-4.222833,6.090265,4.0,0.00029928,4,840,0.29282,0.37084,0.7619,nan,0,1.0,0.96552,,,-0.01,0.00817,-0.00464,-0.02468,-0.01063,-0.00308,-0.01332
9,9216,-9.41255,290.8,0.0,0.0,1.624183,-0.002249,0.065242,0.002407,0.275816,0.025565,0.896054,-4.501327,5.602448,-4.752582,5.790414,4.0,0.00029918,5,784,0.29949,0.37412,0.65385,nan,0,1.0,1.0,,,-0.01,0.00723,-0.00403,-0.02038,-0.0089,-0.0074,-0.01061
10,10240,-8.95729,155.0,0.0,0.0,1.52986,-0.003386,0.031522,0.004152,0.240713,0.054234,0.940832,-4.84,5.214099,-5.108442,5.501211,4.0,0.00029908,1,803,0.26854,0.34192,0.62963,nan,0,1.0,1.0,,,-0.01,0.00757,-0.00211,-0.01829,-0.00983,-0.00108,-0.00273
