iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.981213,-0.014879,0.14633,0.010078,1374,-0.01,0.00208,-0.03121,0.0068,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.005879,0.228884,0.121421,0.001174,1409,-0.01,0.0035,-0.02194,0.00716,-0.00072,0.0
3,3072,-13.35136,375.0,0.0,0.0,1.972998,-0.037874,3.860904,0.005925,1785,-0.01,0.0024,-0.01857,0.00541,-0.0545,0.0
4,4096,nan,nan,0.0,0.0,1.938408,-0.027073,0.083201,0.005197,1427,-0.01,0.00603,-0.01187,0.0065,-0.00393,0.0
5,5120,-15.49456,196.33333,0.0,0.0,1.9236,-0.054433,9.047056,0.002273,2084,-0.01,0.00522,-0.00768,0.00466,-0.13044,-0.00147
6,6144,-13.58445,329.5,0.0,0.0,1.871438,-6.1e-05,6.713581,0.000337,2171,-0.01,0.00505,-0.00544,0.00497,-0.07926,-0.00102
7,7168,-13.8217,257.0,0.0,0.0,1.9241,-0.04931,3.599276,0.003243,1681,-0.01,0.0057,-0.00657,0.00579,-0.05603,-0.00111
8,8192,-13.19647,216.0,0.0,0.0,1.91155,-0.001264,8.504355,0.001791,1917,-0.01,0.00599,-0.00858,0.00551,-0.11456,-0.00226
9,9216,-13.48295,222.8,0.0,0.0,1.908573,-0.001789,5.937202,0.000987,1764,-0.01,0.0059,-0.00957,0.00579,-0.07329,-0.00156
10,10240,-11.98107,159.25,0.0,0.0,1.934732,-0.000805,10.052277,0.001574,1627,-0.01,0.00606,-0.01107,0.0059,-0.1343,-0.00146
11,11264,-18.03257,190.125,0.0,0.0,1.946175,-0.029134,5.030787,0.001461,1682,-0.01,0.00672,-0.01115,0.00538,-0.07157,-0.00326
12,12288,-10.33149,135.57143,0.0,0.0,1.909609,-0.001678,11.956317,0.001339,1676,-0.01,0.00766,-0.01019,0.00518,-0.16566,-0.00275
13,13312,-18.58348,153.16667,0.0,0.0,1.870906,-0.003769,8.183467,0.001973,1807,-0.01,0.00673,-0.01079,0.00536,-0.11123,-0.00261
14,14336,-13.70763,176.85714,0.0,0.0,1.902514,-0.002983,5.182187,0.002503,1654,-0.01,0.0065,-0.00964,0.0044,-0.08238,-0.00225
15,15360,-7.88897,158.33333,0.0,0.0,1.904094,-0.000259,2.842173,0.001092,1742,-0.01,0.00679,-0.00855,0.00437,-0.05782,-0.00248
16,16384,-10.47759,171.8,0.0,0.0,1.857694,-0.004562,3.821178,0.003563,1638,-0.01,0.00625,-0.00923,0.00495,-0.06524,-0.00194
17,17408,-9.21275,168.85714,0.0,0.0,1.848504,0.129793,4.924237,0.001849,1590,-0.01,0.00668,-0.00719,0.00581,-0.0816,-0.00261
18,18432,-10.05742,161.33333,0.0,0.0,1.799966,-0.004687,3.958782,0.005175,1904,-0.01,0.00849,-0.00559,0.00513,-0.07982,-0.00277
19,19456,-8.03322,141.22222,0.0,0.0,1.780873,-0.092039,5.316907,0.001743,1692,-0.01,0.00977,-0.00548,0.00519,-0.11712,-0.00362
20,20480,-9.4465,111.125,0.0,0.0,1.761899,0.040569,4.707354,0.003599,1630,-0.01,0.00962,-0.00423,0.00525,-0.08622,-0.00326
21,21504,-7.67934,102.11111,0.0,0.0,1.68634,-0.002466,5.739258,0.001274,1682,-0.01,0.00978,-0.0033,0.00584,-0.12069,-0.00368
22,22528,-0.03562,134.0,0.28571,0.02,1.630005,-0.002547,19.727953,0.003417,1937,-0.01,0.01178,-0.00405,0.00478,-0.05652,0.05427
23,23552,-8.79322,141.22222,0.0,0.02,1.531196,-0.040743,2.65831,0.004285,1795,-0.01,0.01115,-0.00247,0.00492,-0.10379,-0.00431
24,24576,-0.73781,125.33333,0.16667,0.03,1.549207,-0.000481,13.021604,0.002649,2085,-0.01,0.01048,-0.00233,0.00412,-0.07538,0.04204
25,25600,-4.64769,154.375,0.125,0.04,1.51692,-0.006671,6.819546,0.000737,1915,-0.01,0.01022,-0.00275,0.00521,-0.08689,0.01073
26,26624,-5.6551,114.66667,0.0,0.04,1.51966,-0.033506,3.356384,0.00214,2001,-0.01,0.00945,-0.00155,0.0046,-0.11285,-0.00495
27,27648,1.05303,146.5,0.33333,0.06,1.434244,-0.105046,43.632289,0.004088,1810,-0.01,0.0106,-0.00238,0.00479,-0.03232,0.07298
28,28672,-2.22615,144.33333,0.16667,0.07,1.472699,0.004509,9.915336,0.001324,2108,-0.01,0.00999,-0.00371,0.00478,-0.07898,0.02674
29,29696,4.53828,130.5,0.5,0.11,1.496287,-0.001106,26.931051,0.00213,1904,-0.01,0.01104,-0.0067,0.00443,-0.04549,0.10624
30,30720,-1.94093,134.0,0.25,0.13,1.5638,0.000494,32.084148,0.001979,2021,-0.01,0.01133,-0.00537,0.00466,-0.11387,0.09638
31,31744,-5.15497,156.22222,0.11111,0.14,1.54167,-0.033804,6.108546,0.0019,1874,-0.01,0.01288,-0.00427,0.00538,-0.07064,0.0079
32,32768,-4.14331,117.14286,0.14286,0.15,1.458112,-0.000338,8.524908,0.003373,2082,-0.01,0.00878,-0.00612,0.0053,-0.10465,0.01226
33,33792,-1.82519,149.75,0.125,0.16,1.480158,-0.127316,32.481792,0.003701,2225,-0.01,0.01076,-0.00194,0.00451,-0.09314,0.08787
34,34816,3.67872,113.4,0.2,0.17,1.559513,0.001244,21.832895,0.002631,2147,-0.01,0.00967,-0.00542,0.00374,-0.05435,0.086
35,35840,-3.05285,181.14286,0.28571,0.18,1.565082,0.000289,16.039147,0.001693,2180,-0.01,0.00957,-0.00303,0.00433,-0.06814,0.03386
36,36864,-5.84159,156.83333,0.0,0.17,1.594443,-0.058968,3.096242,0.003141,2556,-0.01,0.00727,-0.00704,0.00409,-0.08268,-0.00473
37,37888,-6.06359,211.5,0.0,0.17,1.516168,0.013548,2.110844,0.006428,2330,-0.01,0.00884,-0.00291,0.00348,-0.06268,-0.00257
38,38912,-6.37589,218.0,0.0,0.17,1.546796,0.117738,2.368694,0.006498,2658,-0.01,0.00558,-0.00809,0.00325,-0.03888,-0.00189
39,39936,-4.54933,310.5,0.0,0.17,1.612407,-0.005067,1.141013,0.006438,2444,-0.01,0.00644,-0.00652,0.00258,-0.04166,-0.00174
40,40960,-3.80544,311.33333,0.0,0.16,1.601399,-0.002419,0.615185,0.002739,2586,-0.01,0.00425,-0.00338,0.0022,-0.02257,-0.00082
41,41984,-2.56179,375.0,0.0,0.15,1.619803,0.107909,2.637648,0.009875,2890,-0.01,0.00527,-0.00408,0.00294,-0.04292,0.0
42,43008,-0.41701,282.8,0.2,0.16,1.676292,-0.11791,31.302704,0.003914,2507,-0.01,0.00788,-0.00515,0.00346,-0.03084,0.07008
43,44032,-0.16237,317.0,0.25,0.17,1.624262,-0.025718,5.257518,0.004759,2290,-0.01,0.00797,-0.00275,0.00386,-0.02115,0.02
44,45056,-2.16691,375.0,0.0,0.17,1.644429,-0.032034,0.352324,0.008639,2828,-0.01,0.00366,-0.00396,0.00375,-0.015,0.0
45,46080,-2.28683,375.0,0.0,0.17,1.69502,-0.066596,0.164564,0.009718,2967,-0.01,0.00346,-0.00261,0.00308,-0.01106,0.0
46,47104,4.52958,316.8,0.2,0.18,1.669424,0.000664,17.8117,0.005656,2142,-0.01,0.00407,-0.00074,0.00511,-0.01168,0.07183
47,48128,-2.30671,375.0,0.0,0.17,1.678922,0.032114,0.414362,0.007225,2757,-0.01,0.00245,-0.00282,0.00217,-0.0238,0.0
48,49152,-1.97042,375.0,0.0,0.16,1.705034,-0.081626,0.093013,0.010514,3046,-0.01,0.0029,-0.00248,0.00258,-0.01122,0.0
49,50176,-2.51567,375.0,0.0,0.15,1.600013,-0.005515,0.047326,0.009274,2031,-0.01,0.00174,-0.00179,0.00477,-0.00184,0.0
50,51200,-2.63456,375.0,0.0,0.15,1.538491,-0.007731,0.143645,0.009159,2048,-0.01,0.00263,-0.00069,0.00355,-0.01065,0.0
51,52224,-2.40347,375.0,0.0,0.14,1.510834,0.015452,0.069654,0.007124,2474,-0.01,0.0035,-0.00141,0.00457,-0.0007,0.0
52,53248,-1.87994,375.0,0.0,0.12,1.427389,-0.003757,0.054178,0.006381,1606,-0.01,0.00244,-0.00067,0.00459,-0.00409,0.0
