iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,29.21537,114.6,1.0,1.0,1.381379,-0.03463,28.943581,0.004465,1734,0.131,-0.01,0.00989,-0.00086,0.0041,-0.06849,0.20457
2,2048,10.49987,167.66667,0.66667,0.875,1.420853,-0.001444,6.701067,0.001222,2084,0.14682,-0.01,0.01078,-0.00416,0.00396,0.00103,0.07098
3,3072,36.30931,158.75,1.0,0.9375,1.44942,-0.029704,9.589597,0.001592,1757,0.13519,-0.01,0.01028,-0.00094,0.0042,-0.00089,0.31783
4,4096,35.02713,144.14286,0.85714,0.91304,1.469592,-0.000386,14.20898,0.000674,1768,0.1341,-0.01,0.00993,-0.00126,0.00508,-0.03267,0.27246
5,5120,23.54533,155.5,0.83333,0.89655,1.451037,-0.000416,22.562493,0.000459,1952,0.14431,-0.01,0.00997,-0.00165,0.00514,-0.04677,0.2254
6,6144,31.55599,167.57143,1.0,0.91667,1.484283,-0.000897,17.746203,0.000548,1884,0.14272,-0.01,0.0103,-9e-05,0.00465,-0.02479,0.28504
7,7168,22.73475,273.0,0.5,0.89474,1.497447,-0.070431,11.838187,0.000683,1839,0.14263,-0.01,0.00567,-0.00053,0.00472,-0.05049,0.05108
8,8192,33.06814,183.6,1.0,0.90698,1.507328,0.050873,16.467753,0.00211,1931,0.14891,-0.01,0.00928,-0.00264,0.00419,-0.00124,0.21749
9,9216,-3.51547,247.85714,0.42857,0.84,1.584494,0.022496,20.999332,0.001299,1875,0.14191,-0.01,0.00772,-0.00189,0.00449,-0.08371,0.08832
10,10240,12.97638,187.25,0.5,0.81481,1.509693,0.000467,24.763003,0.000973,1996,0.14015,-0.01,0.00912,-4e-05,0.00523,-0.04881,0.09298
11,11264,31.27099,191.6,1.0,0.83051,1.551627,0.000346,7.280102,0.000972,1759,0.13486,-0.01,0.00651,0.00047,0.00525,-0.00012,0.17588
12,12288,45.14266,177.8,1.0,0.84375,1.483123,-0.001145,8.886607,0.001661,2041,0.14165,-0.01,0.01042,-0.00118,0.00494,-0.01615,0.27908
13,13312,20.50727,192.5,1.0,0.85714,1.505,-0.0015,14.474825,0.000386,2028,0.13965,-0.01,0.00834,0.00032,0.0048,-0.03784,0.20476
14,14336,29.39403,220.4,0.8,0.85333,1.458528,-0.000768,8.428863,0.001038,1767,0.13718,-0.01,0.00854,-7e-05,0.00514,-0.0245,0.18076
15,15360,37.57706,154.25,1.0,0.86076,1.445832,0.058027,18.22639,0.003599,1878,0.14333,-0.01,0.00685,-0.00077,0.00533,-0.02684,0.17023
16,16384,30.65014,208.75,0.875,0.86207,1.4584,-0.140171,22.728796,0.003024,1785,0.13454,-0.01,0.00975,-0.00049,0.00491,-0.0199,0.31842
17,17408,29.53977,157.125,1.0,0.87368,1.539568,-0.003347,21.854212,0.000766,1796,0.1322,-0.01,0.01064,-0.0012,0.00452,-0.04612,0.31007
18,18432,38.58685,155.4,1.0,0.88,1.550886,0.012959,18.55668,0.000536,1715,0.13143,-0.01,0.00875,-0.00064,0.00541,-0.04867,0.21968
19,19456,14.77488,170.14286,0.71429,0.87,1.565385,-0.01442,19.496143,0.001399,1784,0.13409,-0.01,0.00796,-0.00071,0.00513,-0.04387,0.1837
20,20480,50.97424,168.0,1.0,0.87,1.502822,-0.000728,7.777452,0.00031,1796,0.13816,-0.01,0.00564,-0.0006,0.00513,-0.00162,0.10632
21,21504,6.38577,207.5,0.5,0.85,1.460849,0.127141,38.343894,0.000791,2280,0.16168,-0.01,0.005,-0.00117,0.00362,-0.11596,0.08612
22,22528,6.16079,310.8,0.4,0.82,1.434677,-0.000369,11.804604,0.000186,2404,0.16262,-0.01,0.00729,-0.00028,0.00426,-0.00182,0.12613
23,23552,34.24718,198.75,1.0,0.83,1.505648,-0.00055,10.479795,0.000624,1820,0.13458,-0.01,0.00732,0.00022,0.00526,-0.02283,0.14859
24,24576,32.23021,176.875,1.0,0.84,1.516613,-0.000446,8.542929,0.000613,1825,0.13356,-0.01,0.00972,-0.00104,0.00505,-0.02177,0.32814
25,25600,40.40274,161.75,1.0,0.85,1.565408,-0.051528,10.902311,0.001167,1764,0.12993,-0.01,0.01186,-0.00095,0.00466,0.0011,0.35786
26,26624,33.01482,152.28571,0.85714,0.85,1.485489,-0.000739,19.934192,0.000441,1818,0.12962,-0.01,0.01179,-0.00153,0.00571,-0.01614,0.27013
27,27648,9.10991,143.2,0.6,0.86,1.507902,-0.076197,25.661562,0.000821,1880,0.13124,-0.01,0.00696,-0.00068,0.00547,-0.07842,0.12792
28,28672,29.60547,151.5,0.83333,0.87,1.533589,-0.001294,13.965598,0.000752,1755,0.13205,-0.01,0.00735,-0.0003,0.00505,-0.02216,0.20745
29,29696,35.69686,169.5,1.0,0.87,1.513201,-0.000546,15.126912,0.00099,2025,0.14764,-0.01,0.00771,-0.00176,0.00563,-0.01123,0.18636
30,30720,30.00004,211.0,1.0,0.87,1.593087,-0.000641,18.922837,0.000439,1830,0.14416,-0.01,0.00839,-0.00166,0.0047,-0.04121,0.25305
31,31744,33.3879,178.0,1.0,0.88,1.601423,-0.000871,16.517285,0.000755,1768,0.13891,-0.01,0.00551,0.00031,0.00481,-0.04229,0.16278
32,32768,26.98615,215.0,1.0,0.88,1.635414,-0.057397,6.223728,0.001575,2108,0.15267,-0.01,0.00771,-0.00247,0.00523,-0.00264,0.16717
33,33792,23.50543,227.2,0.8,0.87,1.598807,-0.000798,7.023946,0.002008,1793,0.14699,-0.01,0.00683,-0.00102,0.00516,-0.00132,0.15379
34,34816,16.19766,220.8,0.8,0.86,1.54576,-0.000132,29.932961,0.001516,1912,0.15547,-0.01,0.00601,-0.00142,0.00558,-0.12348,0.16216
35,35840,5.08749,279.0,1.0,0.87,1.556277,-0.000461,9.882462,0.000201,2074,0.15463,-0.01,0.00723,-0.00098,0.00476,-0.03259,0.05575
36,36864,28.08656,233.2,1.0,0.87,1.571593,-0.000284,11.990111,0.001229,1727,0.14059,-0.01,0.009,0.0001,0.00534,-0.02566,0.19261
37,37888,38.26119,191.71429,1.0,0.87,1.530752,-0.000436,11.510739,0.000392,1748,0.14275,-0.01,0.01031,-0.00019,0.00505,0.00087,0.30601
38,38912,40.65733,192.25,1.0,0.88,1.476632,-0.028576,11.34686,0.000822,1819,0.14716,-0.01,0.00808,-0.00064,0.00566,-0.0026,0.17804
39,39936,31.88303,184.83333,1.0,0.89,1.576388,-0.010326,8.178644,0.001306,1764,0.14032,-0.01,0.00897,0.00048,0.00516,-0.01915,0.22265
40,40960,28.0233,161.28571,0.85714,0.92,1.530257,-0.000507,20.995021,0.00061,1766,0.14169,-0.01,0.00855,-0.00043,0.00556,-0.03615,0.24565
41,41984,18.36083,162.28571,0.85714,0.92,1.531773,0.007351,22.419103,0.000795,1979,0.1465,-0.01,0.01056,-0.00013,0.00452,-0.06808,0.22697
42,43008,21.44681,204.0,0.5,0.9,1.561684,-0.017828,16.046672,0.001251,1772,0.14553,-0.01,0.00662,5e-05,0.0046,-0.03665,0.11043
43,44032,33.01346,200.6,1.0,0.9,1.677361,0.042244,7.415033,0.00131,1820,0.14705,-0.01,0.00813,-8e-05,0.0049,-0.00366,0.204
44,45056,9.84671,209.2,1.0,0.9,1.598219,0.00056,22.700487,0.001377,2052,0.1437,-0.01,0.00853,-7e-05,0.00552,-0.07245,0.11653
45,46080,30.48036,214.0,1.0,0.9,1.63284,-0.015773,9.416109,0.002645,1851,0.14311,-0.01,0.00668,7e-05,0.00552,-0.00155,0.15299
46,47104,18.60854,215.5,0.83333,0.91,1.604794,-0.012876,12.453995,0.001057,1881,0.13816,-0.01,0.00818,0.00061,0.00512,-0.05511,0.18287
47,48128,38.13382,219.0,1.0,0.92,1.617333,-0.004889,1.876985,0.003914,1754,0.13594,-0.01,0.00387,0.00047,0.00546,-0.0004,0.03822
48,49152,27.97737,274.6,1.0,0.92,1.526434,-0.048339,17.600966,0.000683,1968,0.14851,-0.01,0.00837,3e-05,0.00533,-0.0518,0.20085
49,50176,21.58553,281.25,0.75,0.92,1.582056,0.11593,6.048888,0.00084,1734,0.13686,-0.01,0.00478,0.00052,0.00619,-0.00129,0.10626
