iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.394328,-0.008248,0.425509,0.004444,1048,0.13923,0.0,0.0,-0.01,0.00649,-0.01996,-0.02343,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.325691,-0.003307,0.369869,0.001197,1038,0.13965,0.0,0.0,-0.01,0.00731,-0.0145,-0.01954,0.0,0.0
3,3072,-17.36675,375.0,0.0,0.0,2.282428,-0.001991,2.773837,0.001442,1124,0.14896,0.125,0.99679,-0.01,0.00618,-0.00966,-0.01811,-0.02826,0.0
4,4096,nan,nan,0.0,0.0,2.334541,0.048278,0.305233,0.001601,1073,0.1385,0.0,0.0,-0.01,0.01056,-0.00849,-0.02287,-0.00136,0.0
5,5120,nan,nan,0.0,0.0,2.223105,0.074693,3.628905,0.004277,1421,0.16589,0.0,0.0,-0.01,0.00938,-0.00933,-0.0196,-0.02475,0.0
6,6144,-14.897,367.375,0.0,0.0,2.156593,0.016387,4.410984,0.002448,1784,0.178,0.75,0.99301,-0.01,0.00939,-0.01033,-0.0239,-0.07173,-0.00237
7,7168,-11.93497,140.0,0.0,0.0,2.26225,-0.003608,1.016878,0.001953,1152,0.1417,1.0,1.0,-0.01,0.01082,-0.00588,-0.01887,-0.01626,-0.00032
8,8192,-11.48632,215.75,0.0,0.0,2.151566,-0.002855,5.215529,0.002564,1633,0.15218,1.0,1.0,-0.01,0.01094,-0.00442,-0.01742,-0.08325,-0.00193
9,9216,-11.88693,244.14286,0.0,0.0,2.161109,-0.003753,2.211241,0.001748,1454,0.14417,1.0,0.98958,-0.01,0.01036,-0.00575,-0.01506,-0.05253,-0.00256
10,10240,-8.30791,169.0,0.0,0.0,2.073424,-0.00609,0.975375,0.002948,1802,0.14505,1.0,1.0,-0.01,0.01031,-0.00459,-0.01237,-0.03573,-0.00112
11,11264,-7.6458,375.0,0.0,0.0,2.004638,-0.007272,0.315801,0.004853,2289,0.13803,0.0,0.96552,-0.01,0.00848,-0.00581,-0.01051,-0.01012,0.0
12,12288,-4.3268,375.0,0.0,0.0,1.917751,-0.011914,0.466497,0.006837,2488,0.13378,0.0,1.0,-0.01,0.01216,-0.00395,-0.0111,-0.01034,0.0
13,13312,-6.34306,304.5,0.0,0.0,1.95604,0.111797,2.637021,0.005546,2085,0.13312,0.75,1.0,-0.01,0.01375,-0.0016,-0.01212,-0.04523,-0.00215
14,14336,-6.71353,247.0,0.0,0.0,1.988439,-0.001676,1.599467,0.003168,1777,0.13392,1.0,0.9375,-0.01,0.00993,-0.00058,-0.01256,-0.0539,-0.00282
15,15360,-8.0062,276.0,0.0,0.0,1.930885,-0.003717,0.595885,0.002348,2177,0.14822,1.0,1.0,-0.01,0.01076,-0.00248,-0.00926,-0.02724,-0.00068
16,16384,-3.95545,375.0,0.0,0.0,1.885636,-0.008548,0.225528,0.005205,2712,0.15622,0.0,1.0,-0.01,0.00996,-0.00499,-0.01098,-0.0089,0.0
17,17408,-3.6257,375.0,0.0,0.0,2.100273,0.095071,0.258462,0.007218,2125,0.14301,0.0,1.0,-0.01,0.01255,-0.00189,-0.01516,-0.01007,0.0
18,18432,23.64051,249.0,0.5,0.01818,2.054444,0.051763,31.488832,0.004795,2321,0.13406,0.0,1.0,-0.01,0.01297,-0.00055,-0.01261,-0.01468,0.12004
19,19456,0.03512,365.66667,0.33333,0.03448,2.026384,0.001878,7.391399,0.004044,2403,0.13846,0.0,0.93333,-0.01,0.01393,-0.00019,-0.01063,-0.00932,0.02903
20,20480,-7.11735,300.0,0.0,0.03226,2.113395,-0.000705,2.445272,0.00184,1652,0.14547,1.0,1.0,-0.01,0.01208,0.00075,-0.01598,-0.03827,-0.00193
21,21504,-2.35305,193.66667,0.33333,0.04615,2.102685,0.007588,6.528234,0.00321,1930,0.15189,0.66667,1.0,-0.01,0.01315,-0.00162,-0.01348,-0.02926,0.01817
22,22528,-5.60051,284.4,0.0,0.04286,2.046274,-0.004852,2.493865,0.006414,2007,0.15508,0.6,1.0,-0.01,0.01117,-0.00309,-0.01911,-0.03473,-0.00192
23,23552,-5.4812,246.0,0.0,0.04167,2.080318,-0.004046,0.760494,0.002981,1965,0.17429,0.5,0.66667,-0.01,0.00919,-0.00146,-0.01196,-0.0268,-0.00062
24,24576,-6.72795,327.66667,0.0,0.04,2.170562,-0.003145,0.741464,0.003552,1750,0.15218,0.33333,1.0,-0.01,0.01202,-0.00148,-0.01649,-0.01308,-0.00054
25,25600,-4.34119,375.0,0.0,0.03797,2.078153,-0.007453,0.175093,0.007511,1948,0.17997,0.0,1.0,-0.01,0.01087,-0.00174,-0.01693,-0.01129,0.0
26,26624,-4.27671,375.0,0.0,0.03704,2.065093,-0.004406,0.186319,0.006424,2027,0.19118,0.0,1.0,-0.01,0.00968,-0.00148,-0.01374,-0.01301,0.0
27,27648,-3.7244,375.0,0.0,0.03614,2.164585,-0.007101,0.124678,0.007068,1698,0.16371,0.0,1.0,-0.01,0.01135,-0.00149,-0.01556,-0.00504,0.0
28,28672,-5.5756,364.75,0.0,0.03448,2.155434,-0.003598,0.698019,0.006499,1697,0.17094,0.25,1.0,-0.01,0.00929,-0.00105,-0.01643,-0.01625,-0.00053
29,29696,-4.2973,375.0,0.0,0.03333,2.102757,-0.007118,0.203286,0.00623,2000,0.17754,0.0,1.0,-0.01,0.00692,-0.001,-0.014,-0.01204,0.0
30,30720,-6.83193,320.33333,0.0,0.03226,2.205114,-0.00537,0.50349,0.006359,1464,0.14148,0.33333,1.0,-0.01,0.0089,-0.00017,-0.01939,-0.00829,-0.00042
31,31744,-4.98363,375.0,0.0,0.03158,2.169094,0.031038,0.145172,0.004373,1165,0.14256,0.0,1.0,-0.01,0.00749,0.00017,-0.01652,-0.00572,0.0
32,32768,-8.19127,375.0,0.0,0.03061,2.116944,0.037902,0.101377,0.007244,1392,0.16437,0.0,1.0,-0.01,0.00547,0.00025,-0.01782,-0.00247,0.0
33,33792,-6.97926,375.0,0.0,0.03,2.20185,-0.004957,0.088417,0.003924,1136,0.1476,0.0,1.0,-0.01,0.00614,7e-05,-0.02018,-0.00147,0.0
34,34816,-7.56671,375.0,0.0,0.03,2.196528,-0.00477,0.081106,0.00477,1031,0.13997,0.0,1.0,-0.01,0.00606,0.00015,-0.02155,-0.00038,0.0
35,35840,-8.93382,375.0,0.0,0.03,2.194102,0.028709,0.142003,0.005168,1139,0.15219,0.0,1.0,-0.01,0.00721,0.00036,-0.01664,-0.00489,0.0
36,36864,-8.32023,375.0,0.0,0.03,2.154922,-0.007168,0.122732,0.005169,1270,0.15233,0.0,1.0,-0.01,0.00818,0.00036,-0.0178,-0.00404,0.0
37,37888,-6.93013,375.0,0.0,0.03,2.163641,-0.006981,0.145852,0.005693,1193,0.15119,0.0,1.0,-0.01,0.0078,0.00031,-0.01672,-0.0049,0.0
38,38912,-6.46128,375.0,0.0,0.03,2.059892,0.074846,0.151381,0.004507,1577,0.1772,0.0,1.0,-0.01,0.00663,-0.00068,-0.01325,-0.0083,0.0
