iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.338041,-0.008745,0.305225,0.008521,0.917306,0.123535,-0.005414,-0.22342,0.185765,-0.944687,1.281186,4.0,0.0003,0,860,0.2666,0.35617,0.0,nan,0.0,0.0,,,-0.01,0.00503,-0.0135,-0.02399,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.303155,-0.005047,0.093436,0.002061,0.760679,0.016706,0.648937,-0.794869,0.954447,-1.391827,2.061546,4.0,0.0002999,0,864,0.23996,0.32603,0.0,nan,0.0,0.0,,,-0.01,0.0045,-0.01026,-0.02103,0.0,0.0
3,3072,-14.31463,375.0,0.0,0.0,2.250047,-0.003702,0.055718,0.003379,0.499168,0.032122,0.858112,-1.223231,2.0705,-1.756702,2.993774,4.0,0.0002998,8,846,0.24195,0.32549,1.0,nan,0.0,0.99758,,,-0.01,0.00467,-0.00861,-0.01973,-0.00197,0.0
4,4096,nan,nan,0.0,0.0,2.312279,-0.004556,0.032232,0.004653,0.287815,0.050014,0.91028,-1.992754,2.911904,-2.554468,3.868622,4.0,0.00029969,0,850,0.2739,0.35785,1.0,nan,0.0,0.0,,,-0.01,0.00733,-0.00989,-0.02139,-0.00128,0.0
5,5120,-9.44689,208.0,0.0,0.0,1.719251,-0.003265,0.081616,0.002988,0.265635,0.021833,0.8965,-2.81766,3.841823,-3.280877,4.158107,4.0,0.00029959,3,918,0.2698,0.36293,0.72727,nan,1.0,0.98361,,,-0.01,0.0066,-0.00989,-0.01586,-0.01303,-0.00792
6,6144,-10.28836,353.2,0.0,0.0,1.612732,-0.005121,0.021857,0.003651,0.259861,0.055699,0.953617,-3.308559,3.667643,-3.656207,4.236458,4.0,0.00029949,5,931,0.25859,0.34258,0.75,nan,0.4,0.99387,,,-0.01,0.00525,-0.00567,-0.02358,-0.00451,-0.00273
7,7168,-11.70391,323.5,0.0,0.0,1.713775,-0.00578,0.042951,0.004767,0.330894,0.088588,0.936074,-3.631645,4.280026,-3.973543,4.912373,4.0,0.00029939,2,916,0.28068,0.36998,0.66667,nan,1.0,0.93478,,,-0.01,0.00633,-0.00617,-0.02189,-0.00624,-0.00511
8,8192,-10.60846,299.5,0.0,0.0,1.347284,-0.004987,0.055212,0.00498,0.291622,0.09082,0.91456,-3.991823,4.595864,-4.126336,4.766793,4.0,0.00029928,4,958,0.28749,0.372,0.54545,nan,1.0,0.97222,,,-0.01,0.00841,-0.00637,-0.01535,-0.01459,-0.01269
9,9216,-8.55496,264.0,0.0,0.0,1.607181,-0.002923,0.045199,0.002905,0.266414,0.017683,0.931574,-3.985467,4.733771,-4.177229,5.083357,4.0,0.00029918,4,918,0.2625,0.3482,0.46154,nan,1.0,1.0,,,-0.01,0.00909,-0.00437,-0.01711,-0.01108,-0.01086
10,10240,-6.96117,259.0,0.0,0.0,1.315169,-0.004342,0.028974,0.003118,0.282459,0.048375,0.94832,-4.169667,4.531324,-4.267986,4.828011,4.0,0.00029908,3,966,0.26218,0.34756,0.44828,nan,1.0,0.96429,,,-0.01,0.00924,-0.00426,-0.01746,-0.01126,-0.0065
11,11264,-7.74999,255.75,0.0,0.0,1.529342,-0.0045,0.035794,0.005039,0.274155,0.088867,0.943823,-4.193094,4.929385,-4.358158,5.398815,4.0,0.00029898,4,929,0.24519,0.32051,0.39394,nan,1.0,1.0,,,-0.01,0.00765,-0.00309,-0.02415,-0.00927,-0.01134
12,12288,-7.99624,205.6,0.0,0.0,1.449568,-0.003495,0.041093,0.003107,0.319385,0.043073,0.920773,-4.521663,4.841284,-4.597122,4.932207,4.0,0.00029887,5,938,0.24974,0.32882,0.34211,nan,1.0,1.0,,,-0.01,0.00954,-0.0028,-0.01823,-0.01659,-0.0148
13,13312,-7.35077,230.83333,0.0,0.0,1.493651,-0.003762,0.029751,0.003729,0.277754,0.045794,0.94787,-4.397074,4.951232,-4.376901,5.204209,4.0,0.00029877,6,923,0.22989,0.31033,0.31818,nan,1.0,1.0,,,-0.01,0.00906,-0.00274,-0.01872,-0.01664,-0.01404
14,14336,-6.36571,157.0,0.0,0.0,1.621222,-0.004223,0.035557,0.004147,0.273074,0.056641,0.940818,-4.315579,5.205728,-4.341121,5.479643,4.0,0.00029867,7,893,0.2506,0.32643,0.27451,nan,1.0,1.0,,,-0.01,0.01023,-0.0016,-0.02159,-0.01758,-0.01795
15,15360,2.43462,151.75,0.125,0.01695,1.293125,-0.00039,0.916395,0.002019,0.727818,0.013567,0.336093,-3.964397,4.860832,-2.595634,8.570895,4.0,0.00029857,8,951,0.21714,0.301,0.23729,nan,1.0,1.0,,,-0.01,0.01124,-0.00189,-0.02232,-0.0214,0.08637
16,16384,-6.23612,127.71429,0.0,0.01515,1.696269,-0.004684,0.054461,0.004522,0.304742,0.05678,0.900992,-3.48603,5.210303,-3.368994,5.094771,4.0,0.00029846,7,878,0.24987,0.33217,0.21212,nan,1.0,1.0,,,-0.01,0.01085,-0.00086,-0.01849,-0.01846,-0.01716
17,17408,-5.88001,128.16667,0.0,0.01389,1.536468,-0.004604,0.041,0.004862,0.307183,0.066057,0.897321,-2.738995,5.274979,-2.653905,5.068564,4.0,0.00029836,6,901,0.26524,0.34841,0.19444,nan,1.0,1.0,,,-0.01,0.0117,-0.00139,-0.01844,-0.02128,-0.0161
18,18432,4.95816,152.57143,0.14286,0.02532,1.219954,-0.001182,0.749354,0.002258,0.57126,0.030378,0.370263,-1.743223,4.637788,-0.332508,8.528737,4.0,0.00029826,7,944,0.24616,0.3238,0.18987,0.0,0.71429,1.0,,,-0.01,0.01369,-0.00177,-0.0192,-0.01964,0.0973
19,19456,-6.17936,148.57143,0.0,0.02326,1.327245,-0.003715,0.074438,0.003431,0.380185,0.041957,0.810159,-0.91669,5.755814,-0.664259,5.18797,4.0,0.00029816,7,921,0.23749,0.3194,0.17442,0.0,1.0,1.0,,,-0.01,0.01217,-0.00157,-0.01821,-0.01962,-0.02069
20,20480,11.362,153.22222,0.22222,0.04211,1.42195,-0.002792,0.981076,0.002301,0.764186,0.02553,0.261537,-0.198191,5.103768,1.33306,9.590814,4.0,0.00029805,9,906,0.22423,0.30467,0.16842,0.66667,0.88889,0.92,,,-0.01,0.0155,-0.00134,-0.01686,-0.01793,0.17907
21,21504,1.37628,95.41667,0.08333,0.05,1.503885,-0.002245,0.669362,0.002589,0.393387,0.022496,0.317303,-0.183915,4.833661,0.844299,8.493949,4.0,0.00029795,12,880,0.22071,0.30948,0.09,0.5,0.91667,1.0,,,-0.01,0.0149,-0.00105,-0.01679,-0.02705,0.06551
22,22528,24.64338,106.4,0.4,0.09,1.640815,-0.002275,1.505458,0.002847,1.296508,0.034738,0.238211,0.698669,5.388063,4.840971,13.639751,4.0,0.00029785,10,862,0.21514,0.291,0.04,0.25,0.8,1.0,,,-0.01,0.01866,-0.00104,-0.01698,-0.02024,0.33022
23,23552,9.91005,92.1,0.2,0.11,1.453799,-0.003156,0.708968,0.005905,0.76405,0.088658,0.393437,5.550791,8.278403,7.02018,11.335737,4.0,0.00029775,10,882,0.22525,0.31112,0.04,0.25,1.0,1.0,,,-0.01,0.01516,-0.00134,-0.01592,-0.02885,0.1681
24,24576,2.0098,96.81818,0.09091,0.12,1.500682,-0.00254,0.557482,0.002704,0.853932,0.027727,0.122494,6.390931,7.086647,6.769029,8.786815,4.0,0.00029764,11,880,0.2059,0.28655,0.03,0.22222,0.90909,0.9,,,-0.01,0.0148,2e-05,-0.0157,-0.0237,0.06586
25,25600,-5.03079,98.27273,0.0,0.12,1.329972,-0.001843,0.156409,0.002638,1.046669,0.0143,-0.030365,7.586064,4.866373,5.497237,4.341688,4.0,0.00029754,11,901,0.20173,0.28398,0.02,0.22222,1.0,0.90909,,,-0.01,0.01189,5e-05,-0.01673,-0.03226,-0.03167
26,26624,-4.86019,105.0,0.0,0.11,1.364096,-0.00323,0.06727,0.002834,0.64067,0.025077,0.155719,5.451996,3.078058,4.316739,3.167638,4.0,0.00029744,8,902,0.18348,0.27405,0.02,0.22222,1.0,1.0,,,-0.01,0.01355,0.00049,-0.01488,-0.02811,-0.02177
27,27648,1.84174,96.81818,0.09091,0.12,1.389997,-0.001758,0.46953,0.002496,0.436737,0.014753,-0.082232,4.800697,2.808513,4.223748,7.158671,4.0,0.00029734,11,901,0.19336,0.27784,0.02,0.2,1.0,1.0,,,-0.01,0.01322,7e-05,-0.01742,-0.02787,0.07011
28,28672,8.35007,95.81818,0.18182,0.13,1.285645,-0.00148,0.461718,0.001431,0.277589,0.013393,0.148946,4.588293,2.058246,4.645239,7.975502,4.0,0.00029724,11,917,0.19603,0.28626,0.01,0.16667,0.90909,1.0,,,-0.01,0.01416,-0.00084,-0.01926,-0.02561,0.17566
29,29696,10.99927,90.88889,0.22222,0.14,1.285884,-0.000951,0.640775,0.000951,0.480586,0.003802,0.112858,4.633152,2.444606,5.934297,9.781743,4.0,0.00029713,9,883,0.22714,0.31442,0.01,0.16667,1.0,1.0,,,-0.01,0.01477,-0.00107,-0.01988,-0.02776,0.18539
30,30720,9.86967,127.0,0.2,0.15,1.316205,-0.002592,0.556764,0.00354,0.487957,0.033029,0.286662,6.037888,4.125557,6.862989,10.332351,4.0,0.00029703,10,896,0.22413,0.31023,0.01,0.14286,0.9,1.0,,,-0.01,0.01342,-0.00079,-0.01839,-0.02668,0.17854
31,31744,17.89766,82.0,0.3,0.16,1.244649,-0.002387,0.749984,0.002354,1.060502,0.011928,0.301354,7.886683,5.865049,11.091027,12.628334,4.0,0.00029693,10,912,0.20876,0.29218,0.01,0.11765,0.9,1.0,,,-0.01,0.01927,-0.00051,-0.01785,-0.02033,0.29518
