iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.269931,-0.00732,0.256397,0.005255,1329,0.27665,0.34877,0.0,0.0,0.0,,,-0.01,0.00556,-0.00899,-0.01917,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.257403,-0.003134,0.175298,0.001754,1340,0.24154,0.31317,0.0,0.0,0.0,,,-0.01,0.00567,-0.00932,-0.01599,-0.00135,0.0
3,3072,-11.33545,363.125,0.0,0.0,2.211395,0.005791,0.17907,0.004492,1375,0.2536,0.32886,0.875,0.125,1.0,,,-0.01,0.00761,-0.00845,-0.01725,-0.00618,-0.00032
4,4096,nan,nan,0.0,0.0,2.227472,-0.004724,0.161742,0.00204,1315,0.27106,0.33558,0.875,0.0,0.0,,,-0.01,0.00863,-0.00716,-0.01745,-0.00454,0.0
5,5120,-7.12377,235.66667,0.0,0.0,2.147482,-0.007245,0.245617,0.005972,2074,0.26249,0.32892,0.63636,1.0,1.0,,,-0.01,0.00672,-0.00786,-0.01313,-0.0175,-0.0015
6,6144,-6.93054,276.28571,0.0,0.0,2.153941,0.007611,0.226156,0.00436,1721,0.25814,0.32434,0.44444,0.85714,1.0,,,-0.01,0.00944,-0.007,-0.01575,-0.0148,-0.00249
7,7168,-4.76548,160.6,0.0,0.0,2.075419,-0.006583,0.214561,0.005408,1602,0.2279,0.28671,0.34783,1.0,1.0,,,-0.01,0.01137,-0.00387,-0.01299,-0.01581,-0.00183
8,8192,-4.28328,149.0,0.0,0.0,1.98902,-0.00674,0.198026,0.004788,1829,0.23509,0.29578,0.2963,1.0,1.0,,,-0.01,0.00996,-0.00537,-0.01284,-0.01645,-0.0017
9,9216,-5.12043,234.0,0.0,0.0,1.913015,-0.085989,0.155718,0.006258,2258,0.23141,0.2771,0.3,0.66667,1.0,,,-0.01,0.00941,-0.0035,-0.01559,-0.00883,-0.00108
10,10240,-4.88574,247.83333,0.0,0.0,1.931641,0.038794,0.157802,0.004326,1777,0.2308,0.28308,0.33333,0.66667,1.0,,,-0.01,0.00937,-0.00287,-0.01794,-0.00945,-0.00122
11,11264,-4.46196,198.85714,0.0,0.0,1.892283,-0.005314,0.209653,0.005671,1743,0.22262,0.28358,0.32558,0.71429,0.95238,,,-0.01,0.01145,-0.00203,-0.01404,-0.02223,-0.00197
12,12288,-3.66606,120.66667,0.0,0.0,1.856393,0.019651,0.202917,0.006381,1900,0.21918,0.27268,0.28571,1.0,1.0,,,-0.01,0.00852,-0.00249,-0.01167,-0.02154,-0.00283
