iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.269822,-0.007527,0.296175,0.00831,1.305569,0.121966,-0.100322,0.786686,0.21173,0.197606,0.862184,4.0,0.0003,0,842,0.27372,0.34291,0.0,0.0,0.0,,,-0.01,0.00482,-0.00924,-0.01854,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.213908,0.085447,0.242433,0.004579,2.139567,0.055073,0.556051,0.399913,0.568972,-0.156034,1.277398,4.0,0.00029985,0,887,0.21701,0.2844,0.0,0.0,0.0,,,-0.01,0.00358,-0.00853,-0.01782,-0.00138,0.0
3,3072,-12.1191,362.75,0.0,0.0,2.184546,-0.002294,0.278982,0.001837,1.392459,0.004448,0.756822,-0.243106,1.108612,-0.773174,1.586728,4.0,0.00029969,8,1032,0.23217,0.30728,0.75,0.5,1.0,,,-0.01,0.00454,-0.00866,-0.01632,-0.0106,-0.00072
4,4096,nan,nan,0.0,0.0,2.263512,-0.003741,0.217168,0.001525,1.126668,0.011789,0.854732,-0.815296,1.428417,-1.174527,1.97819,4.0,0.00029954,0,840,0.26535,0.33329,0.75,0.0,0.0,,,-0.01,0.00616,-0.00836,-0.01884,-6e-05,0.0
5,5120,-9.23657,284.0,0.0,0.0,2.196856,-0.022331,0.281488,0.002732,2.816275,0.027304,0.894387,-1.214497,2.029485,-1.524336,2.243308,4.0,0.00029939,1,949,0.23913,0.31307,0.66667,1.0,1.0,,,-0.01,0.00415,-0.00635,-0.01385,-0.01113,-0.00035
6,6144,-10.04612,370.28571,0.0,0.0,2.142182,-0.00659,0.195144,0.003728,0.945775,0.043433,0.928395,-1.908587,2.336731,-2.064425,2.380096,4.0,0.00029923,7,1307,0.27381,0.33934,0.75,0.42857,1.0,,,-0.01,0.00541,-0.00678,-0.01664,-0.012,-0.00049
7,7168,nan,nan,0.0,0.0,2.194115,0.047752,0.140716,0.007305,1.881652,0.12054,0.945656,-1.584653,2.138323,-1.703933,2.411514,4.0,0.00029908,0,970,0.27454,0.33227,0.75,0.0,0.0,,,-0.01,0.00899,-0.004,-0.01644,-0.00457,0.0
8,8192,-6.10029,253.85714,0.14286,0.04348,2.103941,-0.004885,0.271013,0.003769,0.963126,0.043205,0.900397,-1.551264,2.540859,-1.675069,2.45014,4.0,0.00029892,7,1189,0.28114,0.34164,0.52174,1.0,1.0,,,-0.01,0.01086,-0.00367,-0.01494,-0.01659,-0.00267
9,9216,-4.92467,171.16667,0.0,0.03448,2.108956,-0.003753,0.222552,0.003254,0.817621,0.048929,0.891502,-1.424426,2.178456,-1.598714,2.107995,4.0,0.00029877,6,1049,0.26427,0.32513,0.41379,1.0,1.0,,,-0.01,0.0109,-0.00278,-0.01266,-0.02078,-0.00225
10,10240,-2.33831,138.125,0.125,0.05405,2.079768,0.01232,3.290706,0.001653,1.200277,0.000987,0.290375,-1.45571,1.920423,-1.392218,3.48288,4.0,0.00029862,8,941,0.27524,0.34819,0.32432,1.0,1.0,,,-0.01,0.01196,-0.00284,-0.01665,-0.01755,0.00992
11,11264,3.67864,133.25,0.25,0.07317,2.029424,-0.00131,13.215721,0.000785,2.709086,0.00041,0.128798,-1.466723,2.128673,-0.895596,5.555136,4.0,0.00029846,4,1135,0.27109,0.32719,0.29268,0.75,1.0,,,-0.01,0.01049,-0.0035,-0.01427,-0.01999,0.04152
12,12288,-2.24848,181.75,0.125,0.08163,2.092467,0.005164,7.176874,0.002013,1.771741,0.008462,0.12821,-1.003819,1.905354,-0.769968,4.572525,4.0,0.00029831,8,1065,0.26682,0.32122,0.26531,0.75,1.0,,,-0.01,0.01194,-0.00181,-0.01891,-0.01543,0.02498
13,13312,2.74223,133.125,0.25,0.10526,2.055003,0.036697,16.09786,0.002583,3.955412,0.00446,0.078578,-0.624547,1.625314,0.318555,6.616648,4.0,0.00029816,8,1035,0.24854,0.30973,0.22807,0.875,1.0,,,-0.01,0.01424,-0.00112,-0.014,-0.02029,0.06447
14,14336,0.15986,116.88889,0.11111,0.10606,2.044488,-0.001955,13.932494,0.001339,1.893258,0.008022,0.063746,0.283034,1.797794,0.508802,5.548422,4.0,0.000298,9,1137,0.25986,0.3169,0.19697,0.88889,1.0,,,-0.01,0.01389,-0.00187,-0.0136,-0.02441,0.04177
15,15360,0.74376,128.2,0.2,0.11268,2.031204,-0.00199,8.289174,0.001712,1.570605,0.017208,0.182624,0.5338,1.718183,0.567162,4.583941,4.0,0.00029785,5,1102,0.25403,0.31223,0.1831,0.8,1.0,,,-0.01,0.01185,-0.00238,-0.01429,-0.01794,0.02696
16,16384,0.47259,182.28571,0.14286,0.11538,1.980949,-0.000675,13.382075,0.001319,2.043396,0.000763,0.20055,0.634799,2.275959,0.863949,5.871018,4.0,0.0002977,7,1180,0.23867,0.30318,0.17949,0.85714,1.0,,,-0.01,0.01123,-0.00263,-0.01502,-0.01871,0.04456
17,17408,-2.58451,164.57143,0.28571,0.12941,1.972063,0.054534,5.163452,0.00602,8.357923,0.073779,0.283894,1.51482,2.712398,0.726014,3.776063,3.0,0.00029754,7,1302,0.24083,0.31106,0.16471,1.0,1.0,,,-0.01,0.01247,-0.00275,-0.01701,-0.02642,0.01328
18,18432,-3.59311,99.85714,0.0,0.11957,1.870449,-0.000225,0.728374,0.002902,2.785831,0.024438,0.455761,0.854962,2.136969,0.111049,1.827032,4.0,0.00029739,7,1156,0.23399,0.29908,0.15217,1.0,1.0,,,-0.01,0.01071,-0.00178,-0.01799,-0.01906,-0.00291
19,19456,0.15328,141.875,0.125,0.12,1.810102,-0.002638,13.34582,0.003991,1.426593,0.044572,0.046398,0.122629,1.381067,0.107337,5.312767,4.0,0.00029724,8,1095,0.23569,0.31274,0.15,0.75,0.95,,,-0.01,0.01259,-0.00144,-0.01574,-0.02691,0.0404
20,20480,-3.42259,106.625,0.0,0.12,1.754587,-0.002939,0.4526,0.005046,1.898862,0.047778,0.40423,-0.114906,1.132007,-0.700208,1.236454,4.0,0.00029708,8,1199,0.23782,0.30325,0.09,1.0,1.0,,,-0.01,0.01187,-0.00177,-0.01668,-0.0272,-0.00361
21,21504,-4.10661,144.0,0.0,0.11,1.820879,-0.013865,0.284925,0.003631,2.844345,0.051067,0.582559,-0.616297,0.974206,-0.976736,1.199662,4.0,0.00029693,12,1041,0.24325,0.30782,0.05,0.91667,1.0,,,-0.01,0.01367,-0.00236,-0.01484,-0.02499,-0.0044
22,22528,-2.93998,86.85714,0.0,0.11,1.720668,0.091373,0.227279,0.006637,2.568891,0.110196,0.6737,-0.896393,0.882193,-1.200288,1.065468,4.0,0.00029677,7,1030,0.24362,0.29689,0.05,1.0,1.0,,,-0.01,0.01498,-0.00138,-0.01383,-0.02408,-0.00259
23,23552,-2.69767,81.5,0.0,0.1,1.759196,-0.011223,0.170089,0.005206,2.267717,0.065627,0.686267,-1.229428,0.920457,-1.4343,1.027174,2.0,0.00029662,10,1117,0.24576,0.30228,0.05,1.0,1.0,,,-0.01,0.01377,-0.00107,-0.01305,-0.02742,-0.0039
24,24576,-3.71781,143.27273,0.0,0.08,1.814229,-0.003935,0.147777,0.004727,0.902823,0.066437,0.730666,-1.312925,0.88922,-1.527187,1.043214,4.0,0.00029647,11,994,0.21488,0.26448,0.06,0.90909,1.0,,,-0.01,0.01219,-0.00076,-0.01485,-0.0252,-0.00326
25,25600,0.78901,88.09091,0.18182,0.08,1.791255,-0.000135,16.407023,0.001356,3.31183,0.008553,0.02144,-1.59283,0.94258,-0.79717,5.780613,4.0,0.00029631,11,922,0.21172,0.27065,0.06,1.0,1.0,,,-0.01,0.01533,9e-05,-0.01082,-0.03074,0.04742
26,26624,-2.94517,87.0,0.0,0.07,1.779603,-0.018768,0.211308,0.004099,2.870767,0.047364,0.702555,-0.737061,0.885646,-1.076621,1.085866,4.0,0.00029616,7,1154,0.23537,0.28941,0.06,1.0,0.0,,,-0.01,0.01348,-0.00093,-0.01081,-0.02851,-0.00313
27,27648,-2.8178,126.66667,0.16667,0.07,1.790831,-0.003225,0.161418,0.004104,0.822403,0.05044,0.707025,-1.243353,0.958864,-1.406312,1.060674,4.0,0.00029601,6,1280,0.26497,0.31559,0.06,1.0,0.0,,,-0.01,0.0145,-0.00165,-0.01244,-0.02329,-0.00238
28,28672,1.80232,153.625,0.375,0.08,1.774548,0.035897,15.35759,0.003362,3.729206,0.044129,0.029675,-1.506929,0.874375,-0.576272,6.284457,4.0,0.00029585,8,1270,0.23261,0.28727,0.06,1.0,1.0,,,-0.01,0.01564,-0.00189,-0.01348,-0.02577,0.06213
29,29696,-2.33544,126.75,0.16667,0.09,1.811679,-0.002013,4.030424,0.004281,0.978879,0.044372,0.137928,-0.696746,1.165906,-0.750459,3.056894,4.0,0.0002957,12,967,0.21495,0.26813,0.07,1.0,1.0,,,-0.01,0.01493,-0.00077,-0.0126,-0.02257,0.00934
30,30720,-1.92205,83.66667,0.22222,0.1,1.649531,-0.002188,4.516524,0.005012,0.846779,0.042205,0.065404,-0.947695,1.125725,-1.071939,3.127663,4.0,0.00029555,9,1047,0.21198,0.27281,0.06,1.0,0.0,,,-0.01,0.0145,-0.00084,-0.01206,-0.03743,0.0109
31,31744,-3.25962,107.09091,0.0,0.1,1.572755,-0.052558,0.162371,0.005643,2.034151,0.056347,0.585824,-1.251308,0.881543,-1.485018,0.941438,4.0,0.00029539,11,1094,0.18809,0.23966,0.06,1.0,1.0,,,-0.01,0.01307,-0.00085,-0.01387,-0.02731,-0.0045
32,32768,-3.08143,77.8,0.0,0.1,1.632473,0.112112,0.154201,0.005169,2.17377,0.058146,0.607731,-1.437492,0.704731,-1.629289,0.83707,4.0,0.00029524,10,992,0.19472,0.24231,0.04,1.0,0.0,,,-0.01,0.01135,-0.00064,-0.01422,-0.03009,-0.00362
33,33792,-3.68569,115.81818,0.0,0.1,1.632828,-0.003132,0.15311,0.004564,0.666784,0.07114,0.533657,-1.68281,0.704142,-1.834138,0.820147,4.0,0.00029508,11,1116,0.20327,0.25359,0.05,1.0,1.0,,,-0.01,0.01034,-0.00071,-0.01188,-0.03446,-0.00445
34,34816,-3.15589,71.375,0.0,0.1,1.635483,-0.003268,0.14772,0.004313,0.494832,0.057798,0.448282,-1.857947,0.591929,-1.924377,0.748289,4.0,0.00029493,8,1142,0.17494,0.22924,0.05,1.0,0.0,,,-0.01,0.013,0.00052,-0.01199,-0.03472,-0.0038
35,35840,-3.12464,126.83333,0.0,0.1,1.647139,-0.003269,0.120888,0.004828,0.434494,0.057151,0.484651,-1.915107,0.490722,-1.941753,0.690681,4.0,0.00029478,12,1089,0.18713,0.22991,0.04,1.0,1.0,,,-0.01,0.01219,-0.00077,-0.01222,-0.02651,-0.00424
36,36864,-2.86743,76.63636,0.09091,0.09,1.625606,-0.060276,0.162783,0.004031,3.340048,0.052298,0.464011,-1.948894,0.501588,-1.899955,0.689345,4.0,0.00029462,11,1080,0.18976,0.24095,0.04,1.0,1.0,,,-0.01,0.01564,2e-05,-0.01076,-0.0348,-0.00389
37,37888,-2.74032,71.77778,0.0,0.08,1.526293,-0.004198,0.124126,0.004039,0.495306,0.050932,0.580184,-1.971936,0.516639,-2.026905,0.78019,4.0,0.00029447,9,1095,0.21744,0.25942,0.04,1.0,0.0,,,-0.01,0.01313,-0.00127,-0.01387,-0.03152,-0.00369
38,38912,-3.86378,149.0,0.0,0.05,1.530066,-0.039248,0.132768,0.004622,1.834176,0.082827,0.603818,-2.009144,0.635204,-2.030402,0.825174,4.0,0.00029432,8,1120,0.18569,0.23119,0.05,1.0,1.0,,,-0.01,0.0129,-0.00027,-0.01474,-0.02875,-0.00246
