iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.262142,-0.008913,0.332939,0.009003,0.73704,0.120745,-0.113337,0.265397,0.224637,-0.304716,0.996291,4.0,0.0003,0,680,0.26981,0.34347,0.0,0.0,0.0,,,-0.01,0.00396,-0.00936,-0.02063,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.207339,-0.005236,0.114053,0.003358,0.67127,0.031424,0.632083,-0.252297,0.767281,-0.776955,1.667166,4.0,0.00029985,0,643,0.22879,0.29935,0.0,0.0,0.0,,,-0.01,0.00491,-0.01064,-0.01674,-0.00076,0.0
3,3072,-12.54863,375.0,0.0,0.0,1.859841,-0.004808,0.084318,0.005269,0.708193,0.06679,0.845737,-0.598208,1.569596,-1.044223,2.134699,4.0,0.00029969,8,670,0.19955,0.27634,1.0,0.0,0.99727,,,-0.01,0.00475,-0.00943,-0.01584,-0.00558,0.0
4,4096,nan,nan,0.0,0.0,2.087628,-0.003552,0.068706,0.003681,0.603713,0.031599,0.880287,-1.036727,2.057986,-1.51226,2.727521,4.0,0.00029954,0,687,0.25187,0.31735,1.0,0.0,0.0,,,-0.01,0.00897,-0.00812,-0.01861,-0.00631,0.0
5,5120,-8.34189,200.6,0.0,0.0,1.358969,-0.004704,0.085759,0.004601,0.338865,0.0625,0.878589,-1.697151,2.544625,-2.129968,2.831818,4.0,0.00029939,5,730,0.25944,0.33646,0.61538,1.0,1.0,,,-0.01,0.00848,-0.00759,-0.01756,-0.01538,-0.01527
6,6144,-7.70246,375.0,0.0,0.0,1.127653,-0.005614,0.034668,0.004242,0.370429,0.078265,0.939113,-2.285902,2.638055,-2.511193,2.975639,4.0,0.00029923,3,687,0.23436,0.30853,0.6875,0.66667,1.0,,,-0.01,0.00717,-0.00572,-0.01433,-0.00655,0.0
7,7168,nan,nan,0.0,0.0,1.250197,-0.001575,0.03458,0.001353,0.273938,0.006417,0.937872,-2.558399,2.840706,-2.872946,3.254866,4.0,0.00029908,0,745,0.28245,0.35727,0.6875,0.0,0.0,,,-0.01,0.00743,-0.00633,-0.01887,-0.00686,0.0
8,8192,2.08826,323.85714,0.14286,0.04348,1.47237,-0.001666,1.599515,0.002418,1.214329,0.014858,0.241632,-2.702616,3.223747,-1.614454,7.702591,4.0,0.00029892,7,734,0.25656,0.32099,0.69565,0.42857,0.98,,,-0.01,0.00963,-0.00413,-0.01915,-0.00524,0.0874
9,9216,-5.56994,183.0,0.0,0.03704,1.235968,-0.004054,0.050295,0.004209,0.456753,0.057513,0.927869,-1.395724,4.081835,-1.611614,4.421286,4.0,0.00029877,4,720,0.24677,0.31476,0.62963,1.0,1.0,,,-0.01,0.01052,-0.00386,-0.0187,-0.01088,-0.00936
10,10240,-5.70509,220.0,0.0,0.03333,1.299071,-0.003877,0.028805,0.003199,0.310958,0.042794,0.948417,-0.880131,4.299605,-1.153761,4.536471,4.0,0.00029862,3,708,0.255,0.31741,0.6,0.66667,1.0,,,-0.01,0.00764,-0.0052,-0.01859,-0.00607,-0.00603
