iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.969366,-0.01094,0.090023,0.005736,1424,-0.01,0.00196,-0.02467,0.00673,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.925923,-0.064955,0.062077,0.003167,1455,-0.01,0.00385,-0.01779,0.00659,-0.0007,0.0
3,3072,-18.98002,368.875,0.0,0.0,1.942703,0.001854,10.304004,0.002518,1703,-0.01,0.00407,-0.01099,0.00473,-0.12817,-0.00037
4,4096,nan,nan,0.0,0.0,1.965514,-0.001222,1.90467,0.000326,1494,-0.01,0.00343,-0.01249,0.00598,-0.02052,0.0
5,5120,-21.45238,220.5,0.0,0.0,1.986114,-0.025315,10.651453,0.000965,2017,-0.01,0.00341,-0.01192,0.00338,-0.15667,-0.00088
6,6144,-19.58981,362.66667,0.0,0.0,1.921164,-0.007461,1.599445,0.001445,2242,-0.01,0.00306,-0.01333,0.00477,-0.02635,-0.00058
7,7168,-8.3658,250.0,0.0,0.0,1.916712,-0.003718,0.762432,0.002738,1761,-0.01,0.00432,-0.0108,0.00585,-0.01458,-0.00037
8,8192,-10.37295,267.14286,0.14286,0.04167,1.879549,-0.002772,10.487202,0.00378,1861,-0.01,0.00622,-0.01028,0.00506,-0.08938,0.00811
9,9216,-16.40358,148.83333,0.0,0.03333,1.844819,-0.059969,10.564305,0.001509,1748,-0.01,0.00642,-0.00783,0.00498,-0.15397,-0.00231
10,10240,-11.82437,164.85714,0.14286,0.05405,1.853658,0.000457,17.08201,0.000712,1761,-0.01,0.00721,-0.00778,0.00509,-0.10781,0.03047
11,11264,-2.7958,142.66667,0.33333,0.09302,1.866151,-0.001031,24.443918,0.000424,1706,-0.01,0.00834,-0.00801,0.00593,-0.09453,0.06236
12,12288,-9.21412,135.66667,0.16667,0.10204,1.872851,-0.060806,9.315292,0.001331,1742,-0.01,0.00504,-0.00729,0.00522,-0.0984,0.0185
13,13312,-9.13834,154.57143,0.14286,0.10714,1.854988,-0.02278,12.759678,0.000891,1766,-0.01,0.00771,-0.00797,0.00529,-0.11236,0.04353
14,14336,-5.22335,157.5,0.25,0.125,1.82247,-0.00099,16.533672,0.000489,1661,-0.01,0.00842,-0.0047,0.00556,-0.10303,0.03786
15,15360,-13.06785,113.77778,0.11111,0.12329,1.807625,-0.001567,15.48538,0.001029,1726,-0.01,0.00775,-0.00444,0.00414,-0.15208,0.01877
16,16384,-12.33518,126.6,0.0,0.10843,1.742628,0.076,12.804014,0.004108,1650,-0.01,0.00739,-0.005,0.00513,-0.17307,-0.00382
17,17408,-14.11492,109.0,0.0,0.1,1.685893,0.020461,8.487651,0.001505,1540,-0.01,0.00816,-0.00419,0.00472,-0.1307,-0.00244
18,18432,-12.78312,101.85714,0.0,0.09278,1.613267,-0.01335,12.429116,0.002707,1708,-0.01,0.00621,-0.00655,0.0037,-0.21315,-0.00275
19,19456,-17.41322,136.375,0.0,0.09,1.662572,-0.002036,4.713728,0.001286,1893,-0.01,0.00699,-0.00822,0.00396,-0.08079,-0.0035
20,20480,-13.00107,142.54545,0.0,0.09,1.661121,0.012407,8.718379,0.001381,1668,-0.01,0.00834,-0.0047,0.00535,-0.1632,-0.00389
21,21504,0.76341,91.22222,0.22222,0.1,1.689465,-0.000198,42.080326,0.001254,1521,-0.01,0.00906,-0.00409,0.00461,-0.12769,0.09396
22,22528,-11.10372,90.66667,0.0,0.1,1.651452,0.011696,6.882521,0.001327,1724,-0.01,0.00879,-0.00421,0.00411,-0.1079,-0.00375
23,23552,-9.12766,115.33333,0.08333,0.07,1.619207,-0.001361,25.223183,0.001287,1534,-0.01,0.0098,-0.00199,0.00403,-0.18089,0.03771
24,24576,-10.70291,92.0,0.08333,0.06,1.610992,-0.001139,22.042687,0.000673,1667,-0.01,0.01041,-0.00259,0.00457,-0.20698,0.0407
25,25600,-18.69162,76.8,0.0,0.05,1.567395,-0.070219,12.294553,0.00181,1835,-0.01,0.00889,-0.00873,0.00366,-0.2236,-0.00223
26,26624,-16.59906,121.77778,0.0,0.04,1.599408,-0.029075,6.663515,0.001418,1823,-0.01,0.00833,-0.00662,0.00364,-0.14159,-0.00398
27,27648,-5.42849,146.22222,0.11111,0.05,1.535672,0.105449,9.993927,0.001245,1625,-0.01,0.00865,-0.00783,0.00561,-0.10883,0.04026
28,28672,-11.83091,118.72727,0.09091,0.06,1.482114,0.011361,11.480345,0.004171,1799,-0.01,0.01328,-0.00322,0.00352,-0.19183,0.00838
29,29696,-7.76624,72.15385,0.23077,0.09,1.514303,-0.001082,24.033771,0.001129,1453,-0.01,0.01389,-0.00168,0.00348,-0.25302,0.04652
30,30720,-7.32362,74.57143,0.42857,0.14,1.560131,0.001657,45.942905,0.004423,1613,-0.01,0.01484,-0.00239,0.00377,-0.20226,0.10889
31,31744,-0.71256,77.92857,0.42857,0.19,1.60323,-0.000257,42.996687,0.006513,1493,-0.01,0.01446,-0.00138,0.00426,-0.13303,0.144
32,32768,-9.23289,81.0,0.3,0.21,1.576185,0.000347,31.161603,0.004935,1621,-0.01,0.01016,-0.0069,0.00472,-0.19028,0.06398
33,33792,-15.15722,95.0,0.0,0.21,1.463731,-0.059383,9.361827,0.005929,1663,-0.01,0.00745,-0.00976,0.00439,-0.18778,-0.00233
34,34816,-10.79945,108.45455,0.18182,0.22,1.496798,0.075088,25.893046,0.001501,1565,-0.01,0.01031,-0.00926,0.0047,-0.15411,0.06232
35,35840,-1.45316,98.63636,0.36364,0.26,1.436989,-0.004325,31.021958,0.002619,1430,-0.01,0.01231,-0.00715,0.00479,-0.13662,0.09218
36,36864,3.2244,111.53846,0.30769,0.29,1.488215,0.005437,51.338139,0.007374,1775,-0.01,0.01226,-0.0019,0.00363,-0.10432,0.19135
37,37888,-9.88095,81.41667,0.16667,0.28,1.548073,-0.009392,29.771222,0.006704,1515,-0.01,0.01245,-0.00547,0.00454,-0.22449,0.06949
38,38912,-5.51839,90.66667,0.25,0.29,1.440054,-0.044502,29.357129,0.003791,1599,-0.01,0.01385,-0.00237,0.00383,-0.15562,0.07049
39,39936,-5.05816,82.0,0.2,0.27,1.421862,-0.167378,48.671362,0.000739,1557,-0.01,0.01315,-0.00591,0.00423,-0.21555,0.05752
40,40960,-9.84388,69.125,0.25,0.25,1.448729,-0.020475,16.337479,0.001546,1753,-0.01,0.01172,-0.00799,0.00437,-0.18946,0.05112
41,41984,-5.06396,106.53846,0.46154,0.26,1.49353,-0.001352,31.227654,0.000713,1619,-0.01,0.01426,-0.00416,0.00455,-0.15912,0.06977
42,43008,-6.09454,100.5,0.58333,0.31,1.489151,-0.00102,32.479861,0.00131,1588,-0.01,0.01634,-0.00169,0.00405,-0.16388,0.0819
43,44032,-5.91168,68.75,0.58333,0.37,1.405315,-0.001444,27.739056,0.000907,1556,-0.01,0.01643,-0.00079,0.00352,-0.1922,0.08049
44,45056,-3.99543,92.0,0.35714,0.36,1.44016,-0.000334,37.476142,0.000618,1458,-0.01,0.01615,-0.0028,0.00363,-0.16738,0.09408
45,46080,-5.78894,77.69231,0.30769,0.38,1.477025,-0.001685,23.960601,0.002768,1469,-0.01,0.01594,-0.00149,0.00362,-0.15162,0.06158
