iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.262142,-0.008913,0.332939,0.009003,0.73704,0.120745,-0.113337,0.265397,0.224637,-0.304716,0.996291,4.0,0.0003,0,780,0.26981,0.34347,0.0,0.0,0.0,,,-0.01,0.00396,-0.00936,-0.02063,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.225608,-0.005219,0.117474,0.002882,0.659209,0.026993,0.612629,-0.250409,0.765396,-0.800974,1.739071,4.0,0.00029985,0,806,0.22965,0.30271,0.0,0.0,0.0,,,-0.01,0.00469,-0.01029,-0.01813,-0.00073,0.0
3,3072,-12.7046,375.0,0.0,0.0,2.177789,-0.041591,0.078474,0.00578,1.004213,0.070493,0.844271,-0.780217,1.72925,-1.270584,2.343591,4.0,0.00029969,8,852,0.19535,0.27268,1.0,0.0,1.0,,,-0.01,0.00537,-0.00689,-0.01486,-0.00844,0.0
4,4096,nan,nan,0.0,0.0,2.215144,-0.004697,0.052753,0.006363,0.487409,0.089848,0.877939,-1.443796,2.096432,-1.915591,2.920517,4.0,0.00029954,0,801,0.24696,0.31926,1.0,0.0,0.0,,,-0.01,0.00849,-0.00694,-0.01956,-0.00453,0.0
5,5120,-6.93777,209.85714,0.0,0.0,2.126377,-0.092381,0.110922,0.005936,1.731815,0.070501,0.885851,-2.192041,3.042582,-2.567244,3.280741,4.0,0.00029939,7,1069,0.23033,0.30371,0.53333,1.0,1.0,,,-0.01,0.00833,-0.00804,-0.01636,-0.01889,-0.00297
6,6144,-2.83146,191.75,0.5,0.10526,2.113626,-0.001146,0.804695,0.004257,0.691703,0.032122,0.367416,-2.113398,2.996196,-2.124505,4.607003,4.0,0.00029923,4,1043,0.21709,0.29058,0.42105,1.0,0.95238,,,-0.01,0.01089,-0.00451,-0.01365,-0.02073,0.01346
7,7168,-3.04021,174.5,0.16667,0.12,2.135855,0.007072,0.397652,0.006166,0.650622,0.10314,0.477206,-2.113434,2.537956,-2.159503,4.385594,3.0,0.00029908,6,1010,0.2419,0.31124,0.32,1.0,1.0,,,-0.01,0.00918,-0.00673,-0.01499,-0.00798,0.01074
8,8192,-5.41234,185.0,0.0,0.09091,2.061299,-0.006399,0.072288,0.006684,0.521389,0.113421,0.856203,-2.017997,3.254406,-2.235655,3.312342,4.0,0.00029892,8,979,0.22625,0.29863,0.27273,1.0,1.0,,,-0.01,0.01125,-0.00549,-0.01607,-0.02097,-0.00255
9,9216,-4.55112,140.71429,0.0,0.075,2.080616,-0.058004,0.054774,0.004913,1.757563,0.067668,0.87405,-2.084909,3.013607,-2.275649,2.992198,3.0,0.00029877,7,1018,0.22514,0.28799,0.225,1.0,1.0,,,-0.01,0.00953,-0.00482,-0.01509,-0.02129,-0.00263
10,10240,-2.14829,120.55556,0.11111,0.08163,2.062705,0.03053,0.715384,0.003404,0.805961,0.023723,0.197103,-2.079521,2.751275,-1.793209,5.060614,4.0,0.00029862,9,873,0.20642,0.27393,0.18367,0.88889,0.98,,,-0.01,0.00897,-0.00269,-0.01573,-0.02094,0.02175
11,11264,-3.77813,126.83333,0.16667,0.09091,2.003514,-0.005141,0.040037,0.006875,0.379234,0.065953,0.802598,-2.1094,2.224694,-2.177076,2.195384,4.0,0.00029846,6,1024,0.21817,0.28443,0.16364,1.0,1.0,,,-0.01,0.01191,-0.00307,-0.01273,-0.02365,-0.002
12,12288,-0.68756,124.9,0.1,0.09231,2.045961,0.033535,0.911058,0.008154,1.292181,0.170123,0.158845,-2.365763,2.153105,-1.766101,5.836763,4.0,0.00029831,10,955,0.23492,0.30408,0.13846,0.9,1.0,,,-0.01,0.01423,-0.00277,-0.0152,-0.02253,0.03554
13,13312,2.80364,111.77778,0.44444,0.13514,1.953548,0.031233,1.222665,0.009227,1.785707,0.135489,0.137244,-2.359352,2.441745,-0.933694,7.438343,4.0,0.00029816,9,954,0.23542,0.31053,0.12162,0.88889,1.0,,,-0.01,0.01671,-0.00301,-0.01377,-0.0194,0.06326
14,14336,6.18318,88.85714,0.28571,0.14815,1.961416,-0.210146,2.997089,0.005302,3.216513,0.046415,0.205875,0.041827,3.01666,1.039509,8.251748,4.0,0.000298,7,940,0.25434,0.31973,0.11111,0.85714,1.0,,,-0.01,0.01518,-0.0025,-0.01267,-0.02591,0.07792
15,15360,-3.34963,119.8,0.0,0.13187,1.867014,-0.004645,0.140743,0.005205,0.549332,0.061527,0.24472,1.03157,3.856061,0.562286,3.2016,4.0,0.00029785,10,936,0.27515,0.34704,0.0989,1.0,1.0,,,-0.01,0.01427,-0.00212,-0.01534,-0.02193,-0.00371
