iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.26475,-0.008735,0.323755,0.008671,0.938905,0.109724,-0.005953,-0.231376,0.178726,-0.851878,1.067927,4.0,0.0003,0,899,0.26814,0.3457,0.0,nan,0.0,0.0,,,-0.01,0.00374,-0.01082,-0.01984,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.236435,-0.004095,0.120931,0.004005,0.772332,0.048689,0.626968,-0.725567,0.742163,-1.265218,1.613423,4.0,0.00029988,0,857,0.22991,0.30287,0.0,nan,0.0,0.0,,,-0.01,0.00386,-0.00932,-0.01745,0.0,0.0
3,3072,-12.72798,375.0,0.0,0.0,1.975704,-0.005719,0.072634,0.005884,0.644703,0.087577,0.858633,-1.101632,1.563711,-1.584568,2.129344,4.0,0.00029975,8,888,0.21513,0.28704,1.0,nan,0.0,1.0,,,-0.01,0.00469,-0.00898,-0.01492,-0.00631,0.0
4,4096,nan,nan,0.0,0.0,2.11798,-0.002371,0.055761,0.00259,0.536151,0.025635,0.890412,-1.691814,2.007856,-2.186353,2.653417,4.0,0.00029963,0,882,0.20519,0.27316,1.0,nan,0.0,0.0,,,-0.01,0.00755,-0.0083,-0.01694,-0.00375,0.0
5,5120,-9.50633,250.0,0.0,0.0,1.110645,-0.003269,0.052918,0.002931,0.323236,0.041609,0.921089,-2.36921,2.593883,-2.786407,2.907032,4.0,0.00029951,1,1021,0.23155,0.3103,0.88889,nan,1.0,1.0,,,-0.01,0.00621,-0.01011,-0.0161,-0.0164,-0.00365
6,6144,-10.11989,337.0,0.0,0.0,1.229719,-0.002935,0.057406,0.002094,0.356244,0.016706,0.902339,-3.11763,2.63689,-3.31838,2.931704,4.0,0.00029939,7,1002,0.22072,0.29033,0.625,nan,0.85714,1.0,,,-0.01,0.00623,-0.00692,-0.01935,-0.01194,-0.01663
7,7168,-6.60661,144.0,0.0,0.0,1.500458,-0.003547,0.044113,0.005042,0.374634,0.050711,0.930811,-3.36454,2.949092,-3.623687,3.362009,4.0,0.00029926,2,958,0.20493,0.25778,0.55556,nan,1.0,1.0,,,-0.01,0.00678,-0.00534,-0.01698,-0.01019,-0.00548
8,8192,-7.05434,240.0,0.0,0.0,1.103526,-0.004014,0.034327,0.003908,0.311474,0.052351,0.941347,-3.435512,3.03166,-3.604284,3.251068,4.0,0.00029914,4,1030,0.20508,0.26591,0.5,nan,0.75,1.0,,,-0.01,0.00821,-0.00516,-0.01507,-0.01291,-0.01078
9,9216,-6.95384,233.6,0.0,0.0,1.113794,-0.002079,0.029948,0.001727,0.27507,0.013742,0.948504,-3.799639,3.08802,-3.915052,3.284054,4.0,0.00029902,5,1026,0.21347,0.27277,0.48148,nan,0.6,0.96825,,,-0.01,0.00906,-0.00523,-0.01653,-0.01499,-0.0106
10,10240,-5.83836,259.5,0.0,0.0,1.193119,-0.00283,0.029834,0.002356,0.264023,0.03411,0.946987,-4.005344,3.200303,-4.116332,3.290031,4.0,0.00029889,4,1001,0.21874,0.27271,0.48387,nan,0.75,1.0,,,-0.01,0.00912,-0.005,-0.01233,-0.01868,-0.00675
11,11264,-6.10626,184.875,0.0,0.0,1.421955,-0.001879,0.046333,0.00289,0.328465,0.031145,0.914847,-4.452636,3.236816,-4.438951,3.364955,4.0,0.00029877,8,951,0.20961,0.26517,0.41026,nan,0.875,1.0,,,-0.01,0.00939,-0.00205,-0.01562,-0.01348,-0.01931
12,12288,-6.08003,168.75,0.0,0.0,1.522224,-0.002159,0.039622,0.003655,0.315533,0.041748,0.915569,-4.386775,3.209387,-4.36087,3.201119,4.0,0.00029865,8,928,0.20364,0.25465,0.34043,nan,1.0,1.0,,,-0.01,0.01091,-0.00141,-0.01692,-0.02193,-0.02124
13,13312,-5.57893,121.71429,0.0,0.0,1.443638,-0.005656,0.03424,0.005888,0.498341,0.074393,0.925516,-4.432945,3.007997,-4.338408,3.070688,4.0,0.00029853,7,928,0.20011,0.248,0.2963,nan,1.0,1.0,,,-0.01,0.01197,-0.00134,-0.01484,-0.02243,-0.0187
14,14336,22.17607,126.75,0.375,0.04839,1.288325,-0.000503,3.134993,0.001445,2.817853,0.011161,0.108811,-4.305914,2.821752,-0.00226,12.54166,4.0,0.0002984,8,952,0.20055,0.25901,0.25806,0.0,1.0,1.0,,,-0.01,0.01604,-0.00089,-0.01345,-0.02358,0.30013
15,15360,5.6708,134.71429,0.14286,0.05797,1.470138,-0.002,1.038389,0.004707,0.995141,0.066999,0.308934,-1.854337,5.44625,-0.205506,8.739257,4.0,0.00029828,7,937,0.18868,0.24218,0.23188,0.0,0.85714,1.0,,,-0.01,0.0137,-0.00116,-0.01589,-0.02096,0.08046
16,16384,11.0319,117.11111,0.22222,0.07692,1.444399,-0.001151,0.44911,0.003062,0.356552,0.027414,0.403613,-0.534224,5.37355,-0.160032,6.53227,4.0,0.00029816,9,927,0.1856,0.24835,0.20513,0.0,0.88889,1.0,,,-0.01,0.01049,-0.00031,-0.01481,-0.02122,0.16818
