iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.26475,-0.008735,0.323755,0.008671,0.938905,0.109724,-0.005953,-0.231376,0.178726,-0.851878,1.067927,4.0,0.0003,0,859,0.26814,0.3457,0.0,nan,0,0.0,0.0,,,-0.01,0.00374,-0.01082,-0.01984,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.236435,-0.004095,0.120931,0.004005,0.772332,0.048689,0.626968,-0.725567,0.742163,-1.265218,1.613423,4.0,0.00029988,0,896,0.22991,0.30287,0.0,nan,0,0.0,0.0,,,-0.01,0.00386,-0.00932,-0.01745,0.0,0.0
3,3072,-12.74977,375.0,0.0,0.0,1.97582,-0.005714,0.072919,0.005845,0.641437,0.086147,0.858348,-1.101632,1.563711,-1.587835,2.128767,4.0,0.00029975,8,897,0.21513,0.28704,1.0,nan,0,0.0,1.0,,,-0.01,0.0045,-0.00898,-0.01492,-0.00631,0.0
4,4096,nan,nan,0.0,0.0,2.124734,-0.003317,0.056589,0.003585,0.573431,0.04248,0.890514,-1.704647,1.998171,-2.183373,2.640009,4.0,0.00029963,0,881,0.20564,0.27472,1.0,nan,0,0.0,0.0,,,-0.01,0.0073,-0.0088,-0.01653,-0.00294,0.0
5,5120,-8.1796,202.33333,0.0,0.0,1.564018,-0.00288,0.055056,0.002792,0.271136,0.0256,0.918624,-2.201056,2.652739,-2.598623,3.128714,4.0,0.00029951,3,922,0.21929,0.29663,0.72727,nan,0,1.0,1.0,,,-0.01,0.00613,-0.00781,-0.01674,-0.01145,-0.00796
6,6144,-10.37303,346.6,0.0,0.0,1.470507,-0.003369,0.050731,0.003902,0.361984,0.063581,0.925439,-2.731122,2.898734,-3.16949,3.148464,4.0,0.00029939,5,959,0.21592,0.28944,0.6875,nan,0,0.4,1.0,,,-0.01,0.00503,-0.00608,-0.01628,-0.0111,-0.00566
7,7168,-8.30565,251.66667,0.0,0.0,1.453236,-0.003174,0.043288,0.002911,0.271946,0.033901,0.929083,-3.263241,2.984005,-3.498055,3.22424,4.0,0.00029926,3,969,0.21215,0.2721,0.57895,nan,0,1.0,1.0,,,-0.01,0.00709,-0.00415,-0.01363,-0.01324,-0.00853
8,8192,-7.43307,226.75,0.0,0.0,1.360998,-0.004091,0.031562,0.003517,0.246161,0.027937,0.940836,-3.337333,2.968193,-3.546875,3.23372,4.0,0.00029914,4,980,0.22674,0.28661,0.47826,nan,0,1.0,1.0,,,-0.01,0.00712,-0.0047,-0.01609,-0.01119,-0.01206
9,9216,2.36677,218.14286,0.14286,0.03333,1.641981,-0.001936,1.603961,0.003397,1.123535,0.049735,0.221912,-3.720604,3.353253,-2.803858,7.746617,4.0,0.00029902,7,924,0.23118,0.28514,0.4,0.0,1,0.71429,0.97727,,,-0.01,0.0082,-0.00278,-0.01826,-0.01094,0.07182
10,10240,-6.91826,186.6,0.0,0.02857,1.661624,-0.003452,0.068087,0.005279,0.777768,0.063756,0.903468,-2.818161,3.919552,-2.983555,3.900681,4.0,0.00029889,5,923,0.24103,0.29908,0.34286,0.0,1,1.0,1.0,,,-0.01,0.00639,-0.00415,-0.01477,-0.01373,-0.01282
11,11264,-7.46924,193.8,0.0,0.025,1.618997,-0.005036,0.047697,0.005201,0.469893,0.078648,0.888014,-3.060979,3.877876,-3.057607,3.830037,4.0,0.00029877,5,921,0.24683,0.30376,0.3,0.0,1,1.0,1.0,,,-0.01,0.00705,-0.00383,-0.01476,-0.01604,-0.01286
12,12288,-7.31514,187.2,0.0,0.02222,1.465529,-0.002796,0.035776,0.002431,0.264786,0.020822,0.910893,-2.322945,3.618005,-2.43972,3.617957,4.0,0.00029865,5,948,0.22496,0.27951,0.26667,0.0,1,1.0,1.0,,,-0.01,0.00906,-0.00343,-0.0137,-0.01589,-0.01389
13,13312,-6.43227,166.875,0.0,0.01887,1.43416,-0.003726,0.031969,0.005605,0.361219,0.077148,0.899991,-2.695469,3.348576,-2.897384,3.23772,4.0,0.00029853,8,929,0.21518,0.27607,0.22642,0.0,1,1.0,1.0,,,-0.01,0.00655,-0.00316,-0.01766,-0.02012,-0.02179
14,14336,2.38663,142.75,0.125,0.03279,1.639002,-0.00065,1.3572,0.001468,0.873783,0.025286,0.189043,-3.263973,3.158441,-2.040637,7.826517,4.0,0.0002984,8,890,0.21147,0.27295,0.19672,0.0,1,1.0,1.0,,,-0.01,0.00784,-0.00287,-0.016,-0.01784,0.06683
15,15360,3.11866,129.625,0.125,0.04348,1.490292,-0.002328,1.108629,0.00358,0.724147,0.046596,0.250078,-1.471195,4.276384,-0.553636,7.778927,4.0,0.00029828,8,930,0.19373,0.25849,0.17391,0.0,2,0.875,1.0,,,-0.01,0.00691,-0.00289,-0.01405,-0.02714,0.07569
16,16384,-5.8833,112.875,0.0,0.03896,1.455049,-0.003043,0.066394,0.003601,0.401919,0.032087,0.688455,-1.346867,4.112325,-1.326977,3.50398,4.0,0.00029816,8,929,0.2051,0.27686,0.15584,0.0,2,1.0,1.0,,,-0.01,0.01127,-0.00199,-0.01833,-0.02225,-0.02115
17,17408,10.23172,113.22222,0.22222,0.05814,1.432999,-0.000919,1.673281,0.001947,1.084259,0.015765,0.12877,-0.995374,3.14471,1.265455,10.13583,4.0,0.00029803,9,921,0.20688,0.27742,0.13953,0.25,4,0.88889,0.9375,,,-0.01,0.01082,-0.00193,-0.0169,-0.02163,0.16592
18,18432,-5.36412,108.375,0.0,0.05319,1.319546,-0.003105,0.094731,0.00383,0.610963,0.041609,0.519207,1.845165,3.960247,1.262233,3.403367,4.0,0.00029791,8,933,0.20849,0.27118,0.12766,0.25,4,1.0,1.0,,,-0.01,0.01184,-0.00369,-0.01652,-0.02727,-0.02265
19,19456,10.80085,154.75,0.25,0.07,1.124273,-0.000568,0.960526,0.001545,0.483324,0.022042,0.204565,1.583976,2.877517,2.706851,8.78753,4.0,0.00029779,8,964,0.2094,0.28502,0.1,0.16667,6,0.875,1.0,,,-0.01,0.00858,-0.00344,-0.01662,-0.02387,0.19121
20,20480,3.91601,117.75,0.125,0.08,1.273225,-0.001618,0.636381,0.001977,0.583404,0.02138,0.317156,2.323492,3.906286,2.882192,8.104466,4.0,0.00029767,8,942,0.20324,0.26935,0.04,0.14286,7,0.875,1.0,,,-0.01,0.00973,-0.00283,-0.02078,-0.02028,0.08539
21,21504,1.61659,137.33333,0.11111,0.09,1.481158,-0.002574,0.682858,0.00442,0.424587,0.081369,0.2055,2.79383,4.849617,3.321661,7.997446,4.0,0.00029754,9,908,0.17912,0.24039,0.02,0.14286,7,1.0,1.0,,,-0.01,0.00979,-0.00132,-0.01612,-0.02414,0.07152
22,22528,16.54562,101.6,0.3,0.11,1.307779,-0.000747,1.349707,0.000705,1.30404,0.003488,0.216634,3.325888,4.384948,6.559097,12.222576,4.0,0.00029742,10,932,0.1823,0.23999,0.01,0.1,10,1.0,1.0,,,-0.01,0.0128,-0.0011,-0.01813,-0.02826,0.2842
23,23552,-5.27778,113.0,0.0,0.11,1.293822,-0.002114,0.182424,0.003243,0.556163,0.036935,0.411165,7.987607,5.894705,7.360007,5.529101,4.0,0.0002973,6,894,0.17945,0.22852,0.01,0.1,10,1.0,1.0,,,-0.01,0.01234,-7e-05,-0.01748,-0.02472,-0.01682
24,24576,28.63389,112.72727,0.45455,0.16,1.189678,-0.001453,1.447458,0.002526,0.932601,0.037109,0.119395,7.543659,4.213478,11.56354,13.967845,4.0,0.00029717,11,926,0.16469,0.23095,0.01,0.06667,15,0.81818,1.0,,,-0.01,0.01305,-0.00034,-0.01974,-0.02483,0.5127
