iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.301784,-0.003284,6.075416,0.003141,1640,0.12155,-0.01,0.004,0.00052,0.00536,-0.00216,0.0
2,2048,36.67165,177.375,1.0,1.0,1.383354,0.021605,6.220158,0.004339,1788,0.12494,-0.01,0.00902,-0.0008,0.00492,-0.00173,0.33274
3,3072,36.61717,162.25,1.0,1.0,1.356467,-0.000631,17.498244,0.000909,1793,0.12615,-0.01,0.00966,5e-05,0.00493,-0.02354,0.33949
4,4096,35.92891,150.83333,1.0,1.0,1.34773,0.000236,24.177036,0.001454,1698,0.12302,-0.01,0.00939,0.0002,0.00488,-0.09659,0.28786
5,5120,33.97676,177.0,1.0,1.0,1.399274,-0.021925,9.427629,0.003274,1761,0.12563,-0.01,0.00528,0.00043,0.0053,-0.00495,0.0976
6,6144,33.77636,176.0,0.875,0.96875,1.446023,-0.010798,11.096146,0.000958,1670,0.12157,-0.01,0.00848,-0.00086,0.00582,-0.02698,0.29188
7,7168,43.62604,156.375,1.0,0.975,1.429581,0.00033,10.335006,0.002271,1637,0.12038,-0.01,0.00964,0.00026,0.0051,-0.00057,0.37266
8,8192,41.90013,144.85714,1.0,0.97872,1.369653,0.140774,17.887861,0.001207,1685,0.12621,-0.01,0.00771,-0.00039,0.00431,-0.02409,0.32737
9,9216,45.11669,147.0,1.0,0.98148,1.353198,-0.000571,13.372244,0.001213,1688,0.12523,-0.01,0.00849,0.00011,0.0048,-0.00131,0.33202
10,10240,49.52702,128.5,1.0,0.98333,1.307368,-0.00015,19.253811,0.000563,1775,0.12333,-0.01,0.00818,-0.001,0.00466,-0.01423,0.33892
11,11264,18.18602,189.28571,0.57143,0.9403,1.353373,0.001111,28.287166,0.003091,1987,0.125,-0.01,0.00529,-0.00093,0.00453,-0.04394,0.21473
12,12288,33.56794,150.66667,1.0,0.94521,1.353524,-0.000308,22.942943,0.000597,1848,0.12831,-0.01,0.00815,-0.00027,0.0048,-0.04235,0.27857
13,13312,32.11232,176.0,0.8,0.9359,1.344022,0.031875,23.564371,0.001015,1872,0.12487,-0.01,0.00702,-0.00033,0.00465,-0.03399,0.20563
14,14336,31.55233,148.75,0.875,0.93023,1.368011,-0.127852,24.068787,0.000449,1662,0.12496,-0.01,0.00787,0.00062,0.00503,-0.03377,0.30135
15,15360,35.35828,144.5,1.0,0.93333,1.395155,0.065263,9.644927,0.000684,1768,0.1274,-0.01,0.00592,-0.00049,0.00519,-0.00304,0.18336
16,16384,37.60304,164.0,1.0,0.93814,1.394044,2.2e-05,8.015524,0.001092,1674,0.12983,-0.01,0.0088,-9e-05,0.00452,-0.00128,0.28016
17,17408,39.45246,178.625,0.875,0.93,1.449295,0.108483,7.634119,0.0025,1656,0.12114,-0.01,0.00761,0.00066,0.00542,-0.00034,0.32846
18,18432,35.76231,157.16667,1.0,0.93,1.415838,-0.001212,18.331154,0.001349,1683,0.13204,-0.01,0.00752,-0.00027,0.00411,-0.05425,0.27749
19,19456,41.99894,145.25,1.0,0.93,1.390267,-2.3e-05,17.001266,0.00163,1623,0.12515,-0.01,0.00843,-0.00027,0.00478,-0.01295,0.3543
20,20480,45.11677,136.42857,1.0,0.93,1.361486,0.099878,25.298076,0.000956,1634,0.12994,-0.01,0.00918,-0.0021,0.00475,-0.00231,0.32953
21,21504,37.622,128.14286,1.0,0.94,1.358236,-0.016992,20.671299,0.001638,1625,0.12593,-0.01,0.00829,-0.00011,0.00488,-0.04108,0.28983
22,22528,38.25577,144.33333,1.0,0.94,1.367231,-0.000759,14.621751,0.00054,1645,0.12417,-0.01,0.00831,-0.00156,0.00444,-0.00091,0.25831
23,23552,37.45325,145.75,0.875,0.93,1.373202,0.023779,24.333622,0.000541,1616,0.12606,-0.01,0.00823,-0.00079,0.00402,-0.0404,0.34819
24,24576,46.94668,131.5,1.0,0.93,1.361039,0.028217,7.604949,0.001903,1596,0.124,-0.01,0.00768,0.00054,0.00455,0.00102,0.38526
25,25600,38.04148,142.0,1.0,0.94,1.362821,-0.03706,26.778499,0.001772,1625,0.12803,-0.01,0.00908,0.00024,0.00371,-0.02188,0.33683
26,26624,49.51113,150.14286,1.0,0.96,1.380097,-0.00076,13.199672,0.000461,1675,0.13167,-0.01,0.0083,0.00029,0.00328,-0.00083,0.36529
27,27648,39.05633,140.88889,1.0,0.97,1.366118,-0.001105,14.326042,0.001091,1605,0.1302,-0.01,0.00773,7e-05,0.00383,-0.0024,0.36872
28,28672,43.77133,119.66667,1.0,0.98,1.292375,-0.014,11.821617,0.001513,1576,0.12553,-0.01,0.00721,-0.00221,0.00416,-0.02683,0.29316
29,29696,44.11396,141.14286,1.0,0.98,1.356625,-0.000935,15.475779,0.000715,1626,0.12601,-0.01,0.00735,0.00054,0.00373,-0.02292,0.33792
30,30720,40.12497,143.25,1.0,0.99,1.44967,0.059986,14.407995,0.001105,1604,0.12788,-0.01,0.01,0.0002,0.00469,-0.02056,0.35451
31,31744,36.34924,125.0,1.0,0.99,1.360778,-0.000323,22.133383,0.000704,1634,0.13105,-0.01,0.00851,-0.00047,0.00412,-0.02638,0.37022
32,32768,47.81142,127.66667,1.0,0.99,1.341676,9.6e-05,11.643802,0.000563,1659,0.12786,-0.01,0.00824,-0.00185,0.00393,-0.00113,0.29567
33,33792,43.8215,136.0,1.0,0.99,1.362389,-0.089945,23.019672,0.002695,1719,0.13279,-0.01,0.00588,-0.00055,0.00408,-0.04172,0.24489
34,34816,27.07433,166.28571,1.0,0.99,1.388888,-0.037261,11.945818,0.001748,1781,0.13498,-0.01,0.00802,-0.00784,0.00377,-0.00136,0.26342
35,35840,33.00056,159.375,0.75,0.97,1.31272,-0.096958,27.586098,0.000821,1565,0.13455,-0.01,0.00699,-0.00808,0.00455,-0.01287,0.30711
36,36864,51.93787,128.75,1.0,0.98,1.41754,0.000452,10.068847,0.002052,1498,0.12961,-0.01,0.01063,-0.00185,0.00437,0.00127,0.41093
37,37888,45.93533,114.28571,1.0,0.98,1.362351,0.000329,21.815371,0.00228,1728,0.1336,-0.01,0.00864,-0.00082,0.00437,-0.04841,0.37877
38,38912,30.73306,149.0,0.88889,0.97,1.446691,-0.023124,16.57895,0.000419,1690,0.12766,-0.01,0.00735,0.00037,0.0048,-0.00876,0.34148
39,39936,44.97396,129.25,1.0,0.97,1.406251,-0.000217,12.221745,0.001344,1635,0.13067,-0.01,0.00869,0.00033,0.00382,0.00052,0.38025
40,40960,45.09902,114.11111,1.0,0.97,1.402764,0.100507,38.763483,0.001262,1572,0.13232,-0.01,0.00964,-0.00065,0.0046,-0.02378,0.4379
41,41984,50.08379,108.5,1.0,0.97,1.411477,-0.000499,17.721315,0.001112,1683,0.1427,-0.01,0.00859,-0.00517,0.00397,-0.0013,0.33521
42,43008,37.79738,141.5,1.0,0.97,1.417996,0.03541,15.742119,0.001604,1838,0.15385,-0.01,0.00871,-0.01267,0.00381,-0.03544,0.39368
43,44032,36.02896,156.375,0.875,0.96,1.393867,0.175099,13.419554,0.002251,1629,0.1357,-0.01,0.0071,-0.00242,0.0044,-0.00134,0.35032
44,45056,40.41136,139.33333,1.0,0.96,1.392329,-0.00627,13.389068,0.001572,1770,0.13693,-0.01,0.00664,-0.00227,0.00404,-0.01573,0.28504
45,46080,41.18705,174.57143,1.0,0.96,1.389066,-0.000358,16.136582,0.000693,1599,0.13273,-0.01,0.00807,-0.00245,0.0043,-0.00181,0.30753
46,47104,12.35263,159.8,0.6,0.94,1.445069,0.00092,25.972497,0.0009,1739,0.14215,-0.01,0.00478,-0.00196,0.00354,-0.05671,0.10338
47,48128,34.45432,180.0,1.0,0.94,1.362206,-0.035363,11.88061,0.001937,1985,0.14023,-0.01,0.00924,-0.00032,0.00325,-0.01955,0.30237
48,49152,27.63306,207.33333,1.0,0.94,1.424074,0.009732,5.847079,0.001514,1733,0.1384,-0.01,0.00532,-0.00054,0.00432,-0.00112,0.10707
49,50176,29.22351,193.375,0.75,0.92,1.469775,3.4e-05,13.489278,0.001052,1748,0.13709,-0.01,0.00755,-0.00042,0.00428,-0.02579,0.30472
50,51200,49.22888,159.33333,1.0,0.94,1.421657,-0.00061,16.91073,0.001061,1825,0.14423,-0.01,0.00718,-0.00204,0.00366,-0.01688,0.1742
51,52224,30.70182,192.0,1.0,0.94,1.497895,-0.000428,11.873283,0.000904,1633,0.13768,-0.01,0.0066,-0.00033,0.00494,-0.01862,0.20448
52,53248,34.06445,190.8,1.0,0.94,1.447322,-0.000777,21.819517,0.000998,2201,0.14419,-0.01,0.00781,-0.00287,0.00412,-0.04441,0.28209
53,54272,12.54635,218.2,0.8,0.93,1.498472,0.002884,22.084122,0.002227,1889,0.14015,-0.01,0.00582,-0.00156,0.00525,-0.01481,0.10996
54,55296,25.8695,224.0,0.83333,0.92,1.487775,-3.4e-05,12.707478,0.001926,1724,0.14616,-0.01,0.00654,-0.0012,0.00441,-0.00317,0.19405
55,56320,41.77626,200.0,1.0,0.93,1.51657,-0.006843,9.314434,0.001278,1697,0.13999,-0.01,0.00733,0.0001,0.00477,-0.01637,0.17924
56,57344,40.82937,189.66667,1.0,0.93,1.547571,-0.028849,6.592942,0.001835,1596,0.13957,-0.01,0.00839,-0.00034,0.0048,9e-05,0.26024
57,58368,24.52362,190.16667,0.66667,0.91,1.492627,0.000173,24.372182,0.002957,1631,0.14139,-0.01,0.00645,-0.00012,0.00517,-0.05311,0.20456
58,59392,44.8061,169.0,1.0,0.91,1.522166,0.025046,7.444769,0.00158,1564,0.14149,-0.01,0.00695,-0.00147,0.00417,0.00033,0.22343
59,60416,50.99241,188.33333,1.0,0.91,1.553461,-0.012393,8.918328,0.003078,1556,0.13908,-0.01,0.00827,-0.0006,0.00527,0.00184,0.29848
60,61440,45.09816,181.71429,1.0,0.91,1.495775,0.000759,12.835646,0.001966,1563,0.14361,-0.01,0.00827,-0.00037,0.00489,-0.0001,0.32093
61,62464,48.42344,185.66667,1.0,0.92,1.486373,-0.001342,13.311234,0.000839,1625,0.14753,-0.01,0.00609,-0.00123,0.00458,-0.02768,0.15039
62,63488,37.57901,194.5,1.0,0.92,1.561213,-0.061525,4.068165,0.004049,1564,0.14319,-0.01,0.00765,-0.00105,0.0051,0.00091,0.25251
63,64512,39.24523,166.85714,0.85714,0.91,1.504023,-0.093869,22.61285,0.001141,1627,0.14174,-0.01,0.00791,-0.00062,0.00484,-0.02717,0.30771
64,65536,36.66052,177.33333,1.0,0.92,1.460588,0.087425,21.894471,0.00229,1613,0.14423,-0.01,0.00983,-0.00099,0.005,-0.0005,0.23919
