iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.270783,-0.006785,0.32201,0.006791,0.778029,0.080427,-0.169101,-0.108161,0.215632,-0.746004,0.936403,4.0,0.0003,0,688,0.26744,0.34542,0.0,nan,0,0.0,0.0,,,-0.01,0.00305,-0.00945,-0.01885,0.0,-0.00781,0.0
2,2048,nan,nan,0.0,0.0,2.163113,-0.003738,0.121327,0.001699,0.847593,0.015416,0.603109,-0.679756,0.716057,-1.207478,1.642081,4.0,0.00029988,0,717,0.23028,0.29208,0.0,nan,0,0.0,0.0,,,-0.01,0.00438,-0.00782,-0.01747,-0.00141,-0.00012,0.0
3,3072,-13.08475,375.0,0.0,0.0,1.858549,-0.002425,0.074392,0.001392,0.451852,0.011823,0.855144,-1.111431,1.659169,-1.572285,2.281729,4.0,0.00029975,8,754,0.22928,0.30687,1.0,nan,0,0.125,1.0,,,-0.01,0.00414,-0.00669,-0.01697,-0.00579,-0.00569,0.0
4,4096,nan,nan,0.0,0.0,2.230179,-0.004851,0.044283,0.006373,0.384136,0.079206,0.877784,-1.770631,2.087791,-2.29944,2.959009,4.0,0.00029963,0,727,0.27025,0.33577,1.0,nan,0,0.0,0.0,,,-0.01,0.00631,-0.00751,-0.0197,-0.00072,-0.0055,0.0
5,5120,-10.74548,221.0,0.0,0.0,1.640817,-0.003153,0.069629,0.003458,0.3333,0.052769,0.909736,-1.97013,2.92428,-2.390776,3.294945,4.0,0.00029951,2,798,0.24773,0.32412,0.8,nan,0,1.0,1.0,,,-0.01,0.00535,-0.00721,-0.01466,-0.01254,-0.00232,-0.00519
6,6144,-1.49873,330.83333,0.16667,0.0625,1.578095,-0.001734,1.406236,0.001706,0.833437,0.031669,0.242465,-2.319993,3.214533,-1.665926,7.306239,4.0,0.00029939,6,786,0.23648,0.30888,0.5625,1.0,1,0.66667,0.99248,,,-0.01,0.00678,-0.00633,-0.01804,-0.01084,-0.0073,0.07339
7,7168,3.48398,166.33333,0.16667,0.09091,1.558525,-0.001628,1.015813,0.002731,0.811499,0.025774,0.266342,-2.252179,3.62611,-1.441345,7.765904,4.0,0.00029926,6,799,0.24741,0.32324,0.40909,1.0,2,0.83333,0.98077,,,-0.01,0.00885,-0.00603,-0.01485,-0.01734,-0.00501,0.07762
8,8192,-8.30065,190.16667,0.0,0.07143,1.642469,-0.003346,0.075108,0.004163,0.331174,0.052944,0.781701,-1.690349,4.027968,-2.016752,3.844782,4.0,0.00029914,6,781,0.24977,0.31952,0.32143,1.0,2,1.0,1.0,,,-0.01,0.00804,-0.00625,-0.01493,-0.01511,-0.00689,-0.01534
9,9216,10.37604,178.625,0.25,0.11111,1.436312,-0.002453,1.530651,0.00291,1.018041,0.015834,0.112374,-2.050544,3.71517,0.360523,10.453294,4.0,0.00029902,8,752,0.24101,0.3011,0.25,0.5,4,0.75,1.0,,,-0.01,0.00979,-0.00349,-0.01479,-0.01294,-0.01731,0.18442
10,10240,13.87064,130.14286,0.28571,0.13953,1.626736,-0.000556,1.133636,0.001038,0.895482,0.008266,0.133186,0.11947,4.252904,2.275685,10.35518,4.0,0.00029889,7,753,0.22364,0.28938,0.2093,0.5,6,0.71429,0.96,,,-0.01,0.01058,-0.0035,-0.01347,-0.01843,-0.00976,0.16294
11,11264,7.83606,133.4,0.2,0.14583,1.587597,-0.001917,0.5329,0.002177,0.591044,0.01559,0.305951,2.596201,4.94019,3.718813,8.322549,4.0,0.00029877,5,785,0.24115,0.30912,0.1875,0.57143,7,0.8,0.95,,,-0.01,0.01164,-0.00419,-0.01721,-0.01909,-0.00686,0.0826
12,12288,7.56944,142.2,0.2,0.15094,1.332862,-0.00213,0.3824,0.004334,0.252768,0.057478,0.360252,4.374493,4.915487,4.838075,7.627767,4.0,0.00029865,5,823,0.25613,0.31419,0.16981,0.57143,7,1.0,1.0,,,-0.01,0.00836,-0.00543,-0.0189,-0.01654,-0.00733,0.09159
13,13312,0.90364,173.375,0.125,0.14754,1.412887,-0.00242,0.413546,0.003397,0.327187,0.042899,0.214496,5.002613,4.932012,4.963075,7.535583,4.0,0.00029853,8,792,0.24805,0.31059,0.14754,0.5,8,0.875,1.0,,,-0.01,0.00729,-0.00401,-0.01575,-0.02395,-0.00674,0.07701
14,14336,3.63373,134.14286,0.14286,0.14706,1.132368,-0.002084,0.345542,0.002592,0.351093,0.014404,0.325953,6.078755,3.936822,6.635819,7.750598,4.0,0.0002984,7,827,0.22235,0.28317,0.13235,0.44444,9,0.85714,1.0,,,-0.01,0.00718,-0.00364,-0.01553,-0.02039,-0.00791,0.09115
15,15360,2.05263,109.88889,0.11111,0.14286,1.152894,-0.001362,0.466004,0.004001,0.363204,0.035575,0.179416,6.932146,5.251319,7.028633,8.193067,4.0,0.00029828,9,853,0.22399,0.29335,0.11688,0.4,10,0.88889,1.0,,,-0.01,0.0098,-0.00481,-0.01847,-0.02545,-0.01155,0.0879
16,16384,14.3931,134.85714,0.28571,0.15476,0.976175,-0.002679,0.629371,0.002878,0.477125,0.030483,0.17603,7.982704,4.199516,9.494301,10.014667,4.0,0.00029816,7,913,0.21445,0.27525,0.11905,0.41667,12,0.57143,0.97368,,,-0.01,0.00983,-0.00639,-0.01685,-0.01731,-0.01285,0.24414
17,17408,39.16128,149.8,0.6,0.17978,1.18438,-0.001974,0.668857,0.002504,0.572664,0.019357,0.171409,9.66743,3.943346,12.432951,11.162003,4.0,0.00029803,5,864,0.20927,0.26853,0.1236,0.4,15,0.4,0.95652,,,-0.01,0.00872,-0.00398,-0.01554,-0.01061,-0.01,0.3224
18,18432,17.6172,196.66667,0.33333,0.18947,1.033235,-0.003195,0.393626,0.003476,0.325419,0.051862,0.259068,12.360116,4.983037,13.407015,9.570881,4.0,0.00029791,6,886,0.24098,0.29595,0.13684,0.35294,17,0.83333,1.0,,,-0.01,0.00689,-0.0046,-0.0195,-0.01633,-0.00852,0.23444
19,19456,43.16377,112.0,0.66667,0.20408,0.855941,-0.001788,0.345564,0.001437,0.341262,0.019531,0.288022,12.64622,5.331048,14.234304,9.611088,4.0,0.00029779,3,936,0.25899,0.30524,0.13265,0.31579,19,0.33333,1.0,,,-0.01,0.00816,-0.00692,-0.0194,-0.0146,-0.00785,0.28751
20,20480,14.10873,251.85714,0.28571,0.22,0.978252,-0.001878,0.282054,0.002242,0.30187,0.014893,0.418911,14.467296,5.723,16.145489,9.971696,4.0,0.00029767,7,910,0.20121,0.25025,0.12,0.28571,21,0.42857,1.0,,,-0.01,0.00761,-0.00361,-0.02046,-0.01096,-0.01052,0.25119
21,21504,42.24918,174.83333,0.66667,0.26,1.035682,-0.001388,0.397885,0.001209,0.633684,0.008336,0.330972,17.401501,5.942062,21.082352,11.836915,4.0,0.00029754,6,900,0.20203,0.24437,0.1,0.24,25,0.33333,1.0,,,-0.01,0.01225,-0.00619,-0.01953,-0.00393,-0.01013,0.47545
22,22528,51.8834,142.5,0.8,0.32,1.251671,-0.002068,0.485956,0.001585,0.753782,0.013184,0.35763,21.781872,7.964079,26.092224,14.753282,4.0,0.00029742,10,816,0.19463,0.24848,0.09,0.24242,33,0.2,0.95122,,,-0.01,0.00964,-0.00164,-0.01684,-0.01225,-0.01229,0.75788
