iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.280314,-0.007317,0.284977,0.00535,1077,0.13463,0.0,0.0,-0.01,0.00542,-0.01037,-0.01917,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.268157,-0.002712,0.201581,0.001398,1079,0.1356,0.0,0.0,-0.01,0.00501,-0.01239,-0.01679,0.0,0.0
3,3072,-12.55061,375.0,0.0,0.0,2.214783,-0.007713,0.176513,0.00475,1105,0.13884,0.0,1.0,-0.01,0.00488,-0.01137,-0.01483,-0.00096,0.0
4,4096,nan,nan,0.0,0.0,2.231629,-0.097125,0.181264,0.003804,1134,0.13737,0.0,0.0,-0.01,0.00796,-0.00879,-0.01663,-0.00211,0.0
5,5120,-17.39814,204.0,0.0,0.0,2.146976,-0.000198,6.80169,0.003039,1544,0.16678,1.0,1.0,-0.01,0.00866,-0.0061,-0.01312,-0.08483,-0.00131
6,6144,-12.67927,307.5,0.0,0.0,2.157725,-0.000943,4.140452,0.000431,1485,0.14547,0.83333,0.99375,-0.01,0.00907,-0.0058,-0.01415,-0.0561,-0.00165
7,7168,-13.18881,223.0,0.0,0.0,2.198824,-0.04041,1.154206,0.002992,1377,0.14717,1.0,1.0,-0.01,0.00976,-0.00417,-0.01296,-0.02607,-0.00073
8,8192,-11.02597,211.0,0.0,0.0,2.127795,0.077343,3.46422,0.001403,1559,0.16813,1.0,1.0,-0.01,0.00767,-0.0074,-0.01676,-0.04463,-0.00225
9,9216,-9.7815,290.0,0.0,0.0,2.150067,-0.017014,2.789496,0.001112,1380,0.15196,0.5,1.0,-0.01,0.00992,-0.00404,-0.01856,-0.0506,-0.00075
10,10240,-11.72747,216.71429,0.14286,0.02857,2.134584,0.07053,3.022705,0.001805,1432,0.14952,1.0,1.0,-0.01,0.0101,-0.0047,-0.01518,-0.05237,-0.00234
11,11264,-8.11318,157.4,0.0,0.025,2.100056,-0.004791,1.497444,0.004747,1583,0.16486,1.0,1.0,-0.01,0.00997,-0.00363,-0.01355,-0.04686,-0.00221
12,12288,-7.99014,168.57143,0.14286,0.04255,2.121297,-0.000492,5.213899,0.001611,1389,0.15211,1.0,1.0,-0.01,0.01036,-0.00198,-0.01713,-0.07302,0.01017
13,13312,-9.86999,160.8,0.0,0.03846,2.13661,-0.043851,2.29098,0.004315,1623,0.15571,1.0,1.0,-0.01,0.01018,-0.00233,-0.01657,-0.06115,-0.00231
14,14336,9.33925,188.42857,0.42857,0.08475,2.122486,0.001244,54.23768,0.003665,1469,0.15123,0.57143,1.0,-0.01,0.01318,-0.00241,-0.01655,-0.03075,0.15475
15,15360,2.82466,143.25,0.25,0.09524,2.088698,-0.001877,23.9337,0.00148,1678,0.15639,0.75,1.0,-0.01,0.0104,-0.00303,-0.01579,-0.03701,0.06609
16,16384,3.00626,190.28571,0.14286,0.1,2.110914,-0.000489,31.17098,0.001206,1390,0.1554,0.71429,1.0,-0.01,0.00802,-0.00087,-0.01469,-0.05199,0.09225
17,17408,-9.62342,164.0,0.0,0.09211,2.131691,-0.056877,2.250647,0.001982,1504,0.1472,1.0,1.0,-0.01,0.00961,-0.00271,-0.01213,-0.05339,-0.00245
18,18432,-8.87292,187.57143,0.0,0.08434,2.104406,-0.002456,3.946873,0.003169,1543,0.15693,0.85714,1.0,-0.01,0.00667,-0.00227,-0.01356,-0.06652,-0.00264
19,19456,nan,nan,0.0,0.08434,2.120588,0.017774,2.833616,0.002789,1702,0.16613,0.0,0.0,-0.01,0.00767,-0.00414,-0.01093,-0.04754,0.0
20,20480,-6.95595,226.14286,0.28571,0.1,2.063388,-0.002018,20.019344,0.002581,1930,0.15893,0.71429,0.98039,-0.01,0.01333,-0.00259,-0.01538,-0.05281,0.03683
21,21504,2.49841,220.33333,0.33333,0.11458,2.100405,-0.000527,22.611676,0.00234,1322,0.15585,0.33333,1.0,-0.01,0.01061,-0.0021,-0.01644,-0.02703,0.06325
22,22528,7.91865,171.4,0.4,0.13,2.080159,-0.000541,27.833027,0.00101,1308,0.15944,0.6,0.95652,-0.01,0.01134,-0.00123,-0.01445,-0.02375,0.0856
23,23552,3.50145,172.5,0.75,0.16,1.977132,-0.037492,20.073332,0.00188,1593,0.19142,0.5,1.0,-0.01,0.01232,-0.00274,-0.01665,-0.04747,0.06645
24,24576,-10.85,273.0,0.0,0.16,2.096917,-0.001662,3.625421,0.001906,1417,0.16273,0.75,1.0,-0.01,0.01132,-0.00187,-0.01549,-0.04298,-0.00122
25,25600,-10.92313,203.16667,0.0,0.16,2.114629,-0.036915,4.412303,0.007919,1415,0.16044,1.0,1.0,-0.01,0.00932,-0.00152,-0.0132,-0.07763,-0.00242
26,26624,-8.80748,178.8,0.2,0.17,2.026246,-0.002385,6.940181,0.00413,1550,0.15565,1.0,1.0,-0.01,0.01026,-0.00168,-0.01494,-0.05709,0.01409
27,27648,0.64066,184.5,0.33333,0.19,1.990509,0.004504,19.027836,0.003619,1583,0.16036,0.66667,1.0,-0.01,0.0137,-0.00085,-0.01267,-0.03758,0.06389
28,28672,-5.10854,150.33333,0.33333,0.21,1.939009,0.004215,11.381348,0.002147,1654,0.16218,1.0,1.0,-0.01,0.01048,-0.00288,-0.0174,-0.07387,0.03324
29,29696,-7.60424,230.0,0.0,0.2,1.948329,-0.059141,1.64483,0.004557,1498,0.17004,0.8,1.0,-0.01,0.00924,-0.00296,-0.01408,-0.04344,-0.0018
30,30720,-7.8815,189.33333,0.0,0.2,1.955812,0.05579,2.357853,0.002855,1706,0.19605,1.0,1.0,-0.01,0.00838,-0.00256,-0.01672,-0.04323,-0.00158
31,31744,-10.05652,277.2,0.0,0.19,1.898277,-0.016885,1.346632,0.003882,1470,0.17617,0.8,1.0,-0.01,0.00738,-0.00089,-0.01445,-0.03521,-0.00171
32,32768,-6.5373,295.0,0.0,0.19,1.822788,0.007331,0.598082,0.005548,1692,0.21332,0.5,1.0,-0.01,0.01015,-0.0032,-0.01381,-0.01805,-0.00052
33,33792,-17.0163,375.0,0.0,0.19,1.825716,-0.002406,6.151179,0.003799,2116,0.23615,1.0,1.0,-0.01,0.00746,-0.0047,-0.01635,-0.06833,0.0
34,34816,-9.45169,372.8,0.0,0.19,1.950224,-0.036619,0.434998,0.00794,1455,0.16659,0.4,1.0,-0.01,0.0082,-0.00123,-0.01411,-0.01186,-0.00043
35,35840,-4.13817,375.0,0.0,0.17,1.872717,0.063172,0.159815,0.008927,1700,0.19067,0.0,1.0,-0.01,0.00843,-0.00204,-0.01408,-0.00172,0.0
36,36864,-4.58951,375.0,0.0,0.16,1.850661,0.084333,0.122576,0.008214,1554,0.19816,0.0,1.0,-0.01,0.01081,-0.00263,-0.0168,-0.00138,0.0
37,37888,-5.52949,375.0,0.0,0.15,2.018234,-0.058197,0.070045,0.010401,1191,0.16219,0.0,1.0,-0.01,0.00847,-0.00129,-0.01359,-0.00278,0.0
38,38912,-5.65201,375.0,0.0,0.15,1.926061,-0.003112,0.101162,0.006342,1446,0.1771,0.0,1.0,-0.01,0.01132,-0.00188,-0.01109,-0.00684,0.0
39,39936,-4.33451,375.0,0.0,0.15,1.929088,-0.005927,0.122936,0.006784,1721,0.19752,0.0,0.8,-0.01,0.01384,-0.00264,-0.01336,-0.00281,0.0
40,40960,-5.27376,363.5,0.0,0.14,1.999007,-0.01676,0.398271,0.004184,1372,0.1524,0.25,1.0,-0.01,0.00761,-0.00018,-0.01497,-0.01544,-0.00038
41,41984,-4.85193,375.0,0.0,0.14,1.870601,-0.004987,0.106438,0.005797,2216,0.1995,0.0,1.0,-0.01,0.00669,-0.0029,-0.00577,-0.01433,0.0
42,43008,-5.52538,333.4,0.2,0.15,1.911824,0.040074,9.714884,0.008035,2073,0.1771,0.6,1.0,-0.01,0.00691,-0.00192,-0.01484,-0.05487,0.01799
43,44032,7.04913,285.0,0.33333,0.16,1.890594,0.0352,16.719632,0.004707,1553,0.14116,0.33333,1.0,-0.01,0.00712,-0.00084,-0.01693,-0.00559,0.06389
44,45056,-4.8848,375.0,0.0,0.16,1.923103,-0.002831,0.100399,0.010181,2152,0.16486,0.0,1.0,-0.01,0.00654,-0.0019,-0.00891,-0.0115,0.0
45,46080,18.22261,322.4,0.4,0.17,1.916642,0.064464,45.357734,0.005043,1749,0.15559,0.0,1.0,-0.01,0.00969,-0.00117,-0.01508,-0.00106,0.19421
46,47104,19.66433,258.25,0.75,0.19,1.936747,0.027259,30.745198,0.003314,1356,0.1423,0.25,1.0,-0.01,0.00952,-0.00017,-0.01662,-0.01823,0.12743
47,48128,14.99479,213.0,0.8,0.21,1.868795,0.000287,58.067089,0.002361,1909,0.15053,0.2,1.0,-0.01,0.01193,-0.00155,-0.01251,-0.04886,0.19687
48,49152,8.31773,282.0,0.5,0.21,2.010077,0.000766,25.089496,0.001579,1416,0.13158,0.5,1.0,-0.01,0.01138,-2e-05,-0.01586,-0.01211,0.09361
49,50176,23.22309,191.33333,1.0,0.23,1.981192,0.002226,56.114254,0.002975,1781,0.14733,0.66667,0.0,-0.01,0.01156,-0.00145,-0.01575,-0.09507,0.18246
