iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.269377,-0.007429,0.285316,0.008755,860,0.13686,0.0,0.0,,,-0.01,0.0066,-0.00787,-0.01854,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.260014,0.036374,0.254046,0.003655,885,0.13998,0.0,0.0,,,-0.01,0.00604,-0.00851,-0.01668,-0.00205,0.0
3,3072,-11.27603,365.375,0.0,0.0,2.189043,-0.002391,0.283627,0.001095,1074,0.15591,0.625,1.0,,,-0.01,0.00651,-0.00971,-0.01538,-0.01346,-0.00073
4,4096,nan,nan,0.0,0.0,2.235581,-0.005015,0.228773,0.003199,879,0.13881,0.0,0.0,,,-0.01,0.00705,-0.00597,-0.01893,-0.0014,0.0
5,5120,-7.13979,226.0,0.0,0.0,2.146996,0.007617,0.185131,0.005979,1174,0.16289,1.0,1.0,,,-0.01,0.00854,-0.00865,-0.01068,-0.01329,-0.0004
6,6144,-8.54768,358.42857,0.0,0.0,2.119212,-0.005493,0.180815,0.004265,1315,0.14084,0.57143,0.99415,,,-0.01,0.00904,-0.00419,-0.01444,-0.00756,-0.00137
7,7168,-4.29845,149.4,0.0,0.0,2.158517,0.158641,0.251696,0.005159,1021,0.14493,1.0,1.0,,,-0.01,0.0103,-0.00281,-0.0145,-0.01688,-0.00177
8,8192,-4.70894,187.4,0.0,0.0,2.103836,-0.012005,0.161754,0.005724,1070,0.14405,1.0,1.0,,,-0.01,0.00977,-0.00216,-0.01531,-0.01363,-0.00146
9,9216,-4.44306,175.5,0.0,0.0,2.06422,-0.055933,0.190968,0.004044,1288,0.13987,1.0,1.0,,,-0.01,0.01276,-0.00167,-0.01631,-0.01593,-0.00225
10,10240,-4.12867,202.57143,0.0,0.0,2.041245,0.001893,0.130504,0.005963,1210,0.14657,1.0,1.0,,,-0.01,0.01174,-0.00154,-0.0135,-0.01988,-0.00253
11,11264,-3.89699,135.83333,0.0,0.0,2.056763,-0.003974,0.133348,0.002601,986,0.13823,1.0,1.0,,,-0.01,0.01156,-0.00085,-0.01423,-0.02093,-0.00204
12,12288,-3.64237,149.8,0.0,0.0,1.940786,0.067177,0.140753,0.004223,1165,0.14421,1.0,1.0,,,-0.01,0.012,-0.002,-0.01444,-0.01308,-0.00202
13,13312,-3.46857,123.16667,0.0,0.0,1.938363,-0.004307,0.17516,0.003917,1142,0.15474,1.0,1.0,,,-0.01,0.01126,-0.0005,-0.01615,-0.02032,-0.00237
14,14336,-4.56034,197.88889,0.11111,0.01538,1.902937,-0.118055,0.113022,0.00378,1146,0.14341,0.88889,1.0,,,-0.01,0.01238,-0.0013,-0.0174,-0.01821,-0.00245
15,15360,-0.55099,104.875,0.125,0.0274,1.938268,-0.00054,8.92099,0.001604,1094,0.14551,0.875,1.0,,,-0.01,0.01638,-0.00093,-0.01293,-0.02195,0.02404
16,16384,0.07234,149.14286,0.28571,0.05,1.903334,-0.000578,10.222792,0.002672,1278,0.15296,0.71429,1.0,,,-0.01,0.01542,-0.00163,-0.01193,-0.02692,0.03111
17,17408,-3.55683,133.0,0.0,0.04494,1.904072,0.017454,0.342015,0.003064,1219,0.1358,1.0,1.0,,,-0.01,0.01283,-0.00221,-0.01504,-0.02733,-0.00392
18,18432,3.31349,113.75,0.25,0.06186,1.956601,0.001527,10.11497,0.005614,1134,0.12881,0.875,1.0,,,-0.01,0.01288,-0.00143,-0.01389,-0.02411,0.06787
19,19456,-3.62459,113.16667,0.0,0.06,1.940266,-0.007125,0.372665,0.003796,1480,0.15293,1.0,1.0,,,-0.01,0.01064,-0.00321,-0.01314,-0.02658,-0.00317
20,20480,7.1514,135.66667,0.33333,0.09,1.92391,0.003708,41.006869,0.007818,1218,0.13277,0.77778,1.0,,,-0.01,0.01345,-0.00134,-0.01298,-0.02246,0.13403
21,21504,7.24353,143.0,0.28571,0.11,2.020879,0.042271,24.67622,0.001959,1187,0.14304,0.71429,1.0,,,-0.01,0.01384,-0.00239,-0.01265,-0.02178,0.10373
22,22528,10.74662,110.33333,0.33333,0.14,2.021826,0.004855,39.710653,0.007946,1033,0.13751,0.66667,1.0,,,-0.01,0.01156,-0.00126,-0.01573,-0.01512,0.14973
23,23552,-3.51838,105.25,0.0,0.14,2.009545,-0.015253,2.196827,0.003135,1208,0.15187,1.0,1.0,,,-0.01,0.00834,-0.00402,-0.01456,-0.01706,-0.00172
24,24576,5.83939,192.11111,0.22222,0.16,2.014038,0.001344,37.794174,0.005196,1177,0.14382,0.77778,0.97872,,,-0.01,0.01137,-0.00212,-0.01585,-0.01477,0.13094
25,25600,9.77401,156.71429,0.42857,0.19,2.044413,0.04069,26.568341,0.002124,1157,0.15474,0.42857,0.94444,,,-0.01,0.01294,-0.00267,-0.01495,-0.01453,0.12475
26,26624,-2.46007,138.42857,0.14286,0.2,2.017431,0.001806,5.535258,0.009314,1070,0.15129,1.0,1.0,,,-0.01,0.0105,-0.00258,-0.01557,-0.02529,0.01043
27,27648,-0.54012,127.83333,0.16667,0.2,1.950634,0.019376,7.846137,0.003958,1427,0.14872,0.83333,1.0,,,-0.01,0.01643,-0.00252,-0.01381,-0.02223,0.03198
28,28672,6.63273,128.83333,0.33333,0.23,1.988494,0.00515,38.990876,0.006837,1120,0.13286,0.66667,0.88889,,,-0.01,0.01816,-0.00068,-0.01421,-0.02304,0.15221
29,29696,-2.09989,102.6,0.2,0.23,1.967253,0.001757,5.81154,0.0075,1066,0.14207,1.0,1.0,,,-0.01,0.01253,-0.00095,-0.01611,-0.02743,0.01009
