iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.269709,-0.007325,0.293962,0.008423,878,0.27372,0.34291,0.0,0.0,0.0,,,-0.01,0.0066,-0.00924,-0.01854,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.229279,-0.009544,0.242508,0.003688,864,0.22518,0.29406,0.0,0.0,0.0,,,-0.01,0.00557,-0.00931,-0.01713,-0.00169,0.0
3,3072,-11.49386,368.375,0.0,0.0,2.184675,-0.004557,0.258245,0.002348,982,0.24041,0.32358,0.875,0.25,1.0,,,-0.01,0.00662,-0.0113,-0.01335,-0.00903,-0.00034
4,4096,nan,nan,0.0,0.0,2.254616,-0.001782,0.231274,0.001617,859,0.28449,0.35633,0.875,0.0,0.0,,,-0.01,0.00933,-0.00818,-0.01708,-0.00282,0.0
5,5120,6.97237,214.66667,0.66667,0.18182,2.190871,0.049413,15.118107,0.001651,1268,0.30042,0.37542,0.63636,0.33333,0.98182,,,-0.01,0.00972,-0.00911,-0.01598,-0.0146,0.05876
6,6144,-8.45542,361.0,0.0,0.125,2.160832,0.12248,0.323011,0.002253,1299,0.29142,0.36064,0.625,0.6,1.0,,,-0.01,0.00927,-0.00823,-0.0166,-0.00776,-0.00091
7,7168,7.63369,228.33333,0.33333,0.15789,2.181762,0.025919,13.752352,0.002048,1169,0.26001,0.32496,0.52632,0.66667,1.0,,,-0.01,0.01145,-0.00523,-0.01327,-0.01165,0.05618
8,8192,4.98629,214.14286,0.28571,0.19231,2.176265,0.035131,19.532724,0.001071,981,0.26822,0.34041,0.42308,0.57143,0.97561,,,-0.01,0.01368,-0.00374,-0.01707,-0.01384,0.08313
9,9216,-4.1347,143.875,0.0,0.14706,2.151775,-0.007703,0.681894,0.002833,1086,0.27785,0.34852,0.32353,1.0,1.0,,,-0.01,0.01118,-0.00309,-0.01483,-0.0214,-0.00309
10,10240,-4.42661,139.25,0.0,0.13158,2.152039,-0.002568,0.347103,0.002332,994,0.27103,0.33548,0.28947,1.0,1.0,,,-0.01,0.0118,-0.00507,-0.01578,-0.01322,-0.00136
