iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-4.96717,118.0,0.0,0.0,2.29243,0.067903,0.172362,0.008842,2185,-0.01,0.00064,-0.0187,-0.00421,-0.00299,-0.0003
2,2048,-8.69617,224.0,0.0,0.0,2.331169,-0.003546,0.171955,0.001126,2611,-0.01,0.00174,-0.01288,-0.00523,-0.008,-0.00071
3,3072,-7.19865,268.33333,0.0,0.0,2.29496,-0.008383,0.117202,0.00452,2743,-0.01,0.00188,-0.0115,-0.00512,-0.00905,-0.00038
4,4096,-4.67163,163.5,0.0,0.0,2.299566,-0.007503,0.103615,0.004496,2587,-0.01,0.00356,-0.00563,-0.00427,-0.01163,-0.00179
5,5120,-3.69152,158.88889,0.0,0.0,2.240975,-0.007003,0.133021,0.006258,2805,-0.01,0.00409,-0.00378,-0.0049,-0.01736,-0.00376
6,6144,-2.96353,100.81818,0.0,0.0,2.187336,-0.006979,0.147888,0.006093,2670,-0.01,0.00472,-0.00116,-0.00415,-0.02691,-0.00433
7,7168,-2.40987,100.72727,0.0,0.0,2.096953,0.009883,0.095465,0.00981,2585,-0.01,0.00586,0.00036,-0.00503,-0.02116,-0.00466
8,8192,-1.64907,75.14286,0.07143,0.01667,2.086736,-0.023726,0.87141,0.003131,2519,-0.01,0.00709,0.00227,-0.00274,-0.02537,0.00058
9,9216,-2.00862,66.0,0.0,0.01449,2.006377,0.1015,0.105139,0.009578,3140,-0.01,0.00654,0.00129,-0.00489,-0.02237,-0.00498
10,10240,-2.19846,142.125,0.0,0.01299,1.892682,-0.006508,0.125874,0.004808,3351,-0.01,0.00598,-0.00069,-0.00611,-0.01605,-0.003
11,11264,-1.47194,73.5,0.0,0.01176,1.715288,0.045218,0.106173,0.007817,3447,-0.01,0.00685,0.00175,-0.00454,-0.01983,-0.00429
12,12288,-1.81607,117.84615,0.0,0.0102,1.7924,-0.022694,0.121848,0.006104,2964,-0.01,0.00743,0.00304,-0.0019,-0.01311,-0.00584
13,13312,7.98005,104.375,0.375,0.04,1.744106,-0.000572,13.677959,0.001917,3104,-0.01,0.00906,0.00418,-0.00326,-2e-05,0.09607
14,14336,8.14439,131.5,0.5,0.08,1.862909,-0.000221,13.409678,0.003904,3289,-0.01,0.0062,0.00217,-0.00519,-0.00047,0.11283
15,15360,4.57429,200.25,0.25,0.09,1.929244,-0.001641,4.148676,0.000924,3367,-0.01,0.00577,0.00076,-0.00584,0.00018,0.0338
16,16384,2.18267,172.14286,0.14286,0.1,1.868792,-0.024946,3.738872,0.004538,3033,-0.01,0.00667,0.00214,-0.00241,-0.0007,0.03444
17,17408,8.79609,166.33333,0.33333,0.11,1.825871,0.067687,4.090648,0.002129,3392,-0.01,0.00471,-0.0003,-0.0059,0.00194,0.04182
