iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.375862,-0.009673,0.307095,0.006848,0.8683,0.079276,-0.027533,-0.412944,0.187581,-1.1338,1.331424,4.0,0.0003,0,747,0.26674,0.3637,0.0,0.0,0.0,,,-0.01,0.00523,-0.01422,-0.02364,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.326587,-0.005952,0.086926,0.003352,0.727062,0.037807,0.669199,-1.054043,1.053726,-1.695753,2.190526,4.0,0.0002999,0,705,0.25877,0.35173,0.0,0.0,0.0,,,-0.01,0.00504,-0.01267,-0.02162,-0.00066,0.0
3,3072,nan,nan,0.0,0.0,1.80314,-0.004765,0.061552,0.002889,0.616618,0.032366,0.882931,-1.307233,2.216002,-1.811814,2.922689,4.0,0.0002998,0,757,0.27261,0.36967,0.0,0.0,0.0,,,-0.01,0.00648,-0.01078,-0.01819,-0.00856,0.0
4,4096,-16.77841,442.375,0.0,0.0,1.810364,-0.004315,0.057774,0.00358,0.460277,0.047607,0.894761,-1.954811,2.706151,-2.390125,3.473543,4.0,0.00029969,8,787,0.27392,0.37473,0.75,0.375,0.99189,,,-0.01,0.0071,-0.00835,-0.02436,-0.00436,-0.00496
5,5120,-9.09397,192.16667,0.0,0.0,1.735836,-0.003669,0.085113,0.004697,0.367547,0.057199,0.885053,-2.336078,3.491549,-2.838189,3.74612,4.0,0.00029959,6,742,0.24199,0.34407,0.42857,1.0,0.97273,,,-0.01,0.00658,-0.00976,-0.01729,-0.01795,-0.01528
6,6144,-7.91235,176.0,0.0,0.0,1.821084,-0.005267,0.050172,0.00406,0.316706,0.064069,0.920627,-2.896896,3.456854,-3.32936,4.053473,4.0,0.00029949,2,743,0.25665,0.34998,0.375,1.0,1.0,,,-0.01,0.00909,-0.0067,-0.02162,-0.01091,-0.00484
7,7168,-8.24632,187.0,0.0,0.0,1.808808,-0.004891,0.05174,0.003951,0.241631,0.044538,0.92017,-3.37737,3.759202,-3.669874,4.232186,4.0,0.00029939,6,745,0.25741,0.34838,0.27273,1.0,0.9875,,,-0.01,0.00881,-0.00552,-0.01791,-0.01328,-0.01447
8,8192,-6.98855,169.0,0.0,0.0,1.266281,-0.003899,0.056231,0.002387,0.255168,0.026228,0.90539,-3.598087,3.835534,-3.800362,4.114832,4.0,0.00029928,6,839,0.26575,0.36234,0.21429,1.0,0.95312,,,-0.01,0.00924,-0.00489,-0.0242,-0.01524,-0.0196
9,9216,-8.79333,292.0,0.0,0.0,1.352685,-0.003598,0.037732,0.001704,0.228619,0.019287,0.938399,-4.267717,4.013768,-4.509416,4.302022,4.0,0.00029918,3,789,0.26616,0.35341,0.22581,1.0,0.89796,,,-0.01,0.00852,-0.00525,-0.01924,-0.01426,-0.0062
10,10240,-7.08865,263.33333,0.0,0.0,0.925934,-0.004404,0.026857,0.002898,0.303451,0.040109,0.941857,-4.136866,3.642563,-4.141062,3.908997,4.0,0.00029908,3,855,0.27485,0.34964,0.20588,1.0,0.95833,,,-0.01,0.00708,-0.00552,-0.02266,-0.00645,-0.01325
