iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.375862,-0.009673,0.307095,0.006848,0.8683,0.079276,-0.027533,-0.412944,0.187581,-1.1338,1.331424,4.0,0.0003,0,855,0.26674,0.3637,0.0,0.0,0.0,,,-0.01,0.00523,-0.01422,-0.02364,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.326587,-0.005952,0.086926,0.003352,0.727062,0.037807,0.669199,-1.054043,1.053726,-1.695753,2.190526,4.0,0.0002999,0,862,0.25877,0.35173,0.0,0.0,0.0,,,-0.01,0.00504,-0.01267,-0.02162,-0.00066,0.0
3,3072,nan,nan,0.0,0.0,1.80314,-0.004765,0.061552,0.002889,0.616618,0.032366,0.882931,-1.307233,2.216002,-1.811814,2.922689,4.0,0.0002998,0,905,0.27261,0.36967,0.0,0.0,0.0,,,-0.01,0.00648,-0.01078,-0.01819,-0.00856,0.0
4,4096,-16.77841,442.375,0.0,0.0,1.810364,-0.004315,0.057774,0.00358,0.460277,0.047607,0.894761,-1.954811,2.706151,-2.390125,3.473543,4.0,0.00029969,8,886,0.27392,0.37473,0.75,0.375,0.99189,,,-0.01,0.0071,-0.00835,-0.02436,-0.00436,-0.00496
5,5120,-9.09397,192.16667,0.0,0.0,1.735836,-0.003669,0.085113,0.004697,0.367547,0.057199,0.885053,-2.336078,3.491549,-2.838189,3.74612,4.0,0.00029959,6,874,0.24199,0.34407,0.42857,1.0,0.97273,,,-0.01,0.00658,-0.00976,-0.01729,-0.01795,-0.01528
6,6144,-7.91235,176.0,0.0,0.0,1.821084,-0.005267,0.050172,0.00406,0.316706,0.064069,0.920627,-2.896896,3.456854,-3.32936,4.053473,4.0,0.00029949,2,879,0.25665,0.34998,0.375,1.0,1.0,,,-0.01,0.00909,-0.0067,-0.02162,-0.01091,-0.00484
7,7168,-8.24632,187.0,0.0,0.0,1.808808,-0.004891,0.05174,0.003951,0.241631,0.044538,0.92017,-3.37737,3.759202,-3.669874,4.232186,4.0,0.00029939,6,866,0.25741,0.34838,0.27273,1.0,0.9875,,,-0.01,0.00881,-0.00552,-0.01791,-0.01328,-0.01447
8,8192,-6.98855,169.0,0.0,0.0,1.266281,-0.003899,0.056231,0.002387,0.255168,0.026228,0.90539,-3.598087,3.835534,-3.800362,4.114832,4.0,0.00029928,6,943,0.26575,0.36234,0.21429,1.0,0.95312,,,-0.01,0.00924,-0.00489,-0.0242,-0.01524,-0.0196
9,9216,-8.79333,292.0,0.0,0.0,1.352685,-0.003598,0.037732,0.001704,0.228619,0.019287,0.938399,-4.267717,4.013768,-4.509416,4.302022,4.0,0.00029918,3,948,0.26616,0.35341,0.22581,1.0,0.89796,,,-0.01,0.00852,-0.00525,-0.01924,-0.01426,-0.0062
10,10240,-7.08865,263.33333,0.0,0.0,0.925934,-0.004404,0.026857,0.002898,0.303451,0.040109,0.941857,-4.136866,3.642563,-4.141062,3.908997,4.0,0.00029908,3,1070,0.27485,0.34964,0.20588,1.0,0.95833,,,-0.01,0.00708,-0.00552,-0.02266,-0.00645,-0.01325
11,11264,-7.88003,294.0,0.0,0.0,1.455426,-0.00384,0.032591,0.002624,0.280819,0.030936,0.946858,-4.321239,4.412773,-4.437869,4.983341,4.0,0.00029898,5,945,0.25236,0.33806,0.17949,1.0,0.95918,,,-0.01,0.00936,-0.00389,-0.02647,-0.00652,-0.01439
12,12288,-7.77367,189.5,0.0,0.0,1.36319,-0.002817,0.041295,0.001781,0.277038,0.016811,0.939469,-4.321653,4.836514,-4.400397,5.037024,4.0,0.00029887,4,943,0.26075,0.34366,0.16279,1.0,0.92308,,,-0.01,0.00783,-0.00225,-0.02256,-0.01582,-0.01222
13,13312,-8.41582,279.66667,0.0,0.0,1.629768,-0.005588,0.030709,0.004094,0.368775,0.060477,0.959135,-4.85241,5.268494,-4.932806,5.91036,4.0,0.00029877,3,902,0.2427,0.3057,0.17391,0.66667,0.96774,,,-0.01,0.00754,-0.00189,-0.02362,-0.00404,-0.00511
14,14336,18.74562,294.4,0.4,0.03922,1.266792,-0.00268,1.70795,0.002154,1.25623,0.0256,0.287782,-4.1093,5.592446,-1.632432,11.341023,4.0,0.00029867,5,954,0.24778,0.31377,0.17647,0.4,0.875,,,-0.01,0.007,-0.00233,-0.03205,-0.00655,0.20654
15,15360,nan,nan,0.0,0.03922,1.168263,-0.00683,0.033416,0.004146,0.613629,0.060233,0.96083,-1.926835,5.899438,-1.72029,6.131691,4.0,0.00029857,0,968,0.24175,0.31279,0.17647,0.0,0.0,,,-0.01,0.00824,-0.00339,-0.01989,-0.00972,0.0
16,16384,-8.27499,307.75,0.0,0.0339,1.238076,-0.005239,0.044418,0.00473,0.364005,0.062779,0.924109,-1.760661,6.284315,-1.875602,6.388091,4.0,0.00029846,8,938,0.24535,0.31915,0.20339,0.875,1.0,,,-0.01,0.01181,-0.00337,-0.02497,-0.00665,-0.01551
17,17408,13.9669,172.14286,0.28571,0.06061,1.305564,-0.00176,1.161378,0.002951,0.992278,0.018311,0.337526,-1.722128,5.88145,0.81674,11.445868,4.0,0.00029836,7,916,0.24741,0.34124,0.18182,0.85714,0.94118,,,-0.01,0.00845,-0.00122,-0.022,-0.01497,0.19428
18,18432,-6.68237,134.5,0.0,0.05882,1.419521,-0.004733,0.055315,0.004208,0.455592,0.056815,0.92947,-0.595103,7.322175,-0.024168,7.117665,4.0,0.00029826,2,905,0.24604,0.33503,0.17647,1.0,1.0,,,-0.01,0.00954,-0.00037,-0.02311,-0.01233,-0.00548
19,19456,-7.0534,205.85714,0.0,0.05333,1.415366,-0.003923,0.072811,0.00454,0.301909,0.054408,0.845565,-0.27732,7.382683,-0.242288,6.826617,4.0,0.00029816,7,890,0.22406,0.31095,0.17333,1.0,0.88889,,,-0.01,0.01089,-0.00153,-0.0213,-0.0143,-0.01611
20,20480,8.69267,143.6,0.2,0.0625,1.188631,-0.000617,0.495665,0.000481,0.441646,0.002197,0.545122,1.396618,6.774314,2.720594,9.647313,4.0,0.00029805,5,941,0.20874,0.30412,0.1625,1.0,0.83333,,,-0.01,0.01019,-0.00196,-0.02494,-0.01217,0.09876
21,21504,-5.79215,151.71429,0.0,0.05747,1.256325,-0.004322,0.07579,0.004505,0.367186,0.06121,0.816836,2.227329,7.173189,1.978466,6.541906,4.0,0.00029795,7,924,0.20298,0.29418,0.14943,1.0,1.0,,,-0.01,0.01015,-0.00235,-0.02052,-0.02025,-0.02059
22,22528,12.27953,155.5,0.25,0.07368,1.190839,-0.001156,0.747598,0.002791,0.476687,0.030239,0.396198,2.375854,6.509088,3.954237,10.986794,4.0,0.00029785,8,934,0.20058,0.2846,0.14737,0.75,0.90909,,,-0.01,0.01169,-0.00207,-0.02314,-0.01394,0.20593
23,23552,26.31811,125.14286,0.42857,0.1,1.244545,-0.000941,0.785198,0.00216,0.89101,0.026332,0.420926,3.915077,6.773873,6.924556,12.950411,4.0,0.00029775,7,919,0.18076,0.26487,0.14,0.71429,1.0,,,-0.01,0.01066,-0.00108,-0.02007,-0.01232,0.30386
24,24576,23.65878,202.8,0.4,0.12,1.314021,-0.002048,0.53383,0.003839,0.895996,0.031669,0.406281,5.146503,7.603596,7.067605,10.526064,4.0,0.00029764,5,908,0.18282,0.26589,0.1,0.8,0.92593,,,-0.01,0.01039,-0.0022,-0.01981,-0.01441,0.19504
25,25600,18.17393,148.0,0.33333,0.13,1.006957,-0.000991,0.20357,0.001735,0.227682,0.016357,0.689381,11.619199,8.648234,12.898005,9.94656,4.0,0.00029754,3,1003,0.20422,0.28311,0.09,1.0,1.0,,,-0.01,0.00748,-0.00211,-0.01953,-0.00923,0.12005
26,26624,-5.82903,161.25,0.0,0.13,0.911777,-0.003224,0.081235,0.001905,0.690383,0.021868,0.842633,14.886511,9.030301,14.619705,8.892275,4.0,0.00029744,4,1035,0.21935,0.30379,0.09,1.0,0.93333,,,-0.01,0.00584,-0.00457,-0.02487,-0.00902,-0.01571
27,27648,4.98531,300.16667,0.16667,0.14,0.966531,-0.00386,0.180957,0.002579,0.49965,0.029367,0.685505,14.823717,8.923113,15.300654,10.301032,4.0,0.00029734,6,1007,0.20247,0.28834,0.12,0.5,0.91803,,,-0.01,0.00883,-0.00279,-0.02437,-0.00861,0.11889
28,28672,-6.21897,225.14286,0.0,0.14,1.094572,-0.001707,0.125139,0.002002,0.85347,0.012905,0.526611,12.812951,7.454481,11.458156,7.028335,4.0,0.00029724,7,965,0.18516,0.27082,0.14,0.85714,0.8913,,,-0.01,0.01012,-0.00306,-0.02399,-0.01352,-0.0167
29,29696,32.0974,121.0,0.5,0.16,1.223257,-0.002487,0.321883,0.002582,0.627925,0.015765,0.317681,11.111679,4.836709,12.726804,9.56952,4.0,0.00029713,4,928,0.18172,0.27541,0.13,0.75,1.0,,,-0.01,0.01096,-0.0015,-0.01524,-0.00774,0.20259
30,30720,31.26458,188.66667,0.5,0.19,1.164098,-0.004048,0.301326,0.003615,0.609264,0.045061,0.439337,12.986597,5.945641,15.466388,10.687119,4.0,0.00029703,6,944,0.1884,0.27325,0.14,0.66667,0.94118,,,-0.01,0.00833,-0.00173,-0.01986,-0.00469,0.31343
31,31744,68.95318,136.0,1.0,0.21,0.968694,-0.002868,0.21019,0.002745,0.370061,0.034668,0.494413,19.315279,7.7808,21.304949,10.162299,4.0,0.00029693,2,1031,0.2041,0.28382,0.14,0.0,0.90909,,,-0.01,0.00757,-0.0038,-0.02761,-0.00208,0.25783
32,32768,27.82958,295.5,0.5,0.22,0.828477,-0.001795,0.098251,0.001327,0.365343,0.016078,0.670276,21.205929,7.579941,21.881134,8.924092,4.0,0.00029683,2,1068,0.2244,0.30565,0.15,1.0,0.74194,,,-0.01,0.00746,-0.0052,-0.02769,-0.00015,0.14921
33,33792,22.30688,269.0,0.375,0.25,1.176837,-0.003823,0.252693,0.003193,0.454084,0.02417,0.4549,19.656857,7.593958,22.089941,11.751836,4.0,0.00029672,8,942,0.17929,0.25648,0.17,0.375,0.91176,,,-0.01,0.01062,-0.00237,-0.02672,0.00111,0.31179
34,34816,31.67886,192.25,0.5,0.25,1.162,-0.002867,0.159144,0.002174,0.403414,0.022566,0.640428,23.250278,8.514743,23.415213,11.52528,4.0,0.00029662,4,945,0.19035,0.27894,0.18,0.5,0.96154,,,-0.01,0.00719,-0.00406,-0.02308,-0.00546,0.20637
35,35840,-5.80553,229.33333,0.0,0.25,1.240408,-0.004904,0.063835,0.00362,0.59322,0.052316,0.815862,22.72603,10.022829,21.606998,10.494592,4.0,0.00029652,3,965,0.22993,0.31564,0.18,1.0,0.95833,,,-0.01,0.00805,-0.0055,-0.02998,-0.00063,-0.00585
36,36864,15.92123,238.33333,0.33333,0.26,1.28241,-0.004991,0.085887,0.004625,0.297724,0.067174,0.806512,22.316616,10.932865,22.358917,12.402296,4.0,0.00029642,3,998,0.24978,0.33649,0.17,0.66667,0.93103,,,-0.01,0.00621,-0.00572,-0.0311,-0.00218,0.10117
37,37888,4.14446,328.8,0.2,0.26,1.397676,-0.003804,0.080152,0.004939,0.292995,0.07094,0.815885,22.659052,10.682346,22.810781,12.455641,4.0,0.00029631,5,930,0.21602,0.30576,0.2,0.6,0.93103,,,-0.01,0.0083,-0.005,-0.02656,-0.00186,0.08773
38,38912,10.55004,281.75,0.25,0.26,1.29237,-0.003478,0.114319,0.004264,0.396463,0.052281,0.690088,23.820957,10.47571,23.408484,11.673693,4.0,0.00029621,4,915,0.2028,0.2942,0.22,0.5,0.89394,,,-0.01,0.00885,-0.00371,-0.02378,-0.00482,0.09777
39,39936,30.83271,226.5,0.5,0.27,1.03472,-0.00388,0.080393,0.003647,0.353944,0.046317,0.78443,23.26845,10.011157,22.899899,11.910661,4.0,0.00029611,2,1044,0.20746,0.29575,0.22,0.5,0.875,,,-0.01,0.0071,-0.00621,-0.03106,-0.00027,0.12444
40,40960,6.80683,382.75,0.25,0.28,1.059111,-0.006783,0.071016,0.004649,0.36484,0.068848,0.784059,22.883036,10.143603,22.511433,11.349277,4.0,0.00029601,4,1024,0.22375,0.318,0.24,0.25,0.90909,,,-0.01,0.00904,-0.00609,-0.02761,-0.00334,0.11393
