iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.378214,-0.007143,0.290651,0.004494,1.294944,0.044294,0.120619,0.58784,0.199078,-0.112916,1.364971,4.0,0.0003,0,849,0.26535,0.36161,0.0,0.0,0.0,,,-0.01,0.00559,-0.01382,-0.02337,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.331079,-0.004785,0.113328,0.00289,0.753055,0.036307,0.62707,0.06151,0.981728,-0.627057,2.115482,4.0,0.0002999,0,862,0.22968,0.32484,0.0,0.0,0.0,,,-0.01,0.00475,-0.01411,-0.02114,-0.00071,0.0
3,3072,nan,nan,0.0,0.0,2.019742,-0.005341,0.06906,0.003686,0.662724,0.03704,0.855812,-0.29459,2.183346,-0.919613,3.095201,4.0,0.0002998,0,878,0.22487,0.32618,0.0,0.0,0.0,,,-0.01,0.00501,-0.01139,-0.02032,-0.00588,0.0
4,4096,-16.90022,450.0,0.0,0.0,1.796578,-0.005639,0.041914,0.005723,0.352875,0.079067,0.917004,-0.956883,2.87438,-1.36615,3.59641,4.0,0.00029969,8,897,0.24934,0.33988,1.0,0.375,0.98713,,,-0.01,0.00705,-0.00662,-0.02408,-0.00367,0.0
5,5120,nan,nan,0.0,0.0,1.999036,-0.005289,0.04085,0.003852,0.328456,0.056187,0.936282,-1.225051,3.823726,-1.68809,4.558034,4.0,0.00029959,0,874,0.20674,0.2927,1.0,0.0,0.0,,,-0.01,0.00652,-0.00631,-0.01713,-0.00928,0.0
6,6144,-9.07363,277.0,0.0,0.0,0.76468,-0.002046,0.032837,0.001523,0.232918,0.016985,0.94989,-1.844312,4.125216,-2.061558,4.258556,4.0,0.00029949,2,1070,0.2122,0.30838,0.8,1.0,1.0,,,-0.01,0.00826,-0.00952,-0.02591,-0.01149,-0.01048
7,7168,-11.62179,369.8,0.0,0.0,1.40495,-0.004576,0.047233,0.00402,0.265271,0.055664,0.925391,-2.047191,4.056203,-2.361622,4.556558,4.0,0.00029939,5,938,0.19945,0.28072,0.53333,1.0,0.96639,,,-0.01,0.00925,-0.00535,-0.02347,-0.00586,-0.01493
8,8192,-7.50262,220.0,0.0,0.0,1.494515,-0.00431,0.055744,0.002943,0.289206,0.043527,0.910191,-2.414505,4.413323,-2.708346,4.547941,4.0,0.00029928,8,913,0.19992,0.29253,0.3913,0.875,0.9759,,,-0.01,0.00944,-0.00287,-0.01741,-0.01693,-0.01948
9,9216,-6.59112,199.66667,0.0,0.0,1.281587,-0.004906,0.040549,0.003821,0.352207,0.052211,0.932345,-2.34339,4.32611,-2.629588,4.4196,4.0,0.00029918,3,955,0.17837,0.26676,0.34615,1.0,1.0,,,-0.01,0.01014,-0.00191,-0.01794,-0.01835,-0.00954
10,10240,-5.9826,187.5,0.0,0.0,1.530413,-0.005712,0.026336,0.006226,0.328238,0.093157,0.952379,-2.726837,4.251104,-2.896593,4.54361,4.0,0.00029908,4,913,0.18351,0.26405,0.3,1.0,1.0,,,-0.01,0.00917,-0.00164,-0.01454,-0.00651,-0.01074
11,11264,3.66603,211.71429,0.14286,0.02703,1.374093,-0.00201,1.064502,0.004075,0.639351,0.066302,0.290907,-2.69631,4.230048,-1.642268,8.211768,4.0,0.00029898,7,940,0.18195,0.25634,0.24324,0.85714,1.0,,,-0.01,0.00807,-0.00046,-0.02115,-0.01124,0.08304
12,12288,6.92446,180.6,0.2,0.04762,1.51807,-0.002391,0.672206,0.004824,0.573639,0.064314,0.433089,-2.855223,4.77266,-1.978717,8.294001,4.0,0.00029887,5,906,0.17855,0.24666,0.21429,0.8,0.90909,,,-0.01,0.0091,-0.00121,-0.01631,-0.01457,0.07643
13,13312,11.65433,190.25,0.25,0.06522,1.3917,-0.002038,0.648108,0.004185,0.64253,0.078474,0.491163,-1.148989,5.855546,0.06382,8.916877,4.0,0.00029877,4,924,0.17883,0.2482,0.19565,1.0,0.91667,,,-0.01,0.00963,-0.00099,-0.01928,-0.01044,0.08679
14,14336,-7.36349,235.0,0.0,0.06,1.455794,-0.003777,0.216045,0.004399,0.549939,0.056745,0.792608,2.313305,9.155135,2.907976,8.88142,4.0,0.00029867,4,919,0.17619,0.24712,0.18,1.0,1.0,,,-0.01,0.0078,-0.0001,-0.01899,-0.00833,-0.01056
15,15360,-7.1136,223.16667,0.0,0.05357,1.100892,-0.00105,0.244111,0.001779,1.126053,0.011998,0.669777,7.419949,9.528107,6.128818,8.248397,4.0,0.00029857,6,993,0.20253,0.2922,0.16071,1.0,0.88889,,,-0.01,0.00721,-0.00128,-0.02095,-0.01521,-0.01967
16,16384,-8.01178,245.25,0.0,0.05,1.216607,-0.002878,0.079781,0.003772,0.414957,0.042236,0.796056,5.33918,6.368824,4.993767,6.148798,4.0,0.00029846,4,959,0.1708,0.24583,0.16667,1.0,1.0,,,-0.01,0.00724,-0.00018,-0.01883,-0.00914,-0.00854
17,17408,-6.27039,294.66667,0.0,0.04762,1.053196,-0.002869,0.061617,0.002891,0.395076,0.035156,0.749371,6.019122,5.213542,5.795708,5.003752,4.0,0.00029836,3,1020,0.17023,0.2463,0.1746,1.0,0.8,,,-0.01,0.00924,-0.00059,-0.01481,-0.00884,-0.00657
18,18432,-5.83787,320.0,0.0,0.04688,0.89348,-0.003458,0.024873,0.002383,0.405177,0.029471,0.913828,6.801789,4.889919,6.558627,5.28305,4.0,0.00029826,1,1097,0.18187,0.26463,0.17188,1.0,1.0,,,-0.01,0.00508,-0.0027,-0.02241,-0.00182,-0.00369
19,19456,-6.07069,211.0,0.0,0.04615,0.784001,-0.002442,0.022546,0.001495,0.435592,0.016009,0.929712,7.629257,4.880198,7.13866,5.304411,4.0,0.00029816,1,1179,0.19752,0.27247,0.16923,1.0,0.85714,,,-0.01,0.00577,-0.00301,-0.02836,-0.00246,-0.00445
20,20480,-6.12122,450.0,0.0,0.04348,0.945393,-0.003606,0.012268,0.00166,0.305578,0.015311,0.958379,7.205893,5.223921,7.076401,5.459623,4.0,0.00029805,4,1077,0.16588,0.24189,0.21739,0.25,0.89189,,,-0.01,0.00701,-0.00184,-0.02151,-0.00156,0.0
21,21504,-7.86572,374.5,0.0,0.0411,1.133338,-0.002742,0.027252,0.002777,0.429927,0.033482,0.922626,7.141351,5.548059,6.647404,5.793289,4.0,0.00029795,4,1028,0.16469,0.24292,0.24658,0.5,0.93333,,,-0.01,0.0079,-0.00187,-0.0188,-0.00522,-0.00303
22,22528,-6.15752,305.0,0.0,0.04,0.906083,-0.003018,0.019919,0.001749,0.311957,0.023438,0.933066,7.107234,5.068113,6.718362,5.443739,4.0,0.00029785,2,1124,0.17811,0.2452,0.25333,0.5,0.82353,,,-0.01,0.00816,-0.00345,-0.01937,-0.00267,-0.00368
23,23552,-5.70916,450.0,0.0,0.03846,0.833063,-0.006094,0.011684,0.002728,0.322793,0.038504,0.962047,7.260602,5.405682,6.953977,5.837099,4.0,0.00029775,3,1145,0.20207,0.267,0.28205,0.66667,1.0,,,-0.01,0.00619,-0.0017,-0.02691,0.00046,0.0
24,24576,-9.1893,450.0,0.0,0.0375,1.276913,-0.005472,0.01494,0.003503,0.398073,0.046422,0.967079,7.732687,6.642114,7.302199,7.252925,4.0,0.00029764,2,1034,0.19207,0.26059,0.3,0.0,1.0,,,-0.01,0.00688,-0.00244,-0.02626,0.00299,0.0
25,25600,-9.04011,450.0,0.0,0.03659,1.350109,-0.004779,0.017797,0.003865,0.358963,0.047677,0.965715,7.272858,7.041597,6.899854,7.50045,4.0,0.00029754,2,998,0.18536,0.2543,0.31707,0.5,0.93333,,,-0.01,0.00693,-0.00071,-0.02392,6e-05,0.0
26,26624,-8.74237,292.5,0.0,0.03571,1.279468,-0.00319,0.022018,0.002248,0.406964,0.01709,0.962224,7.044055,7.523576,6.423495,8.210032,4.0,0.00029744,2,1016,0.17922,0.25163,0.32143,0.5,1.0,,,-0.01,0.00743,-0.00062,-0.02645,-0.00255,-0.00269
27,27648,-7.86057,322.8,0.0,0.03371,1.249066,-0.002664,0.030934,0.003386,0.435121,0.036586,0.951429,6.692031,7.925699,5.994685,8.371659,4.0,0.00029734,5,977,0.16676,0.23393,0.33708,0.6,0.8,,,-0.01,0.00801,-0.0,-0.02363,-0.00403,-0.00537
28,28672,-7.21637,309.5,0.0,0.03226,1.39743,-0.003025,0.027331,0.003204,0.420682,0.034668,0.958022,6.326014,8.01852,5.558235,8.463534,4.0,0.00029724,4,927,0.16684,0.22945,0.34409,1.0,0.66667,,,-0.01,0.00654,-0.00031,-0.0222,-0.00168,-0.00486
29,29696,-8.33669,312.0,0.0,0.03158,1.393764,-0.003733,0.043261,0.004443,0.450666,0.057547,0.927536,5.489954,7.97211,4.768574,8.171669,4.0,0.00029713,2,944,0.15796,0.222,0.34737,0.5,1.0,,,-0.01,0.00724,-0.00049,-0.02259,-0.00302,-0.0025
30,30720,-9.63989,450.0,0.0,0.03061,1.319398,-0.004906,0.011145,0.004064,0.376983,0.05678,0.976867,4.928065,7.36867,4.56549,7.853364,4.0,0.00029703,3,1007,0.16933,0.23591,0.36735,0.33333,0.85714,,,-0.01,0.00504,-0.00038,-0.02476,0.00095,0.0
31,31744,56.69475,355.5,1.0,0.05,1.335907,-0.002246,0.526772,0.004312,0.598978,0.060059,0.490129,4.821751,7.775862,6.653398,11.288289,4.0,0.00029693,2,968,0.15433,0.21119,0.36,0.5,0.75,,,-0.01,0.00637,-0.00023,-0.01905,0.00022,0.16425
32,32768,26.88675,359.75,0.5,0.07,1.359141,-0.001933,0.478874,0.003752,0.691235,0.038574,0.549774,6.29571,8.351248,8.11,11.799118,4.0,0.00029683,4,922,0.15043,0.20718,0.34,1.0,0.75,,,-0.01,0.00795,-0.00011,-0.02079,0.00143,0.15895
33,33792,63.17509,218.5,1.0,0.09,1.39698,-0.00123,0.3317,0.001724,0.468946,0.00851,0.659146,9.681398,9.065511,11.182283,11.51249,4.0,0.00029672,2,944,0.15491,0.21191,0.32,1.0,1.0,,,-0.01,0.00706,-0.00033,-0.01844,0.00089,0.16324
34,34816,-7.61335,450.0,0.0,0.09,1.183869,-0.005883,0.053658,0.004443,0.435127,0.071219,0.907933,12.59884,9.244746,12.392561,9.187934,4.0,0.00029662,2,1004,0.1749,0.23307,0.32,0.5,0.0,,,-0.01,0.00533,-0.00071,-0.02575,-0.00352,0.0
35,35840,15.23626,331.5,0.33333,0.11,1.389226,-0.003094,0.357256,0.003132,0.58637,0.036063,0.671875,10.039511,10.311892,12.037834,12.833553,4.0,0.00029652,6,923,0.14769,0.20791,0.35,0.66667,0.66667,,,-0.01,0.0071,-0.0,-0.02103,0.00044,0.16222
36,36864,29.2301,326.0,0.5,0.12,1.083642,-0.003824,0.181644,0.00389,0.446968,0.062221,0.675324,13.948924,8.484062,15.486751,9.513988,4.0,0.00029642,2,965,0.13935,0.19696,0.35,0.5,1.0,,,-0.01,0.0085,-0.00022,-0.01849,-0.00029,0.09997
37,37888,67.29951,188.0,1.0,0.13,0.971737,-0.003995,0.158216,0.003128,0.368112,0.03118,0.659559,17.82539,7.729448,18.538845,9.099391,4.0,0.00029631,1,1069,0.13188,0.18027,0.35,0.0,0.0,,,-0.01,0.00456,-0.00046,-0.024,0.00187,0.11478
38,38912,12.63019,369.0,0.25,0.14,1.065534,-0.00526,0.145628,0.003493,0.292424,0.05242,0.734323,17.461382,9.138889,18.322672,10.444802,4.0,0.00029621,4,1027,0.14929,0.20571,0.38,0.5,1.0,,,-0.01,0.00728,-0.00068,-0.02426,0.00208,0.10691
39,39936,30.96918,281.83333,0.5,0.17,1.108117,-0.002125,0.373729,0.004465,0.731414,0.060407,0.47759,16.892666,8.145957,20.180058,11.822287,4.0,0.00029611,6,921,0.12213,0.18113,0.41,0.66667,1.0,,,-0.01,0.01066,9e-05,-0.02092,-0.00137,0.28257
40,40960,54.30965,175.8,0.8,0.21,1.123756,-0.002739,0.290617,0.003939,0.470703,0.027379,0.526963,22.432348,8.316101,25.180271,11.723126,4.0,0.00029601,5,919,0.12436,0.17771,0.42,0.4,0.6,,,-0.01,0.01019,-7e-05,-0.01847,0.00181,0.39887
41,41984,71.99886,94.75,1.0,0.24,1.037658,-0.00341,0.254265,0.004138,0.493695,0.045898,0.567736,24.196924,9.235588,27.012587,12.685332,4.0,0.0002959,4,947,0.13875,0.19706,0.42,0.0,0.0,,,-0.01,0.00868,-0.00016,-0.01982,0.00302,0.43047
42,43008,8.29142,379.6,0.2,0.24,1.061517,-0.004623,0.092757,0.005319,0.443549,0.073626,0.759916,26.79517,9.338118,27.342047,10.401423,4.0,0.0002958,5,943,0.13262,0.18835,0.46,0.6,0.83333,,,-0.01,0.00714,-0.00027,-0.0228,-0.00019,0.10463
43,44032,32.53665,186.25,0.5,0.25,1.185557,-0.003088,0.174358,0.005061,0.425948,0.057373,0.560591,29.703121,8.492932,29.928473,10.836846,4.0,0.0002957,4,905,0.10999,0.16175,0.47,0.25,0.5,,,-0.01,0.00748,-5e-05,-0.02285,0.00029,0.18278
44,45056,28.57538,313.0,0.5,0.26,1.264842,-0.005541,0.086786,0.006427,0.413926,0.091797,0.689555,30.316847,8.789824,30.29129,9.636478,4.0,0.0002956,2,943,0.12958,0.18763,0.48,1.0,1.0,,,-0.01,0.00676,9e-05,-0.02288,-0.00068,0.09234
45,46080,44.38762,208.0,0.66667,0.28,1.262596,-0.003773,0.099643,0.004579,0.342807,0.046003,0.665387,31.915926,8.234083,32.458759,10.20034,4.0,0.00029549,3,929,0.13085,0.18425,0.49,0.0,1.0,,,-0.01,0.008,-0.00041,-0.02067,0.0014,0.19083
46,47104,25.96145,245.28571,0.42857,0.31,1.137082,-0.00345,0.142185,0.003987,0.374576,0.054967,0.481415,33.306805,7.63699,33.10387,10.040121,4.0,0.00029539,7,906,0.14541,0.20289,0.51,0.42857,0.83333,,,-0.01,0.00784,-0.0007,-0.02247,-0.00305,0.28569
47,48128,51.29644,191.5,0.75,0.37,1.111768,-0.004112,0.142163,0.005667,0.497124,0.04541,0.506364,34.448254,7.280452,37.9804,11.152477,4.0,0.00029529,8,840,0.11559,0.16216,0.52,0.375,1.0,,,-0.01,0.00816,-0.0001,-0.02023,0.00259,0.51323
48,49152,59.59776,146.0,0.85714,0.43,1.077784,-0.003134,0.08635,0.002477,0.301539,0.029576,0.697874,38.189533,8.679072,40.971706,11.480499,4.0,0.00029519,7,848,0.12693,0.18031,0.47,0.28571,0.0,,,-0.01,0.00874,-0.00081,-0.02092,0.00291,0.51404
49,50176,50.64857,175.0,0.75,0.46,0.927642,-0.003588,0.045627,0.002775,0.324141,0.021345,0.828533,42.26099,9.99851,43.050884,11.504913,4.0,0.00029508,4,916,0.13498,0.18948,0.45,0.25,1.0,,,-0.01,0.00824,-0.00036,-0.02227,-0.00162,0.32215
50,51200,nan,nan,0.0,0.46,0.692234,-0.005465,0.017943,0.00287,0.636162,0.040562,0.866074,45.953358,7.336413,44.870789,7.216852,4.0,0.00029498,0,1054,0.12959,0.17012,0.45,0.0,0.0,,,-0.01,0.00456,-0.00025,-0.02038,0.00332,0.0
