iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.375862,-0.009673,0.307095,0.006848,0.8683,0.079276,-0.027533,-0.412944,0.187581,-1.1338,1.331424,4.0,0.0003,0,813,0.26674,0.3637,0.0,nan,0.0,0.0,,,-0.01,0.00523,-0.01422,-0.02364,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.326587,-0.005952,0.086926,0.003352,0.727062,0.037807,0.669199,-1.054043,1.053726,-1.695753,2.190526,4.0,0.0002999,0,819,0.25877,0.35173,0.0,nan,0.0,0.0,,,-0.01,0.00504,-0.01267,-0.02162,-0.00066,0.0
3,3072,nan,nan,0.0,0.0,1.81222,-0.004843,0.064171,0.002959,0.631411,0.033447,0.881493,-1.306813,2.226399,-1.799099,2.930695,4.0,0.0002998,0,859,0.27208,0.3704,0.0,nan,0.0,0.0,,,-0.01,0.00615,-0.00982,-0.01806,-0.00896,0.0
4,4096,-16.79813,442.625,0.0,0.0,1.794441,-0.005448,0.059063,0.004804,0.470423,0.070487,0.896765,-1.907832,2.695737,-2.36161,3.403045,4.0,0.00029969,8,836,0.27242,0.37317,0.75,nan,0.375,0.9877,,,-0.01,0.00744,-0.00947,-0.02232,-0.00574,-0.005
5,5120,-8.5861,163.0,0.0,0.0,1.615702,-0.004689,0.053836,0.003124,0.285966,0.040144,0.923651,-2.517871,3.364588,-2.954752,3.781078,4.0,0.00029959,1,867,0.2443,0.34721,0.66667,nan,1.0,1.0,,,-0.01,0.00761,-0.0092,-0.01625,-0.01249,-0.00275
6,6144,-9.25734,249.25,0.0,0.0,1.23019,-0.003525,0.053559,0.002169,0.307388,0.019148,0.910423,-3.008256,3.341506,-3.303321,3.7142,4.0,0.00029949,4,924,0.26088,0.3499,0.46154,nan,1.0,1.0,,,-0.01,0.00899,-0.007,-0.0252,-0.00956,-0.01385
7,7168,-8.58748,266.16667,0.0,0.0,1.653002,-0.005552,0.058697,0.005761,0.350767,0.089809,0.913241,-3.333387,3.80198,-3.504574,4.257139,4.0,0.00029939,6,833,0.27019,0.36741,0.31579,nan,1.0,0.9717,,,-0.01,0.01017,-0.00458,-0.01889,-0.0107,-0.01556
8,8192,-6.94852,175.5,0.0,0.0,1.526632,-0.004434,0.05764,0.003914,0.291158,0.04827,0.907419,-3.419972,3.932914,-3.591656,4.107591,4.0,0.00029928,6,857,0.2937,0.39431,0.24,nan,1.0,1.0,,,-0.01,0.01069,-0.00363,-0.01625,-0.01685,-0.0167
9,9216,-6.59031,174.14286,0.0,0.0,1.798081,-0.004635,0.051844,0.003251,0.272579,0.04827,0.917239,-3.805831,4.040763,-4.088522,4.548809,4.0,0.00029918,7,821,0.28195,0.37382,0.1875,nan,1.0,0.94,,,-0.01,0.00984,-0.00352,-0.02247,-0.01496,-0.01677
10,10240,-6.62856,149.33333,0.0,0.0,1.40896,-0.003913,0.02914,0.002313,0.260108,0.031982,0.948636,-3.73853,4.071555,-3.866246,4.500256,4.0,0.00029908,3,882,0.26692,0.35695,0.17143,nan,1.0,1.0,,,-0.01,0.0076,-0.00313,-0.01963,-0.01091,-0.00886
