iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.384539,-0.006918,0.371484,0.004413,1.136209,0.043352,-0.095428,0.622943,0.208251,-0.064924,1.245021,4.0,0.0003,0,834,0.2733,0.37416,0.0,nan,0.0,0.0,,,-0.01,0.00534,-0.01346,-0.02323,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.359788,-0.005071,0.121258,0.002817,0.841629,0.016183,0.594088,0.088042,0.859487,-0.584579,1.985106,4.0,0.0002999,0,864,0.25698,0.35017,0.0,nan,0.0,0.0,,,-0.01,0.0042,-0.01325,-0.02134,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.328417,-0.004169,0.061165,0.002972,0.722616,0.020787,0.814619,-0.306314,1.889671,-0.962959,3.035736,4.0,0.0002998,0,876,0.25867,0.35039,0.0,nan,0.0,0.0,,,-0.01,0.00471,-0.01223,-0.02189,-0.00043,0.0
4,4096,-18.13977,450.0,0.0,0.0,2.31114,-0.004118,0.040378,0.003344,0.390406,0.034633,0.909204,-0.914391,3.03698,-1.338771,3.975992,4.0,0.00029969,8,841,0.25556,0.35356,1.0,nan,0.0,0.9983,,,-0.01,0.00446,-0.01042,-0.0227,0.0,0.0
5,5120,nan,nan,0.0,0.0,2.27919,-0.007761,0.026656,0.006781,0.475635,0.101597,0.930943,-1.250002,3.931345,-1.848844,5.041515,4.0,0.00029959,0,879,0.27316,0.36175,1.0,nan,0.0,0.0,,,-0.01,0.00553,-0.00909,-0.02129,0.0,0.0
6,6144,nan,nan,0.0,0.0,2.309799,-0.003917,0.016929,0.005386,0.24242,0.043806,0.953539,-2.004731,4.876255,-2.541468,5.926224,4.0,0.00029949,0,895,0.29911,0.38463,1.0,nan,0.0,0.0,,,-0.01,0.00565,-0.00919,-0.02172,0.0,0.0
7,7168,nan,nan,0.0,0.0,2.265886,-0.003966,0.009963,0.00307,0.214123,0.034877,0.968155,-2.42712,5.87798,-2.925596,6.954245,4.0,0.00029939,0,895,0.28195,0.37123,1.0,nan,0.0,0.0,,,-0.01,0.00597,-0.00639,-0.02185,0.0,0.0
8,8192,-15.60004,450.0,0.0,0.0,2.272945,-0.004727,0.012335,0.002804,0.228407,0.021101,0.972988,-3.087689,6.931492,-3.515341,7.97669,4.0,0.00029928,8,864,0.28892,0.37765,1.0,nan,0.0,0.99435,,,-0.01,0.00446,-0.00632,-0.02364,0.0,0.0
9,9216,nan,nan,0.0,0.0,2.235624,-0.004912,0.006267,0.005107,0.226734,0.054234,0.980158,-3.251583,7.885539,-3.661435,8.986908,4.0,0.00029918,0,896,0.28432,0.36551,1.0,nan,0.0,0.0,,,-0.01,0.00653,-0.00403,-0.02126,0.0,0.0
10,10240,nan,nan,0.0,0.0,2.216606,-0.004282,0.004958,0.003382,0.218816,0.026576,0.984981,-3.444522,9.067073,-3.836788,10.14802,4.0,0.00029908,0,900,0.27148,0.35435,1.0,nan,0.0,0.0,,,-0.01,0.00629,-0.00448,-0.02162,0.0,0.0
11,11264,-13.78153,450.0,0.0,0.0,2.195005,-0.005378,0.006564,0.003084,0.261205,0.025181,0.987986,-3.978313,10.138166,-4.238671,11.050104,4.0,0.00029898,8,870,0.26423,0.34556,1.0,nan,0.0,1.0,,,-0.01,0.00609,-0.00364,-0.02236,0.0,0.0
