iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.378214,-0.007143,0.290651,0.004494,1.294944,0.044294,0.120619,0.58784,0.199078,-0.112916,1.364971,4.0,0.0003,0,858,0.26535,0.36161,0.0,nan,0,0.0,0.0,,,-0.01,0.00559,-0.01382,-0.02337,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.331079,-0.004785,0.113328,0.00289,0.753055,0.036307,0.62707,0.06151,0.981728,-0.627057,2.115482,4.0,0.0002999,0,868,0.22968,0.32484,0.0,nan,0,0.0,0.0,,,-0.01,0.00475,-0.01411,-0.02114,-0.00071,0.0
3,3072,nan,nan,0.0,0.0,2.022774,-0.005409,0.066761,0.00406,0.668809,0.04684,0.856275,-0.299572,2.191875,-0.942498,3.126388,4.0,0.0002998,0,883,0.22487,0.32713,0.0,nan,0,0.0,0.0,,,-0.01,0.00495,-0.01149,-0.0208,-0.0059,0.0
4,4096,-17.25557,450.0,0.0,0.0,1.834532,-0.004984,0.04007,0.004733,0.391022,0.068394,0.915018,-0.953008,2.941193,-1.368111,3.746046,4.0,0.00029969,8,891,0.24922,0.34594,1.0,nan,0,0.25,0.98553,,,-0.01,0.00658,-0.00687,-0.027,-0.00214,0.0
5,5120,nan,nan,0.0,0.0,1.929653,-0.004731,0.040348,0.002514,0.336483,0.02832,0.937484,-1.169096,3.826097,-1.632907,4.464511,4.0,0.00029959,0,889,0.20838,0.29616,1.0,nan,0,0.0,0.0,,,-0.01,0.00707,-0.00591,-0.0173,-0.01022,0.0
6,6144,-9.9816,245.0,0.0,0.0,0.773361,-0.003582,0.039492,0.002752,0.262173,0.042132,0.940805,-2.174065,4.098104,-2.51554,4.388902,4.0,0.00029949,1,1087,0.21838,0.31176,0.88889,nan,0,1.0,1.0,,,-0.01,0.00608,-0.01103,-0.03107,-0.01029,-0.00521
7,7168,-11.39736,397.6,0.0,0.0,0.852293,-0.003531,0.031635,0.002307,0.263182,0.041364,0.940386,-2.683417,3.872476,-2.790425,3.94242,4.0,0.00029939,5,1070,0.20616,0.27949,0.57143,nan,0,1.0,0.9802,,,-0.01,0.0078,-0.00633,-0.01917,-0.01053,-0.02421
8,8192,-7.80402,274.0,0.0,0.0,1.472998,-0.004403,0.039647,0.002203,0.259241,0.027274,0.93978,-2.522102,4.335334,-2.782537,4.591261,4.0,0.00029928,5,927,0.20508,0.29296,0.52632,nan,0,0.8,0.9625,,,-0.01,0.00931,-0.00578,-0.01466,-0.01515,-0.00867
9,9216,-6.97639,229.66667,0.0,0.0,1.4537,-0.006364,0.025567,0.003145,0.270792,0.040981,0.957535,-2.779182,4.487075,-2.996354,5.009603,4.0,0.00029918,3,940,0.2002,0.27617,0.45455,nan,0,1.0,0.96667,,,-0.01,0.00839,-0.00373,-0.02168,-0.00568,-0.00855
10,10240,-7.32793,207.5,0.0,0.0,0.99523,-0.004946,0.024672,0.002796,0.252153,0.035924,0.960195,-2.656584,4.607491,-2.853645,4.997731,4.0,0.00029908,2,1036,0.23735,0.32038,0.41667,nan,0,1.0,1.0,,,-0.01,0.00712,-0.0059,-0.0236,-0.00812,-0.00783
11,11264,-6.40137,450.0,0.0,0.0,1.009161,-0.003293,0.018433,0.002793,0.248672,0.032401,0.970091,-2.97655,4.856958,-3.187432,5.301995,4.0,0.00029898,2,1042,0.2324,0.32346,0.46154,nan,0,0.0,1.0,,,-0.01,0.00486,-0.00425,-0.02677,-0.00542,0.0
12,12288,-9.71573,422.0,0.0,0.0,1.114206,-0.004005,0.017438,0.003036,0.233637,0.036272,0.973339,-3.09778,5.276365,-3.308796,5.677593,4.0,0.00029887,5,1016,0.21719,0.29279,0.51613,nan,0,0.4,0.97059,,,-0.01,0.0064,-0.00228,-0.02795,-0.00536,-0.00354
13,13312,nan,nan,0.0,0.0,1.155909,-0.003696,0.017933,0.001533,0.244194,0.018241,0.974245,-3.292711,5.82526,-3.512377,6.340585,4.0,0.00029877,0,1020,0.20252,0.27923,0.51613,nan,0,0.0,0.0,,,-0.01,0.00841,-0.00296,-0.02657,-0.00546,0.0
14,14336,-8.87701,325.8,0.0,0.0,1.069223,-0.003528,0.022986,0.00343,0.25011,0.048654,0.966654,-3.829646,5.758383,-3.916292,5.988098,4.0,0.00029867,5,1029,0.19133,0.26749,0.47222,nan,0,0.8,1.0,,,-0.01,0.00653,-0.00048,-0.02382,-0.01016,-0.01507
15,15360,-6.95665,312.4,0.0,0.0,1.252818,-0.005109,0.023996,0.002826,0.276171,0.037179,0.970603,-3.831021,6.375935,-3.915647,6.705712,4.0,0.00029857,5,985,0.19036,0.27339,0.46341,nan,0,0.8,1.0,,,-0.01,0.00673,-0.00123,-0.02175,-0.0071,-0.00982
16,16384,-8.75613,304.0,0.0,0.0,1.473344,-0.003331,0.017696,0.002346,0.275054,0.032192,0.979489,-3.994858,7.080643,-4.161834,7.485803,4.0,0.00029846,1,948,0.19398,0.26627,0.45238,nan,0,1.0,1.0,,,-0.01,0.00766,-0.00013,-0.02578,-0.00452,-0.00281
17,17408,18.23633,282.8,0.4,0.04255,1.267102,-0.001907,1.19048,0.002355,0.908959,0.031738,0.372966,-3.94445,6.774891,-1.902517,11.495941,4.0,0.00029836,5,982,0.19858,0.26584,0.40426,0.5,2,0.6,0.76471,,,-0.01,0.00728,-0.00162,-0.02735,-0.00352,0.19896
18,18432,-8.1181,450.0,0.0,0.04167,1.326081,-0.004781,0.052872,0.004084,0.670295,0.047712,0.951915,-1.073404,7.263178,-1.110777,7.571784,4.0,0.00029826,1,962,0.2203,0.29473,0.41667,0.5,2,0.0,1.0,,,-0.01,0.00645,-0.00121,-0.02385,-0.00662,0.0
19,19456,-8.68966,329.4,0.0,0.03774,1.05061,-0.001695,0.040385,0.001729,0.382731,0.010707,0.928205,-0.685546,6.838897,-0.738485,6.690298,4.0,0.00029816,5,1030,0.22133,0.2896,0.39623,0.5,2,0.8,0.94118,,,-0.01,0.00687,-0.00142,-0.0272,-0.00407,-0.01493
20,20480,-11.33415,450.0,0.0,0.03704,1.446484,-0.006546,0.023629,0.004405,0.300828,0.055001,0.964785,-0.397038,7.529452,-0.32515,8.035103,4.0,0.00029805,1,965,0.20949,0.27919,0.40741,0.5,2,1.0,1.0,,,-0.01,0.00562,-0.00039,-0.02502,0.00013,0.0
21,21504,-8.89539,385.0,0.0,0.03509,1.29816,-0.004796,0.02066,0.004135,0.365034,0.05964,0.97033,0.675544,7.548989,0.519835,7.727836,4.0,0.00029795,3,994,0.2297,0.30901,0.42105,0.5,2,0.33333,0.83333,,,-0.01,0.00543,-0.00179,-0.02726,-0.00452,-0.00295
22,22528,-11.74594,450.0,0.0,0.0339,1.166109,-0.006839,0.00974,0.004161,0.395013,0.054688,0.982567,1.481167,7.881994,1.336776,8.361498,4.0,0.00029785,2,1025,0.22738,0.29157,0.44068,0.5,2,0.5,1.0,,,-0.01,0.00633,-0.00147,-0.03615,-0.00162,0.0
23,23552,-10.60137,389.0,0.0,0.03226,1.038297,-0.004117,0.023524,0.003543,0.280492,0.047503,0.964458,0.402789,7.873614,0.350725,7.932038,4.0,0.00029775,3,1034,0.23595,0.30733,0.45161,0.5,2,0.66667,0.92857,,,-0.01,0.00887,-0.00127,-0.02888,-0.00315,-0.00332
24,24576,-8.48839,313.0,0.0,0.0303,1.182065,-0.003834,0.015647,0.002762,0.251251,0.032645,0.977307,0.508261,7.988801,0.422473,8.256701,4.0,0.00029764,4,1012,0.21629,0.28522,0.45455,0.5,2,0.5,0.94737,,,-0.01,0.00738,-0.00045,-0.02279,-0.00502,-0.00603
25,25600,-6.09347,271.0,0.0,0.02899,1.140038,-0.002926,0.026788,0.00144,0.281887,0.00987,0.963871,0.667654,8.734416,0.399274,8.721744,4.0,0.00029754,3,1021,0.22297,0.30154,0.44928,0.5,2,1.0,1.0,,,-0.01,0.0065,-0.00072,-0.032,-0.00911,-0.00627
26,26624,-9.00043,300.75,0.0,0.0274,0.978919,-0.00333,0.018333,0.001644,0.240295,0.022949,0.972841,0.664908,8.292915,0.45616,8.532303,4.0,0.00029744,4,1065,0.23525,0.30932,0.45205,0.5,2,0.5,0.8,,,-0.01,0.00785,-0.0021,-0.03051,-0.00363,-0.00715
27,27648,-7.27718,352.0,0.0,0.02632,0.817304,-0.005288,0.013091,0.0028,0.317552,0.039795,0.978255,0.178774,7.678392,-0.077343,7.928342,4.0,0.00029734,3,1097,0.25919,0.33098,0.46053,0.5,2,0.33333,1.0,,,-0.01,0.00631,-0.00151,-0.03035,-0.00547,-0.00412
